Category	Med_Abund	Description
Remaining	0.9459	Remaining
GO:1902494	0.0207	catalytic_complex
GO:1990904	0.0089	ribonucleoprotein_complex
GO:0098796	0.0072	membrane_protein_complex
GO:0140535	0.0065	intracellular_protein_containing_complex
GO:0032993	0.0032	protein_DNA_complex
GO:1990351	0.0029	transporter_complex
GO:1990391	0.0024	DNA_repair_complex
GO:0044815	0.0003	DNA_packaging_complex
GO:0019008	0.0002	molybdopterin_synthase_complex
GO:0005667	0.0002	transcription_regulator_complex
GO:0033104	0.0002	type_VI_protein_secretion_system_complex
GO:0070069	0.0001	cytochrome_complex
GO:0005835	0.0001	fatty_acid_synthase_complex
GO:0045239	0.0001	tricarboxylic_acid_cycle_enzyme_complex
GO:0015627	0.0001	type_II_protein_secretion_system_complex
GO:0030257	0.0000	type_III_protein_secretion_system_complex
GO:0032991	0.0000	protein_containing_complex
GO:0005581	0.0000	collagen_trimer
GO:0005839	0.0000	proteasome_core_complex
GO:0005885	0.0000	Arp2_3_protein_complex
GO:0016459	0.0000	myosin_complex
GO:0005875	0.0000	microtubule_associated_complex
GO:0098798	0.0000	mitochondrial_protein_containing_complex
GO:0140513	0.0000	nuclear_protein_containing_complex
GO:0036125	0.0000	fatty_acid_beta_oxidation_multienzyme_complex
GO:0030256	0.0000	type_I_protein_secretion_system_complex
GO:0043684	0.0000	type_IV_secretion_system_complex
GO:0030076	0.0000	light_harvesting_complex
GO:0005852	0.0000	eukaryotic_translation_initiation_factor_3_complex
GO:0140534	0.0000	endoplasmic_reticulum_protein_containing_complex
GO:0043235	0.0000	receptor_complex
GO:0042555	0.0000	MCM_complex
GO:0000133	0.0000	polarisome
GO:0000408	0.0000	EKC_KEOPS_complex
GO:0000417	0.0000	HIR_complex
GO:0000444	0.0000	MIS12_MIND_type_complex
GO:0000808	0.0000	origin_recognition_complex
GO:0000930	0.0000	gamma_tubulin_complex
GO:0000939	0.0000	inner_kinetochore
GO:0000940	0.0000	outer_kinetochore
GO:0000974	0.0000	Prp19_complex
GO:0001534	0.0000	radial_spoke
