sample_id	total	GO:0044423	GO:0019013	GO:0019028	GO:0019033	GO:0036338	GO:0046727	GO:0046729	GO:0055036	GO:0098015	GO:0098021	GO:0098024	GO:0098025	GO:0098026	GO:0098027	Remaining
0159_AA34_42003_20180313_ST	3383889	93	0	125	0	0	0	0	0	0	0	38	0	0	31	3383602
0159_AA34_42005_20180409_ST	262705	4	0	0	0	0	0	0	0	1	0	0	0	0	0	262700
0159_AA34_42007_20180420_ST	100520	7	0	0	0	0	0	0	0	0	0	1	1	0	1	100510
0159_AA34_42009_20180313_ST	3578	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3577
0159_AA34_42011_20180315_ST	56233	1	0	1	0	0	0	0	0	0	0	0	0	0	0	56231
0159_AA34_42013_20180321_ST	92462.9999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92462.9999999999
0159_AA34_42014_20180323_ST	63657	5	0	0	0	0	0	0	0	0	0	0	0	0	0	63652
0159_AA34_42015_20180329_ST	6754.99999999999	0	0	0.5	0	0	0	0	0	0	0	1	0	0	0	6753.49999999999
0159_AA34_42018_20180409_ST	4673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4673
0159_AA34_42019_20180402_ST	6217	0	0	0	0	0	0	0	0	1	0	1	0	0	1	6214
0159_AA34_42020_20180607_ST	6349	0	0	0	0	0	0	0	0	2	0	1	0	0	0	6346
0159_AA34_42021_20181004_ST	20436	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20435
0159_AA34_42025_20180402_ST	61913.9999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61913.9999999999
0159_AA34_42027_20180402_ST	4008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4008
0159_AA34_42028_20180918_ST	26136	1	0	0	0	0	0	0	0	3	0	2	0	0	0	26130
0159_AA34_42029_20180719_ST	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116
0159_AA34_42031_20180409_ST	130864	8	0	1	0	0	0	0	0	0	0	0	0	0	0	130855
0159_AA34_42033_20180613_ST	40365	1	0	0	0	0	0	0	0	0	0	0	0	0	0	40364
0159_AA34_42037_20180418_ST	5443	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5439
0159_AA34_42038_20180920_ST	99019.9999999999	3	0	0	0	0	0	0	0	0	0	0	0	0	0	99016.9999999999
0159_AA34_42039_20180413_ST	4582.99999999999	0	0	0	0	0	0	0	0	4	0	1	0	0	0	4577.99999999999
0159_AA34_42040_20180410_ST	7469	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7466
0159_AA34_42043_20180410_ST	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
0159_AA34_42044_20180410_ST	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443
0159_AA34_42045_20180907_ST	1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076
0159_AA34_42046_20180413_ST	5650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5650
0159_AA34_42047_20180417_ST	14153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14153
0159_AA34_42049_20180413_ST	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
0159_AA34_42050_20180419_ST	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568
0159_AA34_42051_20180417_ST	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
0159_AA34_42052_20180419_ST	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423
0159_AA34_42053_20180420_ST	6680.99999999999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6679.99999999999
0159_AA34_42056_20180419_ST	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895
0159_AA34_42057_20180419_ST	72874	4	0	0	0	0	0	0	0	0	0	0	0	0	0	72870
0159_AA34_42059_20180426_ST	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63
0159_AA34_42060_20180425_ST	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
