Category	Med_Abund	Description
GO:0031224	0.5386	intrinsic_component_of_membrane
GO:0005737	0.1907	cytoplasm
GO:0016020	0.1776	membrane
Remaining	0.0546	Remaining
GO:0043226	0.0164	organelle
GO:0005576	0.0058	extracellular_region
GO:0042597	0.0052	periplasmic_space
GO:0110165	0.0052	cellular_anatomical_entity
GO:0042995	0.0017	cell_projection
GO:0005829	0.0016	cytosol
GO:0005615	0.0008	extracellular_space
GO:0032153	0.0006	cell_division_site
GO:0009986	0.0004	cell_surface
GO:0009425	0.0004	bacterial_type_flagellum_basal_body
GO:0009295	0.0003	nucleoid
GO:0018995	0.0003	host_cellular_component
GO:0030312	0.0002	external_encapsulating_structure
GO:0098552	0.0002	side_of_membrane
GO:0009424	0.0002	bacterial_type_flagellum_hook
GO:0009421	0.0001	bacterial_type_flagellum_filament_cap
GO:0030694	0.0001	bacterial_type_flagellum_basal_body__rod
GO:0005815	0.0000	microtubule_organizing_center
GO:0005622	0.0000	intracellular_anatomical_structure
GO:0019898	0.0000	extrinsic_component_of_membrane
GO:0099080	0.0000	supramolecular_complex
GO:0009431	0.0000	bacterial_type_flagellum_basal_body__MS_ring
GO:0031974	0.0000	membrane_enclosed_lumen
GO:0031975	0.0000	envelope
GO:0005657	0.0000	replication_fork
GO:0009426	0.0000	bacterial_type_flagellum_basal_body__distal_rod
GO:0070469	0.0000	respirasome
GO:0009532	0.0000	plastid_stroma
GO:0009428	0.0000	bacterial_type_flagellum_basal_body__distal_rod__P_ring
GO:0097268	0.0000	cytoophidium
GO:0012505	0.0000	endomembrane_system
GO:0005654	0.0000	nucleoplasm
GO:0009427	0.0000	bacterial_type_flagellum_basal_body__distal_rod__L_ring
GO:0030054	0.0000	cell_junction
GO:0030428	0.0000	cell_septum
GO:0031984	0.0000	organelle_subcompartment
GO:0098687	0.0000	chromosomal_region
GO:0000242	0.0000	pericentriolar_material
GO:0000399	0.0000	cellular_bud_neck_septin_structure
GO:0000407	0.0000	phagophore_assembly_site
GO:0000785	0.0000	chromatin
GO:0000800	0.0000	lateral_element
GO:0000802	0.0000	transverse_filament
GO:0000922	0.0000	spindle_pole
GO:0001400	0.0000	mating_projection_base
GO:0001650	0.0000	fibrillar_center
GO:0001750	0.0000	photoreceptor_outer_segment
GO:0001772	0.0000	immunological_synapse
GO:0001891	0.0000	phagocytic_cup
GO:0001917	0.0000	photoreceptor_inner_segment
GO:0005621	0.0000	cellular_bud_scar
GO:0005652	0.0000	nuclear_lamina
GO:0005821	0.0000	intermediate_layer_of_spindle_pole_body
GO:0005822	0.0000	inner_plaque_of_spindle_pole_body
GO:0005823	0.0000	central_plaque_of_spindle_pole_body
GO:0005824	0.0000	outer_plaque_of_spindle_pole_body
GO:0005825	0.0000	half_bridge_of_spindle_pole_body
GO:0005930	0.0000	axoneme
GO:0005933	0.0000	cellular_bud
GO:0009504	0.0000	cell_plate
GO:0009524	0.0000	phragmoplast
GO:0009574	0.0000	preprophase_band
GO:0010287	0.0000	plastoglobule
GO:0010319	0.0000	stromule
GO:0016328	0.0000	lateral_plasma_membrane
GO:0016363	0.0000	nuclear_matrix
GO:0016604	0.0000	nuclear_body
GO:0020023	0.0000	kinetoplast
GO:0030017	0.0000	sarcomere
GO:0030018	0.0000	Z_disc
GO:0030061	0.0000	mitochondrial_crista
GO:0030427	0.0000	site_of_polarized_growth
GO:0030478	0.0000	actin_cap
GO:0030486	0.0000	smooth_muscle_dense_body
GO:0030496	0.0000	midbody
GO:0030874	0.0000	nucleolar_chromatin
GO:0030875	0.0000	rDNA_protrusion
GO:0031252	0.0000	cell_leading_edge
GO:0031254	0.0000	cell_trailing_edge
GO:0031256	0.0000	leading_edge_membrane
GO:0031257	0.0000	cell_trailing_edge_membrane
GO:0031430	0.0000	M_band
GO:0031672	0.0000	A_band
GO:0031674	0.0000	I_band
GO:0031977	0.0000	thylakoid_lumen
GO:0032126	0.0000	eisosome
GO:0032161	0.0000	cleavage_apparatus_septin_structure
GO:0032178	0.0000	medial_membrane_band
GO:0032432	0.0000	actin_filament_bundle
GO:0032433	0.0000	filopodium_tip
GO:0033101	0.0000	cellular_bud_membrane
GO:0033172	0.0000	gas_vesicle_shell
GO:0034399	0.0000	nuclear_periphery
GO:0034451	0.0000	centriolar_satellite
GO:0034992	0.0000	microtubule_organizing_center_attachment_site
GO:0042587	0.0000	glycogen_granule
GO:0042641	0.0000	actomyosin
GO:0042718	0.0000	yolk_granule
GO:0042763	0.0000	intracellular_immature_spore
GO:0043034	0.0000	costamere
GO:0043036	0.0000	starch_grain
GO:0043159	0.0000	acrosomal_matrix
GO:0043188	0.0000	cell_septum_edging
GO:0043204	0.0000	perikaryon
GO:0043209	0.0000	myelin_sheath
GO:0043220	0.0000	Schmidt_Lanterman_incisure
GO:0043592	0.0000	exosporium
GO:0043680	0.0000	filiform_apparatus
GO:0044217	0.0000	other_organism_part
GO:0044232	0.0000	organelle_membrane_contact_site
GO:0044292	0.0000	dendrite_terminus
GO:0044297	0.0000	cell_body
GO:0044306	0.0000	neuron_projection_terminus
GO:0044322	0.0000	endoplasmic_reticulum_quality_control_compartment
GO:0045169	0.0000	fusome
GO:0045171	0.0000	intercellular_bridge
GO:0045177	0.0000	apical_part_of_cell
GO:0045178	0.0000	basal_part_of_cell
GO:0048471	0.0000	perinuclear_region_of_cytoplasm
GO:0048786	0.0000	presynaptic_active_zone
GO:0051233	0.0000	spindle_midzone
GO:0055120	0.0000	striated_muscle_dense_body
GO:0060187	0.0000	cell_pole
GO:0061645	0.0000	endocytic_patch
GO:0061908	0.0000	phagophore
GO:0062160	0.0000	spongiome
GO:0062201	0.0000	actin_wave
GO:0070057	0.0000	prospore_membrane_spindle_pole_body_attachment_site
GO:0070687	0.0000	macropinocytic_cup_cytoskeleton
GO:0070701	0.0000	mucus_layer
GO:0070865	0.0000	investment_cone
GO:0070938	0.0000	contractile_ring
GO:0070971	0.0000	endoplasmic_reticulum_exit_site
GO:0071341	0.0000	medial_cortical_node
GO:0071597	0.0000	cellular_birth_scar
GO:0071944	0.0000	cell_periphery
GO:0072324	0.0000	ascus_epiplasm
GO:0090689	0.0000	cleavage_furrow_leading_edge
GO:0090726	0.0000	cortical_dynamic_polarity_patch
GO:0090734	0.0000	site_of_DNA_damage
GO:0097002	0.0000	mitochondrial_inner_boundary_membrane
GO:0097038	0.0000	perinuclear_endoplasmic_reticulum
GO:0097047	0.0000	DNA_replication_termination_region
GO:0097203	0.0000	phagocytic_cup_lip
GO:0097204	0.0000	phagocytic_cup_base
GO:0097225	0.0000	sperm_midpiece
GO:0097226	0.0000	sperm_mitochondrial_sheath
GO:0097228	0.0000	sperm_principal_piece
GO:0097422	0.0000	tubular_endosome
GO:0097433	0.0000	dense_body
GO:0097546	0.0000	ciliary_base
GO:0097574	0.0000	lateral_part_of_cell
GO:0098793	0.0000	presynapse
GO:0098794	0.0000	postsynapse
GO:0098862	0.0000	cluster_of_actin_based_cell_projections
GO:0099079	0.0000	actin_body
GO:0099086	0.0000	synaptonemal_structure
GO:0120104	0.0000	mitotic_actomyosin_contractile_ring__proximal_layer
GO:0120105	0.0000	mitotic_actomyosin_contractile_ring__intermediate_layer
GO:0120106	0.0000	mitotic_actomyosin_contractile_ring__distal_actin_filament_layer
GO:1990752	0.0000	microtubule_end
GO:1990819	0.0000	actin_fusion_focus
