mouse_id	liver.ENSMUSG00000021492	liver.ENSMUSG00000026621	liver.ENSMUSG00000031010	liver.ENSMUSG00000039197	liver.ENSMUSG00000069805	liver.ENSMUSG00000024892	liver.ENSMUSG00000025347	liver.ENSMUSG00000023224	liver.ENSMUSG00000037942	liver.ENSMUSG00000028179	liver.ENSMUSG00000073988	liver.ENSMUSG00000063856	liver.ENSMUSG00000026664	liver.ENSMUSG00000030382	liver.ENSMUSG00000092746	liver.ENSMUSG00000026874	liver.ENSMUSG00000092702	liver.ENSMUSG00000017344	liver.ENSMUSG00000028307	liver.ENSMUSG00000056035	liver.ENSMUSG00000099021	liver.ENSMUSG00000099250
m01	-7.1681107532978	-7.54405511915604	-7.14548933444572	-7.0729759470821	-6.82298252295631	-6.82034225739613	-6.90265443942693	-6.93929605063333	-7.02622193542407	-6.82307065197725	-6.87721376835074	-6.44755955338289	-6.41685663592782	-6.31852207102259	-5.41403406858397	-6.16059740097701	-5.07887502253029	-5.53052443388445	-5.26682733627998	-4.53336030180694	-2.90607405030392	-2.55008293003159
m10	-7.25896796693045	-7.36047892261406	-7.20983157845861	-7.1509735832235	-7.27493972601588	-6.88215932670755	-6.85687906501919	-6.64389784666781	-6.83740600113652	-7.2261546057155	-6.82018523659116	-6.66026091842362	-6.69132798934032	-6.2684263891614	-5.55772180590313	-5.8114421078855	-5.24544562736375	-5.47714336601137	-5.45373084365416	-4.92452635085554	-3.0289539960106	-2.63228776594714
m11	-7.28905903683001	-7.11128353553395	-7.07965960355581	-6.99025624387353	-7.10907879428373	-6.68205894746104	-6.83791324167339	-6.8493743395025	-6.67489962258324	-6.62869697056284	-6.52218400289963	-6.43310810059083	-6.29637593824802	-6.0946715296982	-6.0506233919166	-6.11898134811161	-5.63099940566118	-5.49490109019001	-5.1854165061925	-4.59684154700561	-3.54668402326938	-3.15414715946927
m12	-7.27250771136331	-7.18350926037975	-6.90996099906809	-6.74129084471299	-6.97514131237021	-6.5636155156579	-6.63761660643204	-6.5216438180737	-6.33708388326937	-6.57923221326004	-6.40615589116235	-6.57113879712714	-6.35094381665545	-6.19708988525236	-6.2184773523688	-5.60381186725243	-5.85709016144912	-5.20003067275786	-5.16174765574479	-4.58709270361896	-3.55400023623714	-3.28716354507561
m13	-7.14189886627315	-7.22125452995587	-7.08445701671165	-6.87782297744755	-6.74855386569953	-6.54786426155215	-6.72349478807869	-6.5054659733415	-6.69411177183366	-6.80569086826093	-6.5133261685567	-6.40013400272265	-6.14247006285724	-6.11152570687272	-5.56325543391131	-5.83318919297825	-5.14121178847082	-5.33071758122298	-5.10875627753952	-4.3904415043247	-2.96228178677297	-2.58332230592699
m14	-7.0376368589669	-7.20241687332235	-6.9888961104573	-6.87188207744244	-6.74098441791246	-6.34694859668342	-6.56052434818599	-6.40682148129083	-6.55453194913894	-6.83110931923186	-6.52983205062336	-6.24867649629708	-6.30272451068919	-6.04683501438968	-5.42464652294777	-5.71649464201033	-4.99970414323485	-5.19743318647928	-5.12787148539301	-4.50131036393841	-2.65616544758116	-2.38146304163951
m15	-7.15368860124621	-7.01378565174996	-7.09538453854299	-6.86705946026992	-6.99688942118651	-6.61778500226979	-6.57595080064014	-6.92617946359533	-6.85112573501129	-6.48552132179695	-6.49704964730322	-6.2652332248846	-6.11757891008435	-5.91833834315192	-5.98393016715681	-6.34459268273902	-5.7146393651377	-5.561821869332	-5.10651456810268	-4.48405804450242	-3.28309901868275	-2.94244522654378
m16	-7.21902379297407	-7.13800784921398	-7.30348835830607	-6.99781302439404	-6.76142424632981	-6.70605500507871	-6.51587884176965	-6.54119029557087	-6.88865919654354	-6.91923974688582	-6.77831037227967	-6.44206164819873	-6.17121685643913	-6.13370599844201	-5.33971388375256	-6.02001928533255	-5.1089713028376	-5.30489628791267	-5.29484352638793	-4.46010897310904	-2.7704062132076	-2.40073243300207
m17	-7.13053847465109	-7.27599216879483	-7.31144912749991	-6.90215926521228	-6.81622856462899	-6.6987812675313	-6.59942878980034	-6.79863412212155	-6.95752956420753	-7.06141620539804	-6.74982353557626	-6.40873166504225	-6.17894283834272	-6.09755493840071	-5.24116648873433	-6.46689137833344	-4.97660464720456	-5.61611540206179	-5.34616265524602	-4.7011812762726	-2.46524591683536	-2.36340188480667
m18	-7.14621380214126	-7.27408608222509	-7.05702752754206	-6.92902355697213	-6.46386568318338	-6.49294853549923	-6.46996448903186	-6.30653675948228	-6.45125057049693	-6.51422230596097	-6.60200357171441	-6.30910901417104	-6.22101318221649	-6.22964549626211	-5.70841280763663	-5.54123127579261	-5.45269265479914	-5.11031521001794	-5.21587231697507	-4.5594404485999	-2.93076225075347	-2.56710645976436
