mouse_id	liver.ENSMUSG00000021492	liver.ENSMUSG00000026621	liver.ENSMUSG00000018677	liver.ENSMUSG00000076435	liver.ENSMUSG00000030313	liver.ENSMUSG00000033306	liver.ENSMUSG00000021676	liver.ENSMUSG00000078578	liver.ENSMUSG00000083563	liver.ENSMUSG00000031482	liver.ENSMUSG00000003746	liver.ENSMUSG00000044749	liver.ENSMUSG00000031010	liver.ENSMUSG00000070704	liver.ENSMUSG00000033684	liver.ENSMUSG00000037095	liver.ENSMUSG00000034158	liver.ENSMUSG00000039196	liver.ENSMUSG00000033898	liver.ENSMUSG00000044533	liver.ENSMUSG00000039197	liver.ENSMUSG00000000326	liver.ENSMUSG00000069805	liver.ENSMUSG00000090150	liver.ENSMUSG00000004207	liver.ENSMUSG00000022766	liver.ENSMUSG00000024085	liver.ENSMUSG00000029695	liver.ENSMUSG00000029716	liver.ENSMUSG00000024892	liver.ENSMUSG00000025347	liver.ENSMUSG00000023224	liver.ENSMUSG00000028980	liver.ENSMUSG00000022821	liver.ENSMUSG00000005373	liver.ENSMUSG00000037942	liver.ENSMUSG00000025261	liver.ENSMUSG00000028179	liver.ENSMUSG00000021091	liver.ENSMUSG00000073988	liver.ENSMUSG00000025393	liver.ENSMUSG00000030122	liver.ENSMUSG00000063856	liver.ENSMUSG00000006373	liver.ENSMUSG00000033308	liver.ENSMUSG00000031980	liver.ENSMUSG00000026664	liver.ENSMUSG00000030382	liver.ENSMUSG00000022877	liver.ENSMUSG00000064345	liver.ENSMUSG00000052974	liver.ENSMUSG00000025130	liver.ENSMUSG00000021876	liver.ENSMUSG00000092746	liver.ENSMUSG00000006522	liver.ENSMUSG00000026365	liver.ENSMUSG00000026874	liver.ENSMUSG00000027249	liver.ENSMUSG00000092702	liver.ENSMUSG00000064367	liver.ENSMUSG00000064341	liver.ENSMUSG00000003053	liver.ENSMUSG00000022875	liver.ENSMUSG00000027597	liver.ENSMUSG00000059481	liver.ENSMUSG00000017344	liver.ENSMUSG00000073418	liver.ENSMUSG00000028307	liver.ENSMUSG00000027513	liver.ENSMUSG00000058207	liver.ENSMUSG00000021922	liver.ENSMUSG00000037798	liver.ENSMUSG00000035540	liver.ENSMUSG00000064373	liver.ENSMUSG00000025991	liver.ENSMUSG00000056035	liver.ENSMUSG00000032554	liver.ENSMUSG00000024164	liver.ENSMUSG00000099021	liver.ENSMUSG00000020609	liver.ENSMUSG00000099250
m01	-7.1681107532978	-7.54405511915604	-7.17047793591532	-7.28038050100167	-7.46926276735263	-7.26116475329162	-7.12822255285044	-7.19109364976578	-6.3910391480487	-7.13013768899148	-7.2203510849687	-7.28661740332266	-7.14548933444572	-7.08618873682874	-7.30499897424798	-8.09337071573039	-7.14634061596543	-7.58274206631469	-6.98733104785254	-7.02815912723666	-7.0729759470821	-7.14231371538	-6.82298252295631	-7.04601966882801	-6.95919272779086	-6.86152138006051	-7.1119726400681	-6.93475260857387	-7.00242653186255	-6.82034225739613	-6.90265443942693	-6.93929605063333	-7.03642444428385	-6.82439352014794	-6.65571839036306	-7.02622193542407	-6.7408777808587	-6.82307065197725	-7.57199357831541	-6.87721376835074	-6.33483100704128	-6.31289742446813	-6.44755955338289	-6.38507588910475	-6.51809960050156	-6.47518138004149	-6.41685663592782	-6.31852207102259	-6.40995265059888	-5.93719520747396	-6.25635116010212	-6.19889903123359	-6.59282573696817	-5.41403406858397	-6.48036053816717	-6.23541942714318	-6.16059740097701	-5.78641596527726	-5.07887502253029	-5.46494550840875	-5.36659873382308	-5.45110086897465	-5.5820970459774	-5.58501111768748	-5.43945691750047	-5.53052443388445	-5.63308636171974	-5.26682733627998	-6.27382625613839	-5.5654049774047	-5.28980583049644	-4.8951621831935	-4.6815202917921	-4.50481989020978	-4.29797500222152	-4.53336030180694	-3.69862564959933	-3.45575050976096	-2.90607405030392	-3.29078006998237	-2.55008293003159
m10	-7.25896796693045	-7.36047892261406	-7.27366969289609	-7.2759636585932	-7.18589267923176	-7.19869155174424	-7.28195506090979	-7.07282333026365	-7.20090638554531	-7.31051915803454	-7.13335098078034	-7.18407848016171	-7.20983157845861	-7.22776974977029	-7.11675705667304	-6.81268503401781	-7.29368783483787	-7.28355356450284	-7.28046624973935	-6.98252435472907	-7.1509735832235	-7.1191108509881	-7.27493972601588	-7.14778115474131	-7.00658851418066	-7.01032107287962	-6.59624882900444	-7.07305648926538	-6.69097350511115	-6.88215932670755	-6.85687906501919	-6.64389784666781	-6.70154367478472	-6.94092181296101	-6.09648844462069	-6.83740600113652	-6.6953541654211	-7.2261546057155	-6.90209629471552	-6.82018523659116	-6.7210753102072	-6.31981945034532	-6.66026091842362	-6.56337407909303	-6.41080675430147	-6.32742871631912	-6.69132798934032	-6.2684263891614	-6.2456154179705	-6.14603260096049	-6.32841487034892	-6.08798410876422	-5.8194088977587	-5.55772180590313	-5.96995330437175	-6.11533348120031	-5.8114421078855	-5.90560329733964	-5.24544562736375	-5.65243467537268	-5.8875073621002	-5.65136641068111	-5.58924661215831	-5.54710101164498	-5.44924987148248	-5.47714336601137	-4.97865572704649	-5.45373084365416	-4.99531508498062	-5.55120536543743	-4.91198548038509	-4.82899325770444	-4.82277199942948	-4.73801669128729	-4.64859009256124	-4.92452635085554	-3.98037377756075	-3.52563380426133	-3.0289539960106	-3.4720551505785	-2.63228776594714
m11	-7.28905903683001	-7.11128353553395	-7.16688073995004	-7.11384700721788	-7.04819971777389	-6.99600016552172	-7.12926063293499	-7.00858438984766	-6.93302292577433	-7.18844656786877	-7.03789110723088	-6.77548739869929	-7.07965960355581	-6.92013249010816	-7.21362682382051	-7.74498016522314	-7.11740423816228	-7.4957046254999	-7.07502892774658	-6.86425401494949	-6.99025624387353	-6.93614858566373	-7.10907879428373	-6.89657927776358	-6.87518552018584	-6.82421276528368	-6.81198235470188	-6.81174861426957	-6.85900621108922	-6.68205894746104	-6.83791324167339	-6.8493743395025	-6.73496060072885	-6.64874776760841	-6.78967456289455	-6.67489962258324	-6.66053199545406	-6.62869697056284	-6.88393928137743	-6.52218400289963	-6.48627094870191	-6.51390788667766	-6.43310810059083	-6.25300963480768	-6.3228263328362	-6.21420671986394	-6.29637593824802	-6.0946715296982	-5.98904007895619	-6.21223701293481	-5.98770643766186	-6.07060453931437	-5.93149167031279	-6.0506233919166	-6.49969462364046	-6.27836401351829	-6.11898134811161	-5.85484484923279	-5.63099940566118	-5.85278306378417	-5.79390478103402	-5.39502791211216	-5.41997989875507	-5.20655532708967	-5.39349879487925	-5.49490109019001	-5.48195606968761	-5.1854165061925	-5.43486149457594	-5.20224402570605	-5.32224767693955	-4.5846315495523	-4.66802192491573	-4.33380450497596	-4.34857312270815	-4.59684154700561	-3.80378178412208	-3.5145190914725	-3.54668402326938	-3.13584962203687	-3.15414715946927
m12	-7.27250771136331	-7.18350926037975	-7.18900275987299	-7.01553129753202	-7.00716664386025	-7.02117427203698	-7.09962687679447	-7.09790127043217	-7.2232112163369	-6.83154917853233	-7.04256042672086	-6.99257653385191	-6.90996099906809	-7.09689581285748	-6.57156322217062	-5.79813494356519	-7.08452507640605	-6.32349310449125	-7.0733904192894	-6.94015219488774	-6.74129084471299	-7.0161301251503	-6.97514131237021	-6.98806039714393	-6.94645326387075	-7.00992630377461	-6.45699679149751	-6.72206331473311	-6.58326058915302	-6.5636155156579	-6.63761660643204	-6.5216438180737	-6.58644347342363	-6.59674935879833	-7.02490749440713	-6.33708388326937	-6.5535606314127	-6.57923221326004	-5.74463800585584	-6.40615589116235	-6.65260021323583	-6.6591573109815	-6.57113879712714	-6.35060354030407	-6.16532026626528	-6.291026348325	-6.35094381665545	-6.19708988525236	-5.96445932982836	-6.1598600101851	-6.12786160772295	-5.61646968010892	-5.52154047264755	-6.2184773523688	-5.50462878185978	-5.47072924734949	-5.60381186725243	-5.86994213561412	-5.85709016144912	-5.80604014048067	-5.73635550810322	-5.68144273676717	-5.28494059535428	-5.42091686401928	-5.32808969829581	-5.20003067275786	-4.98190438856216	-5.16174765574479	-4.51674748442272	-4.84556288593352	-4.45614302497282	-4.32568516597455	-4.65238236168366	-4.47827012357412	-4.23971308981447	-4.58709270361896	-3.71686656253474	-3.12278965955554	-3.55400023623714	-3.04692303406491	-3.28716354507561
m13	-7.14189886627315	-7.22125452995587	-7.13315245483028	-7.03423520232491	-7.04699830610356	-7.14467670564116	-6.93743843351437	-7.18554634701461	-6.52722661628758	-7.2165938477499	-7.03889142902473	-6.83734899305862	-7.08445701671165	-6.95071632206278	-7.0239872695319	-6.65074611017131	-7.18137868057134	-6.36510984093049	-6.94567767212101	-6.96169882057784	-6.87782297744755	-6.78660920751445	-6.74855386569953	-6.88356342969916	-6.99270312068794	-6.79484857608819	-6.64510355041278	-6.80503040260866	-6.68841561136442	-6.54786426155215	-6.72349478807869	-6.5054659733415	-6.73728177116727	-6.7415067360142	-6.88363889854045	-6.69411177183366	-6.6846037605858	-6.80569086826093	-6.19075971409682	-6.5133261685567	-6.39771464670384	-6.28260790909055	-6.40013400272265	-6.27338317092408	-6.33114840301071	-6.26456318198913	-6.14247006285724	-6.11152570687272	-5.79583829197671	-5.74255855007045	-6.07860080193123	-5.81176844064422	-5.65146819541507	-5.56325543391131	-5.91416047136055	-5.72690827987564	-5.83318919297825	-5.75204684330139	-5.14121178847082	-5.24914020832345	-5.4445265743172	-5.37918470370464	-5.22882797524299	-5.24573733547175	-5.28206481028063	-5.33071758122298	-5.16038591750698	-5.10875627753952	-4.9777161386413	-5.26140974509584	-4.46389670885112	-4.60483911614124	-4.60753687168365	-4.2688302204689	-4.38108743944915	-4.3904415043247	-3.73389272186572	-3.0628840184138	-2.96228178677297	-3.08386486614083	-2.58332230592699
m14	-7.0376368589669	-7.20241687332235	-7.00136050225558	-7.01822388713719	-7.03501159819249	-7.16479437954691	-7.04374332440663	-7.36600622576048	-7.05099107539873	-6.98731601927333	-7.18703693603556	-6.97775721924225	-6.9888961104573	-7.20355954403108	-6.38389311596692	-5.48771470567537	-7.24056719454423	-6.33403055721407	-7.26100111951973	-6.73268706000926	-6.87188207744244	-6.66448818561302	-6.74098441791246	-6.89837133262865	-6.90525624930454	-7.16432312600379	-6.5819605590858	-6.81880560158073	-6.46839223032951	-6.34694859668342	-6.56052434818599	-6.40682148129083	-6.52808496199262	-6.73524169587983	-7.10502534539055	-6.55453194913894	-6.62406431539637	-6.83110931923186	-5.48396278438243	-6.52983205062336	-6.41413735730559	-6.53208280182361	-6.24867649629708	-6.34819768605161	-6.36669921243303	-6.25371794126295	-6.30272451068919	-6.04683501438968	-5.72156530956806	-6.09434892758566	-6.19722135185304	-5.49183484275943	-5.54467844613599	-5.42464652294777	-5.39021626094731	-5.62249791728037	-5.71649464201033	-5.7163469778667	-4.99970414323485	-5.74131492875139	-5.67148520371742	-5.5384679725805	-5.28351426938349	-5.25747088906324	-5.25513258579853	-5.19743318647928	-4.93353905027961	-5.12787148539301	-4.58440972967186	-5.18920381355409	-4.30909020838289	-4.36026103658671	-4.69352548821422	-4.41673513679662	-4.37045189095376	-4.50131036393841	-3.62802338831581	-3.01950467319855	-2.65616544758116	-3.10506544327152	-2.38146304163951
m15	-7.15368860124621	-7.01378565174996	-7.01883841468348	-7.04427207555555	-7.03146070892609	-7.08167772279679	-7.06878995988272	-7.20247574975529	-7.38514711064788	-7.11949955610902	-7.07171022605149	-6.79211916123375	-7.09538453854299	-6.92508074349359	-7.27177359401835	-8.04769818550429	-7.23735273427202	-7.65711590170574	-7.07465128778828	-6.80768827440752	-6.86705946026992	-6.98726109632785	-6.99688942118651	-6.72563869667266	-6.87611552346583	-6.83715011638263	-6.69063578616862	-6.67546373529809	-6.87079670813198	-6.61778500226979	-6.57595080064014	-6.92617946359533	-6.81940731353055	-6.45424693952905	-6.89682304281642	-6.85112573501129	-6.63587627586978	-6.48552132179695	-7.25973176576141	-6.49704964730322	-6.3418923219984	-6.59463489638568	-6.2652332248846	-6.20771378797388	-6.18587411365372	-6.24422534695538	-6.11757891008435	-5.91833834315192	-6.01155009012596	-6.33896063853915	-5.89981226084355	-6.06232539778996	-5.94554688522978	-5.98393016715681	-6.67803366004314	-6.30315047434624	-6.34459268273902	-5.86227838413547	-5.7146393651377	-5.85626455932922	-5.76665267539081	-5.44096118655615	-5.49313823335446	-4.89574576079397	-5.54050366344747	-5.561821869332	-5.66440544651735	-5.10651456810268	-4.91010817797674	-4.90910711998522	-5.51259901145537	-4.42184442184162	-4.75714932044433	-4.38700453483448	-4.02414074731125	-4.48405804450242	-3.78173197947518	-3.57539534021426	-3.28309901868275	-3.24957895499503	-2.94244522654378
m16	-7.21902379297407	-7.13800784921398	-7.07241056672816	-6.96428644699638	-7.15507169133316	-7.23575455029197	-7.02512442558802	-7.19145955066309	-6.49400740895265	-7.32913945206185	-7.16244150634986	-7.09641321913752	-7.30348835830607	-7.05988968873617	-7.22850866683982	-7.1832003247924	-7.23304714307057	-6.66784562277165	-7.04546155328878	-7.115141692096	-6.99781302439404	-6.94120580858085	-6.76142424632981	-6.9338062439176	-6.77573624996656	-6.90513796097684	-6.81296290061749	-6.7715216667891	-6.73085154300062	-6.70605500507871	-6.51587884176965	-6.54119029557087	-6.98460173947903	-6.67353463658416	-6.52959035816716	-6.88865919654354	-6.63787036135441	-6.91923974688582	-6.77582981354103	-6.77831037227967	-6.53568642535665	-6.2151044582468	-6.44206164819873	-6.35537099605526	-6.30871530441446	-6.31379306841898	-6.17121685643913	-6.13370599844201	-5.93356690941032	-5.47487468997931	-6.07644040348785	-6.17730492555784	-6.04303580391106	-5.33971388375256	-5.90629568399239	-6.05192994296382	-6.02001928533255	-5.78087221868994	-5.1089713028376	-4.98801778899191	-5.14867914181133	-5.58704281109693	-5.40460600272223	-4.99376826041632	-5.34980500615501	-5.30489628791267	-5.31611998739821	-5.29484352638793	-5.07334054452061	-4.71993385792251	-4.87735691516381	-4.58343073800882	-4.71167077487427	-4.48244453981992	-4.39441236175056	-4.46010897310904	-3.85052860457837	-3.39216097973612	-2.7704062132076	-3.41158287970504	-2.40073243300207
m17	-7.13053847465109	-7.27599216879483	-7.08291058660174	-7.10598938555112	-7.13677222826373	-7.28363476919267	-7.01119066207774	-7.2370248946697	-6.23599721660383	-7.41841748887908	-7.14773314264716	-7.05216559066966	-7.31144912749991	-7.05827064985524	-7.45884071654712	-8.15562770110904	-7.30696088201465	-7.54719953759038	-7.12156426322751	-7.06177966436872	-6.90215926521228	-6.84456691146351	-6.81622856462899	-6.84480940097975	-6.88102610232738	-7.0385251404721	-6.77576423031944	-6.8780057454679	-6.88974420787245	-6.6987812675313	-6.59942878980034	-6.79863412212155	-6.88445143997593	-6.77257299744872	-6.39318907921641	-6.95752956420753	-6.71146608284587	-7.06141620539804	-7.44179705842925	-6.74982353557626	-6.40105228445247	-6.22338719478439	-6.40873166504225	-6.33606879620334	-6.35120655202813	-6.27627219612434	-6.17894283834272	-6.09755493840071	-5.94753684237075	-5.29754216911952	-6.17860490216252	-6.24466605852599	-6.01677067603639	-5.24116648873433	-6.86033045149064	-6.31054711958318	-6.46689137833344	-5.80099796350469	-4.97660464720456	-4.89015489173263	-5.0996555643212	-5.56477852440126	-5.58672608234099	-5.24814845529473	-5.44073201190958	-5.61611540206179	-5.80902779370196	-5.34616265524602	-4.90772535770308	-5.17332319241007	-5.61170749775105	-4.72235405579608	-4.80928328544025	-4.49338184464292	-4.46519100329503	-4.7011812762726	-3.92648529378842	-3.56402121177261	-2.46524591683536	-3.40562728495888	-2.36340188480667
m18	-7.14621380214126	-7.27408608222509	-7.04043707329063	-6.9590340586399	-7.16481201523776	-7.15404396822592	-7.0365200354089	-7.21740037573111	-6.82475517425831	-6.86844587242092	-7.10174179647638	-7.21360743186559	-7.05702752754206	-7.19984413617105	-6.51246711027886	-5.83094335302446	-6.96009726534727	-5.98415801296195	-7.04512904151735	-6.9908380720258	-6.92902355697213	-6.90267084397189	-6.46386568318338	-6.99258233586167	-6.93425034248353	-6.89400377690718	-6.56251889835522	-6.84176840240396	-6.61692006998472	-6.49294853549923	-6.46996448903186	-6.30653675948228	-6.69908355713938	-6.60369277317219	-6.95948451932251	-6.45125057049693	-6.63008787347803	-6.51422230596097	-5.59127153978213	-6.60200357171441	-6.40831027881158	-6.32352145012417	-6.30910901417104	-6.38587323984255	-6.26685839585155	-6.1445103441364	-6.22101318221649	-6.22964549626211	-5.81993387327293	-5.92653492498029	-6.41020829608014	-5.65749302932801	-5.54575403309869	-5.70841280763663	-5.29356405745442	-5.34047481584314	-5.54123127579261	-5.75624123803729	-5.45269265479914	-5.28658874223069	-5.403781689398	-5.57002812096454	-5.13111707088011	-5.36267857659183	-5.25090986145862	-5.11031521001794	-4.98038423936091	-5.21587231697507	-4.89740550763	-5.02251207463515	-4.19877360841361	-4.43649051314189	-4.67302535470705	-4.24986336727987	-4.23049421710224	-4.5594404485999	-3.5319405589567	-2.85812039564537	-2.93076225075347	-3.0778555977996	-2.56710645976436
