sample_id	total	septum_digestion_after_cytokinesis	cell_activation	cell_killing	plasmid_maintenance	protein_folding	vesicle_targeting	movement_of_cell_or_subcellular_component	syncytium_formation	microtubule_based_process	cell_cycle	chromosome_segregation	cell_communication	cell_adhesion	establishment_or_maintenance_of_cell_polarity	signal_transduction	ensheathment_of_neurons	cell_recognition	cell_death	cell_population_proliferation	horizontal_gene_transfer	stomatal_movement	intercellular_transport	light_absorption	cell_growth	cellular_homeostasis	cytolysis	cell_cycle_process	membrane_docking	cellular_process_involved_in_reproduction_in_multicellular_organism	actin_filament_based_process	transposition	RNA_folding	phenotypic_switching	protein_unfolding	cellular_metabolic_process	intermediate_filament_based_process	cellular_developmental_process	cell_division	cellular_localization	maintenance_of_location_in_cell	cellular_response_to_stimulus	transmembrane_transport	microtubule_organizing_center_localization	process_utilizing_autophagic_mechanism	cell_wall_organization_or_biogenesis	cellular_component_organization_or_biogenesis	DNA_clamp_unloading	cell_aggregation	exocytic_process	cell_cell_fusion	export_from_cell	cellular_detoxification	Remaining
0159_AS41_40055_20180716_ST	174241359	2.26666666666667	0.16	13	162311.75	839234.935714286	0.25	39723.0230729167	0	674.746286525974	351919.503571429	141521.635119047	136476.214752122	630643.994047619	6.69523809523809	1368637.31345238	0.2	18.5	35.5366666666667	7.015	132334.40952381	0	0	6	1.57247023809524	72538.2205732704	102112.288888889	240707.504396019	1.93571428571429	0.361111111111111	2.9328373015873	1102280.60952381	0.5	0	13207.9361111111	15316862.3369801	219	85857.5847768519	1793101.9	60030.7062995941	3.4593253968254	752584.551673825	3616276.19021777	0.0416666666666666	140.368645266024	485672.947498855	5152229.56697463	0.7	2525.33333333333	1.44166666666667	0	110401.232281145	27928.9860119047	141503101.64191
0159_AP39_21110_20190111_ST	130999038	1.2	0	898.25	7403.53333333333	651328.091666667	0	61569.6455543155	0	1566.508203125	333891.056944445	86747.2178571429	145742.545584284	386538.892857143	0.285714285714286	1152642.97575188	0	38.0833333333333	53.2	13.0674603174603	128498	0	0	249	0.346825396825396	49148.4544113004	65692.4833333333	163650.902331349	0.5	1.90131578947368	1.72529761904762	1336647.775	0	0	1767.74285714286	11833756.9727139	327.5	91167.1184193122	1563617.02222222	46791.5000755321	1.21369949494949	570541.800557206	1920251.01734225	0	567.492072510824	374054.658085317	3546694.56788456	0	3766	1	0	62523.8620430496	25961.7625	106384921.126752
0159_AA34_42475_20190911_ST	111488220	1	0.0801190476190476	23.1060606060606	140015.5	414771.496825397	0	51406.7966666667	0	1820.01458333333	235425.927380952	33338.6416666667	96148.7295882936	98972.1666666667	0	1194863.87353175	0	42.55	10.0733333333333	1.005	83380.2	0	0	45	0	60343.6264756944	72363.3111111111	106321.896527778	0.2	1.625	0	970918.633333333	0	0	1035.5	9770128.57216438	194	82631.9290512266	1245579.48571429	32041.5701005592	6.625	479977.259642651	1420260.94284328	0	241.371428571429	260011.475	2553922.51306217	0	5146	0.6	0	46259.9636243386	18423.7875	92012142.9509979
0159_AA34_42480_20191103_ST	79089243	1	0	51.9583333333333	27016.5	374189.607936507	0	17564.3125	0	1389.80505952381	237465.28452381	33967.5452380952	80721.6182852966	88148.8815789473	0	828459.252673349	0	42.25	64.5	0.0158730158730159	64131	0	0.5	215	0.535714285714286	45384.9871093751	24805.3666666667	93713.6274801587	0.05	2.89207393483709	1.08333333333333	602195.379761905	0	0	637.485714285714	7112276.27580716	72.5	78619.8462614871	1156206.49285714	25438.0999297288	2.625	380312.904043239	1412884.70138972	0	330.166666666667	196325.051190476	1885376.34196429	0	2580.25	0.2	0	21341.7285836118	13906.25	64283399.1264507
0159_AP39_21298_20181004_ST_E21	57892245	0	0	14.5833333333333	53355.8333333333	231378.970634921	0	20064.3529761905	0	1205.36041666667	134507.522222222	19992.5333333333	53907.9995796783	51940.1929824561	0.25	609604.138338904	0.1	21	11.15	1.51587301587302	42837.5	0	0	75	0.0654761904761905	26081.6202287946	27842.4444444445	61766.3834986773	0.1	1.10103383458647	0.75	476526.183333333	0	0	256.467857142857	5057374.4703352	47.5	48981.9335247841	698662.981746032	17149.0867063492	0.75	270765.750849708	801971.435413771	0	175.642857142857	151548.818253968	1377956.78683862	0	3775.66666666667	0.65	0	16842.541814606	8564.70833333333	47627033.1577633
0159_AP39_21108_20171121_ST	49162387	0.111111111111111	0.28525641025641	698.083333333332	17108	231100.541269841	0	72143.8243551586	0.0576923076923078	262.484375	99472.9261904762	43126.3761904762	34839.7735916589	285526.155555556	0.325	405602.780047703	1.4	29.8611111111111	28.2444444444445	161.299145299145	30279.8	0	0	3	0.0644841269841269	31546.3778155574	44963.25	67220.9668981482	0.15	43.1011904761905	0.125	440597.041666667	0	0	2184.18571428571	4281395.6891833	29	16388.2847356347	508252.767857143	16062.4890142747	5.14583333333333	189729.576574271	912568.954283639	0	63.7708333333333	126399.388095238	1405511.71040274	0	982.258333333335	0.6	0.115384615384616	44987.4504744646	9321.89375	39843747.3138055
0159_AK37_71062_20190607_ST	48167112	0	0	78.7916666666667	32022.3333333333	219410.923160173	0	17021.0053571428	0	352.827083333333	123421.203571429	24452.5333333333	45847.1875992064	70842.4166666667	0	388608.842559524	0	11.5	8	4	43345.1428571429	0	0	71	0.277777777777778	24731.98984375	25428.8388888889	49090.95625	0	0.133928571428572	0.25	297445.351190476	0	0	1354	4269932.96537688	34	31318.2699254449	586574.70952381	16662.2616702742	2.25	205054.305179023	718521.5469122	0	130.196428571429	105920.101190476	1176894.30154822	0.5	1378.70833333334	0	0	21416.7472222222	8851.94583333333	39660869.6857888
0159_AP39_21129_20180205_ST	43094386	1	0	23.75	36352.6666666667	180533.175	0	17685.5607142857	0	1640.42083333333	102804.953174603	16981.6261904762	44233.6138392858	38936.7333333334	0.6	484350.882380953	0.6	67.25	8.64	0.5	31671	0	0	0	0.125	22873.4763107639	25251.4888888889	44476.2114087302	0.2875	2.11904761904762	0.763541666666667	381032.888095238	0	0	735.2	3774088.61733182	161.5	39377.486010101	527345.896031746	14317.7865135169	5.0625	185083.710828373	669176.038938491	0	137.141666666667	101964.332242064	1022007.00454861	0	1686	0.775	0	12832.6458333333	8345.5625	35308190.9081294
0159_AP39_21301_20180706_ST_E21	41557720	0	0	9.75	39236.5	167708.566666666	0	15597.1964285714	0	903.866666666667	97474.3376984127	14146.4	39658.1327380953	37115.75	0	452495.448214285	0	16	9	0.5	29736	0	0	57	0	17255.7391493056	20825.1	44894.5416666666	0	0.666666666666667	0	351954.425	0	0	170	3639367.55664179	31.5	35703.1837301587	508584.591666667	12506.5716815476	0.125	194306.647408234	586399.218926091	0	136.575	109513.548015873	995961.57827381	0	2974.79166666667	0	0	11437.3900462963	6151.29166666667	34125380.5093809
0159_AK37_71054_20190305_ST	31353698	0	0	1.375	31952.1666666667	138643.226190476	0	11748.9464285714	0	443.416666666667	80250.1587301587	25551.1833333333	29269.2361111111	77316.7500000001	0	278116.78452381	0	11.5	75.5	0.5	22662.5	0	0	17	0.583333333333333	26508.4769097222	21779.2111111111	41830.225	0.4	0.625	6.5	324308.941666666	0	0	1502.60952380952	2819686.89263301	292.5	24254.2361111111	367967.892063492	9809.81133658009	0.670454545454546	136356.757328869	505020.92485119	0	39.2954545454545	74707.300793651	741904.899206349	0	692.166666666665	1.1	0	11553.6527777778	5796.35208333333	25543615.7320434
