sample_id	total	membrane	prospore_membrane	plasma_membrane	outer_membrane	organelle_membrane	phagophore_assembly_site_membrane	photosynthetic_membrane	nuclear_outer_membrane_endoplasmic_reticulum_membrane_network	prospore_membrane_leading_edge	plasma_membrane_region	membrane_microdomain	Remaining
0159_AS41_40055_20180716_ST	167641028	3935365.99444444	2.46666666666667	16605105.1444444	9751907.2	45625.4793650793	3.8452380952381	395.291666666667	1.41666666666667	0	531.472222222222	5966.50833333334	137296123.180952
0159_AP39_21110_20190111_ST	125942242	2274169.075	2.43333333333333	10447033.5583333	7958975.74166667	13263.9833333333	4.64285714285714	79	0.75	0	528.944444444444	3875.625	105244308.246032
0159_AA34_42475_20190911_ST	114708520	2340424.01666667	0	8289153.04285714	10612704.9958333	6697.12916666666	2	67.1138888888888	0	0	886.172222222222	8682	93449903.529365
0159_AA34_42480_20191103_ST	76865758	1465401.5	0	6774436.95	3101730.48333333	8788.66666666667	25.25	36	0	0	850.583333333333	3588.83333333333	65510899.7333333
0159_AP39_21298_20181004_ST_E21	58351570	1143508.95	0	4378435.56666667	4707713.75833333	2955.65119047619	2.5	24.1666666666667	0	0	260.216666666667	3468.5	48115200.6904761
0159_AP39_21108_20171121_ST	47890622	1006927.15	0	4416691.09285714	2898609.78958334	11636.5651785714	0.25	26.0833333333333	0	0	361.633333333333	2345.66666666667	39554023.7690476
0159_AK37_71062_20190607_ST	46524471	891951.283333333	0	3632790.80238095	3056905.94166667	3534.41666666666	0.25	31.7916666666667	0	0	357.461111111111	4805.66666666667	38934093.386508
0159_AP39_21129_20180205_ST	42174717	788536.733333333	0.333333333333333	3405762.75952381	3085946.05833333	3158.625	0.75	12.2222222222222	0.25	0	241.611111111111	2964.66666666667	34888092.9904762
0159_AP39_21301_20180706_ST_E21	41945891	814564.266666667	1	3162864.58571429	3263259.875	2163.53452380952	2	16.9166666666667	0	0	119.566666666667	2466.33333333333	34700432.9214285
0159_AK37_71054_20190305_ST	30472858	561874.066666667	0	2543425.92619048	1670873.89166667	4075.40833333333	1	14.0833333333333	0	0	1214.58333333333	1667.33333333333	25689711.7071429
0159_AK37_71051_20190224_ST	29488025	520347.766666667	0.6	2444820.77142857	1506944.66666667	4970.07305194805	1.5	62.2361111111111	0.5	0	170.105555555556	1092.66666666667	25009614.1138528
0159_AV42_66107_20190327_ST	25109407	486365.05	0	2297995.64166667	1693913.89166667	6844.95	0	2.16666666666667	0	0	92.4666666666667	428.666666666667	20623764.1666666
0159_BC12_41010_20171203_ST	25020998	476768.65	0	2163182.48174604	1087463.69791667	2917.15208333333	0.5	34.5	0	0	77.9666666666667	1867	21288686.0515873
0159_AP39_21065_20180201_ST	23605340	447113.633333333	0	1811765.79761905	2423278.61666667	1512.90952380952	0.25	29.5	0	0	74.5	1716.66666666667	18919848.1261905
0159_AP39_21295_20180811_ST_E21	23076371	462605.133333333	0.933333333333333	1898346.6797619	1162027.93333333	2723.77067099567	1.16666666666667	41.7666666666667	0	0	118.316666666667	1273.5	19549231.7995671
0159_AB10_100710_20181001_ST	22476810	473527.266666667	0	2179453.56904762	408349.616666666	5669.88571428572	3.25	23.625	0	0	116.675	687.833333333333	19408978.2785714
0159_AK37_71050_20190313_ST	22476650	392561.316666667	0.5	1808281.81190476	1207225.675	1616.91666666667	1.25	12.5	0	0	211.8	1193.33333333333	19065544.8964286
0159_AZ03_32013_20200922_ST	21886689	467385.693290043	0.555555555555556	1725422.74329004	1357510.31885823	2948.79391233766	1.75	18.6666666666667	0.5	0	195.829004329004	1702.72619047619	18331501.4232323
0159_AZ03_32019_20180325_ST	21736839	437044.833333333	1.5	1793693.52857143	839630.658333333	1794.71071428572	2.25	63.0833333333333	0	0	461.714285714286	1616.36666666667	18662530.3547619
0159_AP39_21119_20181218_ST	21439715	369104.127777778	5	1516273.76547619	1913978.64166666	1594.44011544011	1.39285714285714	5	1.75	0	374.233333333333	1841.66666666667	17636534.9821068
