sample_id	total	kinase_activity	inositol_1_3_4_5_6_pentakisphosphate_kinase_activity	inositol_hexakisphosphate_kinase_activity	inositol_heptakisphosphate_kinase_activity	lipid_kinase_activity	NAD__kinase_activity	acetylglutamate_kinase_activity	adenylylsulfate_kinase_activity	choline_kinase_activity	creatine_kinase_activity	dephospho_CoA_kinase_activity	diacylglycerol_kinase_activity	dolichol_kinase_activity	ethanolamine_kinase_activity	glycerol_kinase_activity	glycerone_kinase_activity	hydroxyethylthiazole_kinase_activity	mevalonate_kinase_activity	pantothenate_kinase_activity	phosphoglycerate_kinase_activity	phosphomevalonate_kinase_activity	protein_kinase_activity	selenide__water_dikinase_activity	shikimate_kinase_activity	pyridoxal_kinase_activity	riboflavin_kinase_activity	acetate_kinase_activity	carbamate_kinase_activity	glycerate_kinase_activity	hydroxymethylpyrimidine_kinase_activity	inosine_kinase_activity	phosphomethylpyrimidine_kinase_activity	phosphoribulokinase_activity	polyphosphate_kinase_activity	propionate_kinase_activity	pyruvate__water_dikinase_activity	tagatose_6_phosphate_kinase_activity	tetraacyldisaccharide_4__kinase_activity	thiamine_phosphate_kinase_activity	undecaprenol_kinase_activity	phytol_kinase_activity	phosphatidylinositol_phosphate_kinase_activity	D_erythro_sphingosine_kinase_activity	inositol_3_kinase_activity	thiamine_kinase_activity	carbohydrate_kinase_activity	amino_acid_kinase_activity	nucleobase_containing_compound_kinase_activity	diphosphoinositol_pentakisphosphate_kinase_activity	aminoglycoside_phosphotransferase_activity	phosphatidylinositol_3_kinase_activity	inositol_pentakisphosphate_2_kinase_activity	NADH_kinase_activity	adenosylcobinamide_kinase_activity	glycerate_2_kinase_activity	ADP_specific_glucokinase_activity	ADP_specific_phosphofructokinase_activity	gluconokinase_activity	S_methyl_5_thioribose_kinase_activity	phosphoenolpyruvate_glycerone_phosphotransferase_activity	polyphosphate_glucose_phosphotransferase_activity	X5_dehydro_2_deoxygluconokinase_activity	beta_glucoside_kinase_activity	butyrate_kinase_activity	dehydrogluconokinase_activity	erythritol_kinase_activity	glucosamine_kinase_activity	glucose_1_6_bisphosphate_synthase_activity	glucose_1_phosphate_phosphodismutase_activity	macrolide_2__kinase_activity	fucokinase_activity	pseudouridine_kinase_activity	ribosylnicotinamide_kinase_activity	sedoheptulokinase_activity	tagatose_kinase_activity	triokinase_activity	X4__cytidine_5__diphospho__2_C_methyl_D_erythritol_kinase_activity	alpha_glucan__water_dikinase_activity	inositol_tetrakisphosphate_kinase_activity	inositol_trisphosphate_kinase_activity	phosphatidylinositol_kinase_activity	phosphatidylinositol_bisphosphate_kinase_activity	autoinducer_2_kinase_activity	guanosine_kinase_activity	Remaining
0159_AS41_40055_20180716_ST	251882058	2831707.34642857	0.0625	0.1875	0.0625	2243.66666666667	12220.9714285715	20307.075	9294.10476190475	8.25	1150.33333333334	18903.05	11308.4	0	0.5	51022.011904762	73039.7916666665	7573.875	27.9166666666667	22623.5416666666	27899.6458333334	15.75	544358.685912698	9128.375	16801.1095238095	47309.2916666666	16606.225	29515.1666666666	13909.75	84098.5833333335	13997.5	8254.91666666665	24134.5166666666	5981.95833333335	48602.2083333334	3389.41666666667	17768.8333333334	19663.4166666666	14349.5	17010.8194444444	479.166666666667	0	2.875	0.333333333333333	0	9034.25	447426.59484127	114156.192857143	148481.406168831	0.0625	65.875	0	0.25	0.25	13520.1666666667	4588.25	0	0	4037.33333333333	17285.8333333334	11195	17	53452	16685.25	13322.0416666666	11	1.25	288.75	0	6.5	0	23.9166666666667	1519.25	4849.54166666667	1.25	0	0	22362.9166666666	0	0	0	2.25	0	1018.5	8254.91666666665	246965741.010895
0159_AP39_21110_20190111_ST	186513229	2446732.33253968	0.0555555555555555	0.166666666666666	0.0555555555555555	100.333333333333	12076.7333333333	19186.4583333334	2830.275	46.75	1608.58333333334	18581.7916666666	9096.28333333335	0	0	29639.5595238095	44750.5	9620.26666666665	1709.41666666666	21015.6666666666	24825.3333333334	1483.75	424536.299603175	5894.20833333335	13808.0083333333	35120.625	13416.0083333333	18873.9583333334	25209.75	46979.5416666666	13982.2166666667	1668	27624.45	1593.91666666666	35267.2083333334	394.666666666667	5156.33333333335	16769.75	11850.8333333334	10787.7777777778	1076.75	0	460	3	0	1066.5	242689.563888889	77670.4250000002	132733.912121212	0.0555555555555555	208.208333333334	2.83333333333333	0	0	7134	1761.5	0	0	1504.5	5013.5	5010.75	204	34458.5	12637.5	4176.5	1	8.16666666666665	20	0	79.25	0	322.083333333333	6472	2925.375	0	0	0	18483.375	0	0	0	1.41666666666667	0	529.5	1668	182602668.971212
0159_AA34_42475_20190911_ST	166344029	1693558.78253968	0	0	0	3.33333333333333	7526.41666666665	12036.7666666667	3650.84047619047	65	2218.16666666667	12291.8666666667	10727.4	0	0	28164.9761904762	37369.25	3867.625	9.83333333333335	15658.5	18437.4166666666	10.25	464472.534986772	3434.66666666667	8388.97142857145	24556.7916666666	10637.1666666666	12644.5	15139.25	36652.25	10488.975	3.25	17066.625	1.83333333333334	27336.3333333334	4.16666666666667	1216.66666666666	4661.375	7646	7092.66666666665	946.5	0	6.25	0	0	6.75	241901.363888889	60366.480952381	88616.05	0	127.708333333333	0	0	0	6223.31666666667	4233.75	0	0	37.3333333333333	3411.5	1029.91666666666	6	27652.75	6225.5	11111.6666666666	0	0.25	114.25	0.333333333333333	0	0	2704.75	2047.25	3405.04166666667	0.5	0	0	13599.75	0	0	0	0	0	472	3.25	163372738.341204
0159_AA34_42480_20191103_ST	114788551	1191093.63571429	0	0	0	15.6666666666667	5388.95833333335	12668.3583333333	2106.76904761905	5.33333333333335	875.083333333335	10698.1916666666	14521.1333333333	0	0	21165	30969.3333333334	6351.80833333335	70.25	16137.3333333334	13763.7708333334	73.5	301153.188425926	5391.16666666665	9301.70833333335	20065.4583333334	8903.975	10270.8333333334	10597	29160.2083333334	9837.88333333335	25.25	13641.65	21.25	26898.4333333333	17	906.059523809525	6800.33333333335	3111.5	4154.05555555555	1507.41666666666	0	18	0	0	51	200996.775	50586.1666666667	96093.7773809524	0	5.08333333333335	0.166666666666666	0	0	5666.29166666667	765.75	0	0	823.541666666665	553.75	1800.08333333334	2947.5	36774.25	11675.5	2987.75	0	7.25	125	0	4.75	0	0.25	4904.75	129.625	0	0	0.166666666666666	13111.75	0	0	0	0.0833333333333332	0	289.5	25.25	112570538.743519
0159_AP39_21298_20181004_ST_E21	86839131	874039.426984127	0	0	0	0.333333333333333	3780.58333333333	7885.01666666665	1972.39642857143	27.5	701.416666666665	6691.025	5875.63333333335	0	0	13558.2261904762	18402.25	3118.61666666666	48.25	9447.41666666665	9461.5	40.5	230117.608730158	2360.95833333333	5144.36666666665	13869.875	5830.54166666665	6591.125	5374	16357.1666666666	6040.45833333335	7	8801.625	7.91666666666665	17269.8333333334	1.58333333333334	785.65476190476	4433.41666666667	3278.75	3366.05555555556	321.5	0	12.75	2	0	9.25	123734.932539683	31592.7142857143	50925.0797619047	0	71.7083333333335	0	0	0	4191.15	2429	0	0	77.75	581.25	439.166666666667	162.5	24178	6670.25	4106.125	0.25	2.75	117.25	0.166666666666666	11.75	0	184.083333333334	2881.5	1749.79166666666	0	0	0	7846.5	0	0	0	0	0	138	7	85291998.8047619
0159_AK37_71062_20190607_ST	69169479	734856.471428571	0	0	0	16.3333333333333	4030.38333333334	7010.8	962.816666666665	0	1269.91666666666	6409.50833333335	6112.06666666665	0	0	11941.8452380952	13564.75	3056.275	66.0833333333335	8643.41666666665	9180	55.75	180080.841269841	1598.75	4490.15	12215.25	6801.25	5524.58333333335	6761	11377.25	4553.275	286.75	8718.86666666665	323	15738.2083333334	61.8333333333335	1797.25	3640.70833333333	4458.16666666667	4344.5	311.416666666667	2	19	0	0	257.5	107451.326190476	29895.1333333333	51834.3593073593	0	449.333333333333	0	0	0	2590.68333333334	514.25	0	0	962.416666666665	1032.75	900.583333333335	1473.5	10857	6479	4415.25	0	0.166666666666666	123	0	3	0	1107.75	1513.5	793.583333333335	0	0	0	7988.95	0	0	0	0	0	134.5	286.75	67858134.2482323
0159_AP39_21108_20171121_ST	68136264	677901.578571429	0	0	0	14	3103.53333333334	6114.225	1863.72261904762	16.5833333333333	553.25	5544.99166666665	3014.83333333333	0	4.83333333333333	17120.6666666666	20702	2061.48333333333	167.75	8082.41666666665	7583.20833333335	132.75	162935.233333334	2453.58333333333	5138.3380952381	10266.6666666666	4468.08333333333	6074.54166666665	23129	20287.4333333333	2795.875	2261	5954.16666666665	2141	11633.875	692.75	5780.25	11251.625	4488.29166666667	5599.41666666665	253.083333333334	33	9	3.33333333333333	0	2029.5	126513.836111111	30833.2452380952	38528.6863636363	0	55.4583333333335	0	0	0	3378.425	495.5	0	0	1036	1301	6721.58333333335	31.5	10962	3075.25	3901.625	0	0.583333333333335	58.75	0.333333333333333	7.75	0	204.25	6545.5	1265.04166666666	10	0	0	5820.675	0	0	0	0	0	388.5	2261	66849206.6346681
0159_AP39_21129_20180205_ST	62377466	660466.355555555	0	0	0	0.333333333333333	2828.90476190476	5711.35	1120.64166666667	1.25	868.916666666665	5266.66666666665	4505.11666666666	0.5	0	10044.619047619	16737.5	2098	4.5	6337.75	8388.08333333335	5.75	167599.154695767	1912.75	3951.87142857143	10211.7083333334	5943.14166666665	5459.91666666665	6172.25	12445.9166666666	3055.03333333334	5.5	4779.2	4.41666666666667	11985.5833333334	2.66666666666667	594.40476190476	2736.875	2437.16666666667	3598.33333333333	290.25	0	0.25	1	0	68	84302.6638888889	22053.5291666667	41954.9933982684	0	203.541666666666	0.25	0	0	2349.725	994.75	0	0	92.4166666666665	1390.25	476.583333333333	174	8446	6227	3745.5	0.25	26.3333333333333	295.75	0	0.166666666666666	0	0.583333333333335	868.5	132.875	0.5	0	0.166666666666666	6642.375	0	0	0	0.125	0	430	5.5	61229010.0449615
0159_AP39_21301_20180706_ST_E21	62312960	633284.987301587	0	0	0	0.333333333333333	2609.29166666667	5607.51666666665	1367.90238095238	11.25	564.666666666665	4832.475	3845.93333333334	0	0	9905.08333333335	13468.5833333334	2301.925	20.75	6526.33333333335	7030.5625	11	165061.893650794	1784.66666666666	3768.0130952381	10075	4172.45833333333	4793.70833333333	4070	11560.9166666666	4289.81666666666	0	6271.825	0.666666666666665	12168.8333333334	0	559.833333333335	3411.83333333333	2302.75	2314.5	219.25	0	3.25	2	0	1.25	85457.3373015872	22315.4583333333	36928.5308441559	0	12.3333333333333	0	0	0	2801.70833333333	1835.25	0	0	29.25	346	304.25	69.5	17748.75	4540.5	2931.66666666667	0	0.5	59.25	0	1.75	0	203.75	2143.25	1236	0	0	0	5505.875	0	0	0	0	0	60.5	0	61200207.531259
0159_AK37_71054_20190305_ST	44724247	497603.755555556	0	0	0	124	2651.17142857143	3479.4	1284.91666666666	388.25	487.75	4161.03333333333	4441	0	0	8947.91666666665	15457.8333333334	1389.00833333334	714.833333333335	5165	5900.51666666665	796.5	108252.385912698	1264.04166666666	2666.26666666667	7974.16666666665	3051.21666666666	3944.83333333333	6677.75	13102.0833333334	3102.35833333333	209.75	6133.25	194.416666666666	6954.49166666665	145.166666666666	780	4082.04166666667	1559.16666666666	1733	690.666666666665	1	110	0.4	0	117	70880.3027777778	17789.7583333333	33681.3023809524	0	541.125	0	0	0	1886.225	1113	0	0	389.958333333333	584.25	2686.83333333333	454	6021	2523.25	2453	0.5	0.25	147	0	166.416666666666	0	845.083333333335	900.5	694.208333333335	2	0	0	4162.75	0	0	0	0	0	123.5	209.75	43850252.6986111
