sample_id	total	oxidoreductase_activity	sphingosine_hydroxylase_activity	monooxygenase_activity	electron_transfer_activity	oxygen_evolving_activity	steroid_dehydrogenase_activity	oxidoreductase_activity__acting_on_CH_OH_group_of_donors	oxidoreductase_activity__acting_on_the_CH_CH_group_of_donors	oxidoreductase_activity__acting_on_the_CH_NH2_group_of_donors	oxidoreductase_activity__acting_on_the_CH_NH_group_of_donors	oxidoreductase_activity__acting_on_NAD_P_H	oxidoreductase_activity__acting_on_other_nitrogenous_compounds_as_donors	oxidoreductase_activity__acting_on_a_sulfur_group_of_donors	oxidoreductase_activity__acting_on_a_heme_group_of_donors	oxidoreductase_activity__acting_on_diphenols_and_related_substances_as_donors	oxidoreductase_activity__acting_on_peroxide_as_acceptor	oxidoreductase_activity__acting_on_hydrogen_as_donor	oxidoreductase_activity__acting_on_single_donors_with_incorporation_of_molecular_oxygen	oxidoreductase_activity__acting_on_paired_donors__with_incorporation_or_reduction_of_molecular_oxygen	oxidoreductase_activity__acting_on_superoxide_radicals_as_acceptor	oxidoreductase_activity__acting_on_metal_ions	oxidoreductase_activity__acting_on_CH_or_CH2_groups	oxidoreductase_activity__acting_on_iron_sulfur_proteins_as_donors	oxidoreductase_activity__acting_on_reduced_flavodoxin_as_donor	oxidoreductase_activity__acting_on_the_aldehyde_or_oxo_group_of_donors	pyrogallol_hydroxytransferase_activity	X2_octaprenylphenol_hydroxylase_activity	arsenate_reductase_activity	oxidoreductase_activity__acting_on_phosphorus_or_arsenic_in_donors	sulfur_reductase_activity	selenate_reductase_activity	X2_desacetyl_2_hydroxyethyl_bacteriochlorophyllide_a_dehydrogenase_activity	glycyl_radical_enzyme_activating_activity	crotonyl_CoA_reductase_activity	NADPH_sulfur_oxidoreductase_activity	tRNA__2_methylthio_N_6__cis_hydroxy_isopentenyl_adenosine__hydroxylase_activity	geranylgeranyl_reductase_activity	violaxanthin_de_epoxidase_activity	oxidoreductase_activity__acting_on_X_H_and_Y_H_to_form_an_X_Y_bond	dioxygenase_activity	X3_8_divinyl_protochlorophyllide_a_8_vinyl_reductase_activity	uracil_oxygenase_activity	epoxyqueuosine_reductase_activity	fatty_acid_alpha_hydroxylase_activity	transmembrane_monodehydroascorbate_reductase_activity	Remaining
0159_AS41_40055_20180716_ST	251882058	4474442.84126984	0	468019.72202381	638973.872883598	0.333333333333333	57413.6583333333	3462832.44563492	1008603.62619048	893559.8	534142.652380953	771159.845899471	384968.926190476	580110.702876984	14011.8912698413	6743.23333333333	255332.584523809	40712.5166666667	160829.308333333	301318.935119048	17401.125	37685.2	473369.409523809	94499.3904761904	0	1698670.92936508	68.25	0	24507.6666666666	24507.6666666666	0.5	34.4	0	34193.4166666667	2	0	11542.2727272727	33.6	0	5695.91666666667	370864.152380953	0	597	22809.75	0	0	235012398.457597
0159_AP39_21110_20190111_ST	186513229	2487895.5952381	0	134437.92202381	516443.11984127	0	22901.0083333333	1831977.38134921	615121.998160173	560748.45	395318.816666667	416927.021428572	131763.915476191	338424.536507936	4019.21269841269	910.966666666666	139107.15	63005.8666666667	43950.5416666667	48357.2366071428	11640	17525.0833333333	355356.378571429	45266.0630952381	1	642400.220238096	2.25	0	7287.91666666665	7287.41666666665	47	1203.5	0	33897.4166666667	0	0	342.818181818182	0	0	11461.5	85131.9443452381	0.5	100.666666666667	16763.5833333333	0.25	0	177526202.752904
0159_AA34_42475_20190911_ST	166344029	2030301.09880952	0	77735.8720238096	395557.624206349	1	23669.5	1496192.71462149	469186.120729271	498279.785714286	312138.692857143	258981.816666667	51850.3976190476	286434.413888889	634.249206349207	9.61666666666666	109085.35	53910.0666666666	44289.45	15190.2886904762	9328.58333333335	11493	272733.035714286	20125.5595238095	0	457105.420238095	56.75	0	5426.66666666665	5426.16666666665	0	72.8333333333333	0	24227.7666666667	1	0	3.68181818181818	0.333333333333333	0	11227	71734.8428571429	0	0.333333333333333	11438.25	0	0	159320179.718149
0159_AA34_42480_20191103_ST	114788551	1507768.98452381	0	64504.0916666667	237509.091269842	0.25	14542.7666666667	1236271.91944444	397232.727380953	339612.75	232698.354761905	104792.780952381	43629.8706349206	220116.145833333	624.231746031746	19.9333333333334	61884.1976190476	44175.9166666667	41843.625	6818.39761904762	7228.37499999998	11983.6	220052.104761905	45227.1539682539	0	322396.576190476	7.5	0	7999.16666666665	7992.66666666665	0	105.166666666667	0	23911.6333333333	0	0	23	0	0	16975.5	63655.0349206349	0	1	10171.75	0	0	109496774.736706
0159_AP39_21298_20181004_ST_E21	86839131	1081771.97301587	0	48103.7791666667	178346.375	0	13287.3333333333	798241.331746032	239714.633008658	261775.371428571	162127.976190476	100395.756349206	30079.8976190476	134530.502579365	457.198412698413	14.95	47464.5595238095	22324.6666666666	27621.9583333333	8990.6375	4906.79166666667	5022.84999999999	144841.526190476	21803.7119047619	0	220216.541666667	49.25	0	5325.5	5323	11.75	63	1	14253.5166666667	0.5	0	3.5	0	0	6901.5	35444.8	0	0.333333333333333	6695.16666666667	0	0	83213017.862031
0159_AK37_71062_20190607_ST	69169479	1019761.05119048	0	55571.9666666666	184426.889285715	0	10151.0083333333	706456.583333333	265873	215525.15	141034.79047619	125495.684920635	33667.9297619048	145141.629166667	884.119841269842	153.033333333333	57776.9797619048	23694.1666666667	20763.5	11697.5773809524	4208.95833333333	7832.53333333333	121007.145238095	17470.9083333333	0	231810.161904762	8	0	2102.5	2100	652.75	225.833333333333	0	11438.45	2	0	91.5	0	0	10771	43829.7607142857	0	18.6666666666667	3794.81666666667	0	0	65694038.9553571
0159_AP39_21108_20171121_ST	68136264	1136460.41388889	0	56625.1916666667	235117.79973545	0	12348.0416666667	938632.878968254	290765.394047619	221567.075	147843.05	198405.633465608	128060.907142857	190903.407936508	4482.64603174603	908.683333333333	54210.5119047619	44503.2166666667	18321.975	42424.1166666667	5318.08333333333	18254.4	155679.730952381	11124.1095238095	0	361842.973015873	91.5	0	4400.58333333333	4404.25	1	2139	0	10241.5166666667	0	0	30.7727272727272	118.666666666667	0	17434.75	82176.7261904762	2	121	3918.93333333333	0	0	63737383.0611352
0159_AP39_21129_20180205_ST	62377466	899704.809523809	0	37721.8363095238	150370.80515873	0	21412.8833333333	589066.713492063	210982.938528138	183218.435714286	113278.316666667	90158.278968254	22452.4261904762	120260.279166667	565.221428571429	31.8333333333333	50628.1761904762	24651.3166666667	24501.3130952381	3105.1244047619	3635.75	5691.43333333334	120217.669047619	15365.6166666667	0	185450.502380952	26	0	1096.75	1096.75	18.25	10.6666666666667	0	10924.9833333333	0	0	1.5	1	0	15449.25	32988.7178571428	0	0.666666666666667	4268.16666666667	0	0	59439111.61921
0159_AP39_21301_20180706_ST_E21	62312960	771188.541666667	0	33756.275	126922.94047619	0	8899.20833333333	565148.399603175	166051.513095238	183814.788095238	115135.683333333	66872.5	20810.4785714286	93096.2583333333	284.030952380952	6.28333333333333	33545.9583333334	16181.95	19447.475	6209.43333333333	3577.95833333333	3060.33333333333	104228.566666667	15640.5333333333	0	156903.967857143	32.25	0	3924	3924	10.25	44.1166666666667	0	10369.4833333333	0	0	0	0	0	4360.5	24874.5833333334	0	0.333333333333333	4836.08333333333	0	0	59749801.3230159
0159_AK37_71054_20190305_ST	44724247	582093.821825397	0	30872.1851190477	101672.852380952	0	7069.725	478339.551587302	141317.707142857	128725.580952381	94713.5297619048	84650.3424603174	21826.5714285714	102191.6375	585.087301587302	242.133333333333	31220.705952381	14608.3166666667	12533.0583333333	10349.7327380952	2607.79166666667	6646.2	71830.930952381	7530.10238095239	0	154400.379761905	10.25	0	2183.83333333333	2027	0	41.3666666666667	0	7697.56666666667	11	0	286.5	0	0	10323.25	25101.0297619048	0	1.33333333333333	3793.58333333333	0	0	42586742.3426587
