sample_id	total	phosphotransferase_activity__alcohol_group_as_acceptor	tRNA_2__phosphotransferase_activity	NAD__kinase_activity	adenosine_kinase_activity	adenylylsulfate_kinase_activity	choline_kinase_activity	dephospho_CoA_kinase_activity	diacylglycerol_kinase_activity	dolichol_kinase_activity	ethanolamine_kinase_activity	galactokinase_activity	glycerol_kinase_activity	glycerone_kinase_activity	hexokinase_activity	homoserine_kinase_activity	hydroxyethylthiazole_kinase_activity	mevalonate_kinase_activity	pantothenate_kinase_activity	protein_kinase_activity	pyruvate_kinase_activity	ribokinase_activity	shikimate_kinase_activity	xylulokinase_activity	phosphofructokinase_activity	pyridoxal_kinase_activity	riboflavin_kinase_activity	X2_dehydro_3_deoxygalactonokinase_activity	X2_dehydro_3_deoxygluconokinase_activity	L_fuculokinase_activity	ribulokinase_activity	allose_kinase_activity	glycerate_kinase_activity	hydroxymethylpyrimidine_kinase_activity	inosine_kinase_activity	phosphoribulokinase_activity	protein_N_PI__phosphohistidine_sugar_phosphotransferase_activity	rhamnulokinase_activity	tagatose_6_phosphate_kinase_activity	tetraacyldisaccharide_4__kinase_activity	undecaprenol_kinase_activity	N_acylmannosamine_kinase_activity	phosphatidylinositol_phosphate_kinase_activity	inositol_3_kinase_activity	D_ribulokinase_activity	thiamine_kinase_activity	N_acetylgalactosamine_kinase_activity	aminoglycoside_phosphotransferase_activity	inositol_pentakisphosphate_2_kinase_activity	NADH_kinase_activity	LPPG_FO_2_phospho_L_lactate_transferase_activity	adenosylcobinamide_kinase_activity	ADP_specific_glucokinase_activity	ADP_specific_phosphofructokinase_activity	gluconokinase_activity	S_methyl_5_thioribose_kinase_activity	phosphoenolpyruvate_glycerone_phosphotransferase_activity	polyphosphate_glucose_phosphotransferase_activity	X5_dehydro_2_deoxygluconokinase_activity	beta_glucoside_kinase_activity	dehydrogluconokinase_activity	erythritol_kinase_activity	glucosamine_kinase_activity	glucose_1_6_bisphosphate_synthase_activity	glucose_1_phosphate_phosphodismutase_activity	macrolide_2__kinase_activity	fucokinase_activity	pseudouridine_kinase_activity	ribosylnicotinamide_kinase_activity	sedoheptulokinase_activity	tagatose_kinase_activity	triokinase_activity	X4__cytidine_5__diphospho__2_C_methyl_D_erythritol_kinase_activity	polynucleotide_5__hydroxyl_kinase_activity	inositol_tetrakisphosphate_kinase_activity	inositol_trisphosphate_kinase_activity	phosphatidylinositol_kinase_activity	phosphatidylinositol_bisphosphate_kinase_activity	X6_deoxy_6_sulfofructose_kinase_activity	protein_phosphocysteine_sugar_phosphotransferase_activity	protein_ribulosamine_3_kinase_activity	myo_inositol_1_2_3_4_6_heptakisphosphate_5_kinase_activity	dihydroceramide_kinase_activity	D_glucosamine_PTS_permease_activity	guanosine_kinase_activity	Remaining
0159_AS41_40055_20180716_ST	251882058	279766.9	0	12220.9714285715	52	9294.10476190475	8.25	18903.05	11308.4	0	0.5	25875.1083333334	51022.011904762	73039.7916666665	70721.4666666667	10385.75	7573.875	27.9166666666667	22623.5416666666	544358.685912698	34609.3678571429	34702.425	16801.1095238095	53557.4166666665	89450.080952381	47309.2916666666	16606.225	24287	9990.5	18994.9166666666	31605.375	96.5	84098.5833333335	13997.5	8254.91666666665	5981.95833333335	335240.666666667	55473.5833333335	19663.4166666666	14349.5	479.166666666667	3366.66666666667	2.875	0	3044.625	9034.25	0	65.875	0.25	0.25	28889	13520.1666666667	0	0	4037.33333333333	17285.8333333334	11195	17	53452	16685.25	11	1.25	288.75	0	6.5	0	23.9166666666667	1519.25	4849.54166666667	1.25	0	0	22362.9166666666	0.958333333333335	0	0	2.25	0	1270.5	0	0.5	0	0	145101.183333333	8254.91666666665	249485035.117659
0159_AP39_21110_20190111_ST	186513229	155795.119047619	0.5	12076.7333333333	37.5	2830.275	46.75	18581.7916666666	9096.28333333335	0	0	23722.9583333334	29639.5595238095	44750.5	42057	8321.91666666665	9620.26666666665	1709.41666666666	21015.6666666666	424536.299603175	27112.8833333333	14385.1583333333	13808.0083333333	18985.5	67080.8083333333	35120.625	13416.0083333333	5437	6379.5	4913.66666666667	8228.70833333335	278.75	46979.5416666666	13982.2166666667	1668	1593.91666666666	152953.222222222	27507.8333333334	16769.75	11850.8333333334	1076.75	6146.5	460	0	1275.45833333334	1066.5	0	208.208333333334	0	0	17525.5	7134	0	0	1504.5	5013.5	5010.75	204	34458.5	12637.5	1	8.16666666666665	20	0	79.25	0	322.083333333333	6472	2925.375	0	0	0	18483.375	0	0	0	1.41666666666667	0	121.833333333333	13.5	1.5	0	0	78728.25	1668	185018371.11627
0159_AA34_42475_20190911_ST	166344029	137162.25	0	7526.41666666665	97	3650.84047619047	65	12291.8666666667	10727.4	0	0	19939.1833333333	28164.9761904762	37369.25	48379.9583333333	3595.25	3867.625	9.83333333333335	15658.5	464472.534986772	22600.0333333333	14613.9666666667	8388.97142857145	23506.5	64471.4083333333	24556.7916666666	10637.1666666666	1251.75	12726	1080.25	2195.20833333333	369.5	36652.25	10488.975	3.25	1.83333333333334	56869.8444444445	27722.7083333334	4661.375	7646	946.5	2001.41666666666	6.25	0	1489.125	6.75	0	127.708333333333	0	0	7030.5	6223.31666666667	0	0	37.3333333333333	3411.5	1029.91666666666	6	27652.75	6225.5	0	0.25	114.25	0.333333333333333	0	0	2704.75	2047.25	3405.04166666667	0.5	0	0	13599.75	0	0	0	0	0	13.5	0.111111111111111	0.25	0	0	17515.6666666667	3.25	165125007.863029
0159_AA34_42480_20191103_ST	114788551	78402	0	5388.95833333335	92.5	2106.76904761905	5.33333333333335	10698.1916666666	14521.1333333333	0	0	18526.05	21165	30969.3333333334	59961.5833333332	6754.83333333335	6351.80833333335	70.25	16137.3333333334	301153.188425926	19773.9428571429	13560.2666666667	9301.70833333335	15823.1666666666	55041.0833333334	20065.4583333334	8903.975	234.625	11015	46.25	174.5	72.75	29160.2083333334	9837.88333333335	25.25	21.25	112580.916666667	14466.5	6800.33333333335	3111.5	1507.41666666666	3364	18	0	31.75	51	0	5.08333333333335	0	0	3144	5666.29166666667	0	0	823.541666666665	553.75	1800.08333333334	2947.5	36774.25	11675.5	0	7.25	125	0	4.75	0	0.25	4904.75	129.625	0	0	0.166666666666666	13111.75	0	0	0	0.0833333333333332	0	3022	0.805555555555554	30.25	0	0	32628.7833333333	25.25	113763877.28578
0159_AP39_21298_20181004_ST_E21	86839131	65630.3333333333	0	3780.58333333333	30.5	1972.39642857143	27.5	6691.025	5875.63333333335	0	0	12439.0166666667	13558.2261904762	18402.25	27206.125	3144.25	3118.61666666666	48.25	9447.41666666665	230117.608730158	11559.45	5451.4	5144.36666666665	9767.58333333335	38025.7380952381	13869.875	5830.54166666665	359.5	6219	623.416666666665	784.208333333335	88.5	16357.1666666666	6040.45833333335	7	7.91666666666665	42853.9944444443	14772.9166666666	4433.41666666667	3278.75	321.5	1775.5	12.75	0	372.125	9.25	0	71.7083333333335	0	0	2640.5	4191.15	0	0	77.75	581.25	439.166666666667	162.5	24178	6670.25	0.25	2.75	117.25	0.166666666666666	11.75	0	184.083333333334	2881.5	1749.79166666666	0	0	0	7846.5	1	0	0	0	0	172.833333333333	0.555555555555555	0.5	0	0	11634.0666666667	7	86186052.6722222
0159_AK37_71062_20190607_ST	69169479	64303.3333333333	0	4030.38333333334	4	962.816666666665	0	6409.50833333335	6112.06666666665	0	0	9130.775	11941.8452380952	13564.75	19712.8333333334	4042.75	3056.275	66.0833333333335	8643.41666666665	180080.841269841	10032.2166666667	5885.15833333335	4490.15	10505.6666666667	23208.0595238095	12215.25	6801.25	1378.625	5430	1867.66666666666	1614.20833333334	645.75	11377.25	4553.275	286.75	323	31607.3611111111	12395.5833333334	3640.70833333333	4458.16666666667	311.416666666667	5526.75	19	0	395.958333333333	257.5	0	449.333333333333	0	0	5417.5	2590.68333333334	0	0	962.416666666665	1032.75	900.583333333335	1473.5	10857	6479	0	0.166666666666666	123	0	3	0	1107.75	1513.5	793.583333333335	0	0	0	7988.95	0	0	0	0	0	309.833333333333	0	5.25	0	0	12886.35	286.75	68623009.7011905
0159_AP39_21108_20171121_ST	68136264	78961.9166666667	0	3103.53333333334	23.5	1863.72261904762	16.5833333333333	5544.99166666665	3014.83333333333	0	4.83333333333333	5397.375	17120.6666666666	20702	16780.4166666667	3804.56666666666	2061.48333333333	167.75	8082.41666666665	162935.233333334	8972.5	9843.25833333335	5138.3380952381	15371.4333333334	19020.075	10266.6666666666	4468.08333333333	8453.25	2575	7410.08333333335	6970.79166666665	4090.25	20287.4333333333	2795.875	2261	2141	85600.9777777776	15390.6666666666	11251.625	4488.29166666667	253.083333333334	4870.91666666667	9	0	430.291666666667	2029.5	0	55.4583333333335	0	0	10802	3378.425	0	0	1036	1301	6721.58333333335	31.5	10962	3075.25	0	0.583333333333335	58.75	0.333333333333333	7.75	0	204.25	6545.5	1265.04166666666	10	0	0	5820.675	0	0	0	0	0	1458.33333333333	0	6.41666666666665	0	0	34750.1833333333	2261	67462536.7531746
0159_AP39_21129_20180205_ST	62377466	60076.4166666667	0	2828.90476190476	38.5	1120.64166666667	1.25	5266.66666666665	4505.11666666666	0.5	0	6646.35	10044.619047619	16737.5	20456.3666666667	2782.75	2098	4.5	6337.75	167599.154695767	8863.4	4061.31666666666	3951.87142857143	8130.91666666668	25925.45	10211.7083333334	5943.14166666665	570	2294.5	461.833333333333	744.583333333335	161	12445.9166666666	3055.03333333334	5.5	4.41666666666667	33167.5388888889	10579.4166666666	2736.875	2437.16666666667	290.25	1243.91666666666	0.25	0	449.833333333333	68	0	203.541666666666	0	0	2843.66666666667	2349.725	0	0	92.4166666666665	1390.25	476.583333333333	174	8446	6227	0.25	26.3333333333333	295.75	0	0.166666666666666	0	0.583333333333335	868.5	132.875	0.5	0	0.166666666666666	6642.375	0.125	0	0	0.125	0	140	0	26.25	0	0	9277.11666666667	5.5	61893497.3778439
0159_AP39_21301_20180706_ST_E21	62312960	43872.5	0	2609.29166666667	20	1367.90238095238	11.25	4832.475	3845.93333333334	0	0	8968.71666666665	9905.08333333335	13468.5833333334	19381	2209	2301.925	20.75	6526.33333333335	165061.893650794	8439.08333333333	3464.04166666667	3768.0130952381	6504.91666666665	27012.5928571428	10075	4172.45833333333	237	4157.5	482.25	475.333333333333	51.5	11560.9166666666	4289.81666666666	0	0.666666666666665	32418.1388888889	10163.4166666666	3411.83333333333	2302.75	219.25	1292.5	3.25	0	153.333333333334	1.25	0	12.3333333333333	0	0	2165.5	2801.70833333333	0	0	29.25	346	304.25	69.5	17748.75	4540.5	0	0.5	59.25	0	1.75	0	203.75	2143.25	1236	0	0	0	5505.875	0	0	0	0	0	81.5	0.222222222222222	2.25	0	0	8597.16666666667	0	61848051.2452381
0159_AK37_71054_20190305_ST	44724247	46135.3928571429	0	2651.17142857143	7	1284.91666666666	388.25	4161.03333333333	4441	0	0	5316.25833333335	8947.91666666665	15457.8333333334	15946.0833333334	1580.56666666667	1389.00833333334	714.833333333335	5165	108252.385912698	6178.5	5550.975	2666.26666666667	7618.75	14822.9583333333	7974.16666666665	3051.21666666666	437	3459.5	378	1526.70833333334	73	13102.0833333334	3102.35833333333	209.75	194.416666666666	47909.1777777778	6794.41666666665	4082.04166666667	1559.16666666666	690.666666666665	1324.16666666666	110	0	664.458333333335	117	0	541.125	0	0	5962.5	1886.225	0	0	389.958333333333	584.25	2686.83333333333	454	6021	2523.25	0.5	0.25	147	0	166.416666666666	0	845.083333333335	900.5	694.208333333335	2	0	0	4162.75	0	0	0	0	0	187.666666666667	1.66666666666667	0.166666666666666	0	0	25284.1666666667	209.75	44315160.3386905
