sample_id	total	hydrolase_activity__acting_on_carbon_nitrogen__but_not_peptide__bonds__in_linear_amides	peptide_N4__N_acetyl_beta_glucosaminyl_asparagine_amidase_activity	N_acetylglucosaminylphosphatidylinositol_deacetylase_activity	beta_ureidopropionase_activity	N4__beta_N_acetylglucosaminyl__L_asparaginase_activity	allophanate_hydrolase_activity	amidase_activity	aminoacylase_activity	arylformamidase_activity	asparaginase_activity	chitin_deacetylase_activity	formamidase_activity	glutaminase_activity	histone_deacetylase_activity	protein_N_terminal_asparagine_amidohydrolase_activity	N_acetylglucosamine_6_phosphate_deacetylase_activity	formylmethionine_deformylase_activity	N_acetylmuramoyl_L_alanine_amidase_activity	UDP_3_O__3_hydroxymyristoyl__N_acetylglucosamine_deacetylase_activity	acetylornithine_deacetylase_activity	formyltetrahydrofolate_deformylase_activity	glutathionylspermidine_amidase_activity	nicotinamidase_activity	penicillin_amidase_activity	succinyl_diaminopimelate_desuccinylase_activity	succinylglutamate_desuccinylase_activity	urease_activity	N_acylsphingosine_amidohydrolase_activity	biuret_amidohydrolase_activity	nicotinamide_nucleotide_amidase_activity	aspartoacylase_activity	X6_aminohexanoate_dimer_hydrolase_activity	gamma_glutamyl_gamma_aminobutyrate_hydrolase_activity	N_acetylglucosaminylinositol_deacetylase_activity	protein_malonyllysine_demalonylase_activity	protein_succinyllysine_desuccinylase_activity	chitin_disaccharide_deacetylase_activity	peptide_deformylase_activity	tubulin_deacetylase_activity	adenosine_5__monophosphoramidase_activity	X2_amino_5_formylamino_6__5_phosphoribosylamino_pyrimidin_4_3H__one_formate_lyase_activity	adenosylcobinamide_hydrolase_activity	indoleacetamide_hydrolase_activity	N_acetylcitrulline_deacetylase_activity	choloylglycine_hydrolase_activity	X2__acetamidomethylene_succinate_hydrolase_activity	N__long_chain_acyl_ethanolamine_deacylase_activity	N_carbamoyl_D_amino_acid_hydrolase_activity	phthalyl_amidase_activity	N_acetylgalactosamine_6_phosphate_deacetylase_activity	N_acyl_D_amino_acid_deacylase_activity	N_acyl_D_glutamate_deacylase_activity	N_acyl_D_aspartate_deacylase_activity	X4_acetamidobutyryl_CoA_deacetylase_activity	X5_aminopentanamidase_activity	acetylspermidine_deacetylase_activity	aryl_acylamidase_activity	hippurate_hydrolase_activity	N_N_dimethylformamidase_activity	N_acetyldiaminopimelate_deacetylase_activity	N_carbamoylputrescine_amidase_activity	N_carbamoylsarcosine_amidase_activity	N_formylglutamate_deformylase_activity	omega_amidase_activity	glutamin__asparagin__ase_activity	mandelamide_amidase_activity	N_carbamoyl_L_amino_acid_hydrolase_activity	protein_glutamine_glutaminase_activity	protein_glutaryllysine_deglutarylase_activity	protein_N_terminal_glutamine_amidohydrolase_activity	para_aminobenzoyl_glutamate_hydrolase_activity	ceramidase_activity	UDP_3_O_acyl_N_acetylglucosamine_deacetylase_activity	X2_oxoglutaramate_amidase_activity	N4_acetylcytidine_amidohydrolase_activity	deaminated_glutathione_amidase_activity	Remaining
0159_AS41_40055_20180716_ST	251882058	55220.3333333333	30897	0.5	65.6666666666667	265.5	34.3333333333333	141675.166666667	11571	10071.5	131931.75	120.5	765	131697.533333333	33.9136904761905	0	22376	1	215173.916666667	11592.644047619	42525.375	28502.5	28293	9813	1821	54678.3095238095	15759	39856.5	39	7	22943	0	34156.5	24623	590.5	5515.97380952381	5515.97380952381	45.6666666666667	39495.8333333333	0	0	0	1	7453.58333333333	0	28546	6	0	3069.5	0	15615.0833333334	30969	913.5	3879	0	0	5	0	539.5	0	2437.75	7813	132.5	1	954	4	31	31669.3333333333	6428.91666666667	0.428571428571429	0	0	22	12033.3547619048	313	0	6	250611540.160119
0159_AP39_21110_20190111_ST	186513229	36433.75	42280	5	4	133	723.166666666667	157605.333333333	7523.16666666667	13362	89915.3333333333	4	1330	94733.6333333333	35.8571428571428	0	17097.1111111111	1	196347.025	6249.95	6996.125	8581	9820	4229	10451.5	31148.5	1500.58333333333	13540	201.666666666667	0	8570.5	0	10618	5415	1107.5	1142.25	1142.25	66.8333333333333	55025.25	0	0	4.5	1	4674.83333333333	0	31223.5	7	1	7006	0	14065.6111111111	2022	264	114	0	0	6	0	1234.66666666667	16	6121	8195	557.5	3	201	1135	44.5	1634.5	4484.08333333333	1	0	0	201.666666666667	10082.2333333333	707	0	0	185585882.120635
0159_AA34_42475_20190911_ST	166344029	32824.0333333333	49499.5	1.5	6.66666666666667	1151	393.2	116715.583333333	3704.5	15271	83447.0833333333	0	624.666666666667	115191.866666667	32.1071428571428	1	17068.0833333334	0	194673.833333333	3934.98333333333	5004.75	17144.25	22.5	1532	6047.5	36982.6666666667	2.33333333333333	4974.66666666667	18.5	0	13183	0	24307	6736	3202.5	3660.49285714286	3660.49285714286	1.33333333333333	27667	0	0	0	2	4903.58333333333	0	44701	94	0	8427.25	0	12218.8333333334	1213	419.5	6	0	0	0	0	1528.5	0	1105.5	6513	606	2	2231	44.5	161.833333333333	1509.33333333333	8534.41666666667	0.142857142857143	0	0	18.5	6103.33333333333	186	0	0	165454812.180952
0159_AA34_42480_20191103_ST	114788551	20064.1666666667	7416.5	576	6	49	3.5	41525.0166666667	2497.83333333333	14217	45907.5	0	9	68353.775	16	0	17549.5555555556	1	110941.875	2543.59642857143	5354.125	4426.5	123.5	4153	4528	39909.8333333333	27	5295.33333333333	2.33333333333333	0	6369	0	17074	3972.5	696.5	1847.94285714286	1847.94285714286	19	27426.25	0	0	0	26	1524.43333333333	0	38204	12	1	6778	0	11754.0555555555	758	10	0	0	0	18.5	0	1389.33333333333	0	263	8004.5	72	1	3	5.5	7	1497.83333333333	2301	3.14285714285714	0	0	2.33333333333333	2306.72619047619	32	0.333333333333333	0	114258826.229365
0159_AP39_21298_20181004_ST_E21	86839131	13891.9166666667	25584	0	1.66666666666667	45	76.5833333333333	51872.8166666667	1006	8513.33333333333	47659.5	0	113.333333333333	58788.0833333333	9	0	9689.6111111111	0	72271.0833333335	1559.90833333333	1673.125	6727.5	35.5	565	2674	16080.1666666667	4.66666666666667	2095.5	218	0	4163.5	0	10136.5	3403.66666666667	640.25	1707.48333333333	1707.48333333333	3.33333333333333	16242.6666666667	0	0	0	0	2539.81666666667	0	18558	7	0	4236	0	7385.7777777778	648	484	21	0	0	11.5	0	447.5	4.5	509.25	3947	53.5	5	1728.33333333333	2	9	369.833333333333	2891.33333333333	0	0	0	217	2359.08333333333	102.333333333333	0	0	86433434.0611111
0159_AK37_71062_20190607_ST	69169479	14942.9166666667	10636.5	11	5.66666666666667	57	2851.5	28376.7666666667	478.5	4350	37938.3333333333	0.5	237	51375.55	6.57142857142855	0	6949.19444444445	1	64402.8333333335	2014.90119047619	5719.25	4825.5	1658.5	3092	977	16691.5	257.166666666667	1908	12.5	0	5363.5	0	6371	1139.33333333333	65	1528	1528	46	17397.0833333333	0	0	0	2	1373.93333333333	0	18637	12	0	2895.5	0	4008.27777777778	1752.5	101	32	0	0	8.5	0	3001.5	0.5	231	1865	71.5	5	307.333333333333	42.5	43	667.5	1557.41666666667	0	0	0	12.5	3351.70238095238	245.333333333333	0	0	68836039.4361111
0159_AP39_21108_20171121_ST	68136264	18502.1666666667	8546.5	11	0.666666666666667	63	1167.5	40049.8166666667	747	7317.33333333333	38263.4166666667	0	212.333333333333	42892.3833333333	15	0	8392.91666666665	2	67997.1	3241.43452380953	7108.625	8919	12842.5	4549	1408	18352	1826.08333333333	1795.33333333333	66	0	3787	0	3827.5	1688.16666666667	130	1165.89285714286	1165.89285714286	364	11026.5	0	0	92.5	6	1645.31666666667	0	7890	43	0	3685.75	0	6695.75	1341	37.5	15	0	0	4	0	149	0.5	828.75	1116.5	293	2	245.666666666667	8.5	148.5	330	1425.75	0	0	0	65	3545.53571428571	1801.66666666667	0	0	67787404.752381
0159_AP39_21129_20180205_ST	62377466	19318.8333333333	4863	14	3.33333333333333	43	3.16666666666667	36116.0333333333	1631.5	9716.5	33788.3333333333	0	257	46102.6666666667	8	0	6726.66666666665	0	77907.0833333335	1296.34285714286	3032	2546.5	31.5	639	2358.5	8267.83333333333	4	4877.5	17	0	3103.5	0	4101	876.5	1265.5	1437.60952380952	1437.60952380952	1	11081	0	0	2.5	2	497.616666666667	0	15342.5	12	0	2821.75	0	4601.16666666667	1378.5	406.5	16	0	0	18	0	565	0	114	3952.5	189.5	4	1990.33333333333	5.5	107	765.333333333333	3673.33333333333	0.142857142857143	0	0	15	2186.61904761905	213.333333333333	0	0	62055712.8595238
0159_AP39_21301_20180706_ST_E21	62312960	10097.75	18943.5	0	1.33333333333333	33.5	54.6666666666667	36988.6666666667	704.333333333333	6147.16666666667	32829.5	0	52.6666666666667	40734.05	5.5	0	6860.16666666665	0	50821.25	1026.25714285715	781.25	4184.5	10	436	1917	10869.5	0	1498.5	169.5	0	2758	0	6205.5	2374.33333333333	547	1163	1163	0	11921	0	0	0.5	0	1743.58333333333	0	13110	0	0	2927.75	0	5285.66666666665	623	347.5	17	0	0	6	0	330.833333333333	0	359	3274.5	22.5	1	1286	0.5	7	257.666666666667	2362.91666666667	0	0	0	169.5	1606.44761904762	41	0	0	62027881.7452381
0159_AK37_71054_20190305_ST	44724247	12034	6569	11	112.666666666667	26	61.5	33603.8	953.333333333333	5981	25746	1.5	83	25370.0333333333	2	0	5514.19444444445	0.5	43941.75	1318.30595238095	3708.875	5085.5	846.5	1422	1085	14375.8333333333	162.333333333333	3003.66666666667	37.8333333333333	16	3691.5	0	6539.5	1357.66666666667	65.75	914.219047619048	914.219047619048	152.166666666667	27193.25	0	0	3.5	5	1922.63333333333	0	16259	31	0	3150.5	0	3668.94444444444	639.5	80.5	2	0	0	0	0	72.3333333333333	0	2009.5	2297.5	50.5	63	53	7	74.8333333333333	214.583333333333	1270.66666666667	0.857142857142857	0	0	37.8333333333333	1280.67857142857	134	0	0	44459016.7396826
