sample_id	total	carboxy_lyase_activity	aminocarboxymuconate_semialdehyde_decarboxylase_activity	adenosylmethionine_decarboxylase_activity	aromatic_L_amino_acid_decarboxylase_activity	aspartate_1_decarboxylase_activity	diphosphomevalonate_decarboxylase_activity	glutamate_decarboxylase_activity	histidine_decarboxylase_activity	indole_3_glycerol_phosphate_synthase_activity	ornithine_decarboxylase_activity	orotidine_5__phosphate_decarboxylase_activity	phosphatidylserine_decarboxylase_activity	phosphoenolpyruvate_carboxykinase_activity	phosphopantothenoylcysteine_decarboxylase_activity	phosphoribosylaminoimidazole_carboxylase_activity	pyruvate_decarboxylase_activity	tyrosine_decarboxylase_activity	uroporphyrinogen_decarboxylase_activity	gamma_glutamyl_carboxylase_activity	X2_oxoglutarate_decarboxylase_activity	X3_octaprenyl_4_hydroxybenzoate_carboxy_lyase_activity	arginine_decarboxylase_activity	diaminopimelate_decarboxylase_activity	lysine_decarboxylase_activity	oxaloacetate_decarboxylase_activity	oxalyl_CoA_decarboxylase_activity	tartronate_semialdehyde_synthase_activity	ribulose_bisphosphate_carboxylase_activity	X4_5_dihydroxyphthalate_decarboxylase_activity	gallate_decarboxylase_activity	X4_hydroxybenzoate_decarboxylase_activity	X5_oxopent_3_ene_1_2_5_tricarboxylate_decarboxylase_activity	glutaconyl_CoA_decarboxylase_activity	X2_4_dihydroxyhept_2_ene_1_7_dioate_aldolase_activity	phosphonopyruvate_decarboxylase_activity	X3_dehydro_L_gulonate_6_phosphate_decarboxylase_activity	diaminobutyrate_decarboxylase_activity	X4_hydroxyphenylacetate_decarboxylase_activity	X5_amino_4_imidazole_carboxylate_lyase_activity	oxalate_decarboxylase_activity	X2_2_dialkylglycine_decarboxylase__pyruvate__activity	branched_chain_2_oxoacid_decarboxylase_activity	indolepyruvate_decarboxylase_activity	X5_guanidino_2_oxopentanoate_decarboxylase_activity	arylmalonate_decarboxylase_activity	X4_oxalocrotonate_decarboxylase_activity	X4_carboxymuconolactone_decarboxylase_activity	acetoacetate_decarboxylase_activity	acetolactate_decarboxylase_activity	aspartate_4_decarboxylase_activity	UDP_glucuronate_decarboxylase_activity	threonine_phosphate_decarboxylase_activity	malonyl_CoA_decarboxylase_activity	o_pyrocatechuate_decarboxylase_activity	phenylalanine_decarboxylase_activity	phenylpyruvate_decarboxylase_activity	tartrate_decarboxylase_activity	UDP_galacturonate_decarboxylase_activity	X3_oxolaurate_decarboxylase_activity	sulfopyruvate_decarboxylase_activity	benzoylformate_decarboxylase_activity	X2_oxo_4_hydroxy_4_carboxy_5_ureidoimidazoline_decarboxylase_activity	X3_oxo_myristate_decarboxylase_activity	X3_oxo_palmitate_decarboxylase_activity	phenylacetaldehyde_synthase_activity	Remaining
0159_AS41_40055_20180716_ST	251882058	262511.233333333	5375	23993.5	0	24441	40.6666666666667	13800	6462	49247.4166666667	50589	85979.45	50424.8333333333	122635	23113	6596.73333333333	1595.08333333333	0.5	55594.9166666667	0	18.3333333333333	344.333333333333	118462.666666667	92597.3333333333	103485	62642.5833333333	3.5	19.0833333333333	482.066666666667	39	3	4473	12487.3333333333	24213	7713	912.166666666667	11184.5	16869.8333333333	68360.75	2133.48333333333	1320.5	2.66666666666667	1.25	16269.9166666667	0	15	1303	9781	22	19646	1202.16666666667	15887.8333333333	49907	5888.5	0.5	0.5	0.25	999.866666666667	0	0	21	633.75	3.5	0	0	0	250450308.5
0159_AP39_21110_20190111_ST	186513229	116311.666666667	134.5	8494.5	0	22015.2777777778	3017	13032.3333333333	2161	47055.7333333333	14457.6666666667	75686.5	41399.8333333333	74227.9166666667	23854.9166666667	5949.14285714286	46.15	8.75	32053.45	1	50.75	89.6666666666667	109131.833333333	80527	19792.1666666667	25896.6666666667	2511.08333333333	2879	2369.93333333333	11	0	414	3762.33333333333	19400.5	991.5	1565.83333333333	4210.16666666667	358.083333333333	40177.1666666667	1606.39285714286	3594	137.333333333333	0	410.75	0	63	1296	3197	31	5686	705.833333333333	22124.1666666667	25334.8333333333	65.5	0	2.25	0	21.7333333333333	0	0	0	33	0	0	0	0	185654874.186508
0159_AA34_42475_20190911_ST	166344029	87929.6	0	6181	0	13759.9444444444	12.6666666666667	19769.3333333333	5302	32477.0333333333	79	55234	24861.4166666667	29369.5833333333	13984.3333333333	911	0	0	37584.4166666667	0	1	7	66810	57162	1617	22639.8666666667	0	102.25	171.233333333333	31	0	44	8.83333333333333	22808	9.33333333333333	1955.83333333333	3.83333333333333	54.8333333333333	17114.5	265.416666666667	2704	14.6666666666667	0	2	0	109	2.5	1218	105	663.5	6451.83333333333	17316.3333333333	20347.1666666667	3	0	0	0	0	0	0	0	12.0833333333333	0	0	0	0	165776818.655556
0159_AA34_42480_20191103_ST	114788551	62087.2333333333	0	3094	0	9542.33333333333	117.833333333333	6308	114	23772.0666666667	1925	53818.6666666667	16298.6666666667	46126	13626	2417.81666666667	2.7	3.08333333333333	9629	0	1.11666666666667	1.5	75522.6666666667	58409.5	1619	10388.3833333333	0.666666666666667	3.91666666666667	860.233333333333	0	0	11	81.5	23595	27.3333333333333	109.166666666667	34.8333333333333	82.5833333333333	20637.1666666667	110.533333333333	2117	14.3333333333333	0.666666666666667	32.1666666666667	0	0	4.5	311.5	267	2197	3218	5402.16666666667	26084.1666666667	3	0	1.75	0	0	0	0	0	0	0	0	0	0	114308519.25
0159_AP39_21298_20181004_ST_E21	86839131	54848.2333333333	0.333333333333333	2353.83333333333	0	6235.22222222222	80.3333333333333	7510.5	2789	13674.0333333333	1635.83333333333	29882.5	11293.3333333333	17696.5833333333	9510.91666666667	784.016666666667	0.5	0.833333333333333	13568.3333333333	0	0.333333333333333	14.5	47657.6666666667	35965	948.333333333333	11545.9166666667	16.75	14.3333333333333	404	2	0	35	25.1666666666667	15280.5	5.66666666666667	1546.91666666667	17	17.1666666666667	11299.8333333333	145.333333333333	1475	16.3333333333333	0	4.66666666666667	0	14	1	677.5	22.5	180	2406.83333333333	7947.41666666667	17424.6666666667	2	3	0	0	0.2	0	0.666666666666667	0	3.16666666666667	0	0.666666666666667	0.666666666666667	0	86512144.9611111
0159_AK37_71062_20190607_ST	69169479	44413.6666666667	37.5	3869	0	5877.5	85	12777	1153	18007.9	4943	29312.4	13473.5833333333	26571.9166666667	7581.58333333333	2633.3119047619	9.03333333333333	0	11484.4166666667	0	4.33333333333333	13	29796.3333333333	31314.3333333333	4754.5	7705.11666666667	440.75	506.25	356.466666666667	7	0	51	1348.33333333333	7399.5	25	291.833333333333	691.166666666667	82.5	15332.5166666667	164.028571428571	1292.5	13.3333333333333	0	96.5	0	91	6.5	1040.5	5	270	1402.66666666667	9581	10670.6666666667	37	0.5	0	0	4	0	0	0	6.16666666666667	0	0	0	0	68862447.8928571
0159_AP39_21108_20171121_ST	68136264	45848.45	23.3333333333333	7736.5	0	6734.5	206	14535	1047	10269.8	29334.8333333333	26227.5	16522.4166666667	36174.4166666666	7594.66666666667	3117.8	6.3	97.6666666666667	34120.9166666667	0	56.75	89.8333333333333	42754.8333333333	24576.6666666667	25206.8333333333	12064.5833333333	3567.41666666667	7745.36666666667	381.433333333333	40	0	149	30.3333333333333	3805	24	656.083333333333	5499.33333333333	45.5	23616.0833333333	647.65	750	60	0	40.6666666666667	1.66666666666667	107	8.5	2124	96	877	513.5	5810.91666666667	5117.33333333333	16	1	0	0	6.33333333333333	0	0	90.1666666666667	13.1666666666667	0	0	0	0	67730076.95
0159_AP39_21129_20180205_ST	62377466	45839.5	0	1946	0	5812	9.66666666666667	6286.5	1118	10384	832	23764.8333333333	8934.5	13782.0666666667	7043.5	1696.45952380952	0	0	21105.75	0	0.25	3.5	30989	27998.6666666667	313	6499.28333333333	125.083333333333	36.6666666666667	194.3	4	0	15	38.5	9887	1.5	208.916666666667	14.6666666666667	46.5	16935.7	42.2595238095238	1176	94	0	0.25	0.333333333333333	29	0	737	290	23.5	1711.83333333333	9115.5	9529.66666666667	1	6	0	0.25	0	0	0	0.833333333333333	5.33333333333333	0.5	0	0	0	62112836.4309524
0159_AP39_21301_20180706_ST_E21	62312960	38132.9	0	1326	0	4611	34.6666666666667	5094.5	1908	9843.26666666667	992.666666666667	21439.75	8223	12527.75	6720.16666666667	538.65	0	0	9264.33333333333	0	0.866666666666667	0.5	34148.3333333333	26233	799.166666666667	7964.71666666667	8.75	6.08333333333333	208.2	5	0	18	15.1666666666667	11087.5	4	872.166666666667	2	3.5	8169.83333333333	107.2	1164	5	0.333333333333333	1.33333333333333	0	11.5	1	446	7	64	1362.5	5925.66666666667	11901	3	4	0	0	0	0	0	0	2.33333333333333	0	0	0	0	62081750.7
0159_AK37_71054_20190305_ST	44724247	28373	4.5	1152.5	0	3608.55555555556	1361.16666666667	4142.5	392	10352.9666666667	2219.5	17617.8333333333	7280	14555.4166666667	4900.5	2084.71666666667	20.85	534	12784.4166666667	0	63	24	16585.6666666667	17919.3333333333	1479.5	5419.76666666667	170.333333333333	381	213.833333333333	0	0	77	22	4621	14.6666666666667	414.083333333333	562.333333333333	804.333333333333	6540.16666666667	821.333333333333	655	23.3333333333333	0.666666666666667	267.083333333333	0	31	3	812	1233	3232	2162.83333333333	3037.33333333333	6519.83333333333	17	0.5	351	0	3.53333333333333	0	0	0	27.8333333333333	0	0	0	0	44538352.2777778
