sample_id	total	hydro_lyase_activity	X3_dehydroquinate_dehydratase_activity	X3_hydroxybutyryl_CoA_dehydratase_activity	X3_isopropylmalate_dehydratase_activity	aconitate_hydratase_activity	carbonate_dehydratase_activity	cystathionine_beta_synthase_activity	dihydroxy_acid_dehydratase_activity	enoyl_CoA_hydratase_activity	fumarate_hydratase_activity	homoaconitate_hydratase_activity	imidazoleglycerol_phosphate_dehydratase_activity	phosphogluconate_dehydratase_activity	methylglutaconyl_CoA_hydratase_activity	phosphopyruvate_hydratase_activity	porphobilinogen_synthase_activity	prephenate_dehydratase_activity	pseudouridylate_synthase_activity	tryptophan_synthase_activity	uroporphyrinogen_III_synthase_activity	X4_alpha_hydroxytetrahydrobiopterin_dehydratase_activity	GDP_mannose_4_6_dehydratase_activity	dTDP_glucose_4_6_dehydratase_activity	X_3R__hydroxymyristoyl__acyl_carrier_protein__dehydratase_activity	X2_oxopent_4_enoate_hydratase_activity	L____tartrate_dehydratase_activity	altronate_dehydratase_activity	X4_hydroxy_tetrahydrodipicolinate_synthase_activity	galactarate_dehydratase_activity	galactonate_dehydratase_activity	glucarate_dehydratase_activity	mannonate_dehydratase_activity	urocanate_hydratase_activity	X3_hydroxyacyl_CoA_dehydratase_activity	X2_oxo_hept_3_ene_1_7_dioate_hydratase_activity	acetylene_hydratase_activity	lactoyl_CoA_dehydratase_activity	nitrile_hydratase_activity	cyclohexa_1_5_dienecarbonyl_CoA_hydratase_activity	X3_hydroxyacyl__acyl_carrier_protein__dehydratase_activity	glyoxalase_III_activity	X2_hydroxyisoflavanone_dehydratase_activity	bile_acid_7alpha_dehydratase_activity	X3alpha_7alpha_12alpha_trihydroxy_5beta_cholest_24_enoyl_CoA_hydratase_activity	ectoine_synthase_activity	X2_hydroxyhexa_2_4_dienoate_hydratase_activity	protein_deglycase_activity	X4_hydroxybutanoyl_CoA_dehydratase_activity	O_succinylbenzoate_synthase_activity	X3_hydroxypropionyl_CoA_dehydratase_activity	glycerol_dehydratase_activity	X3_dehydroshikimate_dehydratase_activity	methylthioribulose_1_phosphate_dehydratase_activity	X5_dehydro_4_deoxyglucarate_dehydratase_activity	X2_dehydro_3_deoxy_L_arabinonate_dehydratase_activity	ATP_dependent_NAD_P_H_hydrate_dehydratase_activity	X2_methylisocitrate_dehydratase_activity	X_R__2_methylmalate_dehydratase_activity	X2_methylcitrate_dehydratase_activity	X4_oxalmesaconate_hydratase_activity	arabinonate_dehydratase_activity	CDP_glucose_4_6_dehydratase_activity	arogenate_dehydratase_activity	citrate_dehydratase_activity	D____tartrate_dehydratase_activity	D_glutamate_cyclase_activity	dimethylmaleate_hydratase_activity	gluconate_dehydratase_activity	isohexenylglutaconyl_CoA_hydratase_activity	itaconyl_CoA_hydratase_activity	L_arabinonate_dehydratase_activity	L_fuconate_dehydratase_activity	L_rhamnonate_dehydratase_activity	maleate_hydratase_activity	myo_inosose_2_dehydratase_activity	oleate_hydratase_activity	propanediol_dehydratase_activity	pyrazolylalanine_synthase_activity	trans_L_3_hydroxyproline_dehydratase_activity	UDP_glucose_4_6_dehydratase_activity	xylonate_dehydratase_activity	trans_feruloyl_CoA_hydratase_activity	cyclohexyl_isocyanide_hydratase_activity	L_serine_hydro_lyase__adding_indole__L_tryptophan_forming__activity	ADP_dependent_NAD_P_H_hydrate_dehydratase_activity	tRNA_threonylcarbamoyladenosine_dehydratase	X6_carboxy_5_6_7_8_tetrahydropterin_synthase_activity	X3R_hydroxyacyl_CoA_dehydratase_activity	very_long_chain_3_hydroxyacyl_CoA_dehydratase_activity	X3_hydroxy_arachidoyl_CoA_dehydratase_activity	X3_hydroxy_behenoyl_CoA_dehydratase_activity	X3_hydroxy_lignoceroyl_CoA_dehydratase_activity	glyoxalase__glycolic_acid_forming__activity	Remaining
0159_AS41_40055_20180716_ST	251882058	201610.071428571	74161.219047619	3424.33333333333	77261.3833333333	56917.2333333333	42973.0833333333	24333.7857142857	101410.433333333	48931.8	110888.166666667	14.4166666666667	37153.0166666667	20117.9666666667	1	56831.0761904762	15519.8333333333	72143.8333333333	5262.95	172112.633333333	63636.3333333333	0	23818.1666666667	160676.666666667	11983.3761904762	17575	28970.1666666667	11944.6666666667	117234.678787879	67902	35367.1666666667	33630	126477.166666667	103476.5	0.166666666666667	3588.5	510.832936507936	12	1.5	0	29990.4404761905	2619.5	0	289	103	45	0.5	0	709.166666666667	29091.3333333333	0	31528	4488.83333333333	17738.5	1	56	0	2740.21666666667	31.5	25.3333333333333	1331	1	10803	3439	55896.3666666667	0	0	5577.58333333333	240	0	0	30	308.5	29163.3333333333	0	59158.6666666667	22307.9166666667	76404.1666666667	10	9	0	2	0	3058.5	0	26120.8666666667	0	10718.3333333333	0	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0	249530147.652561
0159_AP39_21110_20190111_ST	186513229	198808.392857143	58392.1666666667	5201.66666666667	77777.6333333333	32234.75	19966.5833333333	1032	93416.6	26714.8166666667	56262.4166666667	265	35410.6333333333	3216.26666666667	3	64319.1666666667	11878.5	60248.4242424242	3456.66666666667	172374.633333333	46280.9666666667	0	33248.25	167792.25	13319.05	6199.5	18350.0833333333	9308.33333333333	85464.4696969697	30163.8333333333	19069.5	7113.5	78774	19249.3333333333	0	1273.5	838.942857142857	27	0	0	33303.125	3764	0	263	405.5	38	0	423.625	836	6669.16666666667	0	2023.83333333333	169.916666666667	3904.5	0	0	0.142857142857143	1211.56666666667	24.5	4170	35	15	29993	544.166666666667	31954.4	2.5	0	14175.1666666667	23	0	0	0	584	6023.66666666667	0	5941	27916.9166666667	8390.66666666667	0	41	0	5.5	0	5933	0	22475.9095238095	0.25	10539.8333333333	0	0	0	0	0	0	184833976.317965
0159_AA34_42475_20190911_ST	166344029	170480.35	37410.5761904762	5270.16666666667	60033.1428571429	22246.8261904762	8782	3	54101.2666666667	14282.8666666667	30854.25	0	26946.9083333333	7.16666666666667	0	47635.3833333333	5826.33333333333	30123	2815.75	114752.666666667	31856.5	3	41340.3333333333	104545.166666667	8201.6467032967	372.5	9312.58333333333	11593.6666666667	65988.8636363636	29800.6666666667	16736.1666666667	1040.5	83691.6666666667	66062	0	3	1184.75119047619	0	0	0	20504.1167582417	2567	0	29	394	3	355	1.25	2400	3862.83333333333	0	708.5	419	2858.5	0	242	0.285714285714286	107.8	35.75	91.5	108	8	37240	167.833333333333	22186.4095238095	2.5	0	5830.13333333333	305.5	0	0	1	109.5	515.166666666667	0	16971	18005.6666666667	490.5	0	0	0	2	0	3162	0	21060.9523809524	0	9376.83333333333	0	0	0	0	0	0	165070601.803855
0159_AA34_42480_20191103_ST	114788551	161483.119047619	49128.25	11228	58076	14143.7	9980.66666666667	7162.14285714286	60456.5333333333	8062.18333333333	32337.75	6	29506.925	67.8666666666667	0	43358.75	4459.5	30644.9166666667	326.333333333333	71102.7333333333	18814.5	1	9882.66666666667	69120.3333333333	7040.14285714286	38.5	17794.4166666667	7057.33333333333	54961.1666666667	26712.8333333333	4620.75	881	48981.6666666667	29524	0	18	645.233333333333	6	0	2	17600.3571428571	1550.5	0	6	179	3	0	0.75	538	2823.16666666667	0	953.333333333333	13.8333333333333	4122.5	1	0	0	5343.26666666667	88	4	826	50	12864	1997.16666666667	14051.0833333333	0	0	10654.7833333333	9	0	0	0	1595	603.333333333333	0	6626.5	25160.8333333333	4030.16666666667	0	0	0	4.5	0	10044	0	14969.5	0	6123.5	0	0	0	0	0	0	113758082.013095
0159_AP39_21298_20181004_ST_E21	86839131	102152.833333333	27102.6333333333	5680.16666666667	32349.3833333333	9118.28333333333	4805.83333333333	385.5	33654.55	6079.96666666667	20201.8333333333	9.91666666666667	17341.7666666667	16.7666666666667	0	26895.8333333333	2947.5	18277.75	476.666666666667	50010.5333333333	14535.6666666667	2	14559.0833333333	71726.8333333333	5287.28333333333	36	6941.5	4808.83333333333	40717.1666666667	16732.8333333333	5595.83333333333	337	40443.3333333333	25017.6666666667	0	2	667.202777777778	0	0	0	13218.2083333333	787.5	0	227	217	87	0	31.5	509	2509.33333333333	0	336.75	135.833333333333	1596	1	2	0.166666666666667	359.433333333333	19.5	56.5	20	6	12784	293.5	9092.61666666667	3	0	7092.65	35.5	0	0	3	201.5	592.75	0	5495.66666666667	17874.3333333333	882.5	40	26	0	0	0	5514.5	0	10546.9166666667	0	4625.5	0	0	0	0	0	0	86138989.3888889
0159_AK37_71062_20190607_ST	69169479	105294.583333333	19728.45	3946.83333333333	28254.8	10649.9166666667	5193.91666666667	3997.64285714286	21297.0333333333	6688.91666666667	22217.8333333333	44.6666666666667	13492.5666666667	535.4	0	26695.719047619	4975	18130.75	1736.66666666667	52950.5666666667	16694.6666666667	0	11527.75	52140.5833333333	3650.32857142857	212.5	3321.5	3620.33333333333	37448.3333333333	8791.33333333333	4704.25	1674.5	26443	21340.8333333333	0	47.5	308.684523809524	0	0	0	9125.82142857142	865	0	1660	357	77	0	69.125	276	1141.33333333333	0	339.5	60.5833333333333	731	0	2	0	3407.88333333333	4.5	58	46	6	6299	1545.16666666667	10595.0833333333	1	0	3856.91666666667	328.5	0	0	0	259.5	1076.66666666667	0	3637.66666666667	10606.1666666667	1853.16666666667	0	15	0	955.333333333333	0	1533	0	8849.7	0	3970.16666666667	0	0	0	0	0	0	68558112.8619048
0159_AP39_21108_20171121_ST	68136264	52352.869047619	15008.4595238095	660.5	23929.7333333333	15563.55	4845.33333333333	141.357142857143	29931.05	6473.23333333333	28702.1666666667	573.333333333333	9904.48333333333	4043.66666666667	0	18741.1666666667	6281	14941.6666666667	4644.58333333333	39471.9666666667	15954.3666666667	1	10922.75	49608.4166666667	4071.36904761905	45.5	7188.16666666667	5511.5	28625.0454545455	28723.5	16743.5	10174	23646.5	17238.3333333333	0	19	604.66746031746	2	0	0	10184.9226190476	2870.5	0	90	227	39	0	921.875	628	5084.66666666667	0	520.583333333333	42.3333333333333	1278	1	5	0	977.183333333334	14.5	6656.5	45	120	5014	77.1666666666667	15175.6833333333	0.5	0	4226.66666666667	124	0	1	2	62.5	6834.16666666667	0	2412.83333333333	3867.83333333333	11709.6666666667	0	28	0	12.5	0	157	0	6646.51666666667	0	4653.16666666667	0	0	0	0	0	0	67550263.0013708
0159_AP39_21129_20180205_ST	62377466	88631.5	16682.8928571429	1941.5	25788.2916666667	5388.2	1996.66666666667	558.142857142857	21154.5333333333	3849.51666666667	16801	10.6666666666667	12215.0333333333	17	1.5	19912.3333333333	3520.66666666667	13650.5833333333	815.416666666667	39776.3333333333	14156	0	3969.66666666667	44935.3333333333	3181.10238095238	19	4988.66666666667	1848.83333333333	29052.1666666667	10193.3333333333	4862.83333333333	689.5	18634.5	21165	0	4	2221.45357142857	12	0	0	7952.75595238095	213	0	158	466	9	0	2.75	720.5	1744.66666666667	1	369.5	211	1550	1	0	0.666666666666667	546.466666666667	16.5	19.5	86	65	8302	255.166666666667	5380.53333333333	4	0	5311.38333333333	58.5	0	2	13	137	210.5	0	4387.16666666667	9151	1506.66666666667	19	46.5	0	0	0	1195	0	7160.76666666667	0	3272	0	0	0	0	0	0	61884275.3440476
0159_AP39_21301_20180706_ST_E21	62312960	76737.0833333333	19561.4595238095	4154.33333333333	23134.425	6432.9	3261	182.5	23311.4	4168.58333333333	14267.9166666667	6.33333333333333	12597.5	2.66666666666667	0	19501.2	2167	12981.0833333333	396.083333333333	35134.8333333333	10243.3333333333	0	10147.6666666667	50808	3681.11428571429	1.5	5568.25	3483.83333333333	29666.6666666667	11819.3333333333	3885.5	274.5	27884.3333333333	17110.5	0	0.5	421.625	0	0.5	0	9203.78571428572	586	0	175	146	1	0	82.5	315.5	1608.16666666667	0	199.416666666667	79.8333333333333	1225.5	0	4	0	179.65	14.5	23	24	2	8175	182.5	6417.56666666667	1	0	5402.71666666667	29	0	0	2	168	458.333333333333	0	3824.16666666667	13494.1666666667	553.833333333333	38	11	0	0	0	3813.5	0	7378.97619047619	0	3451.5	0	0	0	0	0	0	61812693.4309524
0159_AK37_71054_20190305_ST	44724247	51172.0833333333	11593.5666666667	485	14739.05	5746.68333333333	3707	664.857142857143	14202.35	5020.68333333333	11394.8333333333	5.83333333333333	7964.96666666667	529.533333333333	0	14641.7833333333	1959.16666666667	10289.2	895.5	33459.8	8780.83333333333	3	8315.08333333333	32503.5833333333	2325.87380952381	402	2326.83333333333	1367.33333333333	20490.9666666667	7074.83333333333	3141.33333333333	896	21994.8333333333	16606.3333333333	0	6	440.448015873016	24	32	0	5815.68452380952	739.5	0	156.5	246	1	0	1	544	1651.83333333333	0	1032.16666666667	26	1410	0	2	0	747.933333333333	13	796.5	42	13	3323.5	195.666666666667	5624.1	717.5	0	2950.46666666667	72.1666666666667	0	0	3	157.5	74.75	0	3226.33333333333	8646.91666666667	1881	2	4	0	1	0	279	0	5631.45	0	1846.25	0	0	0	0	0	0	44361169.1031746
