sample_id	total	transmembrane_transporter_activity	amine_transmembrane_transporter_activity	organic_acid_transmembrane_transporter_activity	ion_transmembrane_transporter_activity	carbohydrate_transmembrane_transporter_activity	polyamine_transmembrane_transporter_activity	nucleobase_transmembrane_transporter_activity	heme_transmembrane_transporter_activity	inorganic_molecular_entity_transmembrane_transporter_activity	siderophore_transmembrane_transporter_activity	efflux_transmembrane_transporter_activity	organophosphate_ester_transmembrane_transporter_activity	nucleobase_containing_compound_transmembrane_transporter_activity	oxidative_phosphorylation_uncoupler_activity	toxin_transmembrane_transporter_activity	passive_transmembrane_transporter_activity	active_transmembrane_transporter_activity	macromolecule_transmembrane_transporter_activity	amide_transmembrane_transporter_activity	xenobiotic_transmembrane_transporter_activity	modified_amino_acid_transmembrane_transporter_activity	auxin_transmembrane_transporter_activity	vitamin_transmembrane_transporter_activity	azole_transmembrane_transporter_activity	carbohydrate_derivative_transmembrane_transporter_activity	poly_beta_1_6_N_acetyl_D_glucosamine_transmembrane_transporter_activity	organic_hydroxy_compound_transmembrane_transporter_activity	sulfur_compound_transmembrane_transporter_activity	Remaining
0159_AS41_40055_20180716_ST	251882058	9962524.07142857	11427.6666666667	734937.439155844	3144079.90072661	743193.899810606	21171.3440656566	485052.590909091	47248.65	1596861.73930225	306804.083333334	1302466.825	8004.38888888889	126227.1875	0	26785	1861470.78958333	4194152.56696185	200524.292361111	328115.536111111	795491.658333334	11244.2777777778	0	77227.919949495	5994.81944444444	177338.548611111	64792	82982.7	51044.8476190476	225514893.25646
0159_AP39_21110_20190111_ST	186513229	4447695.12619048	3051.33333333333	447241.755912699	2082103.07302249	395542.149305556	12726.125	426524.333333333	36179.5083333334	1120580.71708003	91591.6666666666	688448.916666667	3834.92939814815	55139.46875	0	4346.66666666667	715277.355555556	3140982.25633267	178580.333333333	209520.819444444	716615.666666667	7052.48611111111	0	50848.5	5081.375	73101.4675925926	9064	66725.7777777778	38230.2916666667	171487142.90086
0159_AA34_42475_20190911_ST	166344029	3715757.73333333	1060	277710.634027778	1629020.97725694	268690.096180556	9338.68055555557	189820.166666667	7769.16666666666	821806.742418981	102075.5	1094950.66666667	279.849537037037	26921.3583333333	0	921	359033.981944444	2536286.49950397	145308.535416667	177579.988888889	692876.808333334	5885.68055555555	0	44573.6972222222	4524.79166666667	39623.1300925926	76	24051.4722222222	26083.5652777778	154142002.277232
0159_AA34_42480_20191103_ST	114788551	2546600.73333333	1585.33333333333	300252.861626984	1258976.93030423	194252.038888889	6516.63194444443	213579.666666667	5921.58333333333	706723.818320106	24224.8333333334	413366.916666667	80.4710648148148	12979.7479166667	0	1872.5	228841.441666667	2149795.52721561	80506.3506944444	112148.766666667	638160.241666667	2280.375	0	49009.7611111111	4365.95833333333	21955.0384259259	266	16192.8333333334	26960.0904761905	105771134.548677
0159_AP39_21298_20181004_ST_E21	86839131	1737887.38333333	704.777777777777	168929.456527778	871930.302632275	143833.933333333	4626.16666666667	113726.5	4821.25	459456.017080026	40378.1666666667	422764.625	239.732638888889	11573.9979166667	0	539	163765.067361111	1498424.98637566	69537.2097222222	68937.1333333334	438511.738888889	2295.52777777778	0	26059.7027777777	2470.20833333333	16152.9111111111	39	13086.8055555555	15578.3625	80542861.0366898
0159_AK37_71062_20190607_ST	69169479	1789269.56666667	1235.88888888889	147838.327361111	717532.845952381	110975.825694444	3921.09027777778	112309.166666667	10298.85	393402.921428571	36305.9444444444	399490.091666667	1752.62152777778	14465.66875	0	913	214852.775	1051060.43118386	63181.7319444444	76452.8305555555	248446.7	1480.36388888889	0	19669.7888888889	1317.79166666667	23499.4986111111	1640	15708.6444444444	11973.3613095238	63700483.2731812
0159_AP39_21108_20171121_ST	68136264	2374528.46666667	3175.55555555556	195584.459226191	753755.31999008	210364.311111111	5551.77777777777	176340.5	59552.0166666667	372041.472536375	102998.277777778	365960.791666667	4539.25694444444	38144.0833333334	0	5234.83333333333	429384.493287037	1068242.75659722	70417.6597222222	88981.0194444444	220687.927777777	3403	0	17404.2416666667	1356.625	52113.2847222223	11515.5	32197.9666666667	15901.491468254	61456886.9110615
0159_AP39_21129_20180205_ST	62377466	1308371.93571429	1400.55555555556	123332.408333333	615391.473346561	93983.7472222222	3354.36111111111	90387.0833333333	5761.25	337259.515195106	32588.6666666666	319557.5	1456.54166666667	9818.2	0	556.5	109306.896527778	1031305.59647817	47916.3819444444	61115.3972222222	275248.847222222	1776.95833333333	0	18344.5638888889	1946.41666666667	16690.2694444444	23.5	9710.06666666667	11261.1293650794	57849600.2380952
0159_AP39_21301_20180706_ST_E21	62312960	1210031.2	466	122502.150972222	619965.719497355	103152.573611111	3246.63888888889	84150	2861.66666666667	330542.513756614	28076.6666666667	286456.166666667	170.913194444444	7712.06875	0	399.166666666667	110631.793452381	1093680.4562004	49305.9625	45765	319076.333333333	1722.33333333333	0	18461.5	1827.75	10991.1069444444	27	9296.13888888889	11629.7013888889	57840811.478621
0159_AK37_71054_20190305_ST	44724247	1141469.95	1040.33333333333	83885.0011507936	469274.726089616	103764.482986111	3363.72916666667	72908.5	5422.8	246100.766526124	16403.6666666667	198775.658333333	223.011574074074	12030.6791666667	0	700	135802.55	729784.421412037	32538.4583333333	51230.3416666667	172659.516666667	1380.29166666667	0	14682.8027777778	1490.58333333333	17189.6907407407	1639	9978.87777777778	8081.31785714286	41192425.8427745
