sample_id	total	protein_containing_complex	polarisome	EKC_KEOPS_complex	HIR_complex	MIS12_MIND_type_complex	origin_recognition_complex	gamma_tubulin_complex	inner_kinetochore	outer_kinetochore	Prp19_complex	radial_spoke	cytosolic_tRNA_wobble_base_thiouridylase_complex	zona_pellucida_receptor_complex	fibrinogen_complex	collagen_trimer	DNA_replication_factor_C_complex	transcription_regulator_complex	hemoglobin_complex	fatty_acid_synthase_complex	proteasome_regulatory_particle	proteasome_core_complex	eukaryotic_translation_initiation_factor_2_complex	eukaryotic_translation_initiation_factor_2B_complex	eukaryotic_translation_initiation_factor_3_complex	eukaryotic_translation_elongation_factor_1_complex	nascent_polypeptide_associated_complex	troponin_complex	microtubule_associated_complex	Arp2_3_protein_complex	spectrin	F_actin_capping_protein_complex	proteasome_activator_complex	proteasome_regulatory_particle__base_subcomplex	proteasome_regulatory_particle__lid_subcomplex	DNA_topoisomerase_type_II__double_strand_cut__ATP_hydrolyzing__complex	endopeptidase_Clp_complex	NAD_P_H_dehydrogenase_complex__plastoquinone_	type_II_protein_secretion_system_complex	prefoldin_complex	eukaryotic_translation_initiation_factor_4F_complex	myosin_complex	aminoacyl_tRNA_synthetase_multienzyme_complex	methionyl_glutamyl_tRNA_synthetase_complex	translation_release_factor_complex	molybdopterin_synthase_complex	proteasome_core_complex__alpha_subunit_complex	proteasome_core_complex__beta_subunit_complex	proteasome_activating_nucleotidase_complex	CCR4_NOT_core_complex	light_harvesting_complex	type_I_protein_secretion_system_complex	type_III_protein_secretion_system_complex	junctional_membrane_complex	beta_catenin_destruction_complex	intraciliary_transport_particle_A	intraciliary_transport_particle_B	nucleocytoplasmic_transport_complex	BLOC_complex	septin_complex	SCAR_complex	anaerobic_ribonucleoside_triphosphate_reductase_complex	PAN_complex	Ndc80_complex	Rad17_RFC_like_complex	Ctf18_RFC_like_complex	RecQ_family_helicase_topoisomerase_III_complex	Mis6_Sim4_complex	CBF3_complex	spitzenkorper	cell_envelope_Sec_protein_transport_complex	G_protein_beta_gamma_subunit_complex	filamentous_actin	protein_DNA_complex	DNA_recombinase_mediator_complex	type_VI_protein_secretion_system_complex	CAF_1_complex	monopolin_complex	TSC1_TSC2_complex	exomer_complex	Cvt_complex	BBSome	RNA_cap_binding_complex	Sid2_Mob1_complex	Nrd1_complex	Mon1_Ccz1_complex	Seh1_associated_complex	MKS_complex	fatty_acid_beta_oxidation_multienzyme_complex	eisosome_filament	ESCRT_complex	MCM_complex	receptor_complex	RAVE_complex	apoptosome	type_IV_secretion_system_complex	HICS_complex	DNA_packaging_complex	tricarboxylic_acid_cycle_enzyme_complex	mRNA_editing_complex	tubulin_complex	viral_portal_complex	Ski_complex	ASAP_complex	acyl_CoA_ceramide_synthase_complex	GATOR2_complex	inflammasome_complex	NVT_complex	Yae1_Lto1_complex	cytochrome_complex	sperm_individualization_complex	WASH_complex	Cdc42_GTPase_complex	Myo2p_Vac17p_Vac8p_transport_complex	ER_membrane_insertion_complex	Cbf1_Met4_Met28_complex	FAR_SIN_STRIPAK_complex	glycoprotein_complex	FAL1_SGD1_complex	R2TP_complex	Rix1_complex	CIA_complex	MCM_core_complex	GAIT_complex	type_V_protein_secretion_system_complex	protein_complex_involved_in_cell_adhesion	membrane_protein_complex	mitochondrial_protein_containing_complex	vesicle_tethering_complex	BORC_complex	chaperone_complex	subcortical_maternal_complex	TTT_complex	Aim21_Tda2_complex	ubiquinone_biosynthesis_complex	reelin_complex	Sm_like_protein_family_complex	MIH_complex	Cdc24p_Far1p_Gbetagamma_complex	matrilin_complex	SLAC_complex	nuclear_protein_containing_complex	endoplasmic_reticulum_protein_containing_complex	intracellular_protein_containing_complex	enzyme_activator_complex	catalytic_complex	ornithine_carbamoyltransferase_inhibitor_complex	peptidase_inhibitor_complex	Ras_guanyl_nucleotide_exchange_factor_complex	RPAP3_R2TP_prefoldin_like_complex	RQC_complex	GATOR1_complex	Gtr1_Gtr2_GTPase_complex	CoA_synthesizing_protein_complex	L_cysteine_desulfurase_complex	iron_sulfur_cluster_assembly_complex	Syp1_complex	bub1_bub3_complex	Mcs4_RR_MAPKKK_complex	transporter_complex	sumoylated_E2_ligase_complex	DNA_repair_complex	X3M_complex	RZZ_complex	Ste12p_Dig1p_Dig2p_complex	Tec1p_Ste12p_Dig1p_complex	Rvs161p_Rvs167p_complex	Dom34_Hbs1_complex	Kelch_containing_formin_regulatory_complex	EARP_complex	MWP_complex	Ubp3_Bre5_deubiquitination_complex	Vma12_Vma22_assembly_complex	ribonucleoprotein_complex	actin_cytoskeleton_regulatory_complex	Remaining
0159_AS41_40055_20180716_ST	167641028	182792.166666667	0.285714285714286	44.5	0.833333333333333	0	2	1.56666666666667	0	1	0.666666666666667	0	0	0	47	813	224	16826.6083333333	0	14317.8333333333	0	16891	0.85	2	68.6666666666667	1	2.33333333333333	0	71.8666666666666	347.833333333333	0	2	78	567.5	3.25	1.83333333333333	2.5	0	100021.083333333	35	0	909	5.83333333333333	2.66666666666667	0	46776.1666666667	24.75	25.8333333333333	72.5	1.25	31.4166666666667	278.833333333333	5078	0	0	0	0	1.33333333333333	0	1.66666666666667	0	57	149	0.5	0	1	3.08333333333333	9	1	0	1.5	0	0	485395.90952381	1	126	0	0	0	7	1	1	0.625	0.333333333333333	0.8	1	0.5	0	54904	0	3.33333333333333	134.842857142857	4.41666666666667	0.333333333333333	0	7.5	0.75	34043.5166666667	47924.5104166667	0.5	0	0	2	0	0	0	0	1	0	48205.0833333334	0	0	0	0	2.65	0	1	0.125	0.333333333333333	2.33333333333333	0.5	87	0	0	1	8.83333333333335	2243496.78015873	829.095138888889	24.0833333333334	0	19.75	0	2	0	0	0	7.38888888888889	0.25	0.25	0	0	3776.15376984127	105.938888888889	1006728.60009921	1.5	3532341.53660714	1983.83333333333	0	0	0	11.5	0.5	1	2.5	1	3076.66666666667	0.2	0	0	435565.749999999	0	404206.85	0	19	0.75	0.75	0	0	0.25	0	0	0.25	0	1267588.10674603	0	157683765.52619
0159_AP39_21110_20190111_ST	125942242	37911	0	0.5	0	1.75	0	10.3333333333333	0	1	0	0	0	0	1191	2009.5	27	39464.3333333333	0	38686.5	1	3286.83333333333	0	0	151.666666666666	0	9	0	204.075	557.833333333333	0	0	19	2	1	0.333333333333333	0	0	28066	8	0.333333333333333	3339.33333333333	0	0	0	40939.5	18.25	0.5	0	0.583333333333333	181.25	294.333333333333	13384.1666666667	0	0	0	0	0	0	0	0	2	1	0	0	2	3.75	9	0	0	1.5	0	0.333333333333333	450525.366666667	0	38099.5	0.2	0	0	0	1.33333333333333	3.8	10.75	0	0.2	0	0	0	14437.5	0	1.75	13.4166666666667	29.45	0	0	10	0.5	39115.975	17634.9270833333	0.166666666666666	0	0	2	0	0	0	0	0	0	23967.5208333334	0	0	0	0	3.25	0	0	0	0	0	0	13.5	0	0	3	46.5	1252663.70863095	702.072916666667	4.7	0	133.25	0.2	0	0	0	0	9.08333333333333	0.5	0	0	0	510.916666666667	22.2833333333333	918071.194444446	0	2764910.22916667	341.8	0	0	0	0	0	0	0.5	0.666666666666667	641.166666666667	0.2	0.333333333333333	0	228366.682638889	0	324459	0	0	0	0	0	0	0	0	0	0	0	1248759.25952381	0.333333333333333	118408935.821429
0159_AA34_42475_20190911_ST	114708520	4306.27777777778	0	0	0	0	1.5	4.66666666666666	0	0	0	0	0	0	0	4841.25	5.5	18240.25	0	8357.5	0	380	0	0	107.666666666667	0	0	0	780.333333333333	105.333333333333	0	0	40	182.5	0	0.833333333333333	3.5	0	7980.25	8.5	0	685	0	0	0	18786	0.833333333333333	0	1	1.5	56.75	2109.66666666667	7598.75	0	0	0	0	0	0	0	0	25	29	2	0	0	3.5	74.5	0	0	0	0	0	300468.266666667	0	15537	0	0	0	0	0.666666666666667	0	1.5	0	0	0	0	0	246.5	0	6	23.75	29.35	0	2	27	0	26966.85	5928.65625	0	0	0	0	0	0	0	0	0	0	13671.25	0	0	0	0	18.9	0	0	0	0	0	0	92	0	0	1	51.5	844659.104166667	183.572916666667	21.6333333333333	0	4	0	0	0	0	0	2.66666666666667	0	0	0	0	177.3	15.9666666666667	640547.633333333	0	2186193.42083333	0	0	0	0	0	0	0	0	0.333333333333333	0.5	0	0	0	143540.779166667	0	242155.916666667	0	0	0	0	0	0	0	0	0	0	0	900130.816666667	0	109313094.805555
0159_AA34_42480_20191103_ST	76865758	4734.83333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	4959	0.333333333333333	6371.8	0	88743	0	356.666666666667	0	0	342.333333333333	0	0	0	430.916666666667	1965	0	0	0	4	0	0.666666666666667	0	0	2416	0	0	1251.5	0	0	0	42156	0	0	5	0	107	28.3333333333333	1867.25	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	249803.683333333	0	8	0	0	0	0	0	0	20.5	0	0	0	0	0	189	0	1.25	3.5	0.25	0	0	0	0	25758.2	8448.3125	0.166666666666666	0	0	0	0	0	0	0	0.333333333333333	0	6470	0	0	0	0	1.5	0	0	0.125	0	0	0	1.5	0	0	1	0.5	834698.4375	154.0625	2.5	0	0	0	0	0	0	0	5.66666666666667	0	0	0	0	147.916666666667	25.7166666666667	566040.629166667	0	1568630.87916667	11.4	0	0	0	0	0	0	0	1.33333333333333	4	0	0	0	136908.645833333	0	175131	0	0	0	0	0	0	0	0	0	0	0	802756.058333333	0	72334790.3
0159_AP39_21298_20181004_ST_E21	58351570	1737.83333333333	0	0	0	0	0	0.5	0	0	0	0	0	0	39	3137	0.833333333333333	8129.25	0	8982.5	0	1176	0	0	130.333333333333	0	0	0	187.375	633.5	0	0	0	7.5	0	0	1	0	2461.5	0.5	0	783.5	0.5	0	0	17946.5	2.33333333333333	0	2.5	3	274	11.5	2432.58333333333	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	160552.466666667	0	19389	0	0	0	0	0.333333333333333	0	4	0	0	0	0	0	75	0	1.5	12.25	0.25	0	0	82	0	18021.5	4969.61458333333	0	0	4	1	0	0	0	0	0	0	5322.79166666667	0	0	0	0	0.75	0	0	0.125	0	0	0	0	0	0	0	0.5	471107.210714286	130.885416666667	2.83333333333333	0	4	0	0	0	0	0	0.888888888888889	0	0	1	0	87.2305555555555	25.45	324165.079166667	0	1102801.55416667	1.4	0.333333333333333	0	0	0	0	0	0	1.5	1.5	0	0	0	77804.3583333333	0	124083.266666667	0	1	0	0	0	0	0	0	0	0	0	463148.281746032	0	55531629.1047619
0159_AP39_21108_20171121_ST	47890622	50101.2666666667	0	245.5	0	0	0	0	0	0	1	0	0	0.333333333333333	11	1442.5	375.5	11489.0357142857	0	4709	0	3170.5	6	0	10	21	0	0	393.933333333333	782.5	0	0	23	19.5833333333333	0	3.33333333333333	0	0	47971.8333333333	135	0	93	0	0	0	14008.3333333333	106	104	143	5	21.75	121.333333333333	10453.6666666667	0	0	0	0	0	0	0	0	294	147	0	0	0	0	3	0	0	0	0	0	172515.760714286	0	1309	0	0	0	0	0.333333333333333	6.2	1	0	0	0	0	0	18810	0	1.75	628	11.1	0	0	56	0	9042.95	19052.3854166667	0	0	276	0	0	0	0	0	0	0	10602.625	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	9	20.5	541593.119642857	770.90625	14.8333333333333	0	3.33333333333333	0	0	0	0	0.8	1	0	0	0	0	446.227380952381	15.0458333333333	332581.092261905	0	1041266.61785714	436.6	0	0	0	0.125	0	0	0	0	901.5	0	0	0	103149.495833333	0	105257.821428571	0	11	0	0	0	0	0	0	0	0	0	362202.255952381	0	45023214.9690476
0159_AK37_71062_20190607_ST	46524471	7099.16666666667	0	0	0	0	0	0.5	0	0	0	0	0	0	331	1648.5	0.333333333333333	6264.5	0	50332.5	0	2276.33333333333	0	0	9.66666666666667	0	0.5	0	341.5	1022	0	0	16	1	0	0.666666666666667	0	0	13514.1666666667	9.5	1	544	0	0	0	10688.1666666667	2.25	0	0	0	65.5	103.5	2205.25	0	0	0	0	0	0	0	1	0	304	2	0	0.333333333333333	5.75	1.5	0	0	0.5	0	0	156420.983333333	0	33902	0	0	0	0	0.333333333333333	0.4	0	0	0	0	0	0	2687	0	0.5	0.5	14.5	0	0	103.5	0	13678.9	10276.1145833333	0	0	0	1	0	0	0	0	0	0	7192.125	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	15	434144.370833333	257.802083333333	31.3333333333333	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	212.416666666667	24.2833333333333	333640.458333333	0	1037797.10833333	65.4	0	0	0	0	0	0	0	0.333333333333333	117	0	0	0	81897.2208333333	0	117407.083333334	0	0	0	0	0	0	0	0	0	0	0	469649.25	0	43728137.1666667
0159_AP39_21129_20180205_ST	42174717	1273.33333333333	0	3	0	1.25	0	1.2	0	0	0	0	0	0	335	694.5	2.66666666666667	3607.66666666667	0	10833	0	652	0	0	41	0	0.333333333333333	0	187.9	1259	0	0	31	22.5	3	1.33333333333333	1	0	3243.58333333333	1.5	0	747	0	0	0	13005	1.25	0.5	0	0.333333333333333	31.75	310.833333333333	2995	0	0	0	0	0	0	0.2	0	0	327	0	0	1.16666666666667	0	16	0	0	0	0	0	126078.20952381	0.25	11264.5	0	0	0	0	0.666666666666667	0	10.5	0	0.5	0	0	0.5	54	0	2.25	17.0595238095238	0.25	0	0	1.5	0	13450.4	5800.85416666667	0	0	6	2	0	0	0.25	0	0	0	4658.29166666667	0	0	0	0	2.5	0	0	0.125	0	0	0	1	0.142857142857143	0.166666666666667	34	0	365938.758333334	226.604166666667	28.0833333333333	0	3	0	0	0	0	0	0	0	0	0	0	135.079761904762	7.35	286185.7625	0	818940.481547619	1.7	0	0	0	0	0	0	0	1.33333333333333	3.5	0	0	0	60110.8333333334	0	97987.1666666665	0	0	0	0	0	0	0	0	0	0	0	399146.733333333	0	39944982.897619
0159_AP39_21301_20180706_ST_E21	41945891	1336.61111111111	0	1	0	0	0	0	0	0	0	0	0	0	30	1894.5	5	6260.5	0	5820	0	698.666666666667	0	0	94.3333333333333	2	3	0	126.083333333333	474	0	0	3	1.5	0	0	3.5	0	1968	2	0	606	0	0	0	13181	1.25	0	3	0	209.25	8.33333333333333	1922.75	0	0	0	0	0	0	0	0	0	32	0	0	0.5	0	1	0	0	0	0	0	112504.6	0	11401.5	0	0	0	0	0.666666666666667	0	5.5	0	0	0	0	0	19	0	0.5	13.25	0.2	0	0	0	0	13107.9	3548.8125	0	0	0	1	0	0	0	0	0	0	3542.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338559.344047619	102.208333333333	3.5	0	2	0	0	0	0	0	2	0	0	0	0	60.4	17.2666666666667	238567.879761905	0	787002.400595238	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	55922.5166666667	0	89636.0833333333	0	0	0	0	0	0	0	0	0	0	0	343681.292857143	0	39913499.2341269
0159_AK37_71054_20190305_ST	30472858	4824	0	0	0	0	2	0	0	0	0	0	0	0.5	73	297	0	3033	0	11551	0	2006	0	0	2.66666666666667	0	3	0	259.666666666667	625	0	0	0	26.5	0	0	2	0	5076.08333333333	0	0	642	0	0	0	7521.33333333333	0	0	1.5	3.5	96.75	21.5	1538.5	0	0	0	0	0	0	0	0	4	0	1	0	2	0	7	0	0	0	0	0	104138.683333333	0	9807	0	0	0	0	1.33333333333333	0	4.5	0	0	0	0	0	1603	0	0.75	0	9.45	0	0	13	0	7975.9	5919.90625	0	0	0	3	0	0	0	0	0	0	4619.58333333334	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	18.5	315061.254166667	84.65625	5.5	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	84.6666666666667	3	208558.166666667	0	632669.154166667	28	0	0	0	7	0	0	0	0.583333333333333	91.5	0	0	0	58636.4625000001	0	73486.25	0	0	0	0	0	0	0	0	0	0	0	298898.9	0	28713506.4666667
