sample_id	total	intracellular_membrane_bounded_organelle	nucleus	mitochondrion	vacuole	endoplasmic_reticulum	endoplasmic_reticulum_Golgi_intermediate_compartment	Golgi_apparatus	cis_Golgi_network	plastid	hydrogenosome	microbody	protein_body	intracellular_vesicle	Remaining
0159_AS41_40055_20180716_ST	167641028	23412.9166666667	43725.8440476191	136399.678571429	10315.5333333334	7269.91666666667	0.5	3254.72619047619	1.80952380952381	112842.40952381	41	26540.0333333333	0	29.6686507936508	167277193.963492
0159_AP39_21110_20190111_ST	125942242	12558	16273.4277777778	58383.3023809524	8155.91666666667	489.666666666667	0	774.3	1	103802.976190476	11	8979.38333333333	0	10.9680555555556	125732802.058929
0159_AA34_42475_20190911_ST	114708520	29732.5833333333	10476.6944444444	125007.95	9434.64285714286	455.666666666667	0	60.3666666666667	0	61535.9	26.1428571428571	1180	0	42.6944444444444	114470567.35873
0159_AA34_42480_20191103_ST	76865758	7509.08333333333	5186.88333333333	40091.8	7011.08333333333	618.333333333333	0	45	0	40945.8666666667	16	1254.5	0	1.95833333333333	76763077.4916667
0159_AP39_21298_20181004_ST_E21	58351570	12126.0833333333	4959.7	45685.3833333333	5650.83333333333	142	0	16.0833333333333	0	29473.6095238095	26	524.333333333334	0	16.7666666666667	58252949.2071428
0159_AP39_21108_20171121_ST	47890622	11657.9333333333	16359.275	40806.55	2132.73571428572	283.7	0	815.1	0	35427.9452380953	13.1428571428571	11008.5	0	6.02976190476191	47772111.0880952
0159_AK37_71062_20190607_ST	46524471	11066.8333333333	6277.31666666666	50082.75	2889.15238095238	428.333333333333	0	201.916666666667	0	26960.5166666667	5.28571428571429	2082.58333333333	0	10.9305555555556	46424465.3813492
0159_AP39_21129_20180205_ST	42174717	12133.9166666667	2960.85238095238	31412.2166666667	2411.39285714286	182.25	0	18	0.25	19767.4	8.14285714285714	502.666666666667	0	26.3416666666667	42105293.5702381
0159_AP39_21301_20180706_ST_E21	41945891	7280	3490.07777777778	28295.3666666667	4274.70238095238	110.166666666667	0	13.1666666666667	0	20908.3095238095	24.2857142857143	537.833333333333	0	10.2638888888889	41880946.8273809
0159_AK37_71054_20190305_ST	30472858	4942.91666666667	3746.68333333333	32257.3333333333	2545.64285714286	163	0	109.25	0	18915.2	6.14285714285714	2605.91666666666	0	29.9916666666667	30407535.9226191
0159_AK37_71051_20190224_ST	29488025	6048.83333333333	7859.11111111111	51159.8595238095	1575.57142857143	297.083333333333	0.25	271.8	0.833333333333333	22269.2952380952	6.57142857142857	2268.01666666666	0	9.56767676767677	29396258.2069264
0159_AV42_66107_20190327_ST	25109407	2031.83333333333	4803.91666666667	10081.0166666667	236	52.6666666666667	0	525.283333333333	0	21335.5166666667	1	6021	0	0.7625	25064318.0041666
0159_BC12_41010_20171203_ST	25020998	7718.25	2370.85952380952	22745.4166666667	3466.77619047619	71.5	0	94.5	0	13803.7833333333	6.14285714285714	448.083333333333	0	8.775	24970263.9130952
0159_AP39_21065_20180201_ST	23605340	5946.16666666667	1791.45	37389.65	2795.79761904762	107.683333333333	0	10.25	0.5	12057.5261904762	7.71428571428571	203.5	0	4.04166666666667	23545025.7202381
0159_AP39_21295_20180811_ST_E21	23076371	4304.41666666667	2312.59166666667	11801.55	1994.6380952381	244.583333333333	0	80.5333333333333	0	13367.5714285715	18.5714285714286	1073.35	0	11.2468434343434	23041161.9472042
0159_AB10_100710_20181001_ST	22476810	3498.75	4122.23333333333	10890.5666666667	1586.36904761904	88.0833333333333	0	293.116666666667	0	18967.6190476191	8.28571428571428	4065.66666666667	0	4.91666666666667	22433284.3928571
0159_AK37_71050_20190313_ST	22476650	4997.08333333333	1616.91785714286	16219.1333333333	1892.07857142857	162.25	0	28.3666666666667	0	10335.9666666667	8.42857142857143	440.375	0	6.22916666666667	22440943.1708334
0159_AZ03_32013_20200922_ST	21886689	7158.33333333333	7427.58455988456	23920.3909090909	1588.8380952381	720.583333333333	4.5	380.080230880231	13.25	10447.7833333333	46.2857142857143	411.967532467532	1	61.3257936507937	21834507.0771645
0159_AZ03_32019_20180325_ST	21736839	5708.83333333333	3026.59682539682	11428.6166666667	2389.41190476191	155.75	0	89.6190476190476	0	9421.9	17.4285714285714	652.833333333334	0	20.1666666666667	21703927.8436508
0159_AP39_21119_20181218_ST	21439715	4804.91666666667	2023.00519480519	35324.4761904762	1814.47380952381	75.3833333333333	0	28.1666666666667	0.583333333333333	11604.8166666667	2.85714285714286	265.520634920635	0	10.8349386724387	21383759.9654221
0159_AP39_21076_20180429_ST	20996683	3414.41666666667	1625.61666666667	10121.0095238095	1529.09285714286	204.666666666667	0	13.8833333333333	0	10711.0333333333	2.14285714285714	192.266666666666	0	5.40555555555556	20968863.465873
0159_AB10_26156_20180815_ST	20352699	1908.66666666667	3175.76111111111	10088.9285714286	1406.78333333333	224.183333333333	0.75	74.2	0.5	12440.9833333334	0	519.844444444445	0	10.5902777777778	20322847.8089286
0159_AQ29_10022_20170920_ST	19485035	2978.16666666667	2892.54126984127	11175.7095238095	1261.16666666667	257.042857142857	1.25	93.3833333333333	0.25	13498.7023809524	8	268.516666666666	0	11.5484126984127	19452588.7222222
0159_AP39_21090_20180504_ST	18989837	2035.25	1691.9	13158.3833333333	1734.28571428571	36.0333333333333	0	13.3333333333333	0	11715.5	7.28571428571429	191	0	1.875	18959252.1535714
0159_AP39_21314_20180719_ST_E21	18760936	3559.33333333333	1992.36666666667	14684.8833333333	1327.53333333333	140.75	0	79.6666666666667	0	9977.75	6	813.833333333334	0	2	18728351.8833333
0159_AZ03_32015_20201210_ST	18411108	7106.58333333333	6762.24126984127	16294.2166666667	1424.0119047619	620.459523809524	1.5	363	11.3928571428571	8328.92619047619	25.4285714285714	367.916666666667	0	53.6464285714286	18369748.6765873
