sample_id	total	intracellular_non_membrane_bounded_organelle	kinetochore	chromosome	nucleolus	lipid_droplet	centriole	spindle	ribosome	cytoskeleton	chromocenter	gas_vesicle	bacterial_microcompartment	proteasome_storage_granule	ribonucleoprotein_granule	nematocyst	mitochondrial_nucleoid	plastid_nucleoid	contractile_fiber	bacterial_nucleoid	dynein_axonemal_particle	protein_aggregate_center	encapsulin_nanocompartment	Remaining
0159_AS41_40055_20180716_ST	167641028	3	12.4333333333333	572044.5	3468.23333333333	126.166666666667	7013	43.4166666666667	1803061.27619048	2574.67777777778	0	0	260025.5	0.5	2626.41666666667	0	63.5166666666665	6.75	0	11217.375	0	3.06666666666667	0	164978738.171032
0159_AP39_21110_20190111_ST	125942242	0	2.16666666666667	521643.75	404.55	38.6666666666667	1200.3	7.8	1419242.59285715	7027.78888888889	0	0	77681.5	0.75	1585.5	0	686.375	2	0	6234.04166666665	0	24.5833333333333	0	123906459.634921
0159_AA34_42475_20190911_ST	114708520	0	0.583333333333335	349924.5	86.8666666666667	12	1709.83333333333	39.7	1110804.75	4327.83333333334	0	0.5	38627.5	0	12.5	44	33.1416666666667	5.25	0	3248	0	0.4	0	113199642.641667
0159_AA34_42480_20191103_ST	76865758	0	0	398342.75	57.15	5.83333333333333	95	2.06666666666667	888554.533333333	4465	0	0	53954.5	0	17.25	18	41.9166666666667	0.25	0	3351	0	1.5	0	75516851.25
0159_AP39_21298_20181004_ST_E21	58351570	0	0.875	231217.083333333	49.95	11.6666666666667	1002.5	4.93333333333333	547701.176190476	3088.58333333334	0	0	13873	0	4.5	0	19.2083333333333	0.25	0	1847.375	0	0.916666666666667	0	57552747.9821428
0159_AP39_21108_20171121_ST	47890622	0	2.16666666666667	151495.416666667	349.219047619048	3.5	3089.83333333333	244.466666666666	470847.811904762	1601.91666666667	0	0	62968	0	2318	0	58.875	1.5	0	3723.66666666667	0	0	0	47193917.627381
0159_AK37_71062_20190607_ST	46524471	0	0	173005.833333333	94	83.5	3408.5	0	523242.6	1252.33333333333	0	0	25097	0	308.5	11	22.2916666666667	0.5	0	1894.75	0	0.666666666666667	0	45796049.525
0159_AP39_21129_20180205_ST	42174717	0	16.875	157320.416666667	47.65	7.16666666666667	4518.5	44.05	466348.666666667	1086.56111111111	0	0	28542	0.25	6.5	0	33.0416666666667	1.5	0	1624.125	0	1	0	41515118.6972222
0159_AP39_21301_20180706_ST_E21	41945891	0	0.75	168013.75	48.7333333333333	7	987.5	3.93333333333333	402612.066666667	2530.91666666667	0	0	9548.5	0	0.5	0	16.625	1	0	1386.5	0	0.333333333333333	0	41360732.8916666
0159_AK37_71054_20190305_ST	30472858	0	0	124915.166666667	94.45	1	127.2	3.83333333333333	344038.65	2702.33333333334	0	0	18988	0	90.75	6	15.375	0.5	0	1532.25	0	0	0	29980342.4916667
0159_AK37_71051_20190224_ST	29488025	0	0.94642857142857	99745.0833333334	174.361111111111	11.8333333333333	17396	4.46666666666666	334804.511904762	616.916666666667	0	79	14837.5	0.25	132.708333333333	14	25.6666666666667	4.25	0	1326.75	0	0	0	29018850.7555556
0159_AV42_66107_20190327_ST	25109407	0.5	0	75163.5833333333	226.1	1	3402	0.6	246354.616666666	300.333333333334	0	0	16080.5	0	1270.16666666667	0	4.75	0.5	0	1934.875	0	0	0	24764667.475
0159_BC12_41010_20171203_ST	25020998	0	0	96644.5833333333	31.35	7.66666666666667	2181.5	5.06666666666667	298086.466666667	849.333333333333	0	0	12277.5	0	1.16666666666667	2	29	17	0	1269.5	0	1.08333333333333	0	24609594.7833333
0159_AP39_21065_20180201_ST	23605340	0	0.75	71425.9166666667	37.9333333333333	6.5	902	1.91666666666667	221993.50952381	856.166666666667	0	0	9834	0	0.5	1.5	19.5416666666667	0	0	512	0	1.5	0	23299746.2654762
0159_AP39_21295_20180811_ST_E21	23076371	1	2.65476190476191	109834.75	79.6	20.5333333333333	605.5	7.43333333333333	265557.971428572	1279.41666666667	0	0	11864	0.5	82.0833333333333	0	28.5083333333334	1.25	0	1141.125	0	1.61666666666667	0	22685863.0571429
0159_AB10_100710_20181001_ST	22476810	0	0.125	108927.666666667	148.75	0.333333333333333	55	4.66666666666667	254510.202380952	1486.33333333333	0	0	23135.5	0	783	0	3.25	2	0	2242.125	0	0.2	0	22085510.847619
0159_AK37_71050_20190313_ST	22476650	0	3.625	95307	22.6	19.5	1174.83333333333	14.25	268919.283333333	1204	0	0	9391	0	0.75	67	9	0.5	0	1129.125	0	2.6	0	22099384.9333334
0159_AZ03_32013_20200922_ST	21886689	11.8333333333333	7.7345238095238	98008.75	1303.93571428571	326.25	2281.83333333333	25.6333333333334	279852.916666666	1170.33333333333	0	0	6084.5	0	26.725	27	23.375	5.75	0	914	0	15.65	2	21496600.7797619
0159_AZ03_32019_20180325_ST	21736839	0.5	0.875	127607.25	51.8333333333333	153.083333333333	826.833333333333	4.75	289806.75	1012.29285714286	0	0	8321	0.5	10.0166666666667	0.5	10.7916666666667	3.25	0	1581.91666666666	0	29.1666666666667	11	21307406.6904762
0159_AP39_21119_20181218_ST	21439715	3.5	4.64664502164502	68301.25	47.9166666666667	14.4	667.5	7.76904761904762	214204.45	610	0	0	6513.5	1.08333333333333	10.4166666666667	0	11.9583333333333	0	0	485.875	0	1	0	21148829.7343074
0159_AP39_21076_20180429_ST	20996683	0	0	89836.8333333333	29.4333333333333	6	395	0	207555.333333333	701.583333333333	0	0	5531.5	0.25	2.375	0	11.9166666666667	1.5	0	681.5	0	1.2	0	20691928.575
0159_AB10_26156_20180815_ST	20352699	0.5	3.95	54918.1666666666	99.6833333333333	12.0666666666667	669.7	2.73333333333333	208153.416666667	453.622222222223	0	0	6914.5	2	46	163	18	0.5	0	535.75	0	1	0	20080704.4111112
0159_AQ29_10022_20170920_ST	19485035	2	1	112322.566666666	248.583333333333	8.25	2132.56666666667	4.72619047619047	248402.166666667	1293.53333333334	0	0	6392.5	0.333333333333333	3.73333333333333	28	55.3083333333335	5.5	0	987.625	0	6.08333333333333	0	19113140.5238095
0159_AP39_21090_20180504_ST	18989837	0	1	54285.6666666667	16.8833333333333	2.83333333333333	316	4.66666666666667	188685.133333333	407.25	0	0	4815	0	0	0	12.875	2.66666666666667	0	352.75	0	0.333333333333333	0	18740933.9416667
0159_AP39_21314_20180719_ST_E21	18760936	0	0	50257.9166666667	44.6	21.5	673.5	0.833333333333333	178493.183333334	432.166666666666	0	0	7189	0	30.3333333333333	0	8.75	1.5	0	510.25	0	0	0	18523272.4666667
0159_AZ03_32015_20201210_ST	18411108	20	7.5797619047619	85147.1666666667	1170.67619047619	23.1666666666667	1687	31.7928571428571	232325.526190476	847.433333333333	0	0	9060	0	23.5833333333333	8	38.5833333333333	4.25	0	1047.25	2	22.75	0	18079641.2416667
0159_AK37_71031_20180929_ST	18190337	0	4.17045454545454	59775.0833333333	25.4	48.1666666666667	540.5	10.9166666666667	194295.833333333	667.055555555555	0	0	11253.5	0	9.79166666666667	1	5.625	1.5	0	771.5	0	2.11666666666667	0	17922924.8406566
0159_AK37_71023_20180813_ST	17982284	0	0	70987.9166666667	53.75	2.33333333333333	839.5	3.33333333333333	193952.85	820.333333333334	0	0	8160.5	0	30	0	16.25	0	0	888.375	0	0	0	17706528.8583333
0159_AV42_66163_20190718_ST	17925240	0	3	60010	32.95	2	191	6.2	194495.316666667	337.916666666666	0	0	6461.5	0	5	0	8.5	0	0	571.25	0	0	0	17663115.3666667
0159_AP39_21330_20190102_ST_E21	17843070	0	1.375	82270.25	61.5166666666667	36	542.2	3.15	194134.383333333	1543.75	0	0	9656.5	0	39.5	2	49.625	0	0	744.25	0	0.666666666666667	0	17553984.8333333
0159_AP39_21289_20190125_ST_E21	17461506	0	0.125	60644.3333333333	25.15	4	390.5	0.85	182690.1	651.5	0	0	3625	0	1.5	4	73.125	0.75	0	519.875	0	0.783333333333333	0	17212874.4083333
0159_AK37_71052_20190226_ST	17359085	0	0.25	48003.75	15.2214285714286	0	1720.5	3.9	175930.083333333	607.25	0	0	5966.5	0	4.5	0	19	0	0	409.5	0	0	0	17126404.5452381
0159_AZ03_32016_20180619_ST	17356229	0	0.458333333333333	47411.0833333333	9.85	1	1021	1.91666666666667	174115.066666666	406.861111111111	0	0	4561.5	0	3.2	0	14.0416666666667	0	0	385.25	0	0.333333333333333	0	17128297.4388889
0159_AK37_71024_20181010_ST	17179762	0	0	62825.6666666667	35.75	1	1128.2	2.66666666666667	183215.466666667	611.5	0	6	6753.5	0	61.5	17	4.75	2	0	677	0	1.66666666666667	0	16924418.3333333
0159_AK37_71048_20190125_ST	17169619	0	1.25	72946.9166666667	181.15	5	236.5	16.1666666666667	205660.183333333	570.416666666666	0	0	16765	0	154.75	0	4.79166666666667	0	0	1199.04166666666	0	0.25	0	16871877.5833333
0159_AP39_21282_20180907_ST_E21	17068619	0	2.25	50924.25	39.65	4.5	224	13.5333333333333	165435.966666667	556.472222222222	0	0	7514.5	0	148	0	11	1	0	543.125	0	0.25	0	16843200.5027778
0159_AZ03_32057_20190910_ST	16831551	0	0.125	59670.1666666667	29.9	214	2151.7	0.25	176641.483333333	493.333333333333	0	0	5893	0	1	3	12.875	0	0	684.5	0	1.66666666666667	0	16585754
0159_AP39_21294_20181026_ST_E21	15994897	2	1.125	54685.3333333333	26.55	3	695	2.75	165604.642857143	448.416666666667	0	0	4425	0	18.5	22	23.2083333333333	0.25	0	459.375	0	1.03333333333333	0	15768478.8154762
