sample_id	total	selenium_compound_metabolic_process	cellular_aldehyde_metabolic_process	organic_acid_metabolic_process	generation_of_precursor_metabolites_and_energy	translational_initiation	cellular_modified_amino_acid_metabolic_process	cellular_aromatic_compound_metabolic_process	one_carbon_metabolic_process	sulfur_compound_metabolic_process	phosphorus_metabolic_process	xenobiotic_metabolic_process	bioluminescence	toxin_metabolic_process	auxin_metabolic_process	mucilage_metabolic_process	photosynthesis	organometal_metabolic_process	cellular_nitrogen_compound_metabolic_process	cellular_hormone_metabolic_process	neurotransmitter_metabolic_process	cellular_ketone_metabolic_process	cellular_metabolic_compound_salvage	cellular_alkane_metabolic_process	cellular_alkene_metabolic_process	cellular_alcohol_metabolic_process	cellular_catabolic_process	cellular_biosynthetic_process	cellular_lipid_metabolic_process	cellular_macromolecule_metabolic_process	cellular_carbohydrate_metabolic_process	heterocycle_metabolic_process	cellular_ketone_body_metabolic_process	reactive_oxygen_species_metabolic_process	cellular_organohalogen_metabolic_process	cellular_senescence	replicative_senescence	prenylation	metabolite_repair	Remaining
0159_AS41_40055_20180716_ST	174241359	0	42903.352281746	2529201.07787008	2148658.1839267	68.4242424242424	129510.461613757	2790133.18010751	133382.879166667	816572.358113339	10256915.4705291	39047.45995671	19092.5	17362.4305555556	443	0	15197.1666666667	2.5	1550695.48565036	2090.75833333333	12.4861111111111	177138.276851852	110224.423397436	614.11111111111	7334	0.188888888888889	296902.220594151	1273438.51859483	580490.175885341	4569646.1841272	492362.012729032	2545054.77832199	4471.4	84255.7916666665	0	0	0	75.5833333333333	427.833333333333	143607634.32604
0159_AP39_21110_20190111_ST	130999038	0	32959.7319444444	1794956.02521104	1415355.3	85	91464.2000793651	1954388.47025671	111407.944444444	547353.546180555	8445552.20756196	19669.0422979798	3816	14908.8611111111	973.000000000002	0	12976.8333333333	26.6666666666667	1257645.98632278	1729.32638888889	9.40277777777778	80627.4746527779	87868.7564814815	194.625	144	0.133333333333333	159295.822574781	1028247.84410105	463579.647617044	3734247.40729133	325200.831635802	2020850.70340118	1652.08333333333	60041	0	0	0.0714285714285714	1	285	107331524.054572
0159_AA34_42475_20190911_ST	111488220	0	25017.9138888889	1299629.75348603	996096.04164863	28	53860.3604497355	1661510.60064991	100663.863888889	419414.999305556	6819230.49079573	10870.1013888889	12290	12329.5555555556	1022	0	6135.16666666667	10.8333333333333	1059266.73143184	1505.55277777778	23.5	41499.1917824074	55079.3416666667	1350.625	0.333333333333333	0.266666666666667	136787.240969648	770469.821785051	332325.88380139	3692310.40297352	245793.370413627	1737342.04828807	1725.65	44350.5857142857	0	0	0	4.25	2312.66666666667	91947962.8556712
0159_AA34_42480_20191103_ST	79089243	0	23349.4890625	1057653.9965351	616690.840079365	20	40517.598938492	1237124.05352756	80733.9374999999	326954.465975529	5023703.51864937	9082.53333333333	24807	7066.33333333333	819.916666666665	0	3785.75	29.3333333333333	777154.747434469	1000.17916666667	0.75	29705.4248842592	54049.1491071428	147.958333333333	0	0	82964.8673189668	613547.503048248	250709.925208517	2434403.19410824	185780.638348765	1310858.22272112	1215.6	30597.125	0	0	0	78.5	0	64864690.4483857
0159_AP39_21298_20181004_ST_E21	57892245	0	13861.6381944444	690580.488173792	438492.23531746	20	27319.0368055555	875787.490759823	52582.6597222222	211822.382453704	3521536.09589754	6585.19583333333	7063	5126.93055555556	433.25	0	2058.45833333333	3.83333333333333	549442.719431664	894.035416666667	14.3333333333333	21648.6517939815	31657.8277777778	350.847222222222	0.666666666666667	0	63358.6613729975	404839.432700227	177424.499643592	1925767.24525509	139387.722595165	925902.906247588	446.733333333333	19406.4791666667	0	0.4	0	0.75	932.333333333333	47777496.0593296
0159_AP39_21108_20171121_ST	49162387	0	18687.0454282407	688782.906003469	734763.958856421	85.5833333333333	46848.9132622354	682552.547775553	34132.825	222025.665181878	2803908.70128702	9885.2983877234	6797	7409.02777777778	360.583333333333	0	9242	35	452584.202054572	386.234722222222	13.25	48864.2069444444	35058.3893518519	2725.01388888888	17.4166666666667	0	72669.0925328909	348909.149998267	181632.216710193	1276022.73101771	130975.871752245	717201.259004425	2983.18333333333	26987.5	0	5.6	0.838095238095238	41.5	196.666666666667	40599595.6216334
0159_AK37_71062_20190607_ST	48167112	0.333333333333333	11987.9888888889	654361.713989001	481788.668759018	16	30886.1875727513	714157.651450246	46942.3875	193805.575321869	2994641.09015551	3832.81111111111	22163.3333333333	4032.77777777778	530.916666666665	0	3890.66666666667	4.41666666666667	458029.642984272	692.611111111111	34.0555555555556	29939.8940972222	25580.4891203704	273.833333333333	38	0	58723.6222467733	368476.007028843	161385.673816622	1394596.68817156	106136.23430285	746722.257411445	1606.9	24269.0857142857	0	0	0	36.75	281.666666666667	39627246.0692462
0159_AP39_21129_20180205_ST	43094386	0	11118.2736111111	533584.945076989	403322.242568543	33.25	21207.0760416667	650506.795632981	43371.2222222222	159938.341226852	2604605.88503743	5240.03333333333	15403	3893.27777777778	377.666666666667	0	3494.125	62	412493.440991369	361.738888888889	10.7361111111111	18698.0168402778	22831.6331349206	166.055555555556	1.66666666666667	0.0888888888888889	53597.2482627415	306623.542119644	134884.368314344	1329810.34018055	98802.4581123738	690793.567234062	800.45	21227.7491666667	0	0	0	11	905	35546208.7653363
0159_AP39_21301_20180706_ST_E21	41557720	0	10271.3136574074	492627.530985474	312993.889819902	23	19508.9271957672	630576.45419127	37382.4722222222	152422.605257936	2529551.33493785	4747.62222222222	3761	3634.93055555556	302.416666666667	0	1626.16666666667	5	397494.86805812	652.697222222222	6.84722222222222	14596.5975694444	23039.159045584	233.680555555555	0	0.0222222222222222	44549.3291911253	292147.279956558	128389.420179	1395237.04360486	100153.008307613	667896.14577012	304.933333333333	13961.75	0	0	0	0.666666666666667	637	34278984.8867164
0159_AK37_71054_20190305_ST	31353698	0	8261.22673611111	409340.259931422	284281.891203704	11.5	19652.18375	486039.082939011	29426.4069444445	129242.250661376	1946250.72289921	3688.39583333333	1989	4752.81944444444	159.583333333333	0	2059	13	307068.603197625	430.095833333333	17.2222222222222	15129.177816358	19143.7354166667	242.361111111111	11	0.0444444444444444	41425.0620703614	231318.779710901	97196.3413056657	1008479.10158179	75927.5520447531	503857.234834403	628.6	13250.5	0	0	0.05	1	80	25714324.214734
