sample_id	total	cellular_biosynthetic_process	androgen_biosynthetic_process	estrogen_biosynthetic_process	polyphosphate_biosynthetic_process	isoprenoid_biosynthetic_process	phospholipid_biosynthetic_process	vitamin_biosynthetic_process	toxin_biosynthetic_process	cytokinin_biosynthetic_process	auxin_biosynthetic_process	mucilage_biosynthetic_process	organic_acid_biosynthetic_process	antibiotic_biosynthetic_process	peptidyl_diphthamide_biosynthetic_process_from_peptidyl_histidine	heterocycle_biosynthetic_process	aromatic_compound_biosynthetic_process	organic_phosphonate_biosynthetic_process	cellular_carbohydrate_biosynthetic_process	cellular_macromolecule_biosynthetic_process	neurotransmitter_biosynthetic_process	ketone_biosynthetic_process	alkane_biosynthetic_process	alkene_biosynthetic_process	cellular_alcohol_biosynthetic_process	cellular_nitrogen_compound_biosynthetic_process	sulfur_compound_biosynthetic_process	glycerolipid_biosynthetic_process	aldehyde_biosynthetic_process	neutral_lipid_biosynthetic_process	membrane_lipid_biosynthetic_process	glycerol_ether_biosynthetic_process	ketone_body_biosynthetic_process	Remaining
0159_AS41_40055_20180716_ST	174241359	236288.366666667	0	0.0833333333333333	39696.3666666666	120501.918022487	168446.420138889	94846.6778582451	15688.6944444444	16710.8333333333	0.5	0	166595.330560929	2791.34097222222	32	332498.569588244	275189.812942181	877.722222222223	52669.6043693661	444469.045985817	0	45853.4965277777	292.305555555555	3667	0.236111111111111	353119.292181175	121587.113690476	19649.3625	8722.36111111111	0.0296296296296296	26680.2416666667	0.111111111111111	2.2	171694481.96281
0159_AP39_21110_20190111_ST	130999038	189035.726190476	0	0	40425.3333333334	118992.842592593	134136.308035714	61677.9571660053	10536.3888888889	13598	10.8333333333333	0	148546.755975254	10381.3444444444	0	263756.111762636	215038.664124849	1272.05555555556	43398.9631944444	394897.714770723	0	21515.2934027778	95.1458333333333	72	0.166666666666667	280293.621263297	69443.2339781746	15136.757473545	7533.20833333333	3	16696.7952160494	0	1.46666666666667	128942542.311798
0159_AA34_42475_20190911_ST	111488220	111681.55952381	0	0	32695.75	71446.1756283069	102545.703918651	55068.7280313051	11397.9444444444	11988	1	0	110602.326170084	1555.63055555556	0	214667.960032142	173887.043441901	1757	29453.2920583146	279209.088997615	0	12369.8697916667	672.5625	0.166666666666667	0.333333333333333	228342.201157082	62790.3730820105	10390.0686507936	5923.16666666667	0.0555555555555556	12490.0433641975	0	3.6	109947280.35643
0159_AA34_42480_20191103_ST	79089243	68470.5119047619	0	0	30875.5833333334	53904.4552579366	81165.4602678572	46686.2942757936	7500.16666666667	7994	24	0	98530.5855154596	1542.63194444444	0	178105.52754509	141789.642283185	102	18544.2370756173	240646.610201719	0	8718.734375	65.3125	0	0	179549.445131069	43677.3757638889	8285.05026455026	5067.36805555555	0.111111111111111	5849.50262345679	0	0.4	77862147.9939035
0159_AP39_21298_20181004_ST_E21	57892245	50493.2261904762	0	0.333333333333333	20081.4166666666	36431.5497685186	53661.2275793651	30627.1988646385	5355.69444444444	7142	0	0	61451.3293244323	1450.56388888889	0	118010.068919386	92977.3844043945	1199.94444444444	14902.9528292181	144759.483586861	0	6333.35329861111	172.756944444444	0.333333333333333	0	120605.779269915	29981.8096230159	5578.47056878307	3253.80555555556	9.46296296296294	5198.25293209877	0	0.466666666666666	57082566.1345995
0159_AP39_21108_20171121_ST	49162387	53190.9285714286	0	0.666666666666667	10341.4166666666	34249.281712963	43717.3787698413	22484.2139021164	4555.22222222222	3082	0	0	48660.8662012235	5872.39305555556	142	92631.2584496252	73787.7652456276	568.166666666667	16312.1645938552	127950.206673882	0	12372.5763888889	1356.42361111111	8.70833333333333	0	99121.7198541466	30250.8961805556	5920.35502645502	2250.20138888889	0	8991.21203703704	0.111111111111111	0.166666666666667	48464568.7000035
0159_AK37_71062_20190607_ST	48167112	56472.8333333333	0	0	15333.5833333334	37368.2282407407	49445.8831845238	23620.6196847443	3929.22222222222	5534.5	0	0	54242.5120539848	1681.32916666667	0.333333333333333	97170.3374870174	78947.8270527141	259.833333333333	14460.7276655443	144331.773553992	0	7958.03645833333	134.416666666667	19	0	104193.274143463	27360.276984127	4295.75396825397	2630.08333333333	0	7561.42885802469	0	0.2	47430159.9859423
0159_AP39_21129_20180205_ST	43094386	24162.1666666667	0	0	13209.8333333334	29627.2724537037	43747.0333829365	20288.6549382716	5318.72222222222	2892	0.166666666666667	0	47018.3201569389	1117.61527777778	1.16666666666667	89638.6777647034	70607.2327702148	177.666666666667	10450.7550575196	121595.999623216	0	5293.91232638889	76.9444444444444	0.833333333333333	0.111111111111111	94310.9213970086	22201.1162731481	4403.41402116402	2402.51388888889	0.0833333333333333	4703.25046296296	0	0.7	42481138.9157607
0159_AP39_21301_20180706_ST_E21	41557720	34938.0833333333	0	0	14357.9166666666	26121.9988425926	39589.1750496032	21562.1443187831	3966.94444444444	5212.66666666667	0	0	44161.9267917769	803.613194444446	0	84998.3106683616	66972.753304311	671	10710.1707047325	106605.600859788	0	4294.171875	114.923611111111	0	0.0277777777777778	87759.8427715362	21356.5275462963	4090.37367724868	2325.77314814814	7.46296296296294	3672.68503086419	0	0.466666666666666	40973425.4400869
0159_AK37_71054_20190305_ST	31353698	29953	0	0	8408.08333333335	22617.2118055556	31579.5038194444	15531.0937599207	3519.80555555556	3425.66666666667	1.16666666666667	0	32419.2410864473	778.326388888891	0	62025.1820404664	49433.5148612336	674.88888888889	8635.75061728395	95330.7227733686	0	4307.21354166667	120.263888888889	5.5	0.0555555555555556	67021.3010533632	18815.3114087302	3256.72222222222	1674.11574074074	0.120370370370371	3103.49737654321	0	0.3	30891060.4405782
0159_AK37_71051_20190224_ST	30677676	34213.3333333333	0	0.166666666666667	10878.5833333334	28014.8024140212	35820.6850983796	15468.2778957231	2324.44444444444	4193.83333333333	142.166666666667	0	30158.0222354497	874.613888888887	0.5	59631.7851912585	51557.0467866435	258.666666666667	9500.44113940329	86912.9725143298	0	4811.37152777778	45.3333333333333	70.8333333333333	0	66774.6930732029	17989.2356481481	3586.86108355379	1870.87268518518	0.111111111111111	5316.74390432098	0	1.6	30207258.0026915
