sample_id	total	organic_substance_metabolic_process	carbohydrate_metabolic_process	cellular_aldehyde_metabolic_process	organic_acid_metabolic_process	lipid_metabolic_process	flavonoid_metabolic_process	carbon_fixation	ether_metabolic_process	organometal_metabolic_process	cyanide_metabolic_process	organophosphate_metabolic_process	alkanesulfonate_metabolic_process	choline_metabolic_process	polyketide_metabolic_process	thioester_metabolic_process	cellular_ketone_metabolic_process	macromolecule_metabolic_process	S_adenosylmethionine_metabolic_process	hydrocarbon_metabolic_process	olefinic_compound_metabolic_process	acetate_ester_metabolic_process	carbohydrate_derivative_metabolic_process	organic_cyclic_compound_metabolic_process	poly_hydroxyalkanoate__metabolic_process	organonitrogen_compound_metabolic_process	fatty_acid_derivative_metabolic_process	organic_substance_catabolic_process	organic_substance_biosynthetic_process	organic_hydroxy_compound_metabolic_process	Remaining
0159_AS41_40055_20180716_ST	174241359	424075.583333333	7962460.70760278	42903.352281746	2529201.07787008	827053.772043267	0	34967.2	0.333333333333333	2.5	0	1061615.91892193	7260.65	22181	1770.33472222222	23021.7648611111	177138.276851852	18953517.1232378	14714.2083333333	5680.26388888889	4891.30625	0.388888888888889	2399661.94468387	2873722.67931455	309.375	4781446.67163666	8942.96666666667	1046346.2483451	1745648.16252804	479527.919354507	128813297.27005
0159_AP39_21110_20190111_ST	130999038	498674.166666667	6658217.54981812	32959.7319444444	1794956.02521104	661439.637951105	0	25108.1166666667	0.0625	26.6666666666667	0	813507.077732078	1577	6358.25	848.925925925926	16953.1141203704	80627.4746527779	15830532.1883782	11191.5277777778	366.489583333333	216.377083333333	2.72222222222222	1772556.28393362	2242424.13442371	54.75	3876267.3587779	3302.16666666667	806214.45698252	1423133.29404898	255731.587791857	94185790.8624741
0159_AA34_42475_20190911_ST	111488220	250449.25	7408914.52369962	25017.9138888889	1299629.75348603	538443.323481675	0	645.25	3.3125	10.8333333333333	0	618591.533045499	2.35	932.9375	1084.94537037037	11839.3134259259	41499.1917824074	14436575.9757769	9822.38888888888	1704.00347222222	2.73263888888889	0	1318963.85273882	1945603.07812162	216.375	3065917.69645016	3451.96666666667	870337.878982244	1060634.82570253	158376.837637787	78419547.9564095
0159_AA34_42480_20191103_ST	79089243	97574	3733211.40739638	23349.4890625	1057653.9965351	414937.012931731	0	15535.7	0	29.3333333333333	0	528309.613293431	20.65	557.125	610.827777777778	11190.9959722222	29705.4248842592	9887455.97314539	9113.66666666667	198.947916666667	1.76041666666667	0	965953.843356114	1487788.97654608	3.75	2265551.46726482	2435.61666666667	400559.68919202	848858.588621854	127826.853626543	57180808.2903938
0159_AP39_21298_20181004_ST_E21	57892245	117283.866666667	3630715.40562628	13861.6381944444	690580.488173792	290611.567423574	0	2150.58333333333	0	3.83333333333333	0.25	337081.786636201	5.3	333.25	497.796990740741	6869.67018518518	21648.6517939815	7605818.6555404	5327.875	443.961805555555	1.08194444444444	0.666666666666667	674405.178279535	1038640.78978484	27.375	1589792.80368778	893.341666666667	409976.964418449	562800.909096694	76789.9102788801	40815681.3984725
0159_AP39_21108_20171121_ST	49162387	89090.6666666667	2129810.66095629	18687.0454282407	688782.906003469	264670.001478827	0	14205.1166666667	0.166666666666667	35	0	290430.003126051	2168.2	7566.125	1146.07685185185	8756.25111111111	48864.2069444444	5360619.77722017	3738.09722222222	3429.67013888888	12.8069444444444	0	691861.232536968	787923.926300748	34.5	1381880.27822049	5966.45	266599.565519939	679017.661460623	119795.37693171	36297295.2306035
0159_AK37_71062_20190607_ST	48167112	131343.833333333	2797495.28828889	11987.9888888889	654361.713989001	255662.009453497	0	9436.58333333333	0	4.41666666666667	0	291237.285729973	293	1446.375	333.144444444444	5784.13824074074	29939.8940972222	5872720.7762349	4142	371.916666666667	26.78125	0.444444444444444	589318.57022698	831271.718743015	7.875	1419113.12762153	3214.2375	308258.139717625	510873.660903569	76586.537571649	34361880.5426536
0159_AP39_21129_20180205_ST	43094386	112716.833333333	2583440.37803205	11118.2736111111	533584.945076989	246429.73121643	0	1958.41666666667	0	62	0	267334.959572428	5.3	1065.625	562.739814814815	5120.06958333333	18698.0168402778	5438692.61625481	4318.25	221.513888888889	1.77986111111111	0.388888888888889	526186.200752652	792507.956364353	36.75	1205192.49082551	1602.23333333333	271379.260539021	434238.292416328	68760.2180489418	30569150.7600787
0159_AP39_21301_20180706_ST_E21	41557720	83246.3333333333	2546738.87703465	10271.3136574074	492627.530985474	209310.931223974	0	1153.75	0	5	0	243047.789175301	0	215.25	359.835648148148	4986.29814814815	14596.5975694444	5497372.56167879	3773.45833333333	295.64236111111	0.0833333333333332	0.277777777777778	482164.027809076	748042.754081408	17.25	1141164.34269147	610.741666666667	290849.785682304	408075.071281347	55338.5070023148	29323455.9895252
0159_AK37_71054_20190305_ST	31353698	70429.0833333333	1622424.9534116	8261.22673611111	409340.259931422	152334.554365831	0	4219.03333333333	0	13	0	196661.955798876	192.6	329	850.401851851852	4427.37037037037	15129.177816358	3994470.89657738	2783.375	314.784722222222	13.3645833333333	1.77777777777778	410614.440121926	560032.555911744	12	899070.274726246	1258.2	204719.488172399	317691.283168242	59243.6457867364	22418859.2965029
0159_AK37_71051_20190224_ST	30677676	45086.8333333333	1373799.44180354	7671.8209077381	396986.824874357	155743.949701462	0	2474.6	0	7.5	0	200218.754826197	361.5	1389.25	551.319907407407	5938.8950925926	18131.280787037	3978246.25809608	4027.22222222222	225.444444444444	95.9569444444444	0	417695.623316288	546720.411296157	105.375	915473.573893016	727.004166666667	190750.057594529	325565.917025893	56942.9912064594	22032738.1935601
0159_BC12_41010_20171203_ST	26329100	61922.5	1372156.71665765	8710.97569444446	339227.742036051	133861.167447958	0	1269.25	0	8	0	163976.766254833	12.6	356.925	482.144444444444	3733.62041666666	10171.8264660494	3478475.40566153	2668.91666666667	468.458333333333	1.65833333333333	2.06666666666667	332926.722253821	492597.309935555	38.625	741026.644660624	1932.73333333333	163614.945821805	276897.695023533	40064.339329806	18702494.2445619
0159_AV42_66107_20190327_ST	25918625	63479.5	1079107.98063088	8929.4375	377622.806404183	132227.598529358	0	8049	0	2.66666666666667	0	164359.882686486	1444.3	4194.5625	288.387962962963	4056.72560185185	29739.7638888889	2823592.95307765	1911	8.96527777777777	2.41875	0	375180.642603187	413410.48217396	4.125	788861.209973919	1338.53333333333	135578.34792399	276613.196798276	64087.6076554233	19164532.9050612
0159_AP39_21295_20180811_ST_E21	23598601	52834	1202765.99443617	6748.03506944444	305840.429335829	111061.177481077	0	2540.9	1.75	1.41666666666667	0	145646.790446939	142.65	575.5	324.412731481482	3480.61305555555	8939.9854552469	3156347.03369508	2651.08333333333	482.295138888889	43.7326388888889	0.0555555555555556	292214.482515003	441872.802984912	61.875	673223.472689965	731.833333333333	151553.517113094	244407.579468927	39218.76317791	16754888.8186767
0159_AB10_100710_20181001_ST	23465581	38292	857725.664418908	9436.83263888889	342861.301998585	114064.052244084	0	5895.33333333333	0	7.83333333333333	0	155994.265717052	888.65	2596.875	257.878703703704	4583.38157407407	16359.5550154321	2638970.88648469	2375.19444444445	1007.85416666667	4.89930555555556	0.037037037037037	323247.773482939	420617.086904436	266.625	673145.976004318	2510.38333333333	113822.229102229	270771.44881035	55240.4895337301	17414636.4924129
0159_AZ03_32019_20180325_ST	23266629	67502.8333333333	1089614.45341235	7543.26405423281	313330.074181012	111727.48369567	0	1175.83333333333	1.58333333333333	0.5	0	154185.455861552	69.2	378.125	397.006712962963	3490.16152777778	6937.30185185185	3228341.29517283	3482.16666666667	633.010416666667	1.98333333333333	0.222222222222222	268498.858807544	468115.024165196	41.25	697026.277534049	917.820833333333	152036.823291487	253829.169065617	35179.8276399912	16402171.9945537
0159_AP39_21065_20180201_ST	23251625	41194.3333333333	1626224.1539837	5757.2941468254	282125.082071955	109251.172258464	0	461.916666666667	0	0	0	134764.491016651	0	105.375	191.416435185185	2500.9487962963	10779.6020833333	2896469.60391934	2225.63888888888	118.270833333333	0.177083333333333	0.166666666666667	281440.636207654	394345.060940973	8.625	645029.55522686	742.233333333333	202460.584308633	221170.223867893	32476.0913194444	16361782.3466112
0159_AK37_71050_20190313_ST	22908156	51838.5833333333	1268215.22146331	6991.11709656085	296079.331528404	121203.532286907	0	1701	0	15.5	0	142718.826468555	23.9708333333333	421.75	275.468055555556	2604.57356481481	8683.83310185184	3044254.53985857	2813.34722222222	281.819444444444	4.08125	0.333333333333333	270479.52922579	435721.660863124	36.625	663911.251745933	592.633333333333	157276.485434464	249626.143123158	36164.4828806417	16146220.3595524
0159_AZ03_32013_20200922_ST	22364500	68164.0833333333	1109739.3164275	7036.20671296296	275060.512522855	111458.914628697	0	506.166666666667	0	0.333333333333333	0	134367.508577836	6.6	276.625	143.719907407407	2925.57560185185	8476.25632716048	3250002.64860738	3205.40277777778	1053.34375	9.90555555555556	0	265871.183509322	435123.923685349	22	644161.524784924	1138.41666666667	140093.89548809	230010.564881827	31457.1769079686	15644188.1943455
0159_AP39_21076_20180429_ST	21809905	53022.9166666667	1364307.64636519	4971.32708333333	265841.696651507	107201.884326598	0	945.666666666667	0	2.66666666666667	0	126577.475020372	0	84.5	169.671990740741	2305.58046296296	7218.9224537037	2920613.35131265	2542.70833333333	107.454861111111	0.733333333333333	0.0555555555555556	253851.910127192	398739.130011735	22.5	613126.436327403	443.608333333333	166412.316667861	210368.849262888	29417.6397630918	15281608.3517561
0159_AP39_21119_20181218_ST	21571050	50733	1313936.40023424	5011.96111111111	269502.126666272	107520.562291177	0	2312.16666666667	0.1875	0.166666666666667	0	128167.818883888	0.5	163.75	158.814814814815	2119.24185185185	10066.2206018519	2826601.20584918	2064.16666666667	93.4375	1.09375	2	268979.903975541	383121.834169923	16.875	618702.460270012	311.466666666667	163288.104063326	207001.606178117	30436.2589781746	15180736.6696439
0159_AQ29_10022_20170920_ST	20764220	57736.9166666667	860828.129569002	5966.29838789683	285444.077301426	104842.412552192	0	576.083333333333	0	3.16666666666667	0	141122.420337967	4.35	143.791666666667	171.94212962963	2843.37745370371	6799.87847222222	2825502.69107521	2610.79166666667	102.489583333333	2.08333333333333	0.351851851851851	256695.299854493	405858.368317375	27.75	625542.680643308	534.075	113149.998745017	227398.00588734	33052.8362972483	14807259.7332074
0159_AB10_26156_20180815_ST	19951859	54297.3333333333	1327232.06714249	3387.04513888889	245534.659238453	102445.401081165	0	2472.66666666667	0.0625	7.83333333333333	0	113485.23508974	87	476.5	177.263888888889	1923.80399691358	11132.1171875	2412431.79707313	1450.41666666667	139.475694444444	41.6479166666667	1.33333333333333	250247.060384037	328178.69989747	4.125	573143.102937439	552.022222222222	166765.836336526	191692.966323058	28398.8683862434	14136152.6592314
0159_AZ03_32015_20201210_ST	19254643	46584.5	906618.014760452	8012.28310185185	257069.907036904	95775.8666430342	0.0648148148148147	1270.08333333333	0.0625	18	0	123431.840881059	0	303.25	1403.07916666667	2597.47811728395	6592.32044753087	2637374.51255847	2462.70833333333	185.395833333333	0.916666666666667	0.388888888888889	234093.283896759	383061.046424753	17.25	556643.386855884	1034.04305555556	116160.714944897	211867.581534215	31997.2915772306	13630067.7286271
0159_AP39_21090_20180504_ST	19033213	45385.8333333333	1210364.10695897	3831.63095238095	246834.678573866	92953.2815743691	0	367.5	0.5	3	0	112619.204226945	2	127	127.215740740741	1799.30703703704	9176.97951388889	2446354.73268724	1648.05555555555	79.017361111111	1	0	240603.995716302	330479.010963287	48.375	555803.309987903	379.054166666667	151482.147832464	184146.752776633	26830.9422398589	13371764.3678014
0159_AP39_21330_20190102_ST_E21	18485852	46117.8333333333	943763.867889292	5694.73511904762	236844.025356019	90719.1933909893	0	1781.78333333333	0.125	11.1666666666667	0	118394.493903984	50.7	552.375	455.979398148148	2123.5550617284	7069.55069444445	2338875.13422803	1816.54166666667	129.979166666667	0.427083333333333	0.0555555555555556	245576.677756508	340561.492863949	58.875	528938.884339059	917.959722222222	112046.737544949	186331.017196249	29026.0650958995	13247992.7686339
0159_AP39_21314_20180719_ST_E21	18445058	50528.3333333333	1241564.8242532	4095.528125	221274.351295966	88818.4018800215	0	545.083333333333	0	3.33333333333333	0	100790.867076031	77.3	567.375	252.271164021164	2005.86587962963	8578.56851851852	2409887.03066537	1475.01388888889	242.611111111111	31.3208333333333	0.111111111111111	217119.987691503	315284.793760867	41.25	508609.492573525	324.020833333333	152370.51077485	177655.107589314	26309.7275573192	12916604.9184171
0159_AK37_71031_20180929_ST	18386521	40665.6666666667	1101487.60951371	4799.3125	228098.892642872	87183.9028475896	0	616.033333333333	0.166666666666667	27.3333333333333	0	111822.922816991	24.45	191.375	359.725	1999.08018518518	6942.02037037038	2371320.49727066	1826.80555555555	297.572916666667	11.1979166666667	0.111111111111111	234610.89656449	329582.334791239	46.125	508703.890336181	367.266666666667	136535.235326279	191367.63447577	28932.6595899471	12998700.2816021
