sample_id	total	mannan_polymerase_complex	glycosylphosphatidylinositol_N_acetylglucosaminyltransferase__GPI_GnT__complex	ESCRT_I_complex	ESCRT_II_complex	ESCRT_III_complex	ER_ubiquitin_ligase_complex	signal_recognition_particle_receptor_complex	signal_peptidase_complex	phosphatidylinositol_3_kinase_complex	oligosaccharyltransferase_complex	photosystem	photosystem_I_reaction_center	photosystem_II_reaction_center	photosystem_II_oxygen_evolving_complex	photosystem_I_antenna_complex	proton_transporting_two_sector_ATPase_complex	phycobilisome	membrane_coat	AP_type_membrane_coat_adaptor_complex	HOPS_complex	retromer_complex	retromer__tubulation_complex	retromer__cargo_selective_complex	NADH_dehydrogenase_complex	SNARE_complex	Sec62_Sec63_complex	endoplasmic_reticulum_palmitoyltransferase_complex	dolichyl_phosphate_mannose_protein_mannosyltransferase_complex	SREBP_SCAP_complex	proton_transporting_two_sector_ATPase_complex__proton_transporting_domain	proton_transporting_two_sector_ATPase_complex__catalytic_domain	VCP_NPL4_UFD1_AAA_ATPase_complex	GPI_anchor_transamidase_complex	MHC_class_I_peptide_loading_complex	TAP_complex	UDP_N_acetylglucosamine_transferase_complex	Dsc_E3_ubiquitin_ligase_complex	proton_transporting_ATP_synthase__stator_stalk	proton_transporting_ATP_synthase__catalytic_core	proton_transporting_ATP_synthase__central_stalk	pore_complex	cargo_receptor_complex	translocon_complex	clathrin_complex	Nem1_Spo7_phosphatase_complex	Ragulator_complex	EMC_complex	Asi_complex	plasma_membrane_protein_complex	outer_mitochondrial_membrane_protein_complex	inner_mitochondrial_membrane_protein_complex	respiratory_chain_complex	nuclear_membrane_protein_complex	COPII_vesicles_tethering_complex	transmembrane_transporter_complex	Ire1_complex	IRE1_TRAF2_ASK1_complex	ESCRT_IV_complex	nuclear_membrane_complex_Bqt3_Bqt4	Remaining
0159_AS41_40055_20180716_ST	167641028	0.5	0.166666666666667	2.75	0	0.25	0.888888888888888	0	1.16666666666667	0.666666666666667	0.0833333333333333	838.285714285714	0.333333333333333	3.33333333333333	95	0	109992.683333333	26.4166666666667	3368.66666666666	13.0833333333333	0.333333333333333	1.5	1	1.66666666666667	9914.75	0.5	0.916666666666665	0.833333333333333	0	0	102684.25	267090.483333334	0.833333333333335	2.33333333333333	0	0	0	0.416666666666667	0	1	0	424088.666666667	0.333333333333333	0.416666666666667	0.666666666666667	0.125	0.125	1.5	0.5	873558.374999998	13.625	153.855555555556	16078.5	0	0.5	435554.499999999	0	0	0	0	165397531.219841
0159_AP39_21110_20190111_ST	125942242	0.5	0	1.75	0	0	0.388888888888889	0	0	0.916666666666665	2.58333333333333	3573.61904761905	0	0.5	0	0	81756.25	178.75	8372.91666666667	4.25	0	0	0.333333333333333	0	2695.75	0.583333333333333	0	9.16666666666667	0.444444444444444	0	87564.2666666667	291134.716666667	0	0	0	0	0	0	0	0.25	0	76237.5	0	0	0	0	0.25	0	0	468221.402777778	0	251.75	4290.6875	0	0	228364.182638889	0	0	0	0	124689578.291369
0159_AA34_42475_20190911_ST	114708520	0	0	6	0	0	0	0	0	0	0	825.166666666667	0.333333333333333	0.333333333333333	52.5	0	88428.9166666667	56.75	4568.58333333333	4.75	0.1	0	0	0	3381.66666666667	0	0	0	0	0	86871.0666666667	197065.7	0.666666666666665	0	0	0	0	0	0	0.75	0	16492.6666666667	0	0	0.333333333333333	0	49.5	0.5	0	302475.666666667	7	146.875	691.5	0	0	143531.779166667	0	0	0	0	113863860.895833
0159_AA34_42480_20191103_ST	76865758	0	0	1.25	0	0	0	0	0	0	0	2311.66666666666	0	0.833333333333333	0	0	62369.4166666667	107	17461.8333333333	1	0	0	0	0	1855.91666666667	0.333333333333333	0	5.16666666666667	0	0	76217.9166666666	232188	0	0	0	0.5	0	0	0	0.25	0	12946	0	0	0	0	0	0	0	292013.125	0	146.166666666667	166.25	0.166666666666666	0	136905.645833333	0	0	0	0	76031059.5625
0159_AP39_21298_20181004_ST_E21	58351570	0	0	1.5	0	0	0	0	0	0	0	732.619047619047	0	0.333333333333333	11.5	0	39827.5833333333	274	1941.16666666667	5.5	0	0	0	0	1035.66666666667	0	0	5.66666666666667	0	0	44793	127511.4	0.333333333333333	0	0	0	0	0	0	0.5	0	11378	0	0	0	0	0	0	0	165546.875	0	110.916666666667	127.291666666667	0	0	77803.3583333333	0	0	0	0	57880462.7892857
0159_AP39_21108_20171121_ST	47890622	0	0	1.75	0	0	0.0833333333333333	0	0	0	0.833333333333333	368.940476190476	0	4.25	0	0	33770.6666666667	21.75	393.041666666667	16.5	0	0	0	0	2617.83333333333	0	0	4.66666666666667	0	0	28304.75	68018.6666666666	0.0625	0	0	0	0	0	0	0.25	0	89609.5	0	0	0	0	0	0	0	210712.933333333	0.5625	95.375	4556.20833333333	0	0	103094.495833333	0	0	0	0	47349028.8803571
0159_AK37_71062_20190607_ST	46524471	0	0	0.5	0	0	0	0	0	0	0.0833333333333333	743.833333333334	0	0	61.25	0	30708.6666666667	65.5	1637.16666666667	0.5	0	0	0	0	1637.5	0	0	0	0	0	34629.4833333334	90613.4166666667	0	0	0	0	0	0	0	0.25	0	17320.5	0	0	0	0	0	0	0	172919.083333333	0	167.458333333333	1743.95833333333	0	0	81895.2208333333	0	0	0	0	46090326.6291667
0159_AP39_21129_20180205_ST	42174717	0	0	2.25	0	0	0	0	0	0.666666666666665	0.166666666666667	1039.5	0	0	61.75	0	51626.3333333333	31.75	1487.33333333333	1	0.333333333333333	0	0	0	613.770833333333	0	0	5.33333333333333	0	0	40583.2333333334	77631.15	0	0	0	0	0	0	0	1	0	5476.5	0	0	0	0	0	0	0	126819.708333334	0.625	198.9375	247.583333333333	0	0	60109.8333333334	0	0	0	0	41808778.2416666
0159_AP39_21301_20180706_ST_E21	41945891	0	0	0.5	0	0	0	0	0	0.25	0	715.833333333333	0	1.25	8.25	0	29896.8333333333	209.25	1513.16666666667	1.5	0	0	0	0	548.916666666668	0	0	6.66666666666667	0	0	32551.7261904762	91612.3095238095	0	0	0	0	0	0	0	0.5	0	6476	0	0	0	0	0	0	0	118939.708333333	0	93.25	62.4166666666667	0	0	55921.0166666667	0	0	0	0	41607331.6559523
0159_AK37_71054_20190305_ST	30472858	0	0	0.75	0	0	0	0	0	0	0	624.833333333333	0	0	7.5	0	31704.0833333333	18.75	4716	4.5	0	0	0	3	1462.91666666666	0	0	0	0	0	27816.3333333333	60788	0	0	0	0	0	0	0	0	0	7479	0	0	0	0	0	0	0	121087.5	0	38.2083333333333	674.916666666667	0	0	58634.9625000001	0	0	0	0	30157796.7458334
