sample_id	total	catalytic_activity__acting_on_a_protein	peptidyl_prolyl_cis_trans_isomerase_activity	protein_disulfide_isomerase_activity	dihydrolipoyllysine_residue_succinyltransferase_activity	dolichyl_phosphate_mannose_protein_mannosyltransferase_activity	holocytochrome_c_synthase_activity	peptidylamidoglycolate_lyase_activity	polypeptide_N_acetylgalactosaminyltransferase_activity	protein_kinase_activity	protein_lysine_6_oxidase_activity	phosphoprotein_phosphatase_activity	dihydrolipoyllysine_residue_acetyltransferase_activity	peptidase_activity	protein_methyltransferase_activity	protein_prenyltransferase_activity	palmitoyl__protein__hydrolase_activity	protein_tyrosine_sulfotransferase_activity	microtubule_severing_ATPase_activity	ubiquitin_like_modifier_activating_enzyme_activity	X_acyl_carrier_protein__phosphodiesterase_activity	X_protein_PII__uridylyltransferase_activity	phosphatidylglycerol_prolipoprotein_diacylglyceryl_transferase_activity	protein_disulfide_reductase_activity	protein_N_acetylglucosaminyltransferase_activity	aminoacyltransferase_activity	lipoate_protein_ligase_activity	biotin_protein_ligase_activity	deoxyhypusine_monooxygenase_activity	protein_cysteine_S_acyltransferase_activity	ubiquitin_like_protein_transferase_activity	protein_xylosyltransferase_activity	peptidyl_proline_dioxygenase_activity	protein_lysine_deacetylase_activity	lipoyl_octanoyl__transferase_activity	protein_deglycase_activity	peptide_O_fucosyltransferase_activity	X_glutamine_synthetase__adenylyl_L_tyrosine_phosphorylase	protein_glucosylgalactosylhydroxylysine_glucosidase_activity	protein_methylesterase_activity	peptide_lysine_N_acetyltransferase_activity	microtubule_plus_end_polymerase	peptidyl_aspartic_acid_3_dioxygenase_activity	protein_glycine_ligase_activity	protein_glutamic_acid_ligase_activity	peptidyl_lysine_5_dioxygenase_activity	protein_O_GlcNAc_transferase_activity	protein_ribulosamine_3_kinase_activity	protein_methylthiotransferase_activity	catalytic_activity__acting_on_a_glycoprotein	protein_demethylase_activity	ATP_dependent_histone_chaperone_activity	NAD__protein_ADP_ribosyltransferase_activity	Remaining
0159_AS41_40055_20180716_ST	251882058	0	383228.56439394	10.5416666666667	11573.0625	4873	48.75	1.75	0	544358.685912698	0	168361.083333333	17208.8333333333	3850030.43012543	78583.1708333335	74.5	0	270	0	81439.4333333335	8066.25	16329.2797619048	49856.25	126803.161805556	0	88819.4333333333	8957.25555555557	29260.4	0	0.75	459.458333333333	3278.25	10.8333333333333	5961.57291666665	14037.4333333334	0	0	1199.41666666666	0	4665.35	6.91666666666665	0	0.5	0	63.3333333333335	0	6.5	0.5	13902.8583333333	2308.175	3.33333333333333	0.133333333333333	3264.83333333333	246364734.016195
0159_AP39_21110_20190111_ST	186513229	0	334633.734848485	4.5	4062.1	2435.5	168.75	2.16666666666667	0.75	424536.299603175	0	134588.105050505	3113.46666666667	3393726.49395292	51274.6395833333	0	0	0.5	0	54215.25	1904.5	4019.83333333333	43094	84116.0555555555	0	51425.0583333333	3374.63333333333	27311.7333333334	0	0	1865.33333333333	7280.41666666665	8.5	3595.59523809524	4573.66666666667	423.625	0	422.9	0	4221.01666666666	1.66666666666666	0	0	0	1.5	0	4.5	1.5	12965.6416666667	3396.64166666667	7.21875	0	4165.83333333333	181852285.374085
0159_AA34_42475_20190911_ST	166344029	0	237266.548484848	8.25	37.775	2417.25	5	7.66666666666665	0	464472.534986772	0	141333.608333333	66	3205087.17147366	47230.6472222222	1.75	0	423.25	0	51235.9750000002	1808.5	29.2083333333333	34378.2916666666	70284.7638888889	0	49749.25	2353.06666666667	18189.3083333333	0	0	225.458333333333	3791	38.6666666666667	4705.51666666667	7455.65	1.25	0	7.725	1	7767.95	0.916666666666665	0	1	0	0	0	0	0.25	11622.5916666667	2968.08333333333	0.5	0	21287	161957768.62561
0159_AA34_42480_20191103_ST	114788551	0	187104.516666666	2.625	491	1017	27	0.166666666666666	0	301153.188425926	0	128064.388888889	314.9	1844107.4656746	38998.48125	39	0	0	0	23141.6666666666	36.5	4496.75	27278.4166666666	53123.1874999999	0	37164.5333333334	1028.83333333333	18705.3166666666	0	0	892.791666666667	2960.25	21	3968.97142857143	3566.25	0.75	0	2397.55	0	6405.79166666665	1	0	63	0	0	0.166666666666666	3.5	30.25	8473.98333333335	15150.5	0	0	1002.33333333333	112077317.975165
0159_AP39_21298_20181004_ST_E21	86839131	0	129347.033333334	4.5	245.95	3557.25	88.5	1	4.5	230117.608730158	0	72848.7777777778	35.5666666666667	1576323.67410714	25546.4972222222	0.5	0	0	0	23735.3333333334	301.5	419.291666666667	19207.25	35270.3680555556	0	24132.3041666667	418.966666666667	11362.6083333333	0	0	219.125	1770.5	0.333333333333333	2728.9	2928	31.5	0	179.158333333334	0	2710.20833333333	0.5	0	1.5	0	0	0	1.75	0.5	6131.325	3326.5	0	0	2035.66666666666	84664096.5532738
0159_AK37_71062_20190607_ST	69169479	0	105439.416666666	7.5	1291.9	3297	63.75	0.25	0	180080.841269841	0	61183.3527777778	549.7	1216809.08713474	17997.7886363637	10.25	0	0.5	0	21477	975	3180.20833333333	15536	32123.8208333333	0	26494.7958333333	962.233333333333	10464.5333333333	0	0	796.916666666667	2965.5	74	1933.90238095238	6952.83333333335	69.125	0	1154.375	0	3644.66666666667	1.25	0	0	0	0.166666666666666	0	0.5	5.25	4858.98333333334	2001.33333333334	0.75	0	3564.91666666667	67443509.6028003
0159_AP39_21108_20171121_ST	68136264	0	93488.9977272725	43.5	9332.6	1343	17.75	0.583333333333335	0	162935.233333334	0	40665.3880952381	3988.06666666667	1118729.32472493	15704.3007575757	0.25	0.0833333333333333	62.5	0	17172.7916666666	2326	4864.54166666667	11518.4166666666	37630.6388888889	0	23271.6958333333	3446	8834.49166666665	0	0	254.75	1527.58333333334	3.83333333333333	1353.4630952381	3858.25	921.875	0	353.025	0	3543.89166666667	15.5	0	0	0	0.166666666666666	0	5.5	6.41666666666665	3467.3	869.666666666665	10.5	0	2058.41666666667	66562637.7075442
0159_AP39_21129_20180205_ST	62377466	0	90492.125	3.25	308.25	1614.75	1.25	1.5	0	167599.154695767	0	52912	142.4	1059853.12306097	17982.6756313131	9.75	0	0	0	13537.9166666667	7	631.875	12068	28975.4375	0	21706.225	716.833333333333	7376.95	0	0	220.083333333333	2752.25	1	2340.08809523809	4091.5	2.75	0	226.45	0	1720.29166666666	0	0	0	0	0	0	0	26.25	4867.39166666666	4514.125	0	0	982.833333333335	60879780.5210167
0159_AP39_21301_20180706_ST_E21	62312960	0	90228.9166666665	1.25	121.375	2139.25	54.5	0.333333333333333	1.5	165061.893650794	0	51834.4583333334	19.3333333333333	1125375.06075487	17971.9123737374	0.25	0	19.5	0	16721.6666666666	116.5	219.416666666666	13644.1666666666	25615.7916666666	0	17838.6	307.666666666667	7784.99166666665	0	0	144.541666666667	1219.08333333334	1	1988.55	1863.5	82.5	0	90.675	0	1851.89166666667	357.5	0	0	0	0	0	0	2.25	4531.1	2291.45833333333	0	0	658.916666666665	60762798.6998873
0159_AK37_71054_20190305_ST	44724247	0	63918.75	344.625	614.925	2505.5	182	0	0	108252.385912698	0	37538.5611111111	507.433333333333	818171.624404762	13638.7597222222	0	0	33.5	0	11108.0833333334	810	874.166666666665	10412.6666666666	20537.1458333334	0	11575.1166666667	1420.44444444444	5641.425	0	0	116.083333333333	1003	1	1482.24285714285	2018.91666666666	1	0	427.858333333334	0	2107.45833333333	0.5	0	0	0	4.16666666666667	0	3	0.166666666666666	2469.28333333334	1458.75	0.25	0	4883.58333333333	43600182.627381
