sample_id	total	incipient_cellular_bud_site	ubiquitin_ligase_complex	proteasome_complex	mRNA_cap_binding_complex	nuclear_cap_binding_complex	cAMP_dependent_protein_kinase_complex	CAAX_protein_geranylgeranyltransferase_complex	protein_kinase_CK2_complex	magnesium_dependent_protein_serine_threonine_phosphatase_complex	exodeoxyribonuclease_VII_complex	sulfite_reductase_complex__NADPH_	exodeoxyribonuclease_V_complex	ethanolamine_ammonia_lyase_complex	enterobactin_synthetase_complex	ferredoxin_hydrogenase_complex	nitrogenase_complex	protein_N_acetylglucosaminyltransferase_complex	TRAPP_complex	CCR4_NOT_complex	RNA_polymerase_complex	glutamyl_tRNA_Gln__amidotransferase_complex	protein_acetyltransferase_complex	ubiquitin_conjugating_enzyme_complex	Dbf4_dependent_protein_kinase_complex	mannosyltransferase_complex	nucleotide_activated_protein_kinase_complex	guanyl_nucleotide_exchange_factor_complex	ribonuclease_H2_complex	elongator_holoenzyme_complex	GID_complex	aryl_hydrocarbon_receptor_complex	Hedgehog_signaling_complex	TOR_complex	DNA_polymerase_complex	methionine_adenosyltransferase_complex	tRNA_specific_adenosine_34_deaminase_complex	nonhomologous_end_joining_complex	tRNA_splicing_ligase_complex	ubiquitin_activating_enzyme_complex	endonuclease_complex	UBR1_RAD6_ubiquitin_ligase_complex	MUB1_RAD6_UBR2_ubiquitin_ligase_complex	RAD6_UBR2_ubiquitin_ligase_complex	RSP5_BUL_ubiquitin_ligase_complex	RPB4_RPB7_complex	Remaining
0159_AS41_40055_20180716_ST	167641028	10.152380952381	38.140873015873	34812.8333333333	0.125	0.125	0.5	0.5	3.16666666666667	2.18333333333333	50441.5	40527.75	73124.5	1486.75	11313	363.75	1.5	2124.08333333333	3	0	575585.166666667	29080.5	173.885416666667	0	0	0.416666666666667	3.08333333333333	2.625	2	5.33333333333333	5.83333333333333	0	0	19.9166666666667	187581.291666667	1.5	0.5	0	9	0	0.25	0.166666666666666	1.75	1.25	0.57142857142857	0	166634299.399901
0159_AP39_21110_20190111_ST	125942242	1.06666666666667	28.5444444444444	13325.9166666666	0.25	10.5	0.25	0	4	0	41454	9256	15891.5	584.25	3108	7815.16666666665	1	6027.41666666665	0.5	1	598351.958333335	58138.1666666667	3.375	0.111111111111111	0	0.472222222222222	0.5	0.25	0	0	0	0	0	3	164061.333333333	0.75	0.5	0	1	0	0	0.0555555555555555	0.0555555555555555	0.0555555555555555	0.25	0	125024170.805556
0159_AA34_42475_20190911_ST	114708520	0.25	46.4083333333333	7804.75	0	1.5	0	0	1	0.75	27597.5	109.5	248.5	336.25	254.5	2270	8	278.833333333333	0.333333333333333	1	449730.975	36631.8333333333	24.5	0	0	0	1	49.5	11	0	0	0	0	1.5	115136.25	0	0	0	2	0	0	0	0	0	0	0	114067972.366667
0159_AA34_42480_20191103_ST	76865758	0	5.5875	25193.4166666666	0	20.5	0	0	2	0	21029.25	327	862	644	499.5	3489	0	174.833333333334	1	0	312982.166666667	40855.6666666667	0.708333333333332	0	0	0	1	0	0	0	2	0	0	0	159951	0	0	0	0	0	0	0	0	0	0	0	76299717.3708333
0159_AP39_21298_20181004_ST_E21	58351570	1	3.5375	6392.66666666665	0	4	0	0	3	0	15177.25	152	470	180.75	2084.5	563.75	3.5	178.083333333334	0	0	215616.458333333	19791.75	1.25	0	0	0	0	0	0.25	0	0	0	0	19	63522.3333333335	0	0	0	0	0	0	0	0	0	0	0	58027404.9208333
0159_AP39_21108_20171121_ST	47890622	0.25	149.045833333333	10263.5	0	1	0	0	1	0.666666666666665	15843.6666666666	11207	19272.5	660.75	4812.5	7560.75	2	737.916666666665	0.333333333333333	0.333333333333333	192896.308333333	13361.0833333333	65.75	0	0	0	3	0	0	0	0	0	0	8	55732.1666666665	0.5	0	0.0714285714285715	1	0	0	0	0	0	0	0	47558040.9077381
0159_AK37_71062_20190607_ST	46524471	0	3.125	15525.75	0	0	0	0	10	0	14429.5	1604.5	3077	610.75	528.5	2867	5	588.333333333335	0.333333333333333	0	206734.916666667	25754.6666666667	10.25	0	0	0	0.5	0	0	0	0	0	0	14	61875.8333333335	0	0	0	0.5	0	0	0	0	0	0	0	46190830.5416667
0159_AP39_21129_20180205_ST	42174717	1.25	39.95	6620.75	0	10.5	0	0.5	0	0.333333333333333	12375.5	59.25	917	414.75	274	597.25	0	706.916666666665	0	1	191010.354166667	18295.1666666667	2	0	0	0	1.25	0	1	0	0	0	0	1.5	54855.5416666665	0	0	0	0	0	0	0	0	0	0	0	41888531.2375
0159_AP39_21301_20180706_ST_E21	41945891	2.33333333333333	3.51666666666667	5437.75	0	5.5	0	0	0	0	10989.25	90	285.5	94.75	1683	443	1	226.166666666666	0	0	157851.279761905	15059.3333333333	1	0	0	0	0	0	0.5	0	0	0	0	14	46379	1	0	0	0	0	0	0	0	0	0	0	41707323.1202381
0159_AK37_71054_20190305_ST	30472858	3.66666666666667	1.16666666666666	7343.5	0	4.5	0	0	1	18	9039.25	1356.75	1878	357.25	630.5	979	43.5	1585.33333333334	0	0	129783	17232.6666666667	4.16666666666667	0	0	0	0	0	13.5	0	0	0	0	0	38278.4166666666	4	0	0	1	0	0	0	0	0	0	0	30264299.8333334
