sample_id	total	carbohydrate_derivative_metabolic_process	fructose_6_phosphate_metabolic_process	fructose_2_6_bisphosphate_metabolic_process	aminoglycan_metabolic_process	amino_sugar_metabolic_process	pentose_phosphate_shunt__non_oxidative_branch	glycoprotein_metabolic_process	nucleotide_sugar_metabolic_process	deoxyribonucleotide_metabolic_process	glucose_1_phosphate_metabolic_process	glyceraldehyde_3_phosphate_metabolic_process	deoxyribose_phosphate_metabolic_process	ribose_phosphate_metabolic_process	fructose_1_6_bisphosphate_metabolic_process	vancomycin_metabolic_process	teichoic_acid_metabolic_process	colanic_acid_metabolic_process	enterobacterial_common_antigen_metabolic_process	glucose_6_phosphate_metabolic_process	xylulose_5_phosphate_metabolic_process	alditol_phosphate_metabolic_process	amino_disaccharide_metabolic_process	X1_deoxy_D_xylulose_5_phosphate_metabolic_process	protein_O_GlcNAcylation_via_threonine	carbohydrate_derivative_catabolic_process	carbohydrate_derivative_biosynthetic_process	lipooligosaccharide_metabolic_process	glycosyl_compound_metabolic_process	X6_sulfoquinovose_1___metabolic_process	liposaccharide_metabolic_process	ATP_generation_from_poly_ADP_D_ribose	amylopectin_metabolic_process	D_tagatose_6_phosphate_metabolic_process	D_glycero_D_manno_heptose_7_phosphate_metabolic_process	Remaining
0159_AS41_40055_20180716_ST	174241359	469366.616666667	86121.3055555557	147.611111111111	411961.612053571	226756.037037037	9486.0625	3183.125	213833.804629629	38061.7220943563	0.111111111111111	17733.0847222223	9855.49065549677	93677.6663277126	8123.72222222223	52.5	5839.86458333334	0.5	39645.1666666667	22256.167063492	4378.95793650794	48137.9546296297	25.75	7588.53902116402	0	69642.9545953208	323603.489444346	36473.2041666667	198748.125893133	3.08333333333333	51388.3823302469	0	0	3251.83333333333	317.5	171841697.055316
0159_AP39_21110_20190111_ST	130999038	207280.066666667	79943.6833333333	775.5	350818.838514109	195333.556597223	6402.25	9095.08680555555	195727.692592593	24951.2601043504	0.0555555555555557	17615.5402777777	7162.99192141878	85377.3193954537	7152.3888888889	20	21461.9270833333	0	10578.4166666667	10684.6388888889	3518.18888888889	20054.1509259259	33.5	7247.4537037037	0	54309.0803879152	239039.094555592	23542.9423611111	161044.30005787	454.541666666667	29574.8551311728	0	0	3027.35185185185	329.611111111111	129226481.716066
0159_AA34_42475_20190911_ST	111488220	116058.583333333	81124.0666666667	617.5	279483.414136905	133545.835146605	5410	6281.06458333333	153776.770348325	19369.7509414805	0	13439.5569444444	5936.583960987	62102.6318772046	7894.33333333333	120.625	11007.2083333333	0	2047.13888888888	12006.6388888889	2242.90185185185	16104.5731481482	0.75	6053.14814814814	0	44750.2099677579	176294.299557858	14993.4430555556	123679.23369213	2.70833333333333	22783.7344521605	0	0	1411.75925925926	425.388888888889	110169256.147261
0159_AA34_42480_20191103_ST	79089243	139088.833333333	60149.7333333333	456.166666666667	186858.773164682	109563.127430556	4987	2589.64236111111	94676.4033730159	16060.5488444297	0	11618.4711805556	4449.74446771507	54628.3769518543	7013	231.583333333334	6602.51041666667	0	361.638888888888	11678.5416666667	1445.69444444444	14787.6435185185	9.50000000000002	4219.22222222222	0	30904.4956679894	104154.812036118	7784.06041666667	79322.4877314816	22.6666666666667	10018.2578317901	0	0	2204.74074074074	66.1666666666667	78123289.1566439
0159_AP39_21298_20181004_ST_E21	57892245	71659	45120.6666666667	176.111111111111	131947.472067901	73856.6001157407	2330.66666666667	2051.01041666667	76029.5542989418	11581.7930831129	0	7096.29722222222	3821.48242577895	33234.5099240643	5066	34.25	5007.54166666667	0	851.75	5695.13888888888	976.588888888889	7124.7611111111	2	3027.44444444444	0	23080.8459766314	85017.3977986295	6373.88472222222	62006.0115162038	2.45833333333333	9953.14463734568	0	0	1200.07407407408	80.7222222222222	57217839.8217205
0159_AP39_21108_20171121_ST	49162387	110256.916666667	19968	212.333333333333	115963.27485119	79363.9335482804	4035.83333333333	1508.68402777778	66509.08994709	9019.54290674604	0	4832.61979166667	2359.12490079365	27340.1880909922	2524.05555555556	40.3333333333334	3009.63020833333	0	12288.3333333333	6801.86111111112	1322.45370370371	14215.062962963	182	1585.10185185186	0	20518.3961474868	101609.307838833	9894.21666666669	56312.7445216049	1094.66666666667	17409.1013117284	0	0	1401.37037037037	283.055555555556	48470525.767463
0159_AK37_71062_20190607_ST	48167112	62096.9	28319.5555555556	306.5	114561.006117725	59665.6520833334	3332.91666666667	2951.375	71267.1662037037	8081.66972185479	0	6881.375	3041.65203679208	30108.7709353567	3773.8888888889	12.6666666666666	2975.44791666666	0	1983.25	6613.50000000001	768.483333333333	7976.68333333332	23	2428.14814814814	0	17223.2309262015	79656.6357629703	7872.04444444445	54535.6797646605	78.3333333333333	11664.6124614198	0	0	672.87037037037	445.555555555555	47577793.429773
0159_AP39_21129_20180205_ST	43094386	71345.25	30505.25	301	113369.845563272	52044.6213955026	2128.41666666667	2753.63541666667	45555.264021164	9264.45780055849	0	5912.58888888889	2632.72451254164	27663.7848072212	4214.6111111111	157.875	3630.6875	0	169.666666666667	4073.92222222223	854.672222222222	7845.44166666665	0.5	2349.98148148148	0	19798.0263640873	59577.1426656195	4981.03472222222	46750.4191550926	1.16666666666667	7515.45497685185	0	0	751.703703703703	37.0555555555556	42568199.7992473
0159_AP39_21301_20180706_ST_E21	41557720	53759.1666666667	31960.0555555556	122.444444444444	93798.7458774252	51473.7434027778	1678.83333333334	1415.35416666667	53831.2606481481	8466.782343107	0	5124.54861111111	2932.83637688614	24050.4857563597	3717.77777777777	22.4166666666666	3846.55208333334	0	634.166666666667	3743.31944444445	607.261111111111	5089.85833333333	0	2163.56481481481	0	16376.6225147891	60964.1623029063	4355.67916666666	44057.7190393518	0	7055.78181584361	0	0	862.444444444444	52.4444444444444	41075555.9721909
0159_AK37_71054_20190305_ST	31353698	56639.1666666667	18383.8333333333	498.166666666667	78391.2735670194	41151.6991898148	3331.5	1159.21875	42882.8583333333	6288.70647413287	0	3480.08194444444	2455.5765383108	20566.1228392	2573.44444444444	29.7083333333334	6534.875	0	1248.41666666667	4603.56944444445	850.527777777778	6660.52870370372	114.5	1624.93518518519	0	13322.1229800485	51191.5084793871	4025.14375	35514.0239197531	163.125	5991.43576388889	0	0	833.37037037037	105	30943083.5598781
0159_AK37_71051_20190224_ST	30677676	43525.9166666667	18553.9444444444	149.333333333333	82829.8265873015	39197.1497685185	917.5	470.510416666667	52594.6689814815	6024.40439631099	0	5000.67752976191	1828.19367161474	19752.3275166364	1510	28.125	2341.6875	0	2270.91666666667	2662.63888888888	483.602380952381	8711.1148148148	63.75	1634.15740740741	0	14733.2575727513	55164.794260882	7244.1	39974.301099537	175.5	9386.72441165123	0	0	393.166666666667	73.3333333333333	30259980.3766837
0159_BC12_41010_20171203_ST	26329100	50898.6666666667	18951.8055555556	110.333333333333	68373.4733520723	34542.7226851852	735.166666666665	919.520833333333	29641.7666666667	4257.61236405055	0	3647.77083333333	1525.70718449931	17553.2191551538	2560.83333333333	4.70833333333334	3206	0	158.666666666667	2447.58333333333	560.577777777778	4581.86666666666	0	1215.53703703703	0	10686.1211089065	38308.9851539535	2859.85694444444	29822.6738040123	0	4898.49124228395	0	0	413.166666666667	43.8888888888889	25996173.2777462
0159_AV42_66107_20190327_ST	25918625	54338.0166666667	10600.4444444444	50	64225.2172123016	37567.7052083334	1992.08333333334	46.9270833333333	32973.8708333334	6163.4469962522	0	3390.08333333333	1387.53503453851	15849.7891805678	1544	1.04166666666667	899.541666666666	0	5789.08333333333	3058.63888888888	562	7548.91666666666	39	1168.72222222222	0	11245.1652061287	55723.5863499412	7229.19236111111	39429.9752700617	729.541666666667	10879.1364969136	0	0	611.37037037037	136.611111111111	25543444.3573968
0159_AP39_21295_20180811_ST_E21	23598601	40828.55	16431.8333333333	129.833333333333	60237.4729276896	29908.7979166667	674.8125	717.805555555555	27081.137962963	4532.39041923868	0.111111111111111	3378.1375	1371.52773980992	15434.9546447555	2265.11111111111	6.45833333333334	1836.91145833334	0	898.416666666667	2232.375	469.094444444444	3516.53981481482	1.75	1249.90740740741	0	9227.8736882716	36017.3899305556	2604.98680555555	26443.2165123457	15.75	4280.0030643739	0	0	379.87037037037	41.462962962963	23306386.517485
0159_AB10_100710_20181001_ST	23465581	58703.9166666667	12065.9166666667	57.3333333333333	60627.8307208995	28986.7761574074	1530.66666666666	402.145833333333	27110.8092592593	4143.06804085832	0	2632.67638888889	1363.99350872036	15789.9109550754	1645.05555555556	2.25	5176.01041666666	0	3928.66666666667	2686.98148148149	577.872222222222	5507.15925925927	7.5	884.055555555555	0	9023.37347745811	45262.5585469025	2702.45972222222	25000.4936342593	243.458333333333	6173.81589506173	0	0	899.648148148148	111.37037037037	23142333.2265171
0159_AZ03_32019_20180325_ST	23266629	32236.3333333333	16428.4166666667	170.555555555556	56049.7547729276	28825.9966490299	536.708333333335	394.760416666667	19993.515696649	4623.90665809327	0	3809.25138888889	1891.72745460187	17118.5798694395	2798.16666666667	20.8333333333334	1447.94791666667	0	282.472222222222	2136.01666666667	480.761111111111	3686.21111111111	0	1127.25	0	8301.62712770061	32131.557492682	1927.16041666666	27687.3410416667	2.70833333333333	3982.02079475308	0	0	345.944444444444	61.3333333333333	22998130.1411925
0159_AP39_21065_20180201_ST	23251625	25753.1666666667	19239.5555555556	86	57418.1672233245	29365.9900462963	946	1490.18402777778	34575.5875	4104.1375771605	0	2905.6875	1233.65653292181	13613.6340246546	1960.77777777778	0.208333333333334	1186.96875	0	381.75	2814.02777777778	757.777777777778	2699.64259259259	0	1270.12037037037	0	9645.97384259259	36505.722543265	3384.98194444444	24769.9629436728	0.0833333333333333	4984.33452932098	0	0	287.592592592592	58.9444444444444	22970184.3637923
0159_AK37_71050_20190313_ST	22908156	33756.5333333333	14856.4444444444	181.666666666667	56012.3304673721	24070.6938657408	1244.66666666666	1046.9375	26495.3875	4380.45852026381	0	3249.20277777777	1758.30435742455	15313.3053484062	2403.72222222222	10.125	3388.46875	0	270.5	2314.91666666667	339.902380952381	3724.02777777778	0	1193.78703703703	0	8876.2929708168	33051.8960650062	2129.93472222222	25766.1172405478	0.291666666666667	4044.31898148148	0	0	560.240740740741	39.0555555555556	22637676.4707742
0159_AZ03_32013_20200922_ST	22364500	30718.25	13816.4833333333	68.3333333333333	56911.3808862433	27674.5318287037	852.583333333335	978.722916666667	20222.5898148148	4185.62303148883	0	3474.70972222222	1400.97355538409	14514.8761550395	2326	10.625	1862.86458333334	0	191.083333333333	2124.61111111111	400.588888888889	4428.30277777777	0	1260.9212962963	0	8880.26576554233	32189.1701920133	3075.66944444445	29539.1825810185	0.541666666666667	4534.45636574075	0.25	0	195.87037037037	31.7222222222222	22098628.8164907
0159_AP39_21076_20180429_ST	21809905	23707.1666666667	15398.5833333333	69.111111111111	57437.2463128307	25653.8273148148	1077.25	954.489583333333	28487.2125	3508.43079989712	0	3072.95277777777	1185.69090363512	12992.8251548109	1788.66666666667	16.3333333333334	1700.75	0	373.333333333333	2240.26944444445	457.188888888889	2638.7962962963	0	1196.11111111111	0	8874.57729552469	31071.3853009259	2437.52777777778	22876.8627314815	0	4156.56222993827	0	0	404.314814814814	74.4444444444444	21556053.0898728
0159_AP39_21119_20181218_ST	21571050	26450.3333333333	16302.2777777778	72	53388.4154431217	29298.5846064815	1109.91666666666	1620.92013888889	32917.7546296296	3966.00365226338	0	2961.33888888889	1267.02095336077	12767.0258894278	1821.83333333333	27.375	1021.30208333333	0	176.583333333333	3070.05555555555	466.455555555556	3167.22222222222	0	1298.2037037037	0	8739.18562242799	31929.738075948	3933.96388888889	26129.5569830247	0.125	4740.15608281893	0	0	273.5	63.0555555555556	21302070.0960245
0159_AQ29_10022_20170920_ST	20764220	30808.6666666667	15415.7333333333	76.5	52116.6772652115	24330.5042824074	283.3125	354.09375	24415.9134259259	3881.85979938271	0	3637.56999007937	1308.4991255144	15362.4489712751	2054.38888888889	1.25	2124.59375	0	93.4166666666667	1302.08333333333	206.952380952381	3988.35185185185	0	1326.91203703703	0	8642.62445505401	31069.0170279031	2581.82291666667	26798.670148534	0.0833333333333333	4016.91876929013	0.0833333333333333	0	462.907407407408	33.4444444444444	20507524.7001455
0159_AB10_26156_20180815_ST	19951859	26117.75	12752.1111111111	103.111111111111	49392.3596560847	24148.4417824074	1598.16666666666	1574.64930555556	31139.2361111111	3103.83391203704	0	2592.56944444444	945.463348765432	11425.4772636603	1474.22222222222	22.2083333333334	838.489583333334	0	1091.75	2736.63888888888	471.472222222222	2433.38333333333	0	1046.52777777778	0	7527.51070601852	32727.796303798	4161.77708333333	24970.1859375	0.375	5589.73846450617	0	0	137.87037037037	123.944444444444	19701611.939616
0159_AZ03_32015_20201210_ST	19254643	36661.1666666667	12164.5555555556	235	46778.4141414141	21868.1861111111	740.395833333335	409.458333333333	18126.9662037037	3418.70953575103	0	2937.89722222222	1360.51006087106	13344.2745129907	2042.55555555556	2.08333333333334	3022.609375	0	121.5	1894.11111111111	259.85	4100.29444444444	0	1010.99074074074	0	7531.00592849794	27833.5696014933	1817.05277777777	22780.7699845679	0	3162.0050154321	0.166666666666667	0	428.12962962963	41.0555555555556	19020549.7161032
0159_AP39_21090_20180504_ST	19033213	18269.0833333333	15017.3611111111	39.1666666666667	48171.4350473986	29117.641087963	596.333333333335	1103.04166666667	25941.7287037037	3478.2107271458	0	2597.78472222222	1116.95159587498	10948.4037271204	1556.27777777778	0.25	1042.54166666667	0	38.1666666666667	2854.05555555555	471.854761904762	2629.71944444444	0.25	1328.13888888889	0	8471.37862838036	31878.9321518309	4058.22361111111	24474.5273148148	0.958333333333333	5153.35697016461	0	0	181.833333333333	66.3888888888889	18792609.0042837
0159_AP39_21330_20190102_ST_E21	18485852	39988.1666666667	14288.0666666667	88.8333333333333	47042.7035163139	24422.6001157407	456.166666666667	700.104166666667	25117.5435185185	4309.69052946795	0	2518.97916666667	1525.91405668234	12311.9568567305	1683.66666666667	3.75	1901.33333333333	0	302.833333333333	1858.96388888888	422.644444444444	2699.33703703704	1.5	922.703703703703	0	8325.4347874412	27824.9690721145	2243.42916666667	19834.7761188271	11.5416666666667	4244.68038837449	0	0	490.944444444444	33.4444444444444	18240275.3222435
0159_AP39_21314_20180719_ST_E21	18445058	19746.75	12304.5	59.9444444444443	44130.0472056878	23135.3361111111	889.333333333335	1003.72916666667	25742.4662037037	2682.46545230747	0	2272.53888888889	789.484375612385	10021.1899577863	1438.83333333333	21.9583333333334	1251.05208333333	0	594.25	2210.51111111112	450.455555555556	2467.2	8.25	989.981481481481	0	7171.74178975602	29139.4433560834	3178.34166666667	20678.4482445988	2.29166666666667	4444.295781893	0	0	211.777777777778	83.3703703703703	18227938.0123085
0159_AK37_71031_20180929_ST	18386521	29273	14025.6388888889	84.6666666666667	47803.9455302028	23674.0165509259	556	978.3125	26236.9935185185	2978.25811103762	0	2380.71527777777	868.564666617676	11315.1573952822	1565.94444444444	3.375	2353.16666666667	0	255.25	2075.68055555555	429.994444444444	2737.96481481481	0	1034.93518518519	0	7709.97066247795	28966.7995237177	2679.71111111111	20425.3440393518	0.0833333333333333	3827.08360339506	0.0833333333333333	0	313.648148148148	56.5925925925926	18151910.1034355
0159_AK37_71048_20190125_ST	18023348	36810.9166666667	11423.3888888889	45.6666666666667	43957.3525297619	19128.2664351852	669.333333333335	142.833333333333	19468.2592592593	3643.85162588184	0	2139.67083333333	1281.21404688419	11100.8642871432	1481.38888888889	6.58333333333334	2070.4375	0	2076.41666666667	1789.375	369.316666666667	3655.15	0.25	889.5	0	6532.14568452381	28939.6680668847	2015.13402777778	18247.3858024691	0.416666666666667	3992.6207175926	0	0	377.611111111111	30.1111111111111	17801062.87085
