sample_id	total	organic_cyclic_compound_metabolic_process	allantoin_metabolic_process	nucleobase_containing_compound_metabolic_process	biotin_metabolic_process	steroid_metabolic_process	aromatic_amino_acid_family_metabolic_process	lipoate_metabolic_process	phenylpropanoid_metabolic_process	phenol_containing_compound_metabolic_process	s_triazine_compound_metabolic_process	nicotianamine_metabolic_process	beta_lactam_antibiotic_metabolic_process	tetrapyrrole_metabolic_process	isoquinoline_alkaloid_metabolic_process	furaldehyde_metabolic_process	kynurenic_acid_metabolic_process	vitamin_E_metabolic_process	ectoine_metabolic_process	indole_containing_compound_metabolic_process	benzene_containing_compound_metabolic_process	pteridine_containing_compound_metabolic_process	flavin_containing_compound_metabolic_process	molybdopterin_cofactor_metabolic_process	daunorubicin_metabolic_process	doxorubicin_metabolic_process	ommochrome_metabolic_process	X3__3_hydroxy_phenylpropionate_metabolic_process	creatinine_metabolic_process	F420_0_metabolic_process	thiazole_metabolic_process	pyrrolysine_metabolic_process	purine_containing_compound_metabolic_process	pyridine_containing_compound_metabolic_process	pyrimidine_containing_compound_metabolic_process	epoxide_metabolic_process	lactone_metabolic_process	organic_cyclic_compound_catabolic_process	organic_cyclic_compound_biosynthetic_process	organic_heteropentacyclic_compound_metabolic_process	methanofuran_metabolic_process	Remaining
0159_AS41_40055_20180716_ST	174241359	4639.66666666667	378.969166666667	1663543.54283473	3478.02946428571	110730.379525413	46045.8182301587	0.4	11.2881944444445	34061.474537037	0.6	0.025	2201.075	136543.314293981	0	0.333333333333333	0	0	28.8	4342.91015740741	46772.1190972222	67426.9521301807	23118.2834722222	9400.32539682541	0.19047619047619	0.142857142857142	0	1007.3	22.0833333333333	4	303.077777777778	8.03333333333333	102807.346084434	80000.4704629629	71602.3679209274	0.333333333333333	5192.19305555556	82904.7671701064	377146.067008879	0	0	171367636.320685
0159_AP39_21110_20190111_ST	130999038	239	615.991666666667	1355801.77826761	1790.30803571429	118722.493434344	38794.6216402116	0.825	35.4444444444444	3935.44043209877	1.15714285714286	0.075	2173.38333333334	81582.0011574074	0	0	0	0	10.3	3820.01060185186	11566.2498842593	53206.9637318123	18355.8715277778	7394.05555555557	0	0	0	421.05	12.625	0.1	56.1583333333333	19.0333333333333	81115.2433281893	63141.2118518518	57984.7836974574	0	1643.37592592593	39268.9647497183	300715.617347953	0	0	128756613.865576
0159_AA34_42475_20190911_ST	111488220	3	211.346666666667	1215946.63492851	2071.11964285714	129437.056018519	32528.9112328042	0.025	32.3854166666667	808.001080246913	6.3	0	1887.40833333334	60184.3267443782	0	0.166666666666667	0	0	10.55	2572.57219444444	9944.83113425926	41498.5519372796	15717.9443055555	2778.52222222222	0	0	0	0.075	47.4444444444444	0.8	18.4361111111111	2.26666666666667	60624.3622985009	51382.3604398148	42677.991672913	0	117.862037037037	33319.5007953777	241772.325131348	0	0	109542616.921878
0159_AA34_42480_20191103_ST	79089243	28	172.075	876952.373012966	1435.57053571429	114796.351851852	26692.9907089947	0.125	73.6875	942.490432098765	0	0.1	1393.20833333334	53744.4472883598	0	0	0	0	3.85	2031.94514814815	4918.89571759259	31376.4462714947	9649.72638888889	6149.2388888889	0	0	0	0.025	171.583333333333	0	29.1	0	52191.3672335758	41275.1249305555	39562.0512585979	0	143.102777777778	20100.0930336567	203955.006900249	0	0	77601454.0234539
0159_AP39_21298_20181004_ST_E21	57892245	146.5	58.0083333333333	642065.309629679	900.516071428571	72384.7753527335	17184.2468650794	0	22.7986111111111	642.19637345679	0.385714285714286	0	765.883333333335	33240.7994791667	0	0	0	0	40.7	1200.42064814815	4325.21296296296	21714.0368303571	8032.55333333334	3210.56666666667	0.0166666666666667	0.0125	0	1.25	8.95833333333333	0.8	4.5888888888889	8.43333333333333	31853.1353552322	28086.7107638889	24811.2752088845	0	142.857407407407	14430.7466240447	133357.094498089	0	0	56853604.2102152
0159_AP39_21108_20171121_ST	49162387	37	786.441666666667	464852.834764469	1134.53571428571	37677.6807498058	12378.1238068783	0	4.79166666666667	1616.94529320988	0.471428571428571	9.1	662.958333333335	38771.4242476852	0	0.0833333333333333	0	0	9.05	1200.82525925926	3879.95092592593	17455.9776151896	7278.79930555556	3363.25555555556	0	0	0	3.125	9.58333333333333	178.9	85.8777777777777	17	28499.5889035372	21706.5228935185	22005.0143321943	0	2042.63935185185	17396.2739238683	104809.317784943	0	49.8333333333333	48374463.0736993
0159_AK37_71062_20190607_ST	48167112	412.666666666667	399.458333333333	498818.096138677	830.044642857143	45946.0486111111	17628.0340079365	0	7.89583333333333	1205.70663580247	1.5	0	1492.35	30462.1852430555	0	0	0	0	6.3	1294.4425	2997.14988425926	20143.197605269	6972.30458333336	1887.58809523809	0	0	0	5.175	23.0833333333333	0	16.4638888888889	5.6	27101.8023882275	26987.6002314815	21803.5723412698	0	317.654166666667	13806.1878216858	110699.610790589	0	0	47335840.281257
0159_AP39_21129_20180205_ST	43094386	92.3333333333333	125.991666666667	466980.020621989	450.45	70103.215542328	14228.1068359788	0	11.6076388888889	338.256574074074	2.44285714285714	0.3	577.108333333335	26697.5796875	0	0	0	0	23.4	975.925907407408	3561.478125	17972.8466435185	6220.68458333333	2106.58333333333	0	0	0	0	31.3333333333333	0.8	0.15	23.5333333333333	25246.1740389477	25717.434224537	19405.2323919753	0	103.512037037037	11247.5868555996	100263.535132428	0	0.333333333333333	42301878.0436356
0159_AP39_21301_20180706_ST_E21	41557720	99.3333333333333	37.7333333333333	463629.525515473	612.651785714286	51548.4589506171	12302.9686084656	0	12.7083333333333	478.106018518519	0.171428571428571	0	490.583333333333	23146.993287037	0	0	0	0	25.95	894.053916666667	2945.66458333333	15619.6583278219	6005.67708333333	2324.57222222222	0	0	0	0	3.33333333333333	0.5	5.0638888888889	5.63333333333333	23021.0118382334	20443.6291319444	18135.896089249	0	108.660648148148	10021.3933890726	96122.6557014304	0	0.166666666666667	40809677.2459186
0159_AK37_71054_20190305_ST	31353698	28.8333333333333	191.3	347374.727625984	537.977678571429	31006.6446829405	10129.8464126984	4.125	5.4375	489.581712962963	0.514285714285714	0	594.833333333335	19577.315625	0	0.0833333333333333	0.233333333333333	0	17.8	852.539703703704	3356.17418981482	11734.0101107804	3802.22791666667	1233.66666666667	0	0	0	28.025	3.625	0.4	10.1583333333333	0.866666666666667	19087.4697947898	14814.4627314814	13959.8182930996	0	241.053240740741	10679.7481732069	70269.0562335881	0	0	30793665.4440883
