sample_id	total	organonitrogen_compound_metabolic_process	sulfur_amino_acid_metabolic_process	allantoin_metabolic_process	aminoglycan_metabolic_process	N_acetylneuraminate_metabolic_process	peptide_metabolic_process	cellular_amino_acid_metabolic_process	cellular_modified_amino_acid_metabolic_process	sphingolipid_metabolic_process	biotin_metabolic_process	nucleobase_metabolic_process	nucleoside_metabolic_process	amine_metabolic_process	cyanate_metabolic_process	alkaloid_metabolic_process	s_triazine_compound_metabolic_process	taurine_metabolic_process	protein_metabolic_process	urea_metabolic_process	glucosinolate_metabolic_process	wybutosine_metabolic_process	tetrapyrrole_metabolic_process	kynurenic_acid_metabolic_process	ectoine_metabolic_process	indole_containing_compound_metabolic_process	pteridine_containing_compound_metabolic_process	flavin_containing_compound_metabolic_process	achromobactin_metabolic_process	molybdopterin_cofactor_metabolic_process	formamide_metabolic_process	creatinine_metabolic_process	phosphatidylcholine_metabolic_process	F420_0_metabolic_process	thiazole_metabolic_process	N_acylphosphatidylethanolamine_metabolic_process	purine_containing_compound_metabolic_process	pyridine_containing_compound_metabolic_process	pyrimidine_containing_compound_metabolic_process	primary_amino_compound_metabolic_process	organonitrogen_compound_catabolic_process	organonitrogen_compound_biosynthetic_process	Remaining
0159_AS41_40055_20180716_ST	174241359	174627.033333333	97523.543287037	378.969166666667	411961.612053571	1590.025	248045.682098765	2976063.13483944	129510.461613757	12090.7834104938	3478.02946428571	109270.435091575	176239.402156636	243466.765902778	13.6666666666667	42	0.6	0.05	3399178.36313875	6077.91944444444	0	0	136543.314293981	0	28.8	4342.91015740741	67426.9521301807	23118.2834722222	0	9400.32539682541	25603.6666666667	22.0833333333333	292	4	303.077777777778	0.5	102807.346084434	80000.4704629629	71602.3679209274	32194.6666666667	243086.724967124	776557.377274623	164678465.656727
0159_AP39_21110_20190111_ST	130999038	66433.5333333333	81050.9210648148	615.991666666667	350818.838514109	3234.85729166666	237423.073214286	2407566.89416593	91464.2000793651	18444.6836419753	1790.30803571429	69275.5291170634	140284.388078704	152919.635300926	761	9.33333333333333	1.15714285714286	0	2972941.92570046	1986.84722222222	0	0	81582.0011574074	0	10.3	3820.01060185186	53206.9637318123	18355.8715277778	0	7394.05555555557	4430.16666666667	12.625	724.749999999998	0.1	56.1583333333333	0	81115.2433281893	63141.2118518518	57984.7836974574	5112.16666666667	147766.972939631	630798.219594172	123246503.282444
0159_AA34_42475_20190911_ST	111488220	41517.4833333333	53254.6069444444	211.346666666667	279483.414136905	1439.28645833333	206672.607572751	1797611.57062992	53860.3604497355	27199.7353395062	2071.11964285714	49567.8979761904	109413.46349537	102743.722152778	23	26.6666666666666	6.3	0.45	2543353.05419422	827.423611111111	0	0	60184.3267443782	0	10.55	2572.57219444444	41498.5519372796	15717.9443055555	0	2778.52222222222	14803.6111111111	47.4444444444444	4.83333333333333	0.8	18.4361111111111	0	60624.3622985009	51382.3604398148	42677.991672913	792.895833333333	120550.298518629	448886.382462455	105356384.6071
0159_AA34_42480_20191103_ST	79089243	43073.1333333333	48315.5002314814	172.075	186858.773164682	1378.93229166667	118709.575462963	1507698.76665168	40517.598938492	6288.18209876543	1435.57053571429	45709.8946428572	68260.7212962964	79177.1568518519	0.333333333333333	34	0	0.05	1652393.36954365	946.447916666667	0	0	53744.4472883598	0	3.85	2031.94514814815	31376.4462714947	9649.72638888889	0	6149.2388888889	7360.22222222222	171.583333333333	13	0	29.1	0	52191.3672335758	41275.1249305555	39562.0512585979	366.083333333333	79837.9081459069	406370.758792916	74558140.0654703
0159_AP39_21298_20181004_ST_E21	57892245	26833.6	29615.7157407407	58.0083333333333	131947.472067901	812.486458333333	88625.6694444445	970865.685701793	27319.0368055555	16467.700617284	900.516071428571	25633.5543154762	54440.7424768519	55583.949074074	4.33333333333333	8.66666666666667	0.385714285714286	0.1	1283066.40484458	343.305555555556	0	0	33240.7994791667	0	40.7	1200.42064814815	21714.0368303571	8032.55333333334	0	3210.56666666667	5588.80555555555	8.95833333333333	4.33333333333333	0.8	4.5888888888889	0	31853.1353552322	28086.7107638889	24811.2752088845	293.145833333333	57692.6876642416	251274.756259553	54712659.3926244
0159_AP39_21108_20171121_ST	49162387	54436.4166666667	24856.1900462963	786.441666666667	115963.27485119	1089.90104166666	76243.6694444444	818285.70344709	46848.9132622354	5598.86419753086	1134.53571428571	37132.4572916667	48166.2816358025	54281.852037037	3	12.3333333333333	0.471428571428571	10.4	1031988.58396096	537.760416666667	0	0	38771.4242476852	0	9.05	1200.82525925926	17455.9776151896	7278.79930555556	0	3363.25555555556	4031.19444444445	9.58333333333333	1099.25	178.9	85.8777777777777	0	28499.5889035372	21706.5228935185	22005.0143321943	8839.73611111111	70929.1761102467	220919.330109472	46398626.443559
0159_AK37_71062_20190607_ST	48167112	25623.4833333333	28062.8041666667	399.458333333333	114561.006117725	600.014583333333	85647.6730820106	899144.810288801	30886.1875727513	7631.45293209877	830.044642857143	23247.640625	48322.2062885802	47856.6076388889	0	9	1.5	0	1096907.80280784	318.423611111111	0	0	30462.1852430555	0	6.3	1294.4425	20143.197605269	6972.30458333336	0	1887.58809523809	5010.13888888888	23.0833333333333	132.75	0	16.4638888888889	0	27101.8023882275	26987.6002314815	21803.5723412698	2833.3125	53772.2591840528	229729.138435696	45328885.7447569
0159_AP39_21129_20180205_ST	43094386	22214.7833333333	23062.4375	125.991666666667	113369.845563272	675.689583333333	70703.8403240741	752372.226446061	21207.0760416667	6654.95138888889	450.45	20292.8852678571	41357.4549768519	35754.7362037037	10	25.3333333333333	2.44285714285714	0.1	928115.08646164	705.236111111111	0	0	26697.5796875	0	23.4	975.925907407408	17972.8466435185	6220.68458333333	0	2106.58333333333	5012.61111111112	31.3333333333333	4	0.8	0.15	0	25246.1740389477	25717.434224537	19405.2323919753	742.541666666667	47067.2143175706	196059.903352841	40684001.018349
0159_AP39_21301_20180706_ST_E21	41557720	17788.1833333333	21527.7421296296	37.7333333333333	93798.7458774252	620.296875	63939.3361111111	693131.777890064	19508.9271957672	12076.2181069959	612.651785714286	18656.8583333333	38718.0033564815	40053.7729861111	2.66666666666667	9.33333333333333	0.171428571428571	0	925662.880798059	246.4375	0	0	23146.993287037	0	25.95	894.053916666667	15619.6583278219	6005.67708333333	0	2324.57222222222	3892.27777777778	3.33333333333333	0	0.5	5.0638888888889	0	23021.0118382334	20443.6291319444	18135.896089249	175.8125	40812.9397779615	181429.579167533	39275391.3146171
0159_AK37_71054_20190305_ST	31353698	17201.1833333333	17725.9956018518	191.3	78391.2735670194	516.578125	51460.7136574074	556010.233770429	19652.18375	4400.13425925926	537.977678571429	15671.905952381	31195.2084876543	29200.7669675926	6.66666666666667	12	0.514285714285714	0.2	710787.570205027	525.354166666666	0	0	19577.315625	0.233333333333333	17.8	852.539703703704	11734.0101107804	3802.22791666667	0	1233.66666666667	3793.01388888888	3.625	140.5	0.4	10.1583333333333	0	19087.4697947898	14814.4627314814	13959.8182930996	950.333333333333	33286.8435950176	141388.370651822	29555557.4505475
