sample_id	total	organonitrogen_compound_biosynthetic_process	urea_cycle	sulfur_amino_acid_biosynthetic_process	aminoglycan_biosynthetic_process	phosphatidylcholine_biosynthetic_process	Mo_molybdopterin_cofactor_biosynthetic_process	cellular_amino_acid_biosynthetic_process	aromatic_amino_acid_family_biosynthetic_process	branched_chain_amino_acid_biosynthetic_process	glycoprotein_biosynthetic_process	biotin_biosynthetic_process	nucleoside_biosynthetic_process	amine_biosynthetic_process	alkaloid_biosynthetic_process	pyrroloquinoline_quinone_biosynthetic_process	allantoin_biosynthetic_process	ectoine_biosynthetic_process	glucosinolate_biosynthetic_process	sphingolipid_biosynthetic_process	holo__acyl_carrier_protein__biosynthetic_process	wybutosine_biosynthetic_process	molybdopterin_cofactor_biosynthetic_process	tetrapyrrole_biosynthetic_process	kynurenic_acid_biosynthetic_process	lipoprotein_biosynthetic_process	cellular_modified_amino_acid_biosynthetic_process	taurine_biosynthetic_process	indole_containing_compound_biosynthetic_process	hemoglobin_biosynthetic_process	pteridine_containing_compound_biosynthetic_process	flavin_containing_compound_biosynthetic_process	peptide_biosynthetic_process	nucleobase_biosynthetic_process	N_acetylneuraminate_biosynthetic_process	thiazole_biosynthetic_process	L_pipecolic_acid_biosynthetic_process	purine_containing_compound_biosynthetic_process	pyridine_containing_compound_biosynthetic_process	pyrimidine_containing_compound_biosynthetic_process	primary_amino_compound_biosynthetic_process	Remaining
0159_AS41_40055_20180716_ST	174241359	79685.1666666667	2041.92777777778	43509.1847222222	40392.0743055556	1	50392.5857142858	375399.875694444	77649.4470238095	128429.467592593	1764.91666666667	24345.20625	30786.5472993827	14307.7840277778	8.33333333333333	13323.8333333333	0	115.2	0	2.7037037037037	0	0	6009.36666666666	84832.5835648148	0	55792.9166666667	67413.0639087301	0	3043.66319444444	0	8303.11356481482	24703.8795238095	276360.561882716	28582.2453388279	0.1	1515.38888888889	0	50338.0670022725	27268.2989814815	36796.2512535612	0	172688244.245451
0159_AP39_21110_20190111_ST	130999038	33466.3	428.805555555557	28683.0238425926	31715.7280423281	0.666666666666667	37651.8333333334	336031.483493166	68351.9618650794	128637.94537037	5171.09375	12532.15625	25698.5374228395	13195.2738425926	0.333333333333333	319	0	41.2	0	40.3518518518518	0	0	6712.5	52499.012962963	0	38636.0833333333	38081.7014285715	0	2649.40162037037	0.222222222222222	6151.98430555556	19726.7103174603	256519.813095238	24309.0217261904	0.2	280.791666666667	0	43952.8373089359	20183.0302777778	29927.434303351	0	129737441.560812
0159_AA34_42475_20190911_ST	111488220	22316.9333333333	568.277777777777	17956.9421296296	21051.6888888889	4.16666666666667	13952.0666666667	242632.962092151	48268.4024206349	95438.5453703703	2269.96875	14497.8375	17938.999537037	10661.4756944444	3.83333333333333	0.75	0	42.2	0	4.11111111111111	0	0	2719.06666666666	43592.2440806878	0	27623.4722222222	24363.4584265271	0.8	1749.12152777778	0	3868.27307098765	16998.5544047619	178133.596296296	18010.3592063492	0.5	92.1805555555555	0	34216.3891335979	15488.8649074074	23306.723154027	0	110590447.235075
0159_AA34_42480_20191103_ST	79089243	8771.6	866.75	14619.7131944444	18383.8848214286	0	31492.3333333334	233406.823875661	48628.5024603175	94828.275	1551.46875	10048.99375	11352.4460648148	8268.81435185185	8.5	41	0	15.4	0	10.5	0	0	5403.1	39641.2748677248	0	19841.6666666667	16544.1603571429	0	1369.15046296296	0	2463.51833333334	10113.3083333333	154630.525925926	15739.2242063492	0	145.5	0	30204.8082194298	12880.7947222222	21469.4798888889	0	78276501.4824142
0159_AP39_21298_20181004_ST_E21	57892245	14502.3333333333	147.222222222222	9390.56296296296	11239.2799933862	0.166666666666667	15626.2	138970.794317681	28188.2242063492	54479.2555555555	976.53125	6303.6125	8940.90104166669	5561.56157407407	2.16666666666667	3.25	0	162.8	0	1.48148148148148	0	0	3637.2	24894.8048611111	0	14694	11830.2757936508	0	807.733796296296	0	1807.76643518518	8640.69507936509	91091.5333333334	9723.73759920635	0.3	22.9444444444445	0	19030.6010728983	8480.51574074073	13391.0605908289	0	57389695.4874809
0159_AP39_21108_20171121_ST	49162387	25889.4	1075.33333333333	9997.43541666666	11179.7378968254	0.333333333333333	17906	104936.192791005	20815.2971428571	39509.0240740741	803.458333333333	7941.75	8419.43989197531	3698.04814814815	2	32.25	0	36.2	0	6.77777777777778	0	0	2273.53333333334	20375.9122685185	0	14801.9166666667	19317.0868939394	0.2	813.814814814815	0	2383.3323015873	7886.38472222222	81510.7	8867.25208333334	0	429.388888888888	0	13228.758499902	7171.44805555554	10530.1702175191	0.0833333333333333	48720548.3397811
0159_AK37_71062_20190607_ST	48167112	9710.41666666667	126.611111111111	9607.13194444445	11262.0389880952	0	9602.8619047619	124820.047867063	24845.6861904762	46568.038888889	1563.3125	5810.3125	8398.56165123457	4493.32638888889	2.16666666666667	61.8333333333333	0	25.2	0	1.14814814814815	0	0	1722.66666666667	19635.8979166667	0	16868.8611111111	13672.6836868687	0	899.069444444444	0	2089.85453703704	7327.00980158733	95322.1925925926	9091.82986111112	0.1	82.3194444444445	0	15320.4517195767	8320.62175925925	12206.0235802469	0	47707653.7231286
0159_AP39_21129_20180205_ST	43094386	9623.71666666667	105.027777777778	7297.83657407408	9484.203505291	0.666666666666667	10398.6333333333	107054.837439374	20338.4126190476	43487.7416666666	1436.78125	3153.15	6331.08530092593	3517.86203703704	6.33333333333333	6	0	93.6	0	0.685185185185185	0	0	2240.86666666666	17702.7006944444	0	12704.4444444444	8861.9035942761	0.2	639.863425925926	0	1520.0362654321	6589.24666666667	77927.3664814815	8075.33323412698	0.3	0.75	0	14973.3519473839	8046.0587037037	10500.8112257496	0	42702266.1932943
0159_AP39_21301_20180706_ST_E21	41557720	11261.75	101.583333333333	6835.97407407408	8194.64011243387	0	11335.0333333333	99620.7809082892	20304.7187698413	38719.9305555556	666.5625	4288.5625	6388.90972222222	4062.07986111111	2.33333333333333	0.166666666666667	0	103.8	0	3.64814814814815	0	0	2612.4	17196.3592592593	0	10527.5	8271.4649537037	0	602.385416666667	0	1276.81146604938	6480.83333333333	67536.6027777778	6937.40555555556	0	25.3194444444445	0	13689.54658977	6129.05611111111	9682.9996090535	0	41194860.8416649
0159_AK37_71054_20190305_ST	31353698	5039.4	256.25	6404.86412037037	7189.64242724867	0.666666666666667	6212.6	76760.1515652557	14169.3863492063	25987.875	625.59375	3765.84375	4896.8375771605	2921.27662037037	3	16.3333333333333	0	71.2	0	4.12962962962963	0	0	1189.4	13225.9597222222	1.16666666666667	8350.5	9116.65101851851	0	570.481481481482	0	1213.17117283951	4038.07892857143	62559.2675925926	5873.47341269841	3.1	50.7916666666667	0	10264.1722516167	4652.4486111111	7343.02798941799	0	31070921.2586964
