sample_id	total	negative_regulation_of_snRNA_transcription_by_RNA_polymerase_II	Remaining
0159_AS41_40055_20180716_ST	174241359	0	174241359
0159_AP39_21110_20190111_ST	130999038	0	130999038
0159_AA34_42475_20190911_ST	111488220	0	111488220
0159_AA34_42480_20191103_ST	79089243	0	79089243
0159_AP39_21298_20181004_ST_E21	57892245	0	57892245
0159_AP39_21108_20171121_ST	49162387	0	49162387
0159_AK37_71062_20190607_ST	48167112	0	48167112
0159_AP39_21129_20180205_ST	43094386	0	43094386
0159_AP39_21301_20180706_ST_E21	41557720	0	41557720
0159_AK37_71054_20190305_ST	31353698	0	31353698
0159_AK37_71051_20190224_ST	30677676	0	30677676
0159_BC12_41010_20171203_ST	26329100	0	26329100
0159_AV42_66107_20190327_ST	25918625	0	25918625
0159_AP39_21295_20180811_ST_E21	23598601	0	23598601
0159_AB10_100710_20181001_ST	23465581	0	23465581
0159_AZ03_32019_20180325_ST	23266629	0	23266629
0159_AP39_21065_20180201_ST	23251625	0	23251625
0159_AK37_71050_20190313_ST	22908156	0	22908156
0159_AZ03_32013_20200922_ST	22364500	0	22364500
0159_AP39_21076_20180429_ST	21809905	0	21809905
0159_AP39_21119_20181218_ST	21571050	0	21571050
0159_AQ29_10022_20170920_ST	20764220	0	20764220
0159_AB10_26156_20180815_ST	19951859	0	19951859
0159_AZ03_32015_20201210_ST	19254643	0	19254643
0159_AP39_21090_20180504_ST	19033213	0	19033213
0159_AP39_21330_20190102_ST_E21	18485852	0	18485852
0159_AP39_21314_20180719_ST_E21	18445058	0	18445058
0159_AK37_71031_20180929_ST	18386521	0	18386521
0159_AK37_71048_20190125_ST	18023348	0	18023348
0159_AV42_66163_20190718_ST	17994071	0	17994071
0159_AK37_71023_20180813_ST	17833556	0	17833556
0159_AP39_21289_20190125_ST_E21	17725209	0	17725209
0159_AK37_71052_20190226_ST	17361335	0	17361335
0159_AP39_21282_20180907_ST_E21	17180440	0	17180440
0159_AZ03_32016_20180619_ST	17159390	0	17159390
0159_AK37_71024_20181010_ST	17003481	0	17003481
0159_AZ03_32057_20190910_ST	16713937	0	16713937
0159_AP39_21294_20181026_ST_E21	16210343	0	16210343
0159_AP39_21111_20190126_ST	15642062	0	15642062
0159_AP39_21220_20180215_ST_E21	15613916	0	15613916
0159_AP39_21311_20180613_ST_E21	15304949	0	15304949
0159_AQ11_10150_20181221_ST	15261943	0	15261943
0159_AZ03_32038_20181018_ST	15153857	0	15153857
0159_AP39_21368_20180504_ST_E21	14980858	0	14980858
0159_AK37_71066_20190709_ST	14686117	0	14686117
0159_AP39_21371_20180409_ST_E21	14644729	0	14644729
0159_AV42_66160_20190805_ST	14514933	0	14514933
0159_AP39_21231_20180727_ST_E21	14453496	0	14453496
0159_AQ11_10126_20181116_ST	14364886	0	14364886
0159_AZ03_32033_20180922_ST	14268874	0	14268874
0159_AB10_26288_20181210_ST	14040796	0	14040796
0159_AK37_71057_20190430_ST	13927355	0	13927355
0159_AP39_21215_20180801_ST_E21	13925779	0	13925779
0159_AY44_33022_20170915_ST	13898439	0	13898439
0159_AV42_66184_20190930_ST	13896244	0	13896244
0159_AP39_21086_20180503_ST	13882181	0	13882181
0159_AP39_21325_20180920_ST_E21	13870794	0	13870794
0159_AP39_21284_20190102_ST_E21	13759188	0	13759188
0159_AZ03_32051_20190819_ST	13692080	0	13692080
0159_AP39_21278_20180823_ST_E21	13683931	0	13683931
0159_AP39_21216_20180227_ST_E21	13534973	0	13534973
0159_AP39_21056_20180125_ST	13415072	0	13415072
0159_AP39_21141_20180213_ST	13287340	0	13287340
0159_BC12_41015_20171213_ST	13235486	0	13235486
0159_AP39_21310_20180719_ST_E21	13117571	0	13117571
0159_AZ03_32023_20180717_ST	12965349	0	12965349
0159_AP39_21331_20190102_ST_E21	12938281	0	12938281
0159_AA34_42476_20191015_ST	12799296	0	12799296
0159_AA34_42100_20180523_ST	12774147	0	12774147
0159_BB02_45014_20191203_ST	12693372	0	12693372
0159_AP39_21061_20180816_ST	12583931	0	12583931
0159_AP39_21407_20180911_ST_E21	12557001	0	12557001
0159_AQ29_10020_20170913_ST	12478391	0	12478391
0159_AY44_33160_20190423_ST	12441671	0	12441671
0159_AV42_66162_20190810_ST	12425518	0	12425518
0159_AP39_21317_20180801_ST_E21	12386349	0	12386349
0159_AB10_26038_20180403_ST	12351819	0	12351819
0159_AP39_21057_20180521_ST	12338532	0	12338532
0159_AP39_21224_20180730_ST_E21	12286507	0	12286507
0159_AB18_26455_20190227_ST	12157781	0	12157781
0159_AP39_21052_20180510_ST	12131286	0	12131286
0159_AB18_26347_20190211_ST	12119708	0	12119708
0159_AP39_21316_20180604_ST_E21	11989247	0	11989247
0159_AP39_21393_20180418_ST_E21	11942620	0	11942620
0159_AV42_66136_20190805_ST	11787430	0	11787430
0159_AP39_21302_20181004_ST_E21	11781775	0	11781775
0159_AK37_71072_20191003_ST	11764136	0	11764136
0159_AP39_21384_20180520_ST_E21	11744006	0	11744006
0159_AZ03_32027_20180806_ST	11740516	0	11740516
0159_AP39_21333_20181113_ST_E21	11687417	0	11687417
0159_AB18_26692_20200820_ST	11528103	0	11528103
0159_AQ11_10135_20190122_ST	11421929	0	11421929
0159_AZ03_32022_20201016_ST	11368815	0	11368815
0159_AB18_26457_20190318_ST	11361486	0	11361486
0159_AZ03_32065_20190126_ST	11293276	0	11293276
0159_AB18_26640_20200517_ST	11285747	0	11285747
0159_AP39_21246_20181017_ST_E21	11282241	0	11282241
0159_AZ03_32056_20190914_ST	11158712	0	11158712
0159_AP39_21321_20180731_ST_E21	11033223	0	11033223
0159_AA34_42451_20190905_ST	10980150	0	10980150
0159_AP39_21072_20180914_ST	10968513	0	10968513
0159_AP39_21350_20180306_ST_E21	10925006	0	10925006
0159_AZ03_32068_20190211_ST	10887230	0	10887230
0159_AK37_71065_20190705_ST	10861752	0	10861752
0159_AA34_42468_20190913_ST	10832921	0	10832921
0159_AQ29_10040_20171130_ST	10755115	0	10755115
0159_AZ03_32099_20200206_ST	10716455	0	10716455
0159_BB02_45001_20181029_ST	10561931	0	10561931
0159_AP39_21382_20180515_ST_E21	10531861	0	10531861
0159_AP39_21262_20120515_ST_E21	10518341	0	10518341
0159_AB18_26769_20200814_ST	10330926	0	10330926
0159_AV42_66143_20190516_ST	10071325	0	10071325
0159_AY44_33208_20190808_ST	10059185	0	10059185
0159_AP39_21225_20170910_ST_E21	10053026	0	10053026
0159_AZ03_32054_20190917_ST	10036742	0	10036742
0159_AP39_21087_20180228_ST	10022422	0	10022422
0159_AQ29_10051_20180123_ST	9986833	0	9986833
0159_AP39_21218_20180614_ST_E21	9879983	0	9879983
0159_AP39_21277_20180817_ST_E21	9832249	0	9832249
0159_AV42_66161_20190722_ST	9707264	0	9707264
0159_AZ03_32050_20190123_ST	9682794	0	9682794
0159_AP39_21109_20181018_ST	9630468	0	9630468
0159_AV42_66135_20190524_ST	9609822	0	9609822
0159_AB18_26832_20201028_ST	9550086	0	9550086
0159_AB18_26501_20190507_ST	9548530	0	9548530
0159_AP39_21337_20181107_ST_E21	9546657	0	9546657
0159_AQ29_10062_20180313_ST	9543070	0	9543070
0159_AQ29_10061_20180228_ST	9492717	0	9492717
0159_AZ03_32049_20190124_ST	9392609	0	9392609
0159_AZ03_32016_20180619_STLS	9389669	0	9389669
0159_AB18_100835_20190130_ST	9289175	0	9289175
0159_AQ29_10028_20171018_ST	9264592	0	9264592
0159_AZ03_32072_20190318_ST	9263386	0	9263386
0159_AB18_26829_20210204_ST	9254662	0	9254662
0159_AZ03_32034_20181015_ST	9247914	0	9247914
0159_AZ03_32005_20200930_ST	9185767	0	9185767
0159_AP39_21248_20181016_ST_E21	9153583	0	9153583
0159_AZ03_32029_20180906_ST	9136116	0	9136116
0159_AB10_26805_20210211_ST	9121268	0	9121268
0159_AB18_26824_20201203_ST	9110040	0	9110040
0159_AP39_21062_20180306_ST	9105290	0	9105290
0159_AA34_42413_20190513_ST	9081212	0	9081212
0159_AP39_21303_20180522_ST_E21	9080271	0	9080271
0159_AP39_21308_20180925_ST_E21	9053200	0	9053200
0159_AZ03_32087_20191111_ST	9044833	0	9044833
0159_AB18_26687_20200922_ST	9044362	0	9044362
0159_AP39_21287_20181015_ST_E21	9005218	0	9005218
0159_AP39_21365_20180226_ST_E21	9001049	0	9001049
0159_AA34_42398_20190408_ST	8998854	0	8998854
0159_AQ29_10050_20180111_ST	8995301	0	8995301
0159_AP39_21323_20180726_ST_E21	8948822	0	8948822
0159_AK37_71010_20180324_ST	8937985	0	8937985
0159_AB18_26752_20200508_ST	8913845	0	8913845
0159_AP39_21387_20180503_ST_E21	8911008	0	8911008
0159_AP39_21377_20180525_ST_E21	8904612	0	8904612
0159_AQ29_10058_20180228_ST	8899684	0	8899684
0159_AQ11_10065_20180315_ST	8889359	0	8889359
0159_AP39_21093_20180310_ST	8878321	0	8878321
0159_AB18_26664_20200731_ST	8763293	0	8763293
0159_AV42_66149_20190809_ST	8761743	0	8761743
0159_AB10_26071_20180518_ST	8746727	0	8746727
0159_AB18_100031_2019062_ST	8655325	0	8655325
0159_AP39_21082_20180405_ST	8572328	0	8572328
0159_AP39_21264_20180816_ST_E21	8553833	0	8553833
0159_AA34_42416_20190508_ST	8510918	0	8510918
0159_AZ03_32035_20181025_ST	8489016	0	8489016
0159_AV42_66190_20190924_ST	8488107	0	8488107
0159_AZ03_32001_20171108_ST	8443810	0	8443810
0159_AB18_26823_20210214_ST	8439580	0	8439580
0159_AP39_21069_20181105_ST	8426347	0	8426347
0159_AZ03_32044_20181207_ST	8425076	0	8425076
0159_AB18_26644_20200419_ST	8424109	0	8424109
0159_AP39_21351_20180313_ST_E21	8417150	0	8417150
0159_AZ03_32014_20180605_ST	8390596	0	8390596
0159_AB18_26737_20200831_ST	8367500	0	8367500
0159_AZ03_32004_20171027_ST	8360874	0	8360874
0159_AB18_26754_20201209_ST	8357912	0	8357912
0159_AB18_26552_20201105_ST	8316932	0	8316932
0159_AY44_33008_20170913_ST	8307873	0	8307873
0159_AA34_42464_20191002_ST	8295044	0	8295044
0159_AP39_21352_20180307_ST_E21	8291988	0	8291988
0159_AB18_26792_20210219_ST	8291944	0	8291944
0159_AZ03_32020_20180611_ST	8270590	0	8270590
0159_AB18_26703_20200728_ST	8260271	0	8260271
0159_AB10_26032_20180430_ST	8236714	0	8236714
0159_AP39_21318_20180613_ST_E21	8158511	0	8158511
0159_AB18_26407_20190125_ST	8136697	0	8136697
0159_AY44_33214_20190806_ST	8134329	0	8134329
0159_AZ03_32017_20180615_ST	8097889	0	8097889
0159_AB10_26746_20210311_ST	8085573	0	8085573
0159_AA34_42261_20181120_ST	8045814	0	8045814
