sample_id	total	oxidoreductase_complex	glycine_cleavage_complex	ribonucleoside_diphosphate_reductase_complex	nitrate_reductase_complex	formate_dehydrogenase_complex	glycerol_3_phosphate_dehydrogenase_complex	glycolate_oxidase_complex	ferredoxin_hydrogenase_complex	photosystem_II_oxygen_evolving_complex	procollagen_proline_4_dioxygenase_complex	nitrogenase_complex	glycine_reductase_complex	NADH_dehydrogenase_complex	sarcosine_oxidase_complex	dihydrolipoyl_dehydrogenase_complex	isocitrate_dehydrogenase_complex__NAD__	electron_transfer_flavoprotein_complex	pyruvate_dehydrogenase_complex	respiratory_chain_complex_III	succinate_dehydrogenase_complex	catalase_complex	GMP_reductase_complex	superoxide_dismutase_complex	ferroxidase_complex	Remaining
0159_AS41_40055_20180716_ST	167641028	11.25	23458.75	22037	165542.333333333	307552.333333333	212649.666666667	29	363.75	95	0	1.5	1279	9914.75	0	6582.22916666668	21.125	0	91751.875	1.5	3299.38888888889	0	26765.5	0	6518.58333333333	166763153.465278
0159_AP39_21110_20190111_ST	125942242	0	8446.25	14891.5	43375.3333333333	73788.5833333333	169847.5	3335	7815.16666666665	0	0	1	3456	2695.75	0	2472.27083333333	15.625	0	39095.125	8.8125	578.25	0	11453	0	3899.27777777777	125557067.555556
0159_AA34_42475_20190911_ST	114708520	11.25	14547.5	50.5	94	5882.41666666667	123854.5	31.5	2270	52.5	0	8	3532	3381.66666666667	0	427.375	4.5	0	6162.83333333333	5.625	1.66666666666667	0	35	0	25.6666666666667	114548141.5
0159_AA34_42480_20191103_ST	76865758	0	8616	12028	9313.66666666667	8662.08333333333	85030.3333333333	0	3489	0	0	0	4329	1855.91666666667	0	257.375	2.625	0	1897	0.125	9.25	0	2487	0	4834.66666666667	76722945.9583333
0159_AP39_21298_20181004_ST_E21	58351570	0	5242	709.5	2055	6388.41666666667	49640.3333333333	43	563.75	11.5	0	3.5	1709	1035.66666666667	0	137.395833333333	12.125	0	1508.875	1.25	2.5	0	408	0	516.666666666667	58281581.5208333
0159_AP39_21108_20171121_ST	47890622	0.25	10417.75	6692	45637.3333333333	79145.6666666667	64616.5	4784	7560.75	0	0	2	5013	2617.83333333333	0	5533.29166666668	8.875	0	26439.5	12	793	0	8065.5	0	2105	47621177.75
0159_AK37_71062_20190607_ST	46524471	0	9495	1686	6991.83333333333	16898.5	50582	554	2867	61.25	0	5	1467	1637.5	0	1574.52083333333	6.125	0	8476.625	13.625	109.333333333333	0	1404	0	2971	46417670.6875
0159_AP39_21129_20180205_ST	42174717	0	6661.75	444	3176.5	6319.33333333333	39480.8333333333	86	597.25	61.75	0	0	5288	613.770833333333	0	210.729166666667	9.125	0	3211.375	19.625	3	0	579	0	361.666666666667	42107593.2916666
0159_AP39_21301_20180706_ST_E21	41945891	0	3617	542.5	1057.83333333333	4422.16666666667	36259.1666666667	16	443	8.25	0	1	1082	548.916666666668	0	63.8125	6	0	893.625	1.125	0.5	0	213	0	264.666666666667	41896450.4375
0159_AK37_71054_20190305_ST	30472858	0	4126	5635.5	5631.33333333333	12876.8333333333	39552.5	1	979	7.5	0	43.5	1560	1462.91666666666	0	316.25	5.875	0	8327.75	1.625	106.666666666667	0	3866	0	1227.66666666667	30387130.0833334
0159_AK37_71051_20190224_ST	29488025	0	5040.75	1247.5	7348.33333333333	16528.8333333333	63035.3333333333	200	702.5	27.75	0	129	1509	706.5	0	502.083333333333	6.75	0	5944.75	11.75	146	0	1830	0	472.194444444443	29382635.9722223
0159_AV42_66107_20190327_ST	25109407	0	6261	3682.5	30526.1666666667	44229.3333333333	34824	2564	4126.91666666667	0	0	0	270	1394.66666666667	0	1566.5	0.25	0	13755	0.5	520.75	0	5044	0	1443.66666666667	24959197.75
0159_BC12_41010_20171203_ST	25020998	0	3822.75	230.5	287.166666666667	1170	25391.8333333333	32	907.75	9	0	0	2115	448.75	0	384.416666666667	10.625	0	4520.25	6.875	0	0	103	0	99.6666666666667	24981458.4166667
0159_AP39_21065_20180201_ST	23605340	0.25	2810.5	159	73	6324.16666666667	19177.5	37	251	0	0	0	1024	647.416666666668	0	8.5	4	0	2012	3.5	0.25	0	35	0	84	23572688.9166667
0159_AP39_21295_20180811_ST_E21	23076371	1	2825	1257.5	3101.5	9831.33333333333	20477	158.5	346.5	31.5	0	5	1587	382.166666666667	0	139.833333333333	5.75	0	4406	5.125	49.75	0	595	0	437.666666666667	23030727.875
0159_AB10_100710_20181001_ST	22476810	15.5	2965.5	2729	18249.8333333333	33377.9166666667	27142	1661	3217.33333333333	0	0	3.5	1574	1111.83333333333	0	1198.83333333333	9	0	10978.5	16.75	330	0	3208	0	1027.66666666667	22367993.8333333
0159_AK37_71050_20190313_ST	22476650	0.75	3251	619.5	1059.5	4611.33333333333	20428.5	20	404.25	68	0	13	3339	521.333333333333	0	45.3333333333333	5.625	0	2858.25	0.375	1.41666666666666	0.5	170	0	204	22439028.3333334
0159_AZ03_32013_20200922_ST	21886689	1	4961	53	152.333333333333	2738	23041.3333333333	30.5	144.75	0.25	0	3	2247	410.361111111111	0	22.5625	10.125	0	5869	3.125	7.75	0	15	0	11.3333333333333	21846967.5763889
0159_AZ03_32019_20180325_ST	21736839	1.5	4703.5	39	682.666666666667	2785	19481.8333333333	68	450.75	42.75	0	8	2593	345	0	116.791666666667	3.875	0	5200.58333333333	3.75	2.25	0	10	0	24.6666666666667	21700276.0833333
0159_AP39_21119_20181218_ST	21439715	0	3335	766.5	681.166666666667	1637.66666666667	23436.8333333333	13	307	0	0	0	485	1081.75	0	45.75	4	0	1355.5	0.6875	0.25	0	166	0	688.194444444443	21405710.7013889
0159_AP39_21076_20180429_ST	20996683	0.5	2088	312.5	404.166666666667	1021.5	18854.5	3	265.5	4	0	1	330	810.958333333332	0.25	73.8333333333332	1.875	0	1115.75	0.625	0	0	148	0	247	20971000.0416667
0159_AB10_26156_20180815_ST	20352699	0	3286.75	500	2993	4970.58333333333	16751.8333333333	4	623	0	0	0.5	1329	966.833333333333	0	270.416666666667	0.25	0	2200.25	3.75	38.5	0	840	0	476	20317444.3333334
0159_AQ29_10022_20170920_ST	19485035	2	1962.25	19	25.3333333333333	2905.66666666667	26105.8333333333	158	196.5	19.5	0	0.5	942	26.3333333333333	0	5.27083333333333	17.5	0	1855.625	11.875	0.75	0	186	0	5	19450590.0625
0159_AP39_21090_20180504_ST	18989837	0	2831.75	87	636.333333333333	1286	14960.8333333333	24	161.5	16	0	0	530	1336.16666666666	0	13.0625	0.25	0	955.625	0.125	0.583333333333333	0	137	0	52	18966808.7708333
0159_AP39_21314_20180719_ST_E21	18760936	2	2642.25	402.5	2229.33333333333	4057.5	15934.5	25	149.25	14.75	0	251	1022	940.666666666668	0	92.6458333333332	1.375	0	1973.375	1.25	49	0	328	0	87.6666666666667	18730731.9375
0159_AZ03_32015_20201210_ST	18411108	6.5	2921.25	525.5	2190.83333333333	2694.66666666667	20481.1666666667	50	280	0.75	0	32.5	1707	186.75	0	28.6875	14	0	4277.375	3.875	4.75	0	75	0.25	296.666666666667	18375330.4791667
0159_AK37_71031_20180929_ST	18190337	0	2211.25	203.5	908	2995.66666666667	20694.5	23.5	303.25	0.5	0	0	1685	678.499999999998	0	101.3125	4.625	0	1454.875	1.625	13.3333333333333	0	188	0	45	18158824.5625
0159_AK37_71023_20180813_ST	17982284	1	2021	843.5	2599.33333333333	4151.25	16338.5	9	925	2.66666666666667	0	0	477	502.166666666667	0	188.083333333333	5.75	0	2426.25	1.875	40.25	0	571	0	181.333333333333	17950999.0416667
0159_AV42_66163_20190718_ST	17925240	0.25	2605.5	1982.5	284.166666666667	3560.41666666667	19182.8333333333	27	270	33.25	0	0.5	1333	470.666666666667	0	14.0833333333333	0.25	0	1565.25	0.5	1.75	0	282	0	868.333333333333	17892757.75
0159_AP39_21330_20190102_ST_E21	17843070	0.75	1345.5	406.5	1665.5	3879.16666666667	19405.5	108.5	316.5	0.5	0	0	1840	162.583333333333	0	113.666666666667	4.875	0	1234.5	7.5	16.75	0	365	0	175.666666666667	17812021.0416667
0159_AP39_21289_20190125_ST_E21	17461506	0	1592.25	464.5	235.333333333333	1843.16666666667	17508	4	148.75	9.25	0	10.5	389	418.083333333333	0	16.8125	4.25	0	734.625	0.75	2.5	0	312	0	199.666666666667	17437612.5625
0159_AK37_71052_20190226_ST	17359085	0.5	2910	798	1597.16666666667	2611.5	15093.1666666667	37	916.75	0	0	1	3361	520.333333333333	0	172.75	0	0	781.25	1.75	0.25	0	735	0	68.3333333333333	17329479.25
0159_AZ03_32016_20180619_ST	17356229	0	2865	24	105.666666666667	1435.16666666667	11825.5	120	156.75	15	0	0	695	782.083333333332	0	7.875	13	0	732.166666666667	3	2.25	0	168	0	94	17337184.5416667
0159_AK37_71024_20181010_ST	17179762	1.75	2369.25	422	1838	5024.08333333333	16552.6666666667	73	332	92	0	205.5	342	518.666666666667	0	178.854166666667	3.375	0	2116.375	1	40.9166666666667	0	480	0	117.333333333333	17149053.2291667
0159_AK37_71048_20190125_ST	17169619	0	1532.5	1222	8296.66666666667	17015.8333333333	18052.8333333333	3	196.75	182	0	15	702	574.916666666667	0	376.291666666667	3.875	0	6839.91666666667	0.625	175.25	0	1435	0	359	17112635.5416667
0159_AP39_21282_20180907_ST_E21	17068619	1	3060.75	2888	3926.83333333333	6040.58333333333	17146.3333333333	332	1561.25	0.5	0	0.5	854	740.75	0	448.854166666667	0.4375	0	3795.875	3.125	44.75	0	1118	0	1050.66666666667	17025604.7916667
0159_AZ03_32057_20190910_ST	16831551	0	2081.5	29	256.833333333333	1213.25	16817.1666666667	123	397.75	2.75	0	0	804	303	0	34.75	15.125	0	699.5	9.25	0	0	224	0	6.33333333333333	16808533.7916667
0159_AP39_21294_20181026_ST_E21	15994897	0	2127.5	538.5	905.5	2726	17575	69	286.75	2.5	0	3.5	561	519.666666666667	0	36.3333333333333	2.375	0	1193.25	2.375	12.5	0	167	0	303	15967865.25
0159_AP39_21111_20190126_ST	15468048	0	2342.25	287	43.8333333333333	1223.33333333333	16492.8333333333	10	222.25	32.5	0	0.5	266	267.083333333333	0	39.625	1.625	0	864.25	0.375	0	0	151	0	75	15445728.5416667
0159_AP39_21220_20180215_ST_E21	15437595	1.5	1968.5	177	280	833.75	14906.1666666667	40	106.5	5.75	0	0.5	325	599.333333333332	0	17.25	5	0	717.25	2.875	0.25	0	65	0	18.3333333333333	15417525.0416667
0159_AZ03_32038_20181018_ST	15424570	0.5	2492.25	335	1486.5	1131.16666666667	14739.5	5	474.5	2.5	0	0	164	557.750000000002	0	19.25	1.5	0	381	0.5	0.25	0	214	0	9	15402555.8333333
0159_AP39_21311_20180613_ST_E21	15275564	4.5	1733.25	256.5	240.166666666667	1889.16666666667	13626.1666666667	9	347	1.25	0	0.5	964	492.333333333333	0	23.2916666666667	3.125	0	629.25	3.25	0.25	0	73	0	90.6666666666667	15255177.3333333
0159_AP39_21368_20180504_ST_E21	14879083	0.5	1795.75	155	377.166666666667	1236.33333333333	18294.8333333333	1	846.25	0.5	0	1	929	330.333333333333	0	110.25	5.75	0	1213.75	1.375	0	0	157.5	0	44.25	14853582.4583333
0159_AP39_21371_20180409_ST_E21	14791542	0	2196.25	92	373.833333333333	1021.75	13943.1666666667	9.5	204.25	8.25	0	1	702	546.416666666665	0	38.1458333333333	3.125	0	938.291666666667	1.5	0.666666666666667	0	70	0	12	14771379.8541667
0159_AK37_71066_20190709_ST	14439076	0	2875.25	252	191.333333333333	2293.83333333333	12421.3333333333	15.5	763.5	6.5	0	11	2091	440.916666666667	0	336.958333333333	9.375	0	2612	4.25	1.66666666666667	0	34	0	236	14414479.5833333
0159_AV42_66160_20190805_ST	14417839	0	2065	242	475.333333333333	2855.83333333333	14197.6666666667	23	160.25	7.75	0	5	937	734.500000000002	0	27.8333333333333	4	0	1513.75	0.375	0.666666666666667	0	101	0	127.333333333333	14394360.7083333
0159_AQ11_10126_20181116_ST	14334084	0	1936.5	41.5	107.666666666667	934	12430.3333333333	21	177.75	0.5	0	0	844	405.833333333333	0	4.125	5.25	0	569	6	2.66666666666667	0	88	0	8.66666666666667	14316501.2083333
0159_AQ11_10150_20181221_ST	14250223	9.5	1965.5	27	35.3333333333333	2040.83333333333	23069.5	27.5	111.25	0	0.0625	1.5	591	47.9166666666667	0	30	13.5	0	3000.75	0.375	0	0	48	0	8.33333333333333	14219195.1458333
0159_AP39_21086_20180503_ST	14100539	0.25	1829.5	267.5	29	693.333333333333	11190.6666666667	1	121.5	0	0	2	393	735.333333333333	0	36.375	3.125	0	1072	0.625	0	0	28	0	161.666666666667	14083974.125
0159_AZ03_32033_20180922_ST	14086507	0	2552.75	1266.5	9158	14278.25	15819.6666666667	847	1443.08333333334	0.5	0	4	959	869.916666666665	0	999.770833333332	2	0	5203.625	5.875	170.166666666667	0	1586	0	359.833333333333	14030981.0625
0159_AV42_66184_20190930_ST	14030786	1	1399.5	5	123.333333333333	1539.5	12762.3333333333	11	218.25	20.5	0	0	299	197.333333333334	0	2.375	1.5	0	259.5	2	0.25	0	134.5	0	14.3333333333333	14013794.7916667
0159_AP39_21231_20180727_ST_E21	13979772	0	1945.75	132	605.833333333333	2931.66666666667	13838.1666666667	25	209.25	11.5	0	0.5	1008	357.833333333333	0	43.2708333333333	4.25	0	1571.875	1.5625	7	0	171	0	243.333333333333	13956664.2083333
0159_AB10_26288_20181210_ST	13975869	5	2392.5	1244.5	5502.83333333333	9330	15646.3333333333	36	966.25	1	0	1	510	520.5	0	603.145833333332	2.625	0	3050.125	0.5	92.75	0	1170.5	0	304.333333333333	13934489.1041667
0159_AK37_71057_20190430_ST	13743463	0	2925	1105	6477.83333333333	14799	14548.6666666667	95.5	860.25	2	0	0	1114	698.166666666667	0	492.583333333333	6.125	0	5010	12.875	142.166666666667	0	1147	0	625.666666666667	13693401.1666667
0159_AP39_21056_20180125_ST	13645650	0.5	2236.5	85	358.333333333333	997.083333333333	12920.8333333333	30	261.25	0	0	0.5	982	799.250000000002	0	13.25	4.375	0	409.75	1.625	3.25	0	381	0	36.6666666666667	13626128.8333333
0159_AZ03_32051_20190819_ST	13638199	5.5	2501.25	146.5	1592.83333333333	3651.08333333333	10819	8	310.25	2.25	0	2	942	433.25	0	109.3125	2.125	0	2153.375	0.125	26.25	0	247	0	104	13615142.8958333
0159_AY44_33022_20170915_ST	13491486	0	1855.5	397	70.1666666666667	469	13164.1666666667	0	245.5	2	0	0	585	467.833333333333	0	16.5	2.375	0.666666666666667	321.5	1.5	0	0	196	0	375	13473316.2916667
0159_AP39_21325_20180920_ST_E21	13458241	0	1818.75	119	106.5	703.333333333333	11719.5	6	116	2.75	0	0	831	528.416666666667	0	43.1875	1.75	0	852.875	1.375	1.5	0	24	0	78.8333333333333	13441286.2291667
0159_AP39_21216_20180227_ST_E21	13409268	0	1695.5	327	397.333333333333	1514.83333333333	14693	33	214.75	0	0	0	400	464.916666666667	0	21.75	1	0	841	1.5	3	0	89	0	239.333333333333	13388331.0833333
0159_AP39_21284_20190102_ST_E21	13368780	5.5	826	112.5	55	996.666666666667	21497.8333333333	3	125	1	0	0	468	204.166666666667	0	8.25	1	0	347.75	1.75	0.25	0	239	0	222	13343665.3333333
0159_AP39_21215_20180801_ST_E21	13363042	0	1607	466	3325.5	7806.66666666667	14645.6666666667	22	178	0.25	0	12	891	535	0	145.208333333333	4.875	0	3259	1.625	59.25	0	618	0	138.666666666667	13329326.2916667
0159_BC12_41015_20171213_ST	13064425	2	1835.83333333333	683.5	356	1785.33333333333	11944.6666666667	20.5	208.75	13.5	0	2	492	488.916666666667	0	51	5.375	0	993.166666666667	3.125	0.916666666666667	0	55	0	498	13044985.4166667
0159_AP39_21310_20180719_ST_E21	13052885	0	2033.5	690	268.833333333333	895.416666666667	13517.8333333333	4	144	0.5	0	0.5	842	492.75	0	21.0833333333333	2.375	0	798.75	0.5	0.5	0	319	0	169.888888888889	13032683.5694444
0159_AP39_21331_20190102_ST_E21	12914761	0	1374	854.5	2317	4032.25	11226	26	303	42.75	0	289.5	568	268.333333333333	0	163.083333333333	0.75	0	2455.5	1.875	34.5	0	499	0	278.666666666667	12890026.2916667
0159_AP39_21141_20180213_ST	12851119	4.5	1200.75	18	122	1460.91666666667	14261	106.5	267.5	1.25	0	0	239	186.916666666667	0	54.4375	17.625	0	953.875	14	3.25	0	131.5	0	33	12832042.9791667
0159_AA34_42476_20191015_ST	12790083	0	2464	833.5	111.666666666667	2071	13783.6666666667	4	650	0	0	2.5	951	533.833333333333	0	154	0.5	0	1767	2	1.25	0	14	0	309.333333333333	12766429.75
