sample_id	total	transferase_complex	X1_3_beta_D_glucan_synthase_complex	ubiquitin_ligase_complex	glycosylphosphatidylinositol_N_acetylglucosaminyltransferase__GPI_GnT__complex	palmitoyltransferase_complex	alpha_alpha_trehalose_phosphate_synthase_complex__UDP_forming_	acetolactate_synthase_complex	CAAX_protein_geranylgeranyltransferase_complex	protein_farnesyltransferase_complex	Rab_protein_geranylgeranyltransferase_complex	serine_pyruvate_aminotransferase_complex	oligosaccharyltransferase_complex	aspartate_carbamoyltransferase_complex	riboflavin_synthase_complex	cellulose_synthase_complex	protein_N_acetylglucosaminyltransferase_complex	ubiquitin_conjugating_enzyme_complex	mannosyltransferase_complex	decaprenyl_diphosphate_synthase_complex	Atg12_Atg5_Atg16_complex	methyltransferase_complex	oxoglutarate_dehydrogenase_complex	methionine_adenosyltransferase_complex	transferase_complex__transferring_phosphorus_containing_groups	inositol_phosphoceramide_synthase_complex	SUMO_ligase_complex	glycosylphosphatidylinositol_mannosyltransferase_II_complex	acetyltransferase_complex	dehydrodolichyl_diphosphate_synthase_complex	Bre1_Rad6_ubiquitin_ligase_complex	UBR1_RAD6_ubiquitin_ligase_complex	MUB1_RAD6_UBR2_ubiquitin_ligase_complex	RAD6_UBR2_ubiquitin_ligase_complex	RSP5_BUL_ubiquitin_ligase_complex	glycosylphosphatidylinositol_mannosyltransferase_I_complex	Remaining
0159_AS41_40055_20180716_ST	167641028	5.5	1.25	38.140873015873	0.166666666666667	0.833333333333333	14	41115	0.5	3	0.5	0	0.0833333333333333	38392	45810	0	2124.08333333333	0	0.416666666666667	0	0	2943.5	13163.8958333334	1.5	928480.425	0	2149.5	0	173.885416666667	0.75	0	0.166666666666666	1.75	1.25	0.57142857142857	0	166566605.331448
0159_AP39_21110_20190111_ST	125942242	0.5	0.25	28.5444444444444	0	9.16666666666667	27	4577.5	0	0	0	0	2.58333333333333	26091.8	43011.5	0	6027.41666666665	0.111111111111111	0.472222222222222	0	0	1216.16666666667	4919.22916666667	0.75	924685.541666668	0	3112	0	3.375	0	0.111111111111111	0.0555555555555555	0.0555555555555555	0.0555555555555555	0.25	0	124928527.565278
0159_AA34_42475_20190911_ST	114708520	12	0.25	46.4083333333333	0	0	101	1325	0	0	0	0	0	23643	29632	0	278.833333333333	0	0	0	0	1599	852.6875	0	694525.791666667	0	1632	0	24.5	0	0	0	0	0	0	0	113954847.529167
0159_AA34_42480_20191103_ST	76865758	0	0.5	5.5875	0	5.16666666666667	203	1901	0	141	0	0	0	21249.4	19275.5	0	174.833333333334	0	0	0	0	7577.16666666667	513.875	0	593752.666666667	0	957	0	0.708333333333332	0	0	0	0	0	0	0	76220000.5958333
0159_AP39_21298_20181004_ST_E21	58351570	0	0.75	3.5375	0	5.66666666666667	24	1023	0	0	0	0	0	11136.4	14310.5	0	178.083333333334	0	0	0	0	685.5	274.354166666667	0	359164.841666667	0	105.5	0	1.25	0	0	0	0	0	0	0	57964656.6166666
0159_AP39_21108_20171121_ST	47890622	0	0	149.045833333333	0	4.66666666666667	28	2204	0	0	0	0	0.833333333333333	10400.6	17624	0	737.916666666665	0	0	0	0	968	11048.8958333334	0.5	291530.451190476	0	45	0	65.75	0	0	0	0	0	0	0	47555814.3404762
0159_AK37_71062_20190607_ST	46524471	0	0	3.125	0	0	9	2552.5	0	0	0	0	0.0833333333333333	8145.4	12922.5	0	588.333333333335	0	0	0	0	4184	3143.85416666667	0	329662.25	0	202	0	10.25	0	0	0	0	0	0	0	46163047.7041667
0159_AP39_21129_20180205_ST	42174717	3	1	39.95	0	5.33333333333333	0	290	0.5	0	0	0	0.166666666666667	8287.2	11069	0	706.916666666665	0	0	0	0	1011	420.708333333333	0	297880.831547619	0	592	0	2	0	0	0	0	0	0	0	41854407.3934524
0159_AP39_21301_20180706_ST_E21	41945891	0	0.5	3.51666666666667	0	6.66666666666667	22	745	0	1	0	0	0	8264	11533.5	0	226.166666666666	0	0	0	0	458	127.125	1	261318.029761905	0	419	0	1	0	0	0	0	0	0	0	41662764.4952381
0159_AK37_71054_20190305_ST	30472858	0	0	1.16666666666666	0	0	22	449	0	0	0	0	0	6576	6631.33333333333	0	1585.33333333334	0	0	0	0	1283.5	630.1875	4	201314.75	0	485.5	0	4.16666666666667	0	0	0	0	0	0	0	30253871.0625
0159_AK37_71051_20190224_ST	29488025	2	1.75	11.5013888888889	0.166666666666667	0	488	3707	0	0	0	0	1.25	7433	10252	0	5.08333333333335	0	0.0833333333333333	0	0	154.5	999.729166666665	0	212206.316666667	0	391.5	0.5	6.92708333333333	0.5	0	0	0.25	0.25	0	0	29252362.6923611
0159_AV42_66107_20190327_ST	25109407	0	0	1.5875	0	0.5	2	1157	0	0	0	0	0	7944.2	11465	0	379.916666666667	0	0	0	0	241.5	3133	0	177109.175	0	207.5	0	0.166666666666667	0	0	0.166666666666666	0	0	0	0	24907765.2875
0159_BC12_41010_20171203_ST	25020998	3	0	17.4583333333333	0	0	0	687.5	0	0	0	0	0	5102	5608	0	236.25	0	0	0	0	350	760.583333333335	0	180119.926190476	0	148	0	4	0	0	0	0	0	0	0	24827961.2821429
0159_AP39_21065_20180201_ST	23605340	2	0	1.375	0	1.5	13	74.5	0	0	0	0	0	4159.2	4567.5	0	228.666666666666	0	0	0	0	126.5	17	0	151039.458333333	0.5	131	0	0.625	0	0	0	0	0	0	0	23444977.175
0159_AP39_21295_20180811_ST_E21	23076371	2	1.75	8.66388888888889	0	3	5.5	652	0	0	0.5	0	0.277777777777778	4330.8	5085.5	0	503.416666666665	0.0277777777777777	0.25	0	0	1005	279.666666666667	0	163415.5375	0	422	0	18.71875	0.333333333333333	0.111111111111111	0.0555555555555555	0.555555555555555	0.555555555555555	0	0	22900634.7798611
0159_AB10_100710_20181001_ST	22476810	0	0	3.5	0	2.33333333333333	1	1255	0	0	0	0	0.25	5136.2	8237	0	915.833333333335	0	0	0.5	0	517.5	2396.91666666667	0.25	152247.083333333	0	319	0	70.4166666666667	0	0	0	0	0	0	0	22305707.2166666
0159_AK37_71050_20190313_ST	22476650	0	0	24.5833333333333	0	2	3	215.5	0	0	0	0	0	4133	4698.5	0	352.916666666667	0	0	1	0	266.5	90.6666666666665	0	160885.917857143	0	84.3333333333333	0	8.25	0	0	0	0	0	0	0	22305883.8321429
0159_AZ03_32013_20200922_ST	21886689	0	0	28.1020833333333	0	0	3	152.5	0	8	21	0	3	4917.8	4230	0	18.9166666666667	0.638888888888889	0	0	0	1580.30555555556	44.75	7	153731.803769841	0	149.5	0	86.5871212121212	1.75	0.555555555555556	0.277777777777778	1.77777777777778	0.277777777777778	0	0	21721701.4570256
0159_AZ03_32019_20180325_ST	21736839	2	0.25	13.4136904761905	0.5	1.66666666666667	23	283	0	0	0	0	0.333333333333333	5146.6	4259.5	0	228.333333333334	0	0.25	0	0	758.333333333333	231.8125	0.75	160412.358333333	0	51	0	60.3125	0.333333333333333	0	0	0	0	0.142857142857143	0	21565365.110119
