# SampleID	GroupID	AbsoluteOffset
0100.DXRTXR00017.20150603.BAL	TXR017_N	42158
0100.TXR00017.20150805.BAL	TXR017_N	42221
0100.TXR00017.20151218.BAL	TXR017_N	42356
0100.DXRTXR00021.20150709.BAL	TXR021_N	42194
0100.TXR00021.20150728.BAL	TXR021_N	42213
0100.DXRTXR00033.20150707.BAL	TXR033	42192
0100.TXR00033.20150730.BAL	TXR033	42215
0100.TXR00033.20150827.BAL	TXR033	42243
0100.TXR00033.20151028.BAL	TXR033	42305
0100.TXR00033.20160106.BAL	TXR033	42375
0100.TXR00033.20160210.BAL	TXR033	42410
0100.TXR00033.20160413.BAL	TXR033	42473
0100.TXR00033.20160518.BAL	TXR033	42508
0100.DXRTXR00041.20150717.BAL	TXR041	42202
0100.TXR00041.20150806.BAL	TXR041	42222
0100.TXR00041.20151117.BAL	TXR041	42325
0100.TXR00041.20160303.BAL	TXR041	42432
0100.TXR00041.20160526.BAL	TXR041	42516
0100.DXRTXR00043.20150721.BAL	TXR043	42206
0100.TXR00043.20150901.BAL	TXR043	42248
0100.TXR00043.20151103.BAL	TXR043	42311
0100.TXR00043.20160607.BAL	TXR043	42528
0100.DXRTXR00047.20150731.BAL	TXR047	42216
0100.TXR00047.20150904.BAL	TXR047	42251
0100.TXR00047.20151016.BAL	TXR047	42293
0100.TXR00047.20151105.BAL	TXR047	42313
0100.TXR00047.20160108.BAL	TXR047	42377
0100.DXRTXR00049.20150803.BAL	TXR049	42219
0100.TXR00049.20160129.BAL	TXR049	42398
0100.DXRTXR00051.20150805.BAL	TXR051_N	42221
0100.TXR00051.20151111.BAL	TXR051_N	42319
0100.DXRTXR00056.20150529.BAL	TXR056_N	42153
0100.TXR00056.20150806.BAL	TXR056_N	42222
0100.TXR00056.20151217.BAL	TXR056_N	42355
0100.TXR00056.20160303.BAL	TXR056_N	42432
0100.DXRTXR00074.20150908.BAL	TXR074	42255
0100.TXR00074.20150925.BAL	TXR074	42272
0100.TXR00074.20160412.BAL	TXR074	42472
0100.DXRTXR00084.20151009.BAL	TXR084	42286
0100.TXR00084.20151023.BAL	TXR084	42300
0100.TXR00084.20151117.BAL	TXR084	42325
0100.TXR00084.20160202.BAL	TXR084	42402
0100.TXR00084.20160614.BAL	TXR084	42535
0100.DXRTXR00170.20151021.BAL	TXR170	42298
0100.TXR00170.20151103.BAL	TXR170	42311
0100.TXR00170.20151218.BAL	TXR170	42356
0100.TXR00170.20160318.BAL	TXR170	42447
0100.TXR00170.20160415.BAL	TXR170	42475
0100.TXR00170.20160717.BAL	TXR170	42568
0100.DXRTXR00178.20160202.BAL	TXR178	42402
0100.TXR00178.20160315.BAL	TXR178	42444
0100.TXR00178.20160609.BAL	TXR178	42530
0100.TXR00178.20160721.BAL	TXR178	42572
0100.DXRTXR00180.20151203.BAL	TXR180_N	42341
0100.TXR00180.20151217.BAL	TXR180_N	42355
0100.TXR00180.20160715.BAL	TXR180_N	42566
0100.DXRTXR00184.20160208.BAL	TXR184	42408
0100.TXR00184.20160406.BAL	TXR184	42466
0100.TXR00184.20160511.BAL	TXR184	42501
0100.TXR00184.20160628.BAL	TXR184	42549
0100.DXRTXR00206.20151130.BAL	TXR206_N	42338
0100.TXR00206.20160513.BAL	TXR206_N	42503
0100.DXRTXR00207.20151111.BAL	TXR207_N	42319
0100.TXR00207.20160506.BAL	TXR207_N	42496
0100.DXRTXR00215.20151223.BAL	TXR215	42361
0100.TXR00215.20160216.BAL	TXR215	42416
0100.TXR00215.20160421.BAL	TXR215	42481
0100.TXR00215.20160527.BAL	TXR215	42517
0100.DXRTXR00227.20160108.BAL	TXR227	42377
0100.TXR00227.20160128.BAL	TXR227	42397
0100.TXR00227.20160225.BAL	TXR227	42425
0100.TXR00227.20160630.BAL	TXR227	42551
0100.DXRTXR00235.20151202.BAL	TXR235	42340
0100.TXR00235.20160119.BAL	TXR235	42388
0100.TXR00235.20160623.BAL	TXR235	42544
0100.DXRTXR00257.20160203.BAL	TXR257	42403
0100.TXR00257.20160216.BAL	TXR257	42416
0100.TXR00257.20160511.BAL	TXR257	42501
0100.DXRTXR00272.20160129.BAL	TXR272	42398
0100.TXR00272.20160519.BAL	TXR272	42509
0100.DXRTXR00274.20160115.BAL	TXR274	42384
0100.TXR00274.20160202.BAL	TXR274	42402
0100.TXR00274.20160222.BAL	TXR274	42422
0100.TXR00274.20160628.BAL	TXR274	42549
0100.DXRTXR00281.20160314.BAL	TXR281_N	42443
0100.TXR00281.20160504.BAL	TXR281_N	42494
0100.DXRTXR00300.20160506.BAL	TXR300	42496
0100.TXR00300.20160520.BAL	TXR300	42510
