Sample	Total	Bacteria Acidobacteria	Bacteria Actinobacteria	Bacteria Bacteroidetes	Bacteria Cyanobacteria	Bacteria Firmicutes	Bacteria Fusobacteria	Bacteria Gemmatimonadetes	Bacteria Nitrospira	Bacteria Proteobacteria	Bacteria Spirochaetes	Bacteria TM7	Bacteria Tenericutes	Bacteria Verrucomicrobia	Bacteria domain:Bacteria	Unknown domain:Unknown
EX1	5539	0	1877	4	133	3283	15	0	0	159	0	0	0	0	66	2
EX10	8824	1	7032	90	93	1022	15	0	0	62	1	3	1	0	496	8
EX2	7380	0	1851	179	21	4324	875	0	0	57	0	0	0	0	73	0
EX3	6924	0	2814	13	30	3737	61	0	0	23	0	0	0	0	204	42
EX4	8458	0	4662	21	3	3458	2	0	0	90	0	8	0	0	178	36
EX5	7452	5	1139	72	811	4829	349	0	2	80	0	1	0	1	162	1
EX6	4276	0	2068	11	2	2034	0	1	0	50	0	0	0	0	104	6
EX7	7259	0	6461	3	1	50	0	0	0	32	0	0	0	0	684	28
EX8	8026	4	5306	12	201	1973	0	0	0	25	0	0	0	0	476	29
EX9	6385	0	4570	16	1	1309	0	0	0	18	0	0	0	0	417	54
