Sample	Total	Acidobacteria	Candidate_division_BRC1	Candidate_division_JS1	Candidate_division_OD1	Candidate_division_OP11	Candidate_division_OP3	Candidate_division_OP8	Candidate_division_TM7	Candidate_division_WS3	Chlamydiae	Chlorobi	Actinobacteria	Chloroflexi	Chrysiogenetes	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Aquificae	JL-ETNP-Z39	Lentisphaerae	NPL-UPA2	Nitrospirae	Planctomycetes	Proteobacteria	RF3	RsaHF231	Spirochaetae	Synergistetes	Armatimonadetes	TA06	TM6	Tenericutes	Verrucomicrobia	BD1-5	BHI80-139	Bacteroidetes	CK-1C4-19	Caldiserica	Amoebozoa	Archaeplastida	Excavata	Haptophyta	Incertae_Sedis	Opisthokonta	SAR
01R_2	36	0	0	0	0	0	0	0	0	0	0	0	19	2	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02R_3	36	0	0	0	0	0	0	0	0	0	0	0	8	9	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03R_3_4	33	0	0	0	0	0	0	0	0	0	0	0	17	0	0	2	0	1	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
04R_3_7	85	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
05R_3	210	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
06R_2	176	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0
08L_4_5_9	107	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	4	0	0	13	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0
09R_4	56	0	1	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
11R_3_4	948	0	0	0	0	0	0	0	0	0	0	0	416	0	0	389	0	2	0	0	16	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0
12R_6_7	129	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	31	0	15	0	0	0	0	1	0	32	0	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
13R_2_8	226	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	2	0	0	67	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0
14R_2	2678	3	0	0	0	0	0	0	0	0	0	0	24	22	0	0	0	0	0	0	1	0	460	0	0	0	0	0	0	2168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15R_2_3_5_7	112	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	1	0	0	42	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	3	1	0	0	11	0	0	0	0	0	0	0	0	0
16R_2	160	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	0	0	14	0	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0
17R_1_4_9	92	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	2	0	0	53	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0
19R_1_5_8_9	67	0	0	0	0	0	0	0	0	0	0	0	24	1	0	1	0	2	0	0	18	0	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
20R_3_7	34	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	1	0	0	9	4	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21R_4	29	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	13	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23R_8	36	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	13	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
24R_3	22	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25R_2_3	413	77	0	0	0	0	0	0	0	0	0	0	5	0	0	301	0	0	0	0	18	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
26R_2_6_7	96	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	35	2	1	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27R_2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28R_3_6_7	682	0	0	0	0	0	0	0	0	0	0	0	639	0	0	1	0	0	0	0	15	0	4	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29R_2_4_5	1168	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	3	0	0	15	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
