# Name			NumRecords	NumBases	MedianLength	MinLength	MaxLength	LB95Len	UB95Len	MedianQV	MinQV	MaxQV	LB95QV	UB95QV
0000.0909.20190116	F	raw	57	14297	251	249	251	249	251	38	12	39	14	39
0000.0909.20190116	F	dust	57	14297	251	249	251	249	251	37	14	39	15	39
0000.0909.20190116	F	qvtrim	38	9519	251	249	251	NA	NA	38	33	39	NA	NA
0000.0909.20190116	F	seq_adapt_trim	38	9519	251	249	251	NA	NA	38	32	39	NA	NA
0000.0909.20190116	F	primer_trim	38	9519	251	249	251	NA	NA	38	18	39	NA	NA
0000.0909.20190116	R	raw	57	14253	250	249	251	249	251	38	12	39	13	39
0000.0909.20190116	R	dust	56	14002	250	249	251	249	251	37	12	39	14	39
0000.0909.20190116	R	qvtrim	29	7247	250	249	251	NA	NA	38	35	39	NA	NA
0000.0909.20190116	R	seq_adapt_trim	29	7247	250	249	251	NA	NA	38	31	39	NA	NA
0000.0909.20190116	R	primer_trim	29	7244	250	247	251	NA	NA	38	30	39	NA	NA
0000.0909.20190116	for_frag	merged	10	2504	250	250	251	NA	NA	37.5	13	39	NA	NA
0000.0909.20190116	rev_frag	merged	1	250	250	250	250	NA	NA	37	37	37	NA	NA
0000.0909.20190116	paired	merged	56	14009	250	247	251	249	251	38	18	39	28	39
