# Name			NumRecords	NumBases	MedianLength	MinLength	MaxLength	LB95Len	UB95Len	MedianQV	MinQV	MaxQV	LB95QV	UB95QV
031219A09D	F	raw	474	71574	151	151	151	151	151	37	11	37	11	37
031219A09D	F	subsample	474	71574	151	151	151	151	151	37	11	37	11	37
031219A09D	F	dust	386	58286	151	151	151	151	151	37	11	37	11	37
031219A09D	F	qvtrim	55	8299	151	150	151	150	151	37	11	37	11	37
031219A09D	F	seq_adapt_trim	55	8292	151	147	151	148	151	37	11	37	37	37
031219A09D	F	primer_trim	55	8277	151	147	151	147	151	37	25	37	25	37
031219A09D	F	contam.hs	55	8277	151	147	151	147	151	37	25	37	37	37
031219A09D	F	contam.px	55	8277	151	147	151	147	151	37	25	37	25	37
031219A09D	R	raw	474	71574	151	151	151	151	151	37	11	37	11	37
031219A09D	R	subsample	474	71574	151	151	151	151	151	37	11	37	11	37
031219A09D	R	dust	381	57531	151	151	151	151	151	37	11	37	11	37
031219A09D	R	qvtrim	32	4826	151	149	151	NA	NA	37	37	37	NA	NA
031219A09D	R	seq_adapt_trim	32	4814	151	148	151	NA	NA	37	25	37	NA	NA
031219A09D	R	primer_trim	32	4814	151	148	151	NA	NA	37	37	37	NA	NA
031219A09D	R	contam.hs	32	4814	151	148	151	NA	NA	37	11	37	NA	NA
031219A09D	R	contam.px	32	4814	151	148	151	NA	NA	37	25	37	NA	NA
031219A09D	for_frag	merged	36	5421	151	147	151	NA	NA	37	37	37	NA	NA
031219A09D	rev_frag	merged	13	1959	151	149	151	NA	NA	37	25	37	NA	NA
031219A09D	paired	merged	38	5711	151	148	151	NA	NA	37	11	37	NA	NA
031219A11D	F	raw	140	21140	151	151	151	151	151	37	11	37	11	37
031219A11D	F	subsample	140	21140	151	151	151	151	151	37	11	37	11	37
031219A11D	F	dust	0	0				NA	NA				NA	NA
031219A11D	F	qvtrim	0	0				NA	NA				NA	NA
031219A11D	F	seq_adapt_trim	0	0				NA	NA				NA	NA
031219A11D	F	primer_trim	0	0				NA	NA				NA	NA
031219A11D	F	contam.hs	0	0				NA	NA				NA	NA
031219A11D	F	contam.px	0	0				NA	NA				NA	NA
031219A11D	R	raw	140	21140	151	151	151	151	151	37	11	37	11	37
031219A11D	R	subsample	140	21140	151	151	151	151	151	37	11	37	11	37
031219A11D	R	dust	0	0				NA	NA				NA	NA
031219A11D	R	qvtrim	0	0				NA	NA				NA	NA
031219A11D	R	seq_adapt_trim	0	0				NA	NA				NA	NA
031219A11D	R	primer_trim	0	0				NA	NA				NA	NA
031219A11D	R	contam.hs	0	0				NA	NA				NA	NA
031219A11D	R	contam.px	0	0				NA	NA				NA	NA
031219A11D	for_frag	merged	0	0				NA	NA				NA	NA
031219A11D	rev_frag	merged	0	0				NA	NA				NA	NA
031219A11D	paired	merged	0	0				NA	NA				NA	NA
