# Name			NumRecords	NumBases	MedianLength	MinLength	MaxLength	LB95Len	UB95Len	MedianQV	MinQV	MaxQV	LB95QV	UB95QV
10041	F	raw	250	75000	300	300	300	300	300	34	7	38	8	38
10041	F	dust	100	30000	300	300	300	300	300	36	7	38	8	38
10041	F	qvtrim	14	3968	298.5	233	300	NA	NA	37	9	38	NA	NA
10041	F	seq_adapt_trim	14	3962	297.5	233	300	NA	NA	38	21	38	NA	NA
10041	F	primer_trim	14	3959	296.5	233	300	NA	NA	37.5	13	38	NA	NA
10041	R	raw	250	75000	300	300	300	300	300	36	7	38	7	38
10041	R	dust	148	44400	300	300	300	300	300	37	7	38	8	38
10041	R	qvtrim	3	833	271	262	300	NA	NA	38	38	38	NA	NA
10041	R	seq_adapt_trim	3	830	271	262	297	NA	NA	28	9	38	NA	NA
10041	R	primer_trim	3	830	271	262	297	NA	NA	37	17	38	NA	NA
10041	for_frag	merged	13	3660	296	233	300	NA	NA	38	20	38	NA	NA
10041	rev_frag	merged	2	533	266.5	262	271	NA	NA	37	37	37	NA	NA
10041	paired	merged	2	596	298	297	299	NA	NA	33.5	29	38	NA	NA
30000	F	raw	250	75000	300	300	300	300	300	34	7	38	7	38
30000	F	dust	118	35400	300	300	300	300	300	37	7	38	8	38
30000	F	qvtrim	8	2341	294.5	278	300	NA	NA	35.5	11	38	NA	NA
30000	F	seq_adapt_trim	8	2341	294.5	278	300	NA	NA	36	33	38	NA	NA
30000	F	primer_trim	8	2338	293.5	278	300	NA	NA	37.5	19	38	NA	NA
30000	R	raw	250	75000	300	300	300	300	300	34	7	38	7	38
30000	R	dust	144	43200	300	300	300	300	300	32	7	38	7	38
30000	R	qvtrim	2	565	282.5	265	300	NA	NA	15	7	23	NA	NA
30000	R	seq_adapt_trim	2	565	282.5	265	300	NA	NA	38	38	38	NA	NA
30000	R	primer_trim	2	565	282.5	265	300	NA	NA	38	38	38	NA	NA
30000	for_frag	merged	7	2042	291	278	300	NA	NA	38	19	38	NA	NA
30000	rev_frag	merged	1	265	265	265	265	NA	NA	38	38	38	NA	NA
30000	paired	merged	2	596	298	296	300	NA	NA	38	38	38	NA	NA
40000	F	raw	250	75000	300	300	300	300	300	35	7	38	7	38
40000	F	dust	110	33000	300	300	300	300	300	37	7	38	7	38
40000	F	qvtrim	10	2996	300	298	300	NA	NA	38	18	38	NA	NA
40000	F	seq_adapt_trim	10	2996	300	298	300	NA	NA	38	15	38	NA	NA
40000	F	primer_trim	10	2987	300	295	300	NA	NA	37.5	20	38	NA	NA
40000	R	raw	250	75000	300	300	300	300	300	35	7	38	7	38
40000	R	dust	121	36300	300	300	300	300	300	32	7	38	7	38
40000	R	qvtrim	3	834	286	248	300	NA	NA	37	27	38	NA	NA
40000	R	seq_adapt_trim	3	831	283	248	300	NA	NA	38	21	38	NA	NA
40000	R	primer_trim	3	831	283	248	300	NA	NA	37	25	38	NA	NA
40000	for_frag	merged	8	2390	300	295	300	NA	NA	38	32	38	NA	NA
40000	rev_frag	merged	1	248	248	248	248	NA	NA	37	37	37	NA	NA
40000	paired	merged	4	1180	298.5	283	300	NA	NA	38	38	38	NA	NA
70019	F	raw	250	75000	300	300	300	300	300	34	7	38	8	38
70019	F	dust	112	33600	300	300	300	300	300	37	7	38	7	38
70019	F	qvtrim	23	6555	300	206	300	NA	NA	37	12	38	NA	NA
70019	F	seq_adapt_trim	23	6552	300	206	300	NA	NA	37	23	38	NA	NA
70019	F	primer_trim	23	6347	300	95	300	NA	NA	37	19	38	NA	NA
70019	R	raw	250	75000	300	300	300	300	300	36	7	38	7	38
70019	R	dust	144	43200	300	300	300	300	300	36.5	7	38	7	38
70019	R	qvtrim	2	572	286	278	294	NA	NA	36.5	35	38	NA	NA
70019	R	seq_adapt_trim	2	569	284.5	275	294	NA	NA	35.5	33	38	NA	NA
70019	R	primer_trim	2	569	284.5	275	294	NA	NA	37.5	37	38	NA	NA
70019	for_frag	merged	23	6347	300	95	300	NA	NA	37	11	38	NA	NA
70019	rev_frag	merged	2	569	284.5	275	294	NA	NA	38	38	38	NA	NA
70019	paired	merged	0	0				NA	NA				NA	NA
70019X	F	raw	0	0				NA	NA				NA	NA
70019X	F	dust	0	0				NA	NA				NA	NA
70019X	F	qvtrim	0	0				NA	NA				NA	NA
70019X	F	seq_adapt_trim	0	0				NA	NA				NA	NA
70019X	F	primer_trim	0	0				NA	NA				NA	NA
70019X	R	raw	0	0				NA	NA				NA	NA
70019X	R	dust	0	0				NA	NA				NA	NA
70019X	R	qvtrim	0	0				NA	NA				NA	NA
70019X	R	seq_adapt_trim	0	0				NA	NA				NA	NA
70019X	R	primer_trim	0	0				NA	NA				NA	NA
70019X	for_frag	merged	0	0				NA	NA				NA	NA
70019X	rev_frag	merged	0	0				NA	NA				NA	NA
70019X	paired	merged	0	0				NA	NA				NA	NA
