SampleID	Total
0215_HC10R_092316_CS_3	145
0215_HC13L_092316_CS_3	239
0215_HC15L_051718_CS_3	256
0215_BLH20_000000_CS_3	268
0215_LYSIS_000000_CS_3	280
0215_HC13R_092316_CS_3	283
0215_HC10L_092316_CS_3	321
0215_PT21R_000000_CS_3	370
0215_PT06R_112019_CS_3	384
0215_PT08L_051718_CS_3	402
0215_PT01L_081319_CS_3	432
0215_HC15R_051718_CS_3	503
0215_BLAS1_092316_CS_3	504
0215_HC09R_092316_CS_3	676
0215_PT06L_112019_CS_3	738
0215_HC12R_092316_CS_3	775
0215_BLAS2_092316_CS_3	780
0215_HC13R_092316_CS_4	842
0215_PT01R_081319_CS_3	980
0215_PT08R_051718_CS_3	1063
0215_HC09L_092316_CS_3	1110
0215_PT21L_000000_CS_3	1111
0215_HC12L_092316_CS_3	1325
0215_BLUS1_092316_CS_3	1330
0215_PT07R_012920_CS_3	1441
0215_HC11R_092316_CS_3	1561
0215_HC14R_051718_CS_3	1605
0215_PT05L_091719_CS_3	1775
0215_HC11L_092316_CS_3	1784
0215_PT20L_000000_CS_3	2077
0215_HC14L_051718_CS_3	2094
0215_HC17R_052118_CS_3	2105
0215_HC22L_000000_CS_3	2112
0215_PT05R_091719_CS_3	2196
0215_BLAS1_092316_CS_4	2282
0215_PT02R_081519_CS_3	2400
0215_PT04L_091119_CS_3	3242
0215_HC17L_052118_CS_3	3319
0215_PT08R_051718_CS_4	3347
0215_PT04R_091119_CS_3	3514
0215_HC22R_000000_CS_3	3573
0215_PT07L_012920_CS_3	4458
0215_HC15L_051718_CS_4	5107
0215_PT02L_081519_CS_3	5304
0215_HC16R_051718_CS_3	5660
0215_PT20R_000000_CS_3	6140
0215_PT08L_051718_CS_4	6235
0215_PT03L_082119_CS_3	8865
0215_HC11R_092316_CS_4	8899
0215_PT03R_082119_CS_3	9616
0215_HC16L_051718_CS_3	9726
