SampleID	Attempts	TotalReads	AvgReadsPerAttempt
0215.BLAS1.092316.CS	6	8005	1334
0215.BLAS2.092316.CS	3	2213	738
0215.BLH20.000000.CS	3	703	234
0215.BLUS1.092316.CS	3	3459	1153
0215.HC09L.092316.CS	3	4128	1376
0215.HC09R.092316.CS	3	1863	621
0215.HC10L.092316.CS	3	1079	360
0215.HC10R.092316.CS	3	549	183
0215.HC11L.092316.CS	3	4694	1565
0215.HC11R.092316.CS	6	22571	3762
0215.HC12L.092316.CS	3	3335	1112
0215.HC12R.092316.CS	3	2140	713
0215.HC13L.092316.CS	3	705	235
0215.HC13R.092316.CS	6	3085	514
0215.HC14L.051718.CS	3	5210	1737
0215.HC14R.051718.CS	3	3664	1221
0215.HC15L.051718.CS	6	11878	1980
0215.HC15R.051718.CS	3	1121	374
0215.HC16L.051718.CS	3	24722	8241
0215.HC16R.051718.CS	3	16799	5600
0215.HC17L.052118.CS	3	8466	2822
0215.HC17R.052118.CS	3	5511	1837
0215.HC22L.000000.CS	3	4848	1616
0215.HC22R.000000.CS	3	8506	2835
0215.LYSIS.000000.CS	3	876	292
0215.PT01L.081319.CS	3	1316	439
0215.PT01R.081319.CS	3	2408	803
0215.PT02L.081519.CS	3	13723	4574
0215.PT02R.081519.CS	3	5685	1895
0215.PT03L.082119.CS	3	20005	6668
0215.PT03R.082119.CS	3	25302	8434
0215.PT04L.091119.CS	3	7179	2393
0215.PT04R.091119.CS	3	9109	3036
0215.PT05L.091719.CS	3	4626	1542
0215.PT05R.091719.CS	3	5018	1673
0215.PT06L.112019.CS	3	2021	674
0215.PT06R.112019.CS	3	1265	422
0215.PT07L.012920.CS	3	11457	3819
0215.PT07R.012920.CS	3	3017	1006
0215.PT08L.051718.CS	6	15382	2564
0215.PT08R.051718.CS	6	11032	1839
0215.PT20L.000000.CS	3	5910	1970
0215.PT20R.000000.CS	3	15741	5247
0215.PT21L.000000.CS	3	2608	869
0215.PT21R.000000.CS	3	1123	374
