SampleID	aa34.1.test	aa34.2.test	aa34.3.test	aa34.4.test	aa34.5.test	aa34.6.test	=	Total
0159.AA34.42001.20180413.ST	0	25711	0	0	0	0		25711
0159.AA34.42003.20180313.ST	0	45504	0	0	0	0		45504
0159.AA34.42005.20180409.ST	0	16720	0	0	0	0		16720
0159.AA34.42007.20180420.ST	0	20064	0	0	0	0		20064
0159.AA34.42009.20180313.ST	0	6012	0	0	0	0		6012
0159.AA34.42011.20180315.ST	0	25336	0	0	0	0		25336
0159.AA34.42013.20180321.ST	0	5917	0	0	0	0		5917
0159.AA34.42014.20180323.ST	0	23896	0	0	0	0		23896
0159.AA34.42015.20180329.ST	0	26434	0	0	0	0		26434
0159.AA34.42018.20180409.ST	0	17717	0	0	0	0		17717
0159.AA34.42019.20180402.ST	0	1	0	0	0	0		1
0159.AA34.42020.20180607.ST	0	5817	0	0	0	0		5817
0159.AA34.42021.20181004.ST	0	16192	0	0	0	0		16192
0159.AA34.42025.20180402.ST	0	5567	0	0	0	0		5567
0159.AA34.42026.20180329.ST	0	4659	0	0	0	0		4659
0159.AA34.42027.20180402.ST	0	9898	0	0	0	0		9898
0159.AA34.42028.20180918.ST	0	13090	0	0	0	0		13090
0159.AA34.42029.20180719.ST	0	1583	0	0	0	0		1583
0159.AA34.42031.20180409.ST	0	5108	0	0	0	0		5108
0159.AA34.42033.20180613.ST	0	3147	0	0	0	0		3147
0159.AA34.42037.20180418.ST	0	12526	0	0	0	0		12526
0159.AA34.42038.20180920.ST	0	10147	0	0	0	0		10147
0159.AA34.42039.20180413.ST	0	3416	0	0	0	0		3416
0159.AA34.42040.20180410.ST	0	38195	0	0	0	0		38195
0159.AA34.42043.20180410.ST	0	327	0	0	0	0		327
0159.AA34.42044.20180410.ST	0	622	0	0	0	0		622
0159.AA34.42045.20180907.ST	0	7514	0	0	0	0		7514
0159.AA34.42046.20180413.ST	0	16471	0	0	0	0		16471
0159.AA34.42047.20180417.ST	0	10006	0	0	0	0		10006
0159.AA34.42049.20180413.ST	0	3162	0	0	0	0		3162
0159.AA34.42050.20180419.ST	0	14712	0	0	0	0		14712
0159.AA34.42051.20180417.ST	0	2209	0	0	0	0		2209
0159.AA34.42052.20180419.ST	0	26098	0	0	0	0		26098
0159.AA34.42053.20180420.ST	0	19212	0	0	0	0		19212
0159.AA34.42056.20180419.ST	0	10102	0	0	0	0		10102
0159.AA34.42057.20180419.ST	0	17303	0	0	0	0		17303
0159.AA34.42059.20180426.ST	0	0	0	0	0	0		0
0159.AA34.42060.20180425.ST	0	2390	0	0	0	0		2390
0159.AA34.42061.20180423.ST	0	6582	0	0	0	0		6582
0159.AA34.42063.20180426.ST	0	22465	0	0	0	0		22465
0159.AA34.42066.20180503.ST	0	21913	0	0	0	0		21913
0159.AA34.42067.20180503.ST	0	5336	0	0	0	0		5336
0159.AA34.42069.20180504.ST	0	4208	0	0	0	0		4208
0159.AA34.42070.20180503.ST	0	27226	0	0	0	0		27226
0159.AA34.42073.20180514.ST	0	5493	0	0	0	0		5493
0159.AA34.42075.20180508.ST	0	1355	0	0	0	0		1355
0159.AA34.42076.20180823.ST	0	5492	0	0	0	0		5492
0159.AA34.42077.20180504.ST	0	5593	0	0	0	0		5593
0159.AA34.42078.20180523.ST	0	5719	0	0	0	0		5719
0159.AA34.42080.20180508.ST	0	0	0	0	0	0		0
0159.AA34.42081.20180515.ST	0	2601	0	0	0	0		2601
0159.AA34.42082.20180514.ST	0	13383	0	0	0	0		13383
0159.AA34.42083.20180504.ST	0	14496	0	0	0	0		14496
0159.AA34.42084.20180509.ST	0	4772	0	0	0	0		4772
0159.AA34.42085.20180717.ST	0	5138	0	0	0	0		5138
0159.AA34.42086.20180514.ST	0	11753	0	0	0	0		11753
0159.AA34.42087.20180523.ST	0	5403	0	0	0	0		5403
0159.AA34.42088.20180515.ST	0	10254	0	0	0	0		10254
0159.AA34.42089.20180515.ST	0	12469	0	0	0	0		12469
0159.AA34.42090.20180515.ST	0	18296	0	0	0	0		18296
0159.AA34.42092.20180525.ST	0	25703	0	0	0	0		25703
0159.AA34.42094.20180523.ST	0	8199	0	0	0	0		8199
0159.AA34.42097.20180525.ST	0	10129	0	0	0	0		10129
0159.AA34.42098.20180531.ST	0	8810	0	0	0	0		8810
0159.AA34.42099.20180525.ST	0	13	0	0	0	0		13
0159.AA34.42100.20180523.ST	0	5831	0	0	0	0		5831
0159.AA34.42101.20180611.ST	0	6212	0	0	0	0		6212
0159.AA34.42103.20180813.ST	0	8530	0	0	0	0		8530
0159.AA34.42104.20180813.ST	0	1889	0	0	0	0		1889
0159.AA34.42106.20180813.ST	0	29846	0	0	0	0		29846
0159.AA34.42107.20180525.ST	0	0	0	0	0	0		0
0159.AA34.42108.20180523.ST	0	4003	0	0	0	0		4003
0159.AA34.42111.20180531.ST	0	11688	0	0	0	0		11688
0159.AA34.42113.20180615.ST	0	24118	0	0	0	0		24118
0159.AA34.42114.20180813.ST	0	7058	0	0	0	0		7058
0159.AA34.42115.20180604.ST	0	13495	0	0	0	0		13495
0159.AA34.42117.20180619.ST	0	11237	0	0	0	0		11237
0159.AA34.42119.20180806.ST	0	15827	0	0	0	0		15827
0159.AA34.42122.20180605.ST	0	13495	0	0	0	0		13495
0159.AA34.42126.20180619.ST	0	22983	0	0	0	0		22983
0159.AA34.42127.20190206.ST	0	5679	0	0	0	0		5679
0159.AA34.42128.20190220.ST	0	4820	0	0	0	0		4820
0159.AA34.42129.20190318.ST	0	5121	0	0	0	0		5121
0159.AA34.42131.20190211.ST	0	8973	0	0	0	0		8973
0159.AA34.42132.20190220.ST	0	8613	0	0	0	0		8613
0159.AA34.42133.20190227.ST	0	7677	0	0	0	0		7677
0159.AA34.42135.20190211.ST	0	3751	0	0	0	0		3751
0159.AA34.42138.20190306.ST	0	112	0	0	0	0		112
0159.AA34.42139.20190301.ST	0	19981	0	0	0	0		19981
0159.AA34.42141.20180927.ST	0	13076	0	0	0	0		13076
0159.AA34.42143.20180613.ST	0	7209	0	0	0	0		7209
0159.AA34.42146.20180730.ST	0	941	0	0	0	0		941
0159.AA34.42148.20180706.ST	0	11665	0	0	0	0		11665
0159.AA34.42149.20180619.ST	0	13627	0	0	0	0		13627
0159.AA34.42150.20180907.ST	0	7623	0	0	0	0		7623
0159.AA34.42151.20180907.ST	0	31923	0	0	0	0		31923
0159.AA34.42157.20180706.ST	0	14224	0	0	0	0		14224
0159.AA34.42158.20180730.ST	0	2212	0	0	0	0		2212
0159.AA34.42162.20180717.ST	0	1946	0	0	0	0		1946
0159.AA34.42164.20190116.ST	0	5743	0	0	0	0		5743
0159.AA34.42165.20180723.ST	0	11062	0	0	0	0		11062
0159.AA34.42167.20190116.ST	0	7417	0	0	0	0		7417
0159.AA34.42168.20190116.ST	0	10976	0	0	0	0		10976
0159.AA34.42169.20190716.ST	0	38788	0	0	0	0		38788
0159.AA34.42171.20180723.ST	0	2226	0	0	0	0		2226
0159.AA34.42172.20190116.ST	0	61568	0	0	0	0		61568
0159.AA34.42173.20181025.ST	0	18126	0	0	0	0		18126
0159.AA34.42174.20180806.ST	0	1614	0	0	0	0		1614
0159.AA34.42175.20180807.ST	0	13121	0	0	0	0		13121
