# Name			NumRecords	NumBases	MedianLength	MinLength	MaxLength	LB95Len	UB95Len	MedianQV	MinQV	MaxQV	LB95QV	UB95QV
BAL87002-PE-N706S502-1	F	raw	386	96886	251	251	251	251	251	37	2	39	2	39
BAL87002-PE-N706S502-1	F	subsample	386	96886	251	251	251	251	251	37	2	39	2	39
BAL87002-PE-N706S502-1	F	contam	353	88603	251	251	251	251	251	38	2	39	2	39
BAL87002-PE-N706S502-1	F	dust	339	85089	251	251	251	251	251	38	2	39	2	39
BAL87002-PE-N706S502-1	F	qvtrim	339	67393	203	100	251	121	251	38	12	40	15	39
BAL87002-PE-N706S502-1	F	adapt	339	56842	170	52	251	78	251	38	13	39	15	39
BAL87002-PE-N706S502-1	F	ribo	86	15346	185	52	251	78	251	38	14	39	16	39
BAL87002-PE-N706S502-1	R	raw	386	96886	251	251	251	251	251	34	2	39	2	39
BAL87002-PE-N706S502-1	R	subsample	386	96886	251	251	251	251	251	35	2	39	2	39
BAL87002-PE-N706S502-1	R	contam	358	89858	251	251	251	251	251	34	2	39	2	39
BAL87002-PE-N706S502-1	R	dust	346	86846	251	251	251	251	251	34	2	39	2	39
BAL87002-PE-N706S502-1	R	qvtrim	339	62170	179	82	251	106	251	37	12	39	14	39
BAL87002-PE-N706S502-1	R	adapt	339	62086	179	82	251	106	250	37	12	39	14	39
BAL87002-PE-N706S502-1	R	ribo	141	23668	155	82	251	90	250	37	12	39	14	39
BAL87002-PE-N706S502-1	for_frag	merged	18	2989	170.5	61	251	NA	NA	37.5	16	39	NA	NA
BAL87002-PE-N706S502-1	rev_frag	merged	73	11060	142	82	251	88	238	37	12	39	14	39
BAL87002-PE-N706S502-1	paired	merged	136	24965	185.5	52	251	87	251	37	12	39	14	39
BAL277040-PE-N701S503-1	F	raw	699580	175594580	251	251	251	251	251	38	2	40	2	39
BAL277040-PE-N701S503-1	F	subsample	5000	1255000	251	251	251	251	251	38	2	40	2	39
BAL277040-PE-N701S503-1	F	contam	4604	1155604	251	251	251	251	251	38	2	40	2	39
BAL277040-PE-N701S503-1	F	dust	4421	1109671	251	251	251	251	251	38	2	40	2	39
BAL277040-PE-N701S503-1	F	qvtrim	4420	938023	223	81	251	128	251	38	12	40	15	39
BAL277040-PE-N701S503-1	F	adapt	4420	795926	179	2	251	81	251	38	12	40	18	39
BAL277040-PE-N701S503-1	F	ribo	1036	174594	163	2	251	72	251	38	12	40	16	39
BAL277040-PE-N701S503-1	R	raw	699580	175594580	251	251	251	251	251	37	2	40	2	39
BAL277040-PE-N701S503-1	R	subsample	5000	1255000	251	251	251	251	251	37	2	40	2	39
BAL277040-PE-N701S503-1	R	contam	4611	1157361	251	251	251	251	251	37	2	40	2	39
BAL277040-PE-N701S503-1	R	dust	4456	1118456	251	251	251	251	251	37	2	40	2	39
BAL277040-PE-N701S503-1	R	qvtrim	4440	895617	205	76	251	121	251	38	12	40	14	39
BAL277040-PE-N701S503-1	R	adapt	4440	889561	204	3	251	117	251	38	12	40	14	39
BAL277040-PE-N701S503-1	R	ribo	1494	269828	171	3	251	105	251	38	12	39	14	39
BAL277040-PE-N701S503-1	for_frag	merged	63	8828	147	2	251	4	251	38	15	39	17	39
BAL277040-PE-N701S503-1	rev_frag	merged	521	79180	148	4	251	87	242	38	12	39	14	39
BAL277040-PE-N701S503-1	paired	merged	1946	356414	184.5	3	251	81	251	38	12	40	15	39
