Id	Description	Flux	Compartment	Equation
ALATA_L	L-alanine transaminase	-8.34427	c	 akg[c] + ala-L[c] <--  glu-L[c] + pyr[c]
ASNS1	asparagine synthase (glutamine-hydrolysing)	3.384358	c	 h2o[c] + asp-L[c] + atp[c] + gln-L[c] -->  glu-L[c] + asn-L[c] + amp[c] + h[c] + ppi[c]
ASPTRS	Aspartyl-tRNA synthetase	3.384358	c	 asp-L[c] + atp[c] + trnaasp[c] -->  amp[c] + ppi[c] + asptrna[c]
ALARi	alanine racemase (irreversible)	0.7244752	c	 ala-L[c] -->  ala-D[c]
ALATRS	Alanyl-tRNA synthetase	7.262268	c	 ala-L[c] + atp[c] + trnaala[c] -->  amp[c] + ppi[c] + alatrna[c]
A5PISO	arabinose-5-phosphate isomerase	0.629135	c	 ru5p-D[c] -->  ara5p[c]
GALU	UTP-glucose-1-phosphate uridylyltransferase	0.2932268	c	 h[c] + g1p[c] + utp[c] -->  ppi[c] + udpg[c]
GLYCTO2	Glycolate oxidase	96.65373	c	 glyclt[c] + ubq8[c] -->  glx[c] + ubq8h2[c]
HPYRRx	hydroxypyruvate reductase	1000	c	 h[c] + nadh[c] + hpyr[c] -->  nad[c] + glyc-R[c]
PGMT	phosphoglucomutase	-2.507671	c	 g1p[c] <--  g6p[c]
ACGK	acetylglutamate kinase	4.648698	c	 atp[c] + acglu[c] -->  adp[c] + acg5p[c]
ACOTA	acetylornithine transaminase	-4.648698	c	 akg[c] + acorn[c] <--  glu-L[c] + acg5sa[c]
ADCL	4-aminobenzoate synthase	0.6928799	c	 4adcho[c] -->  pyr[c] + h[c] + 4abz[c]
ADCS	4-amino-4-deoxychorismate synthase	0.6928799	c	 gln-L[c] + chor[c] -->  glu-L[c] + 4adcho[c]
AGPR	N-acetyl-g-glutamyl-phosphate reductase	-4.648698	c	 pi[c] + nadp[c] + acg5sa[c] <--  h[c] + nadph[c] + acg5p[c]
ANPRT	anthranilate phosphoribosyltransferase	0.7755821	c	 anth[c] + prpp[c] -->  ppi[c] + pran[c]
ANS1	anthranilate synthase	0.7755821	c	 gln-L[c] + chor[c] -->  glu-L[c] + pyr[c] + h[c] + anth[c]
ARGTRS	Arginyl-tRNA synthetase	4.15994	c	 atp[c] + arg-L[c] + trnaarg[c] -->  amp[c] + ppi[c] + argtrna[c]
ASPK	aspartate kinase	15.0983	c	 asp-L[c] + atp[c] -->  adp[c] + 4pasp[c]
ASPTA1	aspartate transaminase	-42.06107	c	 akg[c] + asp-L[c] <--  glu-L[c] + oaa[c]
ATPPRT	ATP phosphoribosyltransferase	1.339642	c	 atp[c] + prpp[c] -->  ppi[c] + prbatp[c]
CHORM	chorismate mutase	4.587697	c	 chor[c] -->  pphn[c]
DHAD1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	12.34359	c	 23dhmb[c] -->  h2o[c] + 3mob[c]
DHAD2	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	4.089433	c	 23dhmp[c] -->  h2o[c] + 3mop[c]
G5SD	glutamate-5-semialdehyde dehydrogenase	3.102328	c	 h[c] + nadph[c] + glu5p[c] -->  pi[c] + nadp[c] + glu5sa[c]
GLNTRS	Glutaminyl-tRNA synthetase	3.736895	c	 atp[c] + gln-L[c] + trnagln[c] -->  amp[c] + ppi[c] + glntrna[c]
GLU5K	glutamate 5-kinase	3.102328	c	 glu-L[c] + atp[c] -->  adp[c] + glu5p[c]
GLUR	glutamate racemase	-0.3622376	c	 glu-D[c] <--  glu-L[c]
GLUTRR	glutamyl-tRNA reductase	0.003769267	c	 h[c] + nadph[c] + glutrna[c] -->  nadp[c] + glu1sa[c] + trnaglu[c]
HISTD	histidinol dehydrogenase	1.339642	c	 h2o[c] + (2) nad[c] + histd[c] --> (3) h[c] + (2) nadh[c] + his-L[c]
HISTP	histidinol-phosphatase	1.339642	c	 h2o[c] + hisp[c] -->  pi[c] + histd[c]
HSAT	Acetyl-CoA:L-homoserine O-acetyltransferase	2.185731	c	 accoa[c] + hom-L[c] -->  coa[c] + achms[c]
HSDy	homoserine dehydrogenase (NADPH)	-9.871045	c	 nadp[c] + hom-L[c] <--  h[c] + nadph[c] + aspsa[c]
HSTPT	histidinol-phosphate transaminase	1.339642	c	 glu-L[c] + imacp[c] -->  akg[c] + h[c] + hisp[c]
IG3PS	Imidazole-glycerol-3-phosphate synthase	1.339642	c	 gln-L[c] + prlp[c] -->  glu-L[c] + (2) h[c] + aicar[c] + eig3p[c]
IGPDH	imidazoleglycerol-phosphate dehydratase	1.339642	c	 h[c] + eig3p[c] -->  h2o[c] + imacp[c]
IGPS	indole-3-glycerol-phosphate synthase	0.7755821	c	 h[c] + 2cpr5p[c] -->  h2o[c] + 3ig3p[c] + co2[c]
IPMD	3-isopropylmalate dehydrogenase	6.345671	c	 nad[c] + 3c2hmp[c] -->  h[c] + nadh[c] + 3c4mop[c]
IPPS	2-isopropylmalate synthase	6.345671	c	 h2o[c] + accoa[c] + 3mob[c] -->  h[c] + coa[c] + 3c3hmp[c]
KARA1	ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)	-12.34359	c	 nadp[c] + 23dhmb[c] <--  h[c] + nadph[c] + alac-S[c]
KARA2	ketol-acid reductoisomerase (2-Acetolactate)	4.089433	c	 h[c] + nadph[c] + 2ahbut[c] -->  nadp[c] + 23dhmp[c]
METACH	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	2.185731	c	 achms[c] + h2s[c] -->  hcys-L[c] + ac[c]
OCBT	ornithine carbamoyltransferase	4.648698	c	 cbp[c] + orn-L[c] -->  h[c] + pi[c] + citr-L[c]
OMCDC	2-Oxo-4-methyl-3-carboxypentanoate decarboxylation	6.345671	c	 h[c] + 3c4mop[c] -->  co2[c] + 4mop[c]
ORNTAC	ornithine transacetylase	4.648698	c	 glu-L[c] + acorn[c] -->  acglu[c] + orn-L[c]
P5CRy	pyrroline-5-carboxylate reductase	3.102328	c	(2) h[c] + nadph[c] + 1pyr5c[c] -->  nadp[c] + pro-L[c]
PPND	prephenate dehydrogenase	1.97892	c	 nad[c] + pphn[c] -->  nadh[c] + co2[c] + 34hpp[c]
PPNDH	prephenate dehydratase	2.608776	c	 h[c] + pphn[c] -->  h2o[c] + co2[c] + phpyr[c]
PRAI	phosphoribosylanthranilate isomerase	0.7755821	c	 pran[c] -->  2cpr5p[c]
PRAMPC	phosphoribosyl-AMP cyclohydrolase	1.339642	c	 h2o[c] + h[c] + prbamp[c] -->  prfp[c]
PRATPP	phosphoribosyl-ATP pyrophosphatase	1.339642	c	 h2o[c] + prbatp[c] -->  h[c] + ppi[c] + prbamp[c]
PRMICI	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	1.339642	c	 prfp[c] -->  prlp[c]
SDPTA	succinyldiaminopimelate transaminase	-5.227252	c	 akg[c] + sl26da[c] <--  glu-L[c] + sl2a6o[c]
SERAT	serine O-acetyltransferase	1.278627	c	 accoa[c] + ser-L[c] -->  coa[c] + acser[c]
THRS	threonine synthase	7.685313	c	 h2o[c] + phom[c] -->  pi[c] + thr-L[c]
TRPS1	tryptophan synthase (indoleglycerol phosphate)	0.7755821	c	 3ig3p[c] + ser-L[c] -->  h2o[c] + g3p[c] + trp-L[c]
TRPTRS	Tryptophanyl-tRNA synthetase	0.7755821	c	 atp[c] + trp-L[c] + trnatrp[c] -->  amp[c] + ppi[c] + trptrna[c]
TYRTRS	Tyrosyl-tRNA synthetase	1.974209	c	 atp[c] + trnatyr[c] + tyr-L[c] -->  amp[c] + ppi[c] + tyrtrna[c]
PGCDr	phosphoglycerate dehydrogenase	20.28115	c	 nad[c] + 3pg[c] -->  h[c] + nadh[c] + 3php[c]
UREA2	urease	0.4887575	c	 h2o[c] + (2) h[c] + urea[c] --> (2) nh4[c] + co2[c]
ICL	Isocitrate lyase	232.2469	c	 icit[c] -->  glx[c] + succ[c]
MALS	malate synthase	83.71249	c	 h2o[c] + accoa[c] + glx[c] -->  h[c] + coa[c] + mal-L[c]
ME2	malic enzyme (NADP)	40.91924	c	 nadp[c] + mal-L[c] -->  pyr[c] + nadph[c] + co2[c]
AGMT	agmatinase	0.4887575	c	 h2o[c] + agm[c] -->  urea[c] + ptrc[c]
ARGDC	arginine decarboxylase	0.4887575	c	 h[c] + arg-L[c] -->  co2[c] + agm[c]
ARGSL	argininosuccinate lyase	4.648698	c	 argsuc[c] -->  fum[c] + arg-L[c]
ARGSS	argininosuccinate synthase	4.648698	c	 asp-L[c] + atp[c] + citr-L[c] -->  amp[c] + h[c] + ppi[c] + argsuc[c]
CBPS	carbamoyl-phosphate synthase (glutamine-hydrolysing)	9.232403	c	 h2o[c] + (2) atp[c] + gln-L[c] + hco3[c] -->  glu-L[c] + (2) h[c] + (2) adp[c] + pi[c] + cbp[c]
G5SADs	L-glutamate 5-semialdehyde dehydratase (spontaneous)	3.102328	c	 glu5sa[c] -->  h2o[c] + h[c] + 1pyr5c[c]
ASNTRS	Asparaginyl-tRNA synthetase	3.384358	c	 asn-L[c] + atp[c] + trnaasn[c] -->  amp[c] + ppi[c] + asntrna[c]
GLXCBL	glyoxalate carboligase	74.61362	c	 h[c] + (2) glx[c] -->  2h3opp[c] + co2[c]
GLYCK	glycerate kinase	74.61362	c	 atp[c] + glyc-R[c] -->  h[c] + adp[c] + 3pg[c]
ACKr	acetate kinase	798.7404	c	 atp[c] + ac[c] -->  adp[c] + actp[c]
