Id	Description	Flux	Compartment	Equation
rxn08356_c0	Dimethyl sulfoxide reductase Demethylmenaquinol 8 c0	1000	c0	 cpd15353[c0] + cpd08021[c0] -->  cpd00001[c0] + cpd15352[c0] + cpd00450[c0]
rxn08354_c0	Dimethyl sulfoxide reductase Menaquinol 8 c0	-1000	c0	 cpd15499[c0] + cpd08021[c0] <--  cpd00001[c0] + cpd15500[c0] + cpd00450[c0]
rxn05560_c0	D-fructose transport via PEP Pyr PTS c0	-1000	c0/e0	 cpd00061[c0] + cpd00082[e0] <--  cpd00020[c0] + cpd00802[c0]
rxn10175_c0	Fructose transport via PEP Pyr PTS f6p generating c0	1000	c0/e0	 cpd00061[c0] + cpd00082[e0] -->  cpd00020[c0] + cpd00072[c0]
rxn09657_c0	Thiamine transport in via proton symport c0	0.003908795	c0/e0	 cpd00067[e0] + cpd00305[e0] -->  cpd00067[c0] + cpd00305[c0]
rxn05175_c0	Spermidine-ABC transport c0	0.08196973	c0/e0	 cpd00002[c0] + cpd00001[c0] + cpd00264[e0] -->  cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd00264[c0]
rxn05144_c0	rxn05144 c0	0.0003908795	c0	 cpd00171[c0] + cpd00102[c0] + cpd00053[c0] --> (3) cpd00001[c0] + (2) cpd00067[c0] + cpd00009[c0] + cpd00016[c0] + cpd00023[c0]
rxn05039_c0	pyrimidine phosphatase c0	0.007932555	c0	 cpd00001[c0] + cpd02720[c0] -->  cpd00067[c0] + cpd00009[c0] + cpd02882[c0]
rxn03437_c0	R-2 3-Dihydroxy-3-methylpentanoate hydro-lyase c0	3.39265	c0	 cpd02535[c0] -->  cpd00001[c0] + cpd00508[c0]
rxn03167_c0	2-Amino-4-hydroxy-6-erythro-1 2 3-trihydroxypropyl c0	0.5748228	c0	(3) cpd00001[c0] + cpd02978[c0] --> (3) cpd00067[c0] + (3) cpd00009[c0] + cpd02961[c0]
rxn02304_c0	Protoporphyrinogen-IX oxygen oxidoreductase c0	0.0001954398	c0	(3) cpd00007[c0] + (2) cpd00791[c0] --> (6) cpd00001[c0] + (2) cpd01476[c0]
rxn01286_c0	D-Glyceraldehyde NAD oxidoreductase c0	-999.9161	c0	 cpd00001[c0] + cpd00003[c0] + cpd00448[c0] <-- (2) cpd00067[c0] + cpd00004[c0] + cpd00223[c0]
rxn00979_c0_GCALDD	glycolaldehyde NAD oxidoreductase c0	0.5748228	c0	 cpd00001[c0] + cpd00003[c0] + cpd00229[c0] --> (2) cpd00067[c0] + cpd00004[c0] + cpd00139[c0]
rxn00898_c0	2 3-Dihydroxy-3-methylbutanoate hydro-lyase c0	10.24041	c0	 cpd02498[c0] -->  cpd00001[c0] + cpd00123[c0]
rxn00704_c0	alpha-D-Glucose 1-phosphate 1 6-phosphomutase c0	-0.243265	c0	 cpd00089[c0] <--  cpd00079[c0]
rxn00440_c0	ATP thiamin pyrophosphotransferase c0	0.003908795	c0	 cpd00002[c0] + cpd00305[c0] -->  cpd00018[c0] + cpd00056[c0]
rxn06848_c0	Endotoxin Synthesis myristoyl transferase c0	0.1043878	c0	 cpd03736[c0] + cpd11466[c0] -->  cpd11493[c0] + cpd03587[c0]
rxn05555_c0	iron II transport via ABC system c0	0.0003908795	c0/e0	 cpd00002[c0] + cpd00001[c0] + cpd10515[e0] -->  cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd10515[c0]
rxn02374_c0_G5SADs	L-glutamate 5-semialdehyde dehydratase spontaneous c0	2.573735	c0	 cpd00858[c0] -->  cpd00001[c0] + cpd00067[c0] + cpd02431[c0]
rxn05467_c0	CO2 transport via diffusion c0	478.357	c0/e0	 cpd00011[e0] -->  cpd00011[c0]
rxn05319_c0_H2Ot5	H2Ot5 c0	-1000	c0/e0	 cpd00001[e0] <--  cpd00001[c0]
rxn01208_c0	2-Oxo-4-methyl-3-carboxypentanoate decarboxylation c0	5.264457	c0	 cpd00067[c0] + cpd02605[c0] -->  cpd00011[c0] + cpd00200[c0]
rxn01871_c0	acetyl-CoA enzyme N6-dihydrolipoyllysine S-acetyltransferase c0	13.63306	c0	 cpd00449[c0] + cpd00022[c0] -->  cpd00010[c0] + cpd00836[c0]
rxn09177_c0	phosphopantothenate-cysteine ligase c0	0.003966277	c0	 cpd00084[c0] + cpd02201[c0] + cpd00052[c0] -->  cpd00012[c0] + cpd00046[c0] + cpd02666[c0]
rxn08820_c0	Lysophospholipase L2 2-acylglycerophosphotidate n-C16 0 c0	1000	c0	 cpd00001[c0] + cpd15355[c0] -->  cpd00067[c0] + cpd00080[c0] + cpd00214[c0]
rxn05343_c0	Octanoyl-acyl-carrier protein malonyl-acyl-carrier-protein c0	0.9498552	c0	 cpd00067[c0] + cpd11492[c0] + cpd11470[c0] -->  cpd11493[c0] + cpd00011[c0] + cpd11487[c0]
rxn09144_c0	Phospholipase A2 phosphatidate n-C12 0 periplasm c0	1000	c0	 cpd00001[c0] + cpd15521[c0] -->  cpd00067[c0] + cpd15325[c0] + cpd01741[c0]
rxn09156_c0	Phospholipase A2 phosphatidylethanolamine n-C18 0 periplasm c0	1000	c0	 cpd00001[c0] + cpd15533[c0] --> (3) cpd00067[c0] + cpd01080[c0] + cpd12547[c0]
rxn05957_c0	O-Succinyl-L-homoserine succinate-lyase adding cysteine c0	1.813313	c0	 cpd00239[c0] + cpd00822[c0] -->  cpd00067[c0] + cpd00036[c0] + cpd00135[c0]
rxn08812_c0	Lysophospholipase L1 2-acylglycerophosphoglycerol n-C14 1 periplasm c0	1000	c0	 cpd00001[c0] + cpd15320[c0] -->  cpd00067[c0] + cpd15298[c0] + cpd02090[c0]
rxn05625_c0	nitrite transport in via proton symport c0	82.91018	c0/e0	 cpd00067[e0] + cpd00075[e0] -->  cpd00067[c0] + cpd00075[c0]
rxn08822_c0	Lysophospholipase L2 2-acylglycerophosphotidate n-C18 0 c0	1000	c0	 cpd00001[c0] + cpd15358[c0] -->  cpd00067[c0] + cpd00080[c0] + cpd01080[c0]
rxn09154_c0	Phospholipase A2 phosphatidylethanolamine n-C16 0 periplasm c0	1000	c0	 cpd00001[c0] + cpd15531[c0] -->  cpd00067[c0] + cpd00214[c0] + cpd15316[c0]
rxn00346_c0	L-Aspartate 1-carboxy-lyase c0	0.003966277	c0	 cpd00067[c0] + cpd00041[c0] -->  cpd00011[c0] + cpd00085[c0]
rxn08335_c0	dihydoorotic acid dehydrogenase quinone8 c0	3.802706	c0	 cpd15560[c0] + cpd00282[c0] -->  cpd15561[c0] + cpd00247[c0]
rxn01629_c0_G1SATi	S-4-Amino-5-oxopentanoate 4 5-aminomutase c0	0.003127036	c0	 cpd02345[c0] -->  cpd00338[c0]
