AACPS3	1.84113	ACP[c]+atp[c]+hdca[c]-->amp[c]+palmACP[c]+ppi[c]
ACACT1r	1.84113	(2)accoa[c]-->aacoa[c]+coa[c]
ACACT2r	1.84113	accoa[c]+btcoa[c]-->3ohcoa[c]+coa[c]
ACACT3r	1.84113	accoa[c]+hxcoa[c]-->3oocoa[c]+coa[c]
ACACT4r	1.84113	accoa[c]+occoa[c]-->3odcoa[c]+coa[c]
ACACT5r	1.84113	accoa[c]+dccoa[c]-->3oddcoa[c]+coa[c]
ACACT6r	1.84113	accoa[c]+ddcoa[c]-->3otdcoa[c]+coa[c]
ACACT7r	1.84113	accoa[c]+tdcoa[c]-->3ohdcoa[c]+coa[c]
ACCOAC	17.85807	accoa[c]+atp[c]+hco3[c]-->adp[c]+h[c]+malcoa[c]+pi[c]
ACGK	4.648698	acglu[c]+atp[c]-->acg5p[c]+adp[c]
ACHBS	4.089433	2obut[c]+h[c]+pyr[c]-->2ahbut[c]+co2[c]
ACKr	798.7404	ac[c]+atp[c]-->actp[c]+adp[c]
ACLS	12.34359	(2)pyr[c]+h[c]-->alac-S[c]+co2[c]
ACOAD1	1.84113	b2coa[c]+h[c]+nadh[c]-->btcoa[c]+nad[c]
ACOAD2	1.84113	h[c]+hx2coa[c]+nadh[c]-->hxcoa[c]+nad[c]
ACOAD3	1.84113	h[c]+nadh[c]+oc2coa[c]-->nad[c]+occoa[c]
ACOAD4	1.84113	dc2coa[c]+h[c]+nadh[c]-->dccoa[c]+nad[c]
ACOAD5	1.84113	h[c]+nadh[c]+trans-dd2coa[c]-->ddcoa[c]+nad[c]
ACOAD6	1.84113	h[c]+nadh[c]+td2coa[c]-->nad[c]+tdcoa[c]
ACOAD7	1.84113	h[c]+hdd2coa[c]+nadh[c]-->nad[c]+pmtcoa[c]
ACt6	795.0244	ac[e]+h[e]-->ac[c]+h[c]
ADK3	895.5013	adp[c]+gdp[c]-->amp[c]+gtp[c]
ADPT	0.01413475	ade[c]+prpp[c]-->amp[c]+ppi[c]
AGMHE	0.377481	adphep-D,D[c]-->adphep-L,D[c]
AGMT	0.4887575	agm[c]+h2o[c]-->ptrc[c]+urea[c]
AGPR	4.648698	acg5p[c]+h[c]+nadph[c]-->acg5sa[c]+nadp[c]+pi[c]
AHCYSNS	0.01413475	ahcys[c]+h2o[c]-->ade[c]+rhcys[c]
AIRC1	6.768786	air[c]+atp[c]+co2[c]+h2o[c]-->(2)h[c]+5aizc[c]+adp[c]+pi[c]
AKGD	420.4605	akg[c]+coa[c]+nad[c]-->co2[c]+nadh[c]+succoa[c]
ALATA_L	8.34427	glu-L[c]+pyr[c]-->akg[c]+ala-L[c]
ALATRS	7.262268	ala-L[c]+atp[c]+trnaala[c]-->alatrna[c]+amp[c]+ppi[c]
AMPMS	0.004711583	air[c]+h2o[c]-->(2)for[c]+(4)h[c]+4ampm[c]
ANS1	0.7755821	chor[c]+gln-L[c]-->anth[c]+glu-L[c]+h[c]+pyr[c]
APSPT	3.464358	aps[c]+trdrd[c]-->(2)h[c]+amp[c]+so3[c]+trdox[c]
ARGDC	0.4887575	arg-L[c]+h[c]-->agm[c]+co2[c]
ARGSS	4.648698	asp-L[c]+atp[c]+citr-L[c]-->amp[c]+argsuc[c]+h[c]+ppi[c]
ARGTRS	4.15994	arg-L[c]+atp[c]+trnaarg[c]-->amp[c]+argtrna[c]+ppi[c]
ASAD	15.0983	4pasp[c]+h[c]+nadph[c]-->aspsa[c]+nadp[c]+pi[c]
ASNS1	3.384358	asp-L[c]+atp[c]+gln-L[c]+h2o[c]-->amp[c]+asn-L[c]+glu-L[c]+h[c]+ppi[c]
ASNTRS	3.384358	asn-L[c]+atp[c]+trnaasn[c]-->amp[c]+asntrna[c]+ppi[c]
ASPCT	4.583706	asp-L[c]+cbp[c]-->cbasp[c]+h[c]+pi[c]
ASPK	15.0983	asp-L[c]+atp[c]-->4pasp[c]+adp[c]
ASPO5	0.05404463	asp-L[c]+fum[c]-->h[c]+iasp[c]+succ[c]
ASPTRS	3.384358	asp-L[c]+atp[c]+trnaasp[c]-->amp[c]+asptrna[c]+ppi[c]
BIO_Rfer3	13.8576	(0.00034)4hba[c]+(0.00034)thmpp[c]+(0.00034)ubq8h2[c]+(0.000345)coa[c]+(0.00069)fad[c]+(0.00102)hmfurn[c]+(0.00104)dna_Eco[c]+(0.0017)nadph[c]+(0.0022)nadh[c]+(0.00256)plipid_Eco[c]+(0.003)udpg[c]+(0.005088)protein_Eco[c]+(0.006566)rna_Eco[c]+(0.00713)spmd[c]+(0.00908)lps_EC[c]+(0.02614)peptido_EC[c]+(0.03527)ptrc[c]+(0.05)thf[c]+(0.1598)glycogen[c]+(3.4e-05)hemeO[c]+(3.4e-05)pydx5p[c]+(59.81)atp[c]+(59.81)h2o[c]-->(59.81)adp[c]+(59.81)h[c]+(59.81)pi[c]
C120SN	0.629135	(10)nadph[c]+(14)h[c]+(4)malACP[c]+actACP[c]-->(10)nadp[c]+(4)ACP[c]+(4)co2[c]+(5)h2o[c]+ddcaACP[c]
C140SN	0.5158015	(12)nadph[c]+(17)h[c]+(5)malACP[c]+actACP[c]-->(12)nadp[c]+(5)ACP[c]+(5)co2[c]+(6)h2o[c]+myrsACP[c]
CBPS	9.232403	(2)atp[c]+gln-L[c]+h2o[c]+hco3[c]-->(2)adp[c]+(2)h[c]+cbp[c]+glu-L[c]+pi[c]
CDPMEK	0.03910614	4c2me[c]+atp[c]-->2p4c2me[c]+adp[c]+h[c]
CHORS	6.06087	3psme[c]-->chor[c]+pi[c]
COBALTt4	1000	cobalt2[c]+h[e]+k[e]-->cobalt2[e]+h[c]+k[c]
COBALTt5	1000	cobalt2[e]-->cobalt2[c]
