A5PISO	0.629135	rxn01117_c0	0.5219391	ru5p-D[c]-->ara5p[c]
ACONT	668.9911	rxn00973_c0	-986.4908	cit[c]-->icit[c]
ACOTA	4.648698	rxn01637_c0	3.856624	acg5sa[c]+glu-L[c]-->acorn[c]+akg[c]
ADCL	0.6928799	rxn03841_c0	0.5748228	4adcho[c]-->4abz[c]+h[c]+pyr[c]
ADCS	0.6928799	rxn01257_c0_ADCS	0.5748228	chor[c]+gln-L[c]-->4adcho[c]+glu-L[c]
ADK1	1000	rxn00097_c0	1000	amp[c]+atp[c]-->(2)adp[c]
ADSL1r	4.13404	rxn00800_c0	3.429657	dcamp[c]-->amp[c]+fum[c]
ADSL2r	6.768786	rxn03136_c0	5.615478	25aics[c]-->aicar[c]+fum[c]
ADSS	4.13404	rxn00838_c0	3.429657	asp-L[c]+gtp[c]+imp[c]-->(2)h[c]+dcamp[c]+gdp[c]+pi[c]
AICART	8.108427	rxn03137_c0	6.726864	10fthf[c]+aicar[c]-->fprica[c]+thf[c]
ALAALA	0.3622376	rxn00851_c0_ALAALA	0.3005174	(2)ala-D[c]+atp[c]-->adp[c]+alaala[c]+h[c]+pi[c]
ALARi	0.7244752	rxn00283_c0	-6.900219	ala-L[c]-->ala-D[c]
ANPRT	0.7755821	rxn00791_c0	0.6434337	anth[c]+prpp[c]-->ppi[c]+pran[c]
APRAUR	0.009561743	rxn02474_c0_APRAUR	0.007932555	5apru[c]+h[c]+nadph[c]-->5aprbu[c]+nadp[c]
ARGSL	4.648698	rxn00802_c0	3.451144	argsuc[c]-->arg-L[c]+fum[c]
ASP1DC	0.004780871	rxn00346_c0	0.003966277	asp-L[c]+h[c]-->ala-B[c]+co2[c]
ASPTA1	42.06107	rxn00260_c0	34.48897	glu-L[c]+oaa[c]-->akg[c]+asp-L[c]
ATPM	0.45	ATPM	0.45	atp[c]+h2o[c]-->adp[c]+h[c]+pi[c]
ATPPRT	1.339642	rxn00789_c0	1.111385	atp[c]+prpp[c]-->ppi[c]+prbatp[c]
ATPS4	1000	rxn10042_c0_ATPS4	1000	(4)h[e]+adp[c]+pi[c]-->(3)h[c]+atp[c]+h2o[c]
ATPS4r	1000	rxn10042_c0_ATPS4	1000	(4)h[e]+adp[c]+pi[c]-->(3)h[c]+atp[c]+h2o[c]
C141SN	0.2156109	C141SN	0.1788738	(11)nadph[c]+(16)h[c]+(5)malACP[c]+actACP[c]-->(11)nadp[c]+(5)ACP[c]+(5)co2[c]+(6)h2o[c]+tdeACP[c]
C161SN	0.6037106	C161SN	0.5008467	(13)nadph[c]+(19)h[c]+(6)malACP[c]+actACP[c]-->(13)nadp[c]+(6)ACP[c]+(6)co2[c]+(7)h2o[c]+hdeACP[c]
C181SN	0.6993294	C181SN	0.5801733	(15)nadph[c]+(22)h[c]+(7)malACP[c]+actACP[c]-->(15)nadp[c]+(7)ACP[c]+(7)co2[c]+(8)h2o[c]+octeACP[c]
CHORM	4.587697	rxn01256_c0	3.802108	chor[c]-->pphn[c]
CHRPL	0.004711583	rxn00966_c0	0.003908795	chor[c]-->4hbz[c]+pyr[c]
CLPNS_EC	0.101105	CLPNS_EC	0.08387814	(0.04)pg_EC[c]-->(0.02)clpn_EC[c]+glyc[c]
CO2t	1000	rxn05467_c0	-478.357	co2[c]-->co2[e]
CPPPGO	0.0004711583	rxn02303_c0_CPPPGO	0.0003908795	(2)h[c]+cpppg3[c]+o2[c]-->(2)co2[c]+(2)h2o[c]+pppg9[c]
CS	668.9911	rxn00256_c0	13.50919	accoa[c]+h2o[c]+oaa[c]-->cit[c]+coa[c]+h[c]
CYTK1	2.5479	rxn00364_c0	2.113773	atp[c]+cmp[c]-->adp[c]+cdp[c]
DAGK_EC	0.251654	DAGK_EC	0.2087756	(0.02)12dgr_EC[c]+atp[c]-->(0.02)pa_EC[c]+adp[c]+h[c]
DAPDC	4.865015	rxn00313_c0	4.036084	26dap-M[c]+h[c]-->co2[c]+lys-L[c]
DAPE	5.227252	rxn01974_c0	4.336601	26dap-LL[c]-->26dap-M[c]
DASYN_EC	2.126532	DASYN_EC	1.7642	(0.02)pa_EC[c]+ctp[c]+h[c]-->(0.02)cdpdag_EC[c]+ppi[c]
DB4PS	0.01912349	rxn05040_c0	0.01586511	ru5p-D[c]-->db4p[c]+for[c]+h[c]
DHAD1	12.34359	rxn00898_c0	10.24041	23dhmb[c]-->3mob[c]+h2o[c]
DHAD2	4.089433	rxn03437_c0	3.39265	23dhmp[c]-->3mop[c]+h2o[c]
DHDPRy	5.227252	rxn02929_c0_DHDPRy	4.336601	23dhdp[c]+h[c]+nadph[c]-->nadp[c]+thdp[c]
DHDPS	5.227252	rxn01644_c0	4.336601	aspsa[c]+pyr[c]-->(2)h2o[c]+23dhdp[c]+h[c]
DHFR	1000	rxn00686_c0	0.8737307	dhf[c]+h[c]+nadph[c]-->nadp[c]+thf[c]
DHFS	0.6928799	rxn01603_c0	0.5748228	atp[c]+dhpt[c]+glu-L[c]-->adp[c]+dhf[c]+h[c]+pi[c]
DHORTS	4.583706	rxn01465_c0	3.802706	cbasp[c]+h[c]-->dhor-S[c]+h2o[c]
DHQD1	6.06087	rxn02213_c0_DHQD1	5.024273	3dhq[c]-->3dhsk[c]+h2o[c]
DMATT	0.005182742	rxn01213_c0	0.004299675	dmpp[c]+ipdp[c]-->grdp[c]+ppi[c]
DMOCT	0.629135	rxn02405_c0	0.5219391	ctp[c]+kdo[c]-->ckdo[c]+ppi[c]
DMPPS	0.005182742	rxn08352_c0	0.004299675	h2mb4p[c]+h[c]+nadh[c]-->dmpp[c]+h2o[c]+nad[c]
DPR	0.004780871	rxn01790_c0_DPR	0.003966277	2dhp[c]+h[c]+nadph[c]-->nadp[c]+pant-R[c]
DTMPK	0.3602976	rxn01513_c0	0.2989079	atp[c]+dtmp[c]-->adp[c]+dtdp[c]
DXPRI	0.03910614	rxn03958_c0	0.032443	dxyl5p[c]+h[c]+nadph[c]-->2me4p[c]+nadp[c]
DXPS	0.04428888	rxn03909_c0	0.032443	g3p[c]+h[c]+pyr[c]-->co2[c]+dxyl5p[c]
EDTXS1	0.125827	rxn06865_c0	0.1043878	ddcaACP[c]+kdo2lipid4[c]-->ACP[c]+kdo2lipid4L[c]
EDTXS2	0.125827	rxn06848_c0	0.1043878	kdo2lipid4L[c]+myrsACP[c]-->ACP[c]+lipa[c]
ENO	13.11311	rxn00459_c0	-239.9328	2pg[c]-->h2o[c]+pep[c]
EX_ac(e)	795.0244	EX_cpd00029_e0	5.730799	-->ac[e]
EX_co2(e)	1000	EX_cpd00011_e0	-478.357	co2[e]-->
EX_fe2(e)	744.4121	EX_cpd10515_e0	1000	fe2[e]-->
EX_fe3(e)	744.4125	EX_cpd10516_e0	800.0157	-->fe3[e]
EX_h2o(e)	1000	EX_cpd00001_e0	-538.9735	h2o[e]-->
EX_nh4(e)	150.9144	EX_cpd00013_e0	130.9159	-->nh4[e]
EX_no2(e)	814.7452	EX_cpd00075_e0	-82.91018	no2[e]-->
EX_pi(e)	12.90704	EX_cpd00009_e0	10.70786	-->pi[e]
EX_so4(e)	3.464358	EX_cpd00048_e0	-892.1375	-->so4[e]
EX_spmd(e)	0.09880468	EX_cpd00264_e0	0.08196973	-->spmd[e]
FBA	15.4668	rxn00786_c0	-1000	dhap[c]+g3p[c]-->fdp[c]
FE2abc	0.0004711583	rxn05555_c0	0.0003908795	atp[c]+fe2[e]+h2o[c]-->adp[c]+fe2[c]+h[c]+pi[c]
FUM	668.2589	rxn00799_c0	12.49628	fum[c]+h2o[c]-->mal-L[c]
G1PACT	0.9761292	rxn03638_c0	0.8098104	accoa[c]+gam1p[c]-->acgam1p[c]+coa[c]+h[c]
G1SATi	0.003769267	rxn01629_c0_G1SATi	0.003127036	glu1sa[c]-->5aop[c]
G3PD1	884.0543	rxn00611_c0	-1000	glyc3p[c]+nad[c]-->dhap[c]+h[c]+nadh[c]
G3PD2	886.3727	rxn00612_c0	-997.9928	dhap[c]+h[c]+nadph[c]-->glyc3p[c]+nadp[c]
G5SADs	3.102328	rxn02374_c0_G5SADs	2.573735	glu5sa[c]-->1pyr5c[c]+h2o[c]+h[c]
G6PDH	1000	rxn00604_c0_G6PDH	1000	g6p[c]+nadp[c]-->6pgl[c]+h[c]+nadph[c]
G6PDHy	1000	rxn00604_c0_G6PDH	-1000	6pgl[c]+h[c]+nadph[c]-->g6p[c]+nadp[c]
GARFT	6.042509	rxn03004_c0	5.016858	10fthf[c]+gar[c]-->fgam[c]+h[c]+thf[c]
GART	0.7309883	rxn04783_c0	0.5986205	atp[c]+for[c]+gar[c]-->adp[c]+fgam[c]+h[c]+pi[c]
GCALDD	0.6928799	rxn00979_c0_GCALDD	0.5748228	gcald[c]+h2o[c]+nad[c]-->(2)h[c]+glyclt[c]+nadh[c]
GF6PTA	0.9761292	rxn00555_c0_GF6PTA	0.8098104	f6p[c]+gln-L[c]-->gam6p[c]+glu-L[c]
GHMT2	13.61314	rxn00692_c0_GHMT2	13.87164	ser-L[c]+thf[c]-->gly[c]+h2o[c]+mlthf[c]
GK1	3.974387	rxn00239_c0	1000	atp[c]+gmp[c]-->adp[c]+gdp[c]
GLNS	159.0415	rxn00187_c0	131.8211	atp[c]+glu-L[c]+nh4[c]-->adp[c]+gln-L[c]+h[c]+pi[c]
GLUPRT	6.773497	rxn00790_c0	5.615478	gln-L[c]+h2o[c]+prpp[c]-->glu-L[c]+ppi[c]+pram[c]
GLUR	0.3622376	rxn00193_c0	7.801771	glu-L[c]-->glu-D[c]
GLUSy	119.2022	rxn00085_c0_GLUSy	101.6348	akg[c]+gln-L[c]+h[c]+nadph[c]-->(2)glu-L[c]+nadp[c]
GLUTRR	0.003769267	rxn06591_c0_GLUTRR	0.003127036	glutrna[c]+h[c]+nadph[c]-->glu1sa[c]+nadp[c]+trnaglu[c]
GRTT	0.005182742	rxn01466_c0	0.004299675	grdp[c]+ipdp[c]-->frdp[c]+ppi[c]
GTHP	627.7933	rxn00205	1000	(2)h2o[c]+gthox[c]-->(2)gthrd[c]+h2o2[c]
GTHRD	627.7933	rxn00086	1000	(2)gthrd[c]+nadp[c]-->gthox[c]+h[c]+nadph[c]
GTPCI	0.6928799	rxn00299_c0	0.5748228	gtp[c]+h2o[c]-->ahdt[c]+for[c]+h[c]
H2Ot5	1000	rxn05319_c0_H2Ot5	1000	h2o[c]-->h2o[e]
HBZOPT	0.004711583	rxn03893_c0	0.003908795	4hbz[c]+octdp[c]-->3ophb[c]+ppi[c]
HCO3E	27.09047	rxn00102_c0	1000	co2[c]+h2o[c]-->h[c]+hco3[c]
HMBS	0.0004711583	rxn00060_c0	0.0003908795	(4)ppbng[c]+h2o[c]-->(4)nh4[c]+hmbil[c]
HOXPRx	74.61362	rxn01280_c0	-1000	2h3opp[c]+h[c]+nadh[c]-->glyc-R[c]+nad[c]
HSDy	9.871045	rxn01302_c0	1000	aspsa[c]+h[c]+nadph[c]-->hom-L[c]+nadp[c]
IGPS	0.7755821	rxn02507_c0	0.6434337	2cpr5p[c]+h[c]-->3ig3p[c]+co2[c]+h2o[c]
ILETA	4.089433	rxn01575_c0	3.39265	3mop[c]+glu-L[c]-->akg[c]+ile-L[c]
IMPC	8.108427	rxn00832_c0	6.726864	fprica[c]-->h2o[c]+imp[c]
IMPD	3.974387	rxn00834_c0_IMPD	3.297207	h2o[c]+imp[c]+nad[c]-->h[c]+nadh[c]+xmp[c]
IPMD	6.345671	rxn03062_c0_IPMD	5.264457	3c2hmp[c]+nad[c]-->3c4mop[c]+h[c]+nadh[c]
IPPMIa	6.345671	rxn02811_c0	5.264457	2ippm[c]+h2o[c]-->3c2hmp[c]
IPPMIb	6.345671	rxn02789_c0	5.264457	3c3hmp[c]-->2ippm[c]+h2o[c]
IPPS	6.345671	rxn00902_c0	5.264457	3mob[c]+accoa[c]+h2o[c]-->3c3hmp[c]+coa[c]+h[c]
KARA1	12.34359	rxn02186_c0	-989.7596	alac-S[c]+h[c]+nadph[c]-->23dhmb[c]+nadp[c]
KAS15	2.663587	KAS15	3.737176	accoa[c]+h[c]+malACP[c]-->actACP[c]+co2[c]+coa[c]
LEUTAi	6.345671	rxn00806_c0_LEUTAi	5.264457	4mop[c]+glu-L[c]-->akg[c]+leu-L[c]
MCOATA	17.85807	rxn05465_c0	25.50729	ACP[c]+malcoa[c]-->coa[c]+malACP[c]
ME2	40.91924	rxn00161_c0	12.49628	mal-L[c]+nadp[c]-->co2[c]+nadph[c]+pyr[c]
