cpd00001	h2o
cpd00002	atp
cpd00003	nad
cpd00004	nadh
cpd00005	nadph
cpd00006	nadp
cpd00007	o2
cpd00008	adp
cpd00009	pi
cpd00010	coa
cpd00011	co2
cpd00012	ppi
cpd00013	nh4
cpd00014	udp
cpd00015	fad
cpd00016	pydx5p
cpd00017	amet
cpd00018	amp
cpd00019	ahcys
cpd00020	pyr
cpd00021	fe2
cpd00022	accoa
cpd00023	glu-L
cpd00024	akg
cpd00025	h2o2
cpd00026	udpg
cpd00027	glc-D
cpd00028	pheme
cpd00029	ac
cpd00030	mn2
cpd00031	gdp
cpd00032	oaa
cpd00033	gly
cpd00034	zn2
cpd00035	ala-L
cpd00036	succ
cpd00037	uacgam
cpd00038	gtp
cpd00039	lys-L
cpd00040	glx
cpd00041	asp-L
cpd00042	gthrd
cpd00043	udpgal
cpd00044	paps
cpd00045	pap
cpd00046	cmp
cpd00047	for
cpd00048	so4
cpd00049	cbs_168
cpd00050	fmn
cpd00051	arg-L
cpd00052	ctp
cpd00053	gln-L
cpd00054	ser-L
cpd00055	fald
cpd00056	thmpp
cpd00057	Alcohol
cpd00058	cu2
cpd00059	ascb
cpd00060	met-L
cpd00061	pep
cpd00062	utp
cpd00063	ca2
cpd00064	orn
cpd00065	trp-L
cpd00066	phe-L
cpd00067	h
cpd00068	itp
cpd00069	tyr-L
cpd00070	malcoa
cpd00071	acald
cpd00072	f6p
cpd00073	urea
cpd00074	s
cpd00075	no2
cpd00076	sucr
cpd00077	catechol
cpd00078	succoa
cpd00079	g6p
cpd00080	glyc3p
cpd00081	so3
cpd00082	fru
cpd00083	gdpmann
cpd00084	cys-L
cpd00085	ala-B
cpd00086	ppcoa
cpd00087	thf
cpd00088	DCIP
cpd00089	g1p
cpd00090	idp
cpd00091	ump
cpd00092	ura
cpd00093	anth
cpd00094	2obut
cpd00095	dhap
cpd00096	cdp
cpd00097	pqq
cpd00098	chol
cpd00099	cl
cpd00100	glyc
cpd00101	r5p
cpd00102	g3p
cpd00103	prpp
cpd00104	btn
cpd00105	rib-D
cpd00106	fum
cpd00107	leu-L
cpd00108	gal
cpd00109	ficytc
cpd00110	focytc
cpd00111	gthox
cpd00112	CMP-N-acetylneuraminate
cpd00113	ipdp
cpd00114	imp
cpd00115	datp
cpd00116	meoh
cpd00117	ala-D
cpd00118	ptrc
cpd00119	his-L
cpd00120	btcoa
cpd00121	inost
cpd00122	acgam
cpd00123	3mob
cpd00124	3-Phosphomononucleotide
cpd00125	mlthf
cpd00126	gmp
cpd00127	PHENOL
cpd00128	ade
cpd00129	pro-L
cpd00130	mal-L
cpd00131	Molybdenum
cpd00132	asn-L
cpd00133	ncam
cpd00134	pmtcoa
cpd00136	4hbz
cpd00137	cit
cpd00138	man
cpd00139	glyclt
cpd00141	ppa
cpd00142	acac
cpd00143	phpyr
cpd00144	udpglcur
cpd00145	hpyr
cpd00146	cbp
cpd00147	5mta
