abbreviation	name	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
ALATA_L	L-alanine transaminase	[c] : akg + ala-L <==> glu-L + pyr	Reversible	c	-1000	1000	0		Alanine and Aspartate Metabolism
ASNN	L-asparaginase	[c] : asn-L + h2o --> asp-L + nh4	Irreversible	c	0	1000	0		Alanine and Aspartate Metabolism
ASNS1	asparagine synthase (glutamine-hydrolysing)	[c] : asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi	Irreversible	c	0	1000	0		Alanine and Aspartate Metabolism
ASPT	L-aspartase	[c] : asp-L --> fum + nh4	Irreversible	c	0	1000	0		Alanine and Aspartate Metabolism
ASPTRS	Aspartyl-tRNA synthetase	[c] : asp-L + atp + trnaasp --> amp + asptrna + ppi	Irreversible	c	0	1000	0		Alanine and Aspartate Metabolism
DAAD	D-Amino acid dehydrogenase	[c] : ala-D + fad + h2o --> fadh2 + nh4 + pyr	Irreversible	c	0	1000	0		Alanine and Aspartate Metabolism
ALARi	alanine racemase (irreversible)	[c] : ala-L --> ala-D	Irreversible	c	0	1000	0		Alanine Metabolism
ALATRS	Alanyl-tRNA synthetase	[c] : ala-L + atp + trnaala --> alatrna + amp + ppi	Irreversible	c	0	1000	0		Alanine Metabolism
A5PISO	arabinose-5-phosphate isomerase	[c] : ru5p-D <==> ara5p	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
AB6PGH	Arbutin 6-phosphate glucohydrolase	[c] : arbt6p + h2o --> g6p + hqn	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
ACALDi	acetaldehyde dehydrogenase (acetylating)	[c] : acald + coa + nad --> accoa + h + nadh	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
ACCOAL	acetate-CoA ligase (ADP-forming)	[c] : atp + coa + ppa --> adp + pi + ppcoa	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
ALCD19	alcohol dehydrogenase (glycerol)	[c] : glyald + h + nadh <==> glyc + nad	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
ALCD2x	alcohol dehydrogenase (ethanol: NAD)	[c] : etoh + nad <==> acald + h + nadh	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
AMALT1	Amylomaltase (maltotriose)	[c] : malt + malttr --> glc-D + maltttr	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
AMALT2	Amylomaltase (maltotetraose)	[c] : malt + maltttr --> glc-D + maltpt	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
AMALT3	Amylomaltase (maltopentaose)	[c] : malt + maltpt --> glc-D + malthx	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
AMALT4	Amylomaltase (maltohexaose)	[c] : malt + malthx --> glc-D + malthp	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
DD6PGA	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	[c] : 2dh3dgal6p --> g3p + pyr	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
FCLPA	L-fuculose 1-phosphate aldolase	[c] : fc1p <==> dhap + lald-L	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
GALCTND	galactonate dehydratase	[c] : galctn-D --> 2dh3dgal + h2o	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
GALU	UTP-glucose-1-phosphate uridylyltransferase	[c] : g1p + h + utp <==> ppi + udpg	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
GLCRAL	5-dehydro-4-deoxyglucarate aldolase	[c] : 5d4dglcr --> 2h3opp + pyr	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
GLYCTO2	Glycolate oxidase	[c] : glyclt + ubq8 --> glx + ubq8h2	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
GLYCTO3	Glycolate oxidase	[c] : glyclt + mqn8 --> glx + mql8	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
GLYCTO4	Glycolate oxidase	[c] : 2dmmq8 + glyclt --> 2dmmql8 + glx	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
GNK	gluconokinase	[c] : atp + glcn-D --> 6pgc + adp + h	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
HOXVA	4-hydroxy-2-oxovalerate aldolase	[c] : 4h2oxv --> acald + pyr	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
HPYRRx	hydroxypyruvate reductase	[c] : h + hpyr + nadh --> glyc-R + nad	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
HPYRRy	hydroxypyruvate reductase	[c] : h + hpyr + nadph --> glyc-R + nadp	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
HXAD	Hexosaminidase	[c] : chitob + h2o --> (2) acgam	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
LACZ	lactase	[c] : h2o + lcts --> gal + glc-D	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
LCAD	lactaldehyde dehydrogenase	[c] : h2o + lald-L + nad <==> (2) h + lac-L + nadh	Reversible	c	-1000	1000	0		Alternate Carbon Metabolism
MICITH	2-methylisocitrate hydratase	[c] : 2mcacn + h2o --> micit	Irreversible	c	0	1000	0		Alternate Carbon Metabolism
