"Additional file 1 - List of reactions, genes and metabolites included in the R. ferrireducens in silico model"						
						
List of intracellular reactions						
						
Abbreviation	Name	Equation	Confidence	Subsystem	Gene	Protein
ALATA_L	L-alanine transaminase	[c] : akg + ala-L <==> glu-L + pyr	2	Alanine and Aspartate Metabolism	Rfer_1911	Alt1
ASNN	L-asparaginase	[c] : asn-L + h2o --> asp-L + nh4	3	Alanine and Aspartate Metabolism	"Rfer_2993, Rfer_3101"	"YbiK, AnsB"
ASNS1	asparagine synthase (glutamine-hydrolysing)	[c] : asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi	3	Alanine and Aspartate Metabolism	"Rfer_0669, Rfer_3652, Rfer_0671"	"AsnB1, AsnB, Asn2"
ASPT	L-aspartase	[c] : asp-L --> fum + nh4	3	Alanine and Aspartate Metabolism	Rfer_3846	AspA
ASPTRS	Aspartyl-tRNA synthetase	[c] : asp-L + atp + trnaasp --> amp + asptrna + ppi	3	Alanine and Aspartate Metabolism	Rfer_1297	AspS
DAAD	D-Amino acid dehydrogenase	[c] : ala-D + fad + h2o --> fadh2 + nh4 + pyr	3	Alanine and Aspartate Metabolism	Rfer_1987	DadA
ALARi	alanine racemase (irreversible)	[c] : ala-L --> ala-D	3	Alanine Metabolism	Rfer_0488	DadX
ALATRS	Alanyl-tRNA synthetase	[c] : ala-L + atp + trnaala --> alatrna + amp + ppi	3	Alanine Metabolism	Rfer_0590	AlaS
A5PISO	arabinose-5-phosphate isomerase	[c] : ru5p-D <==> ara5p	3	Alternate Carbon Metabolism	Rfer_4237	ArpI
AB6PGH	Arbutin 6-phosphate glucohydrolase	[c] : arbt6p + h2o --> g6p + hqn	3	Alternate Carbon Metabolism	"Rfer_1111, Rfer_1102"	"BglA1, BglA"
ACALDi	acetaldehyde dehydrogenase (acetylating)	[c] : acald + coa + nad --> accoa + h + nadh	3	Alternate Carbon Metabolism	Rfer_0455	MhpF
ACCOAL	acetate-CoA ligase (ADP-forming)	[c] : atp + coa + ppa --> adp + pi + ppcoa	3	Alternate Carbon Metabolism	Rfer_2322	PrpE
ALCD19	alcohol dehydrogenase (glycerol)	[c] : glyald + h + nadh <==> glyc + nad	3	Alternate Carbon Metabolism	Rfer_0121	AdhC
ALCD2x	alcohol dehydrogenase (ethanol: NAD)	[c] : etoh + nad <==> acald + h + nadh	3	Alternate Carbon Metabolism	Rfer_2865	Adh4
AMALT1	Amylomaltase (maltotriose)	[c] : malt + malttr --> glc-D + maltttr	3	Alternate Carbon Metabolism	"Rfer_2156, Rfer_0514"	"MalQ1, MalQ"
AMALT2	Amylomaltase (maltotetraose)	[c] : malt + maltttr --> glc-D + maltpt	3	Alternate Carbon Metabolism	"Rfer_2156, Rfer_0514"	"MalQ1, MalQ"
AMALT3	Amylomaltase (maltopentaose)	[c] : malt + maltpt --> glc-D + malthx	3	Alternate Carbon Metabolism	"Rfer_2156, Rfer_0514"	"MalQ1, MalQ"
AMALT4	Amylomaltase (maltohexaose)	[c] : malt + malthx --> glc-D + malthp	3	Alternate Carbon Metabolism	"Rfer_2156, Rfer_0514"	"MalQ1, MalQ"
