abbreviation	name	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
Acetate_NAsymport	Acetate Sodium Symport	ac[e] + na1[e] <==> ac[c] + na1[c]	Reversible	e, c	-1000	1000	0		
AMP-3P_Hydrolysis	Hydrolysis of AMP-3P	3amp[c] + h2o[c] --> amp[c] + pi[c]	Irreversible	c	0	1000	0		
ATPM	ATP maintenance requirement	atp[c] + h2o[c] --> h[c] + pi[c] + adp[c]	Irreversible	c	0.45	0.45	0		
C120SN	Fatty acid biosynthesis (n-C12:0)	actACP[c] + (14) h[c] + (4) malACP[c] + (10) nadph[c] --> (4) ACP[c] + (4) co2[c] + ddcaACP[c] + (5) h2o[c] + (10) nadp[c]	Irreversible	c	0	1000	0		
C140SN	Fatty acid biosynthesis (n-C14:0)	actACP[c] + (17) h[c] + (5) malACP[c] + (12) nadph[c] --> (5) ACP[c] + (5) co2[c] + (6) h2o[c] + myrsACP[c] + (12) nadp[c]	Irreversible	c	0	1000	0		
C141SN	Fatty acid biosynthesis (n-C14:1)	actACP[c] + (16) h[c] + (5) malACP[c] + (11) nadph[c] --> (5) ACP[c] + (5) co2[c] + (6) h2o[c] + (11) nadp[c] + tdeACP[c]	Irreversible	c	0	1000	0		
C160SN	Fatty acid biosynthesis (n-C16:0)	actACP[c] + (20) h[c] + (6) malACP[c] + (14) nadph[c] --> (6) ACP[c] + (6) co2[c] + (7) h2o[c] + (14) nadp[c] + palmACP[c]	Irreversible	c	0	1000	0		
C161SN	Fatty acid biosynthesis (n-C16:1)	actACP[c] + (19) h[c] + (6) malACP[c] + (13) nadph[c] --> (6) ACP[c] + (6) co2[c] + (7) h2o[c] + hdeACP[c] + (13) nadp[c]	Irreversible	c	0	1000	0		
C181SN	Fatty acid biosynthesis (n-C18:1)	actACP[c] + (22) h[c] + (7) malACP[c] + (15) nadph[c] --> (7) ACP[c] + (7) co2[c] + (8) h2o[c] + (15) nadp[c] + octeACP[c]	Irreversible	c	0	1000	0		
CLPNS_EC	Cardiolipin Synthase (E.coli)	(0.04) pg_EC[c] <==> (0.02) clpn_EC[c] + glyc[c]	Reversible	c	-1000	1000	0		
DAGK_EC	Diacylglycerol kinase	(0.02) 12dgr_EC[c] + atp[c] --> adp[c] + h[c] + (0.02) pa_EC[c]	Irreversible	c	0	1000	0		
DASYN_EC	CDP-Diacylglycerol synthetase (Ecoli)	ctp[c] + h[c] + (0.02) pa_EC[c] <==> (0.02) cdpdag_EC[c] + ppi[c]	Reversible	c	-1000	1000	0		
ecoli_biomass	ecoli_biomass	(0.00034) 4hba[c] + (59.81) atp[c] + (0.000345) coa[c] + (0.00908) lps_EC[c] + (0.00104) ecoli_DNA[c] + (0.00069) fad[c] + (59.81) h2o[c] + (0.0022) nadh[c] + (0.0017) nadph[c] + (0.02614) peptido_EC[c] + (0.00256) ecoli_phospholipid[c] + (0.005088) ecoli_Protein[c] + (0.03527) ptrc[c] + (0.006566) ecoli_RNA[c] + (0.00713) spmd[c] + (0.05) thf[c] + (0.00034) thmpp[c] + (0.003) udpg[c] --> (59.81) adp[c] + (59.81) h[c] + (59.81) pi[c]	Irreversible	c	0	1000	1		
ecoli_DNASyn	"DNA Synthesis, E coli"	(100) atp[c] + (25) datp[c] + (25) dctp[c] + (25) dgtp[c] + (25) dttp[c] + (100) h2o[c] --> (100) adp[c] + ecoli_DNA[c] + (100) h[c] + (100) pi[c] + (100) ppi[c]	Irreversible	c	0	1000	0		
ecoli_LipopolysaccharideSyn	"Lipopolysaccharide Synthesis, E coli"	(3) adphep_L[c] + (2) cdpea[c] + (3) ckdo[c] + lipa[c] + (2) udpg[c] --> (3) adp[c] + (2) cdp[c] + (3) cmp[c] + (10) h[c] + lps_EC[c] + (2) udp[c]	Irreversible	c	0	1000	0		
ecoli_PeptidoglycanSyn	"Peptidoglycan subunit synthesis, E coli"	uaagmda[c] --> h[c] + peptido_EC[c] + udcpdp[c]	Irreversible	c	0	1000	0		
ecoli_phosholipidSyn	"Phospholipid Synthesis, E Coli"	(0.057) clpn_EC[c] + (2) h2o[c] + (0.688) pe_EC[c] + (0.193) pg_EC[c] + (0.062) ps_EC[c] --> (0.5) pi[c] + ecoli_phospholipid[c]	Irreversible	c	0	1000	0		
