abbreviation	name	equation  	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
Acetate_NAsymport	Acetate Sodium Symport	ac[e] + na1[e] <==> ac[c] + na1[c]	Reversible	e, c	-1000	1000	0		
AMP-3P_Hydrolysis	Hydrolysis of AMP-3P	[c] : 3amp + h2o --> amp + pi	Irreversible	c	0	1000	0		
ATPM	ATP maintenance requirement	[c] : atp + h2o --> h + pi + adp	Irreversible	c	0.45	0.45	0		
C120SN	Fatty acid biosynthesis (n-C12:0)	[c] : actACP + (14) h + (4) malACP + (10) nadph --> (4) ACP + (4) co2 + ddcaACP + (5) h2o + (10) nadp	Irreversible	c	0	1000	0		
C140SN	Fatty acid biosynthesis (n-C14:0)	[c] : actACP + (17) h + (5) malACP + (12) nadph --> (5) ACP + (5) co2 + (6) h2o + myrsACP + (12) nadp	Irreversible	c	0	1000	0		
C141SN	Fatty acid biosynthesis (n-C14:1)	[c] : actACP + (16) h + (5) malACP + (11) nadph --> (5) ACP + (5) co2 + (6) h2o + (11) nadp + tdeACP	Irreversible	c	0	1000	0		
C160SN	Fatty acid biosynthesis (n-C16:0)	[c] : actACP + (20) h + (6) malACP + (14) nadph --> (6) ACP + (6) co2 + (7) h2o + (14) nadp + palmACP	Irreversible	c	0	1000	0		
C161SN	Fatty acid biosynthesis (n-C16:1)	[c] : actACP + (19) h + (6) malACP + (13) nadph --> (6) ACP + (6) co2 + (7) h2o + hdeACP + (13) nadp	Irreversible	c	0	1000	0		
C181SN	Fatty acid biosynthesis (n-C18:1)	[c] : actACP + (22) h + (7) malACP + (15) nadph --> (7) ACP + (7) co2 + (8) h2o + (15) nadp + octeACP	Irreversible	c	0	1000	0		
CLPNS_EC	Cardiolipin Synthase (E.coli)	[c] : (0.04) pg_EC <==> (0.02) clpn_EC + glyc	Reversible	c	-1000	1000	0		
DAGK_EC	Diacylglycerol kinase	[c] : (0.02) 12dgr_EC + atp --> adp + h + (0.02) pa_EC	Irreversible	c	0	1000	0		
DASYN_EC	CDP-Diacylglycerol synthetase (Ecoli)	[c] : ctp + h + (0.02) pa_EC <==> (0.02) cdpdag_EC + ppi	Reversible	c	-1000	1000	0		
ecoli_biomass	ecoli_biomass	[c] : (0.00034) 4hba + (59.81) atp + (0.000345) coa + (0.00908) lps_EC + (0.00104) ecoli_DNA + (0.00069) fad + (59.81) h2o + (0.0022) nadh + (0.0017) nadph + (0.02614) peptido_EC + (0.00256) ecoli_phospholipid + (0.005088) ecoli_Protein + (0.03527) ptrc + (0.006566) ecoli_RNA + (0.00713) spmd + (0.05) thf + (0.00034) thmpp + (0.003) udpg --> (59.81) adp + (59.81) h + (59.81) pi	Irreversible	c	0	1000	1		
ecoli_DNASyn	"DNA Synthesis, E coli"	[c] : (100) atp + (25) datp + (25) dctp + (25) dgtp + (25) dttp + (100) h2o --> (100) adp + ecoli_DNA + (100) h + (100) pi + (100) ppi	Irreversible	c	0	1000	0		
ecoli_LipopolysaccharideSyn	"Lipopolysaccharide Synthesis, E coli"	[c] : (3) adphep_L + (2) cdpea + (3) ckdo + lipa + (2) udpg --> (3) adp + (2) cdp + (3) cmp + (10) h + lps_EC + (2) udp	Irreversible	c	0	1000	0		
ecoli_PeptidoglycanSyn	"Peptidoglycan subunit synthesis, E coli"	[c] : uaagmda --> h + peptido_EC + udcpdp	Irreversible	c	0	1000	0		
ecoli_phosholipidSyn	"Phospholipid Synthesis, E Coli"	[c] : (0.057) clpn_EC + (2) h2o + (0.688) pe_EC + (0.193) pg_EC + (0.062) ps_EC --> (0.5) pi + ecoli_phospholipid	Irreversible	c	0	1000	0		
ecoli_ProtSyn	"Protein Synthesis, E coli"	[c] : (103) alatrna + (59) argtrna + (48) asntrna + (48) asptrna + (18) cystrna + (53) glntrna + (53) glutrna + (53) glytrna + (19) histrna + (58) iletrna + (90) leutrna + (69) lystrna + (31) mettrna + (37) phetrna + (44) protrna + (43) sertrna + (51) thrtrna + (11) trptrna + (28) tyrtrna + (85) valtrna + (2000) gtp + (2000) h2o --> (2000) gdp + (3001) h + (2000) pi + ecoli_Protein + (103) trnaala + (59) trnaarg + (48) trnaasn + (48) trnaasp + (18) trnacys + (53) trnagln + (53) trnaglu + (53) trnagly + (19) trnahis + (58) trnaile + (90) trnaleu + (69) trnalys + (31) trnamet + (37) trnaphe + (44) trnapro + (43) trnaser + (51) trnathr + (11) trnatrp + (28) trnatyr + (85) trnaval	Irreversible	c	0	1000	0		
ecoli_RNASyn	"RNA Synthesis, E coli"	[c] : (126) atp + (20) ctp + (32) gtp + (100) h2o + (22) utp --> (100) adp + (100) h + (100) pi + (100) ppi + ecoli_RNA	Irreversible	c	0	1000	0		
Fe2_Oxidation	Fe(II) Oxidation via Fe(II) Oxidase (Yamanaka 1991)	o2[c] + (4) h[c] + (4) fe2[e] --> (2) h2o[c] + (4) fe3[e]	Irreversible	e, c	0	1000	0		
KAS15	b-ketoacyl synthase	[c] : accoa + h + malACP --> actACP + co2 + coa	Irreversible	c	0	1000	0		
N2O_N2_ferri_ferro_cytochrome	Nitrous Oxide to Nitrogen via ferrocytochrome	[c] : (2) focytc + (2) h + n2o --> h2o + (2) ficytc + n2	Irreversible	c	0	1000	0		
