Metabolite name	Metabolite description	Metabolite neutral formula	Metabolite charged formula	Metabolite charge	Metabolite Compartment	Metabolite KEGGID	Metabolite PubChemID	Metabolite CheBI ID	Metabolite Inchi String	Metabolite Smile
h2o[c]	H2O_cytosolic			0	Cytosol					
h2o[e]	H2O_extracellular			0	Extracellular					
o2[c]	O2_cytosolic		o2[c]	0	Cytosol					
o2[e]	O2_extracellular		o2[e]	0	Extracellular					
pi[c]	Phosphate_cytosolic		pi[c]	0	Cytosol					
pi[e]	Phosphate_extracellular		pi[e]	0	Extracellular					
co2[c]	CO2_cytosolic		co2[c]	0	Cytosol					
co2[e]	CO2_extracellular		co2[e]	0	Extracellular					
nh4[c]	NH3_cytosolic			1	Cytosol					
nh4[e]	NH3_extracellular			1	Extracellular					
glc_D[c]	D-Glucose_cytosolic			0	Cytosol					
glc_D[e]	D-Glucose_extracellular			0	Extracellular					
mn2[c]	Mn2_cytosolic		mn2[c]	0	Cytosol					
mn2[e]	Mn2_extracellular		mn2[e]	0	Extracellular					
gly[c]	Glycine_cytosolic		gly[c]	0	Cytosol					
gly[e]	Glycine_extracellular		gly[e]	0	Extracellular					
zn2[c]	Zn2_cytosolic		zn2[c]	0	Cytosol					
zn2[e]	Zn2_extracellular		zn2[e]	0	Extracellular					
succ[c]	Succinate_cytosolic		succ[c]	0	Cytosol					
succ[e]	Succinate_extracellular		succ[e]	0	Extracellular					
so4[c]	Sulfate_cytosolic		so4[c]	0	Cytosol					
so4[e]	Sulfate_extracellular		so4[e]	0	Extracellular					
met_L[c]	L-Methionine_cytosolic			0	Cytosol					
met_L[e]	L-Methionine_extracellular			0	Extracellular					
ca2[c]	Ca2_cytosolic		ca2[c]	0	Cytosol					
ca2[e]	Ca2_extracellular		ca2[e]	0	Extracellular					
h[c]	H_cytosolic		h[c]	0	Cytosol					
h[e]	H_extracellular		h[e]	0	Extracellular					
urea[c]	Urea_cytosolic		urea[c]	0	Cytosol					
urea[e]	Urea_extracellular		urea[e]	0	Extracellular					
no2[c]	Nitrite_cytosolic		no2[c]	0	Cytosol					
no2[e]	Nitrite_extracellular		no2[e]	0	Extracellular					
cl[c]	Cl_cytosolic			0	Cytosol					
cl[e]	Cl_extracellular			0	Extracellular					
fum[c]	Fumarate_cytosolic		fum[c]	0	Cytosol					
fum[e]	Fumarate_extracellular		fum[e]	0	Extracellular					
cit[c]	Citrate_cytosolic		cit[c]	0	Cytosol					
cit[e]	Citrate_extracellular		cit[e]	0	Extracellular					
cobalt2[c]	Co2_cytosolic		cobalt2[c]	0	Cytosol					
cobalt2[e]	Co2_extracellular		cobalt2[e]	0	Extracellular					
malt[c]	Maltose_cytosolic		malt[c]	0	Cytosol					
malt[e]	Maltose_extracellular		malt[e]	0	Extracellular					
k[c]	K_cytosolic		k[c]	0	Cytosol					
k[e]	K_extracellular		k[e]	0	Extracellular					
no3[c]	Nitrate_cytosolic		no3[c]	0	Cytosol					
no3[e]	Nitrate_extracellular		no3[e]	0	Extracellular					
hdca[c]	Palmitate_cytosolic		hdca[c]	0	Cytosol					
hdca[e]	Palmitate_extracellular		hdca[e]	0	Extracellular					
mg2[c]	Mg_cytosolic		mg2[c]	0	Cytosol					
mg2[e]	Mg_extracellular		mg2[e]	0	Extracellular					
spmd[c]	Spermidine_cytosolic		spmd[c]	0	Cytosol					
spmd[e]	Spermidine_extracellular		spmd[e]	0	Extracellular					
thm[c]	Thiamin_cytosolic		thm[c]	0	Cytosol					
thm[e]	Thiamin_extracellular		thm[e]	0	Extracellular					
cbl2[c]	Vitamin-B12r_cytosolic		cbl2[c]	0	Cytosol					
cbl2[e]	Vitamin-B12r_extracellular		cbl2[e]	0	Extracellular					
cbl1[c]	Cbl_cytosolic		cbl1[c]	0	Cytosol					
cbl1[e]	Cbl_extracellular		cbl1[e]	0	Extracellular					
met_D[c]	D-Methionine_cytosolic		met_D[c]	0	Cytosol					
met_D[e]	D-Methionine_extracellular		met_D[e]	0	Extracellular					
na1[c]	Na_cytosolic		na1[c]	0	Cytosol					
na1[e]	Na_extracellular		na1[e]	0	Extracellular					
cgly[c]	Cys-Gly_cytosolic		cgly[c]	0	Cytosol					
cgly[e]	Cys-Gly_extracellular		cgly[e]	0	Extracellular					
ocdca[c]	ocdca_cytosolic		ocdca[c]	0	Cytosol					
ocdca[e]	ocdca_extracellular		ocdca[e]	0	Extracellular					
metox[c]	L-Methionine-S-oxide_cytosolic		metox[c]	0	Cytosol					
metox[e]	L-Methionine-S-oxide_extracellular		metox[e]	0	Extracellular					
VitaminB12[c]	Vitamin-B12_cytosolic			0	Cytosol					
VitaminB12[e]	Vitamin-B12_extracellular			0	Extracellular					
