SecondaryRxnAbbr	ReferenceRxnAbbr	TargetDirection	TargetReversibility
rxn00283_c0	ALARi	1	0
rxn00669_c0	ACCOAL	1	0
rxn08126_c0	AMALT1	1	0
rxn08127_c0	AMALT2	1	0
rxn08128_c0	AMALT3	1	0
rxn08129_c0	AMALT4	1	0
rxn01257_c0	ADCS	1	0
rxn06591_c0	GLUTRR	1	0
rxn03062_c0	IPMD	1	0
rxn06077_c0	METSR-S1	-1	0
rxn00423_c0	SERAT	1	1
rxn01964_c0	TRPS1	1	0
rxn00278_c0	ALAD_L	1	0
rxn02374_c0	G5SADs	1	1
rxn00851_c0	ALAALA	1	1
rxn00555_c0	GF6PTA	1	0
rxn03904_c0	PAPPT3	1	0
rxn06729_c0	UAGAAT	1	1
rxn03146_c0	UHGADA	1	0
rxn00288_c0	SUCD1i	1	0
rxn02474_c0	APRAUR	-1	0
rxn00792_c0	BACCL	-1	0
rxn02303_c0	CPPPGO	1	0
rxn01790_c0	DPR	-1	0
rxn01629_c0	G1SATi	-1	0
rxn03910_c0	MECDPS	1	0
rxn00912_c0	MOHMT	1	0
rxn03395_c0	OHPHM	1	0
rxn02914_c0	PSERT	-1	0
rxn02305_c0	TMPPP	1	0
rxn02288_c0	UPPDC1	1	0
rxn05339_c0	HBUR1	-1	0
rxn05340_c0	HDDR5	-1	0
rxn05338_c0	HDER4	-1	0
rxn05336_c0	HHDR7	-1	0
rxn05337_c0	HHYR2	-1	0
rxn05341_c0	HOCR3	-1	0
rxn05342_c0	HTDR6	-1	0
rxn00979_c0	GCALDD	1	0
rxn00085_c0	GLUSy	-1	0
rxn00692_c0	GHMT2	-1	0
rxn01101_c0	PGCD	1	0
rxn01834_c0	LGTHL	-1	0
rxn00834_c0	IMPD	1	0
rxn00119_c0	URIDK1	1	0
rxn01517_c0	URIDK2	1	0
rxn05289_c0	TRDR	1	0
rxn00604_c0	G6PDH	1	0
rxn01362_c0	ORPT	-1	1
rxn02937_c0	PRAIS	1	0
rxn02929_c0	DHDPRy	-1	0
rxn01973_c0	SDPDS	1	0
rxn03031_c0	THDPS	1	0
rxn10042_c0	ATPS4	1	0
rxn05226_c0	GLCpts	1	0
rxn05616_c0	MGt5	-1	1
rxn05319_c0	H2Ot5	-1	1
rxn05145_c0	PIabc	1	0
rxn02213_c0	DHQD1	1	1
rxn02269_c0	OIVD3	1	0
rxn00806_c0	LEUTAi	-1	0
rxn03540_c0	ADCOBHEXS	1	0
rxn02897_c0	NNDMBRT	1	0
rxn03108_c0	PMPK	1	0
rxn03951_c0	THPDH	1	0
rxn02264_c0	UPP3S	1	0
