NODE_1000003_length_95_cov_3.452631_41_119_-	1.2.1.11	PWY-5097	LYSINE-SYN
NODE_1000003_length_95_cov_3.452631_41_119_-	1.2.1.11	PWY-2942	LYSINE-SYN
NODE_1000003_length_95_cov_3.452631_41_119_-	1.2.1.11	PWY-2941	LYSINE-SYN
NODE_1000003_length_95_cov_3.452631_41_119_-	1.2.1.11	DAPLYSINESYN-PWY	LYSINE-SYN
NODE_1000003_length_95_cov_3.452631_41_119_-	1.2.1.11	PWY-7153	SECONDARY-METABOLITE-BIOSYNTHESIS
NODE_1000003_length_95_cov_3.452631_41_119_-	1.2.1.11	PWY-6562	Polyamine-Biosynthesis
NODE_1000003_length_95_cov_3.452631_41_119_-	1.2.1.11	PWY-6559	Spermidine-Biosynthesis
NODE_1000003_length_95_cov_3.452631_41_119_-	1.2.1.11	HOMOSERSYN-PWY	Other-Amino-Acid-Biosynthesis
NODE_1000003_length_95_cov_3.452631_41_119_-	1.2.1.11	P101-PWY	Polyamine-Biosynthesis
NODE_1000019_length_70_cov_1.785714_1_94_-	2.2.1.2	P185-PWY	Formaldehyde-Assimilation
NODE_1000019_length_70_cov_1.785714_1_94_-	2.2.1.2	PWY-5723	Energy-Metabolism
NODE_1000019_length_70_cov_1.785714_1_94_-	2.2.1.2	NONOXIPENT-PWY	Pentose-Phosphate-Cycle
NODE_1000019_length_70_cov_1.785714_1_94_-	2.2.1.2	P124-PWY	Sugars-And-Polysaccharides
NODE_1000019_length_70_cov_1.785714_1_94_-	2.2.1.2	P124-PWY	Fermentation
NODE_1000019_length_70_cov_1.785714_1_94_-	2.2.1.2	PWY-1861	Formaldehyde-Assimilation
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-7124	Super-Pathways
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-7124	Photosynthesis
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-7124	CHEMOAUTOTROPHIC-ENERGY-METABOLISM
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-7117	Photosynthesis
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-7115	Photosynthesis
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-5913	TCA-VARIANTS
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-241	Photosynthesis
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-6146	Super-Pathways
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-6146	Biosynthesis
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-6142	Super-Pathways
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWY-6142	Gluconeogenesis
NODE_1000021_length_140_cov_3.728571_1_164_+	4.1.1.31	PWYQT-4429	CO2-Fixation
