#query_id	ref_id	ref_start	ref_bp_aligned	query_coverage	query_identity
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:14386:5012	ncbibact2012011723S_1128	1318	250	100.00	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:7074:5498	gg20110531_510887	445	59	58.42	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:22682:5754	hmp2011120623S_115	111	38	28.57	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:24615:8115	rdp1028_587666	8	205	100.00	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:9314:11353	rdp1028_604150	217	137	64.02	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:23064:13520	ncbibact2012011723S_976	381	235	97.11	99.15
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:26844:16335	rdp1028_545754	150	250	100.00	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:9288:17484	rdp1028_625378	254	121	68.36	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:16096:17600	hmp2011120623S_115	2189	75	44.91	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:18634:22744	ssr108_33092	1425	210	84.68	99.05
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:11350:22872	ssr108_91519	486	50	38.46	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:24796:25618	rdp1028_587789	660	86	60.99	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1101:21562:25845	rdp1028_587661	677	80	60.61	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1102:24712:5891	slr108_274	1171	238	95.20	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1102:20077:7246	rdp1028_587705	78	40	27.21	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1102:21321:8188	gg20110531_287207	624	70	33.02	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1102:25369:16115	rdp1028_1656055	207	73	35.61	89.04
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1102:16245:17490	slr108_274	754	83	53.55	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1102:7960:22687	ncbibact2012011723S_1951	2629	83	48.26	98.80
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:10565:3928	rdp1028_603189	703	92	64.34	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:22122:6791	ncbibact2012011723S_2282	1586	147	72.06	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:19426:8199	ncbibact2012011723S_1926	1964	97	53.89	98.97
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:23108:9124	rdp1028_587495	1206	81	50.94	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:5639:9390	slr108_274	1604	98	55.06	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:13048:11967	rdp1028_604559	1	75	47.77	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:21754:12393	ssr108_32931	165	93	53.45	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:21028:21086	slr108_4544	2254	137	72.11	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:6410:22992	ncbibact2012011723S_1128	1676	91	68.94	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:14921:25793	slr108_12126	1200	91	64.54	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1103:14129:26041	ncbibact2012011723S_1951	2542	203	86.02	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1104:11166:5530	ncbibact2012011723S_2212	719	48	35.29	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1104:14180:7386	ncbibact2012011723S_2278	343	96	54.86	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1104:21967:7413	slr108_18813	998	247	98.80	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1104:9233:7644	rdp1028_901650	80	243	99.18	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1104:27388:12052	slr108_4544	2309	54	39.71	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1104:14558:15114	rdp1028_169106	1185	188	81.03	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1104:23436:16863	slr108_12121	2204	53	40.46	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1104:7320:24508	ssr108_37140	187	47	37.01	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1104:22062:26789	slr108_17052	424	51	39.23	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1105:9629:9736	ncbibact2012011723S_1927	1234	67	46.21	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1105:18334:10466	ncbibact2012011723S_1951	1528	101	55.80	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1105:13050:10736	slr108_4544	2329	52	39.39	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1105:3098:13124	ncbibact2012011723S_1927	1941	165	70.51	99.39
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1105:3098:13124	ncbibact2012011723S_1523	738	31	13.25	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1105:14266:13774	ncbibact2012011723S_2278	344	59	42.14	100.00
MISEQ-LAB244-W7:212:000000000-A9WNH:1:1105:8462:14687	rdp1028_604979	3	130	61.32	100.00
