TIGR00152	dephospho-CoA kinase	83	Biosynthesis of cofactors, prosthet	Pantothenate and coenzyme A	2.7.1.24
TIGR00362	chromosomal replication initiator protein Dna	132	DNA metabolism	DNA replication, recombination, and repair	NULL
TIGR02397	DNA polymerase III, subunit gamma and tau	132	DNA metabolism	DNA replication, recombination, and repair	2.7.7.7
TIGR00575	DNA ligase, NAD-dependent	132	DNA metabolism	DNA replication, recombination, and repair	6.5.1.2
TIGR00631	excinuclease ABC subunit B	132	DNA metabolism	DNA replication, recombination, and repair	3.1.25.-
TIGR00663	DNA polymerase III, beta subunit	132	DNA metabolism	DNA replication, recombination, and repair	2.7.7.7
TIGR01391	DNA primase	132	DNA metabolism	DNA replication, recombination, and repair	2.7.7.-
TIGR01059	DNA gyrase, B subunit	132	DNA metabolism	DNA replication, recombination, and repair	5.99.1.3
TIGR01063	DNA gyrase, A subunit	132	DNA metabolism	DNA replication, recombination, and repair	5.99.1.3
TIGR02012	protein RecA	132	DNA metabolism	DNA replication, recombination, and repair	NULL
PF00162	phosphoglycerate kinase	116	Energy metabolism	Glycolysis/gluconeogenesis	2.7.2.3
TIGR00064	signal recognition particle-docking protein F	97	Protein fate	Protein and peptide secretion and trafficking	NULL
TIGR00115	trigger factor	95	Protein fate	Protein folding and stabilization	5.2.1.8
TIGR02350	chaperone protein DnaK	95	Protein fate	Protein folding and stabilization	NULL
TIGR00959	signal recognition particle protein	97	Protein fate	Protein and peptide secretion and trafficking	NULL
TIGR00963	preprotein translocase, SecA subunit	97	Protein fate	Protein and peptide secretion and trafficking	NULL
TIGR00964	preprotein translocase, SecE subunit	97	Protein fate	Protein and peptide secretion and trafficking	NULL
TIGR00967	preprotein translocase, SecY subunit	97	Protein fate	Protein and peptide secretion and trafficking	NULL
TIGR00810	preprotein translocase, SecG subunit	97	Protein fate	Protein and peptide secretion and trafficking	NULL
PF01025	co-chaperone GrpE	95	Protein fate	Protein folding and stabilization	NULL
TIGR00001	ribosomal protein L35	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio	NULL
TIGR00002	ribosomal protein S16	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio	NULL
TIGR00009	ribosomal protein L28	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio	NULL
TIGR00012	ribosomal protein L29	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio	NULL
TIGR00019	peptide chain release factor 1	169	Protein synthesis	Translation factors	NULL
TIGR00029	ribosomal protein S20	158	Protein synthesis	Ribosomal proteins: synthesis and modificatio	NULL
TIGR00043	rRNA maturation RNase YbeY	136	Protein synthesis	Other	NULL
