Target	Closest_Reference	Median	95%_LowerBound	95%_UpperBound	Effects_0.00	Effects_0.05	Effects_0.10	Effects_0.15	Effects_0.20	Effects_0.25	Effects_0.30 
116_v1v3	AM6971781	0.079527555	0.03393127	0.15187444	0	0.123762376237624	0.727722772277228	0.971947194719472	0.998349834983498	1	1
366_v3v5	AY0050721	0.01441624	3.3e-07	0.04736908	0	0.979372937293729	0.996699669966997	0.996699669966997	0.996699669966997	0.996699669966997	0.996699669966997
430_v3v5	AF5317651	0.29187524	0.14717907	1.03533493	0	0	0.00247524752475248	0.0297029702970297	0.138613861386139	0.353960396039604	0.526402640264026
450_v1v3	AY3494021	0.092773495	0.04698317	0.15725829	0	0.0321782178217822	0.589108910891089	0.964521452145215	0.995049504950495	0.998349834983498	1
535_v1v3	AB0154801	0.087514205	0.03136311	0.16687415	0	0.113861386138614	0.641089108910891	0.934818481848185	0.995874587458746	0.999174917491749	1
543_v1v3	AJ3181851	0.117874605	0.05476209	0.21046248	0	0.014026402640264	0.304455445544554	0.777227722772277	0.964521452145215	0.993399339933993	0.995874587458746
651_v3v5	AF5317651	0.372369695	0.18722514	0.96673072	0	0	0	0.0033003300330033	0.0412541254125413	0.132013201320132	0.280528052805281
672_v3v5	AM6971781	0.030855795	0.00743069	0.06583572	0	0.868811881188119	0.999174917491749	1	1	1	1
682_v3v5	AF5317651	0.397693165	0.21927025	1.00515481	0	0	0	0.00165016501650165	0.0099009900990099	0.0734323432343234	0.193069306930693
700_v3v5	AF5317651	0.346043905	0.18410709	0.92240125	0	0	0	0.0033003300330033	0.0371287128712871	0.155940594059406	0.33993399339934
741_v3v5	AF5317651	0.39216279	0.20545165	1.00103586	0	0	0	0.00165016501650165	0.0181518151815182	0.0882838283828383	0.222772277227723
74_v1v3	AY0083081	0.01057346	3.5e-07	0.03393866	0	1	1	1	1	1	1
790_v1v3	AM0000231	0.171475205	0.08796964	0.34242261	0	0.000825082508250825	0.0503300330033003	0.338283828382838	0.667491749174917	0.862211221122112	0.947194719471947
979_v1v3	AF5077011	0.071113905	0.02483946	0.15096069	0	0.224422442244224	0.808580858085809	0.973597359735974	0.996699669966997	0.997524752475248	0.997524752475248
