Modification type	SNP	Chromosome	Position	Gene	Gene region	Confidence level	P value
A-to-I	rs3130385	6	30,211,387	TRIM26	intron	High	3.88E-19
A-to-I	rs3130465	6	31,198,575	HCG27	intron	High	8.30E-12
A-to-I	rs72850280	6	32,583,744	HLA-DRB1	intron	High	1.12E-09
A-to-I	rs9274112	6	32,662,417	HLA-DQB1	intron	High	1.44E-58
A-to-I	rs9274115	6	32,662,428	HLA-DQB1	intron	High	9.06E-59
A-to-I	rs4360168	6	32,662,436	HLA-DQB1	intron	High	1.32E-16
A-to-I	rs9274428	6	32,665,264	HLA-DQB1	intron	High	2.71E-52
A-to-I	rs1592572	16	11,716,526	TXNDC11	intron	High	4.61E-09
A-to-I	rs9303280	17	39,917,778	GSDMB	intron	High	1.70E-09
m1A	rs2359173	1	113,653,873	MAGI3	CDS	High	5.30E-10
m1A	rs12185577	2	65,432,354	SPRED2	5′-UTR	Medium	2.40E-09
m1A	rs1061235	6	29,945,521	HLA-A	3′-UTR	Medium	1.19E-11
m1A	rs76018112	6	30,590,701	ABCF1	CDS	Medium	2.88E-08
m1A	rs9263785	6	31,158,046	CCHCR1	intron	Medium	5.20E-09
m1A	rs41541519	6	31,356,287	HLA-B	CDS	Medium	7.90E-09
m1A	rs9276935	6	32,968,664	BRD2	5′-UTR	Medium	8.60E-90
m1A	rs2247325	6	166,956,504	RNASET2	5′-UTR	Medium	2.73E-11
m1A	rs2952151	17	39,672,243	PGAP3	3′-UTR	High	5.70E-09
m5C	rs10885	6	31,636,814	PRRC2A	CDS	High	1.05E-31
m5U	rs76864766	6	26,577,173	TRY-GTA3–1	exon	High	6.75E-10
m6Am	rs2074491	6	31,272,119	HLA-C	5′-UTR	High	1.70E-39
m7G	rs25497	6	30,723,713	TUBB	CDS	Medium	1.31E-08
m7G	rs71563314	6	31,354,184	HLA-B	3′-UTR	Medium	1.50E-10
m7G	rs2263318	6	31,464,229	HCP5	exon	Medium	3.25E-70
m7G	rs5030798	6	31,779,733	VARS1	CDS	Medium	1.50E-18
m7G	rs1051336	6	32,444,815	HLA-DRA	3′-UTR	Medium	6.74E-191
m7G	rs1061801	6	33,314,561	TAPBP	3′-UTR	Medium	3.40E-14
